Timestamp,position,BLMTI.04L6.B2I11_TCSP.A4L6.B2
1493560702800,7.245,1.0859999999999999e-06
1493560702810,7.245,1.81e-06
1493560702820,7.245,1.81e-06
1493560702830,7.245,1.81e-06
1493560702840,7.245,1.81e-06
1493560702850,7.245,1.4480000000000002e-06
1493560702860,7.245,2.5340000000000002e-06
1493560702870,7.245,2.1719999999999997e-06
1493560702880,7.245,3.982e-06
1493560702890,7.245,5.43e-06
1493560702900,7.245,6.154e-06
1493560702910,7.245,7.964e-06
1493560702920,7.245,1.0498e-05
1493560702930,7.245,8.326e-06
1493560702940,7.245,7.964e-06
1493560702950,7.245,7.24e-06
1493560702960,7.245,7.964e-06
1493560702970,7.245,6.154e-06
1493560702980,7.245,9.05e-06
1493560702990,7.245,8.326e-06
1493560703000,7.245,1.267e-05
1493560703010,7.245,1.086e-05
1493560703020,7.245,1.1222e-05
1493560703030,7.245,9.05e-06
1493560703040,7.245,1.0136000000000001e-05
1493560703050,7.245,5.792000000000001e-06
1493560703060,7.245,8.687999999999999e-06
1493560703070,7.245,9.05e-06
1493560703080,7.245,9.774e-06
1493560703090,7.245,1.1584000000000001e-05
1493560703100,7.245,1.5928e-05
1493560703110,7.245,1.4118e-05
1493560703120,7.245,1.6652e-05
1493560703130,7.245,1.086e-05
1493560703140,7.245,1.086e-05
1493560703150,7.245,1.0136000000000001e-05
1493560703160,7.245,7.602e-06
1493560703170,7.245,5.792000000000001e-06
1493560703180,7.245,5.0680000000000004e-06
1493560703190,7.245,3.62e-06
1493560703200,7.245,4.706e-06
1493560703210,7.245,2.5340000000000002e-06
1493560703220,7.245,2.5340000000000002e-06
1493560703230,7.245,1.81e-06
1493560703240,7.245,2.1719999999999997e-06
1493560703250,7.245,7.240000000000001e-07
1493560703260,7.245,7.240000000000001e-07
1493560703270,7.245,1.81e-06
1493560703280,7.245,1.0859999999999999e-06
1493560703290,7.245,1.4480000000000002e-06
1493560703300,7.245,1.0859999999999999e-06
1493560703310,7.245,7.240000000000001e-07
1493560703320,7.245,3.6200000000000004e-07
1493560703330,7.245,1.0859999999999999e-06
1493560703340,7.245,0.0
1493560703350,7.245,0.0
1493560703360,7.245,3.6200000000000004e-07
