Timestamp,position,BLMTI.04L6.B2I11_TCSP.A4L6.B2
1493560679800,-7.655,7.240000000000001e-07
1493560679810,-7.655,1.4480000000000002e-06
1493560679820,-7.655,1.0859999999999999e-06
1493560679830,-7.655,1.0859999999999999e-06
1493560679840,-7.655,1.0859999999999999e-06
1493560679850,-7.655,1.0859999999999999e-06
1493560679860,-7.655,7.240000000000001e-07
1493560679870,-7.655,2.5340000000000002e-06
1493560679880,-7.655,2.8960000000000003e-06
1493560679890,-7.655,4.706e-06
1493560679900,-7.655,3.62e-06
1493560679910,-7.655,6.154e-06
1493560679920,-7.655,4.706e-06
1493560679930,-7.655,3.62e-06
1493560679940,-7.655,2.1719999999999997e-06
1493560679950,-7.655,1.81e-06
1493560679960,-7.655,1.81e-06
1493560679970,-7.655,7.240000000000001e-07
1493560679980,-7.655,1.81e-06
1493560679990,-7.655,1.0859999999999999e-06
1493560680000,-7.655,1.0859999999999999e-06
1493560680010,-7.655,1.0859999999999999e-06
1493560680020,-7.655,1.4480000000000002e-06
1493560680030,-7.655,1.4480000000000002e-06
1493560680040,-7.655,1.0859999999999999e-06
1493560680050,-7.655,1.0859999999999999e-06
1493560680060,-7.655,1.4480000000000002e-06
1493560680070,-7.655,1.4480000000000002e-06
1493560680080,-7.655,1.4480000000000002e-06
1493560680090,-7.655,1.0859999999999999e-06
1493560680100,-7.655,7.240000000000001e-07
1493560680110,-7.655,7.240000000000001e-07
1493560680120,-7.655,1.0859999999999999e-06
1493560680130,-7.655,3.6200000000000004e-07
1493560680140,-7.655,7.240000000000001e-07
1493560680150,-7.655,3.6200000000000004e-07
1493560680160,-7.655,7.240000000000001e-07
1493560680170,-7.655,1.0859999999999999e-06
1493560680180,-7.655,1.0859999999999999e-06
1493560680190,-7.655,7.240000000000001e-07
1493560680200,-7.655,1.81e-06
1493560680210,-7.655,7.240000000000001e-07
1493560680220,-7.655,7.240000000000001e-07
1493560680230,-7.655,2.1719999999999997e-06
1493560680240,-7.655,1.0859999999999999e-06
1493560680250,-7.655,7.240000000000001e-07
1493560680260,-7.655,7.240000000000001e-07
1493560680270,-7.655,1.0859999999999999e-06
1493560680280,-7.655,1.0859999999999999e-06
1493560680290,-7.655,1.0859999999999999e-06
1493560680300,-7.655,1.0859999999999999e-06
1493560680310,-7.655,7.240000000000001e-07
1493560680320,-7.655,7.240000000000001e-07
1493560680330,-7.655,1.0859999999999999e-06
1493560680340,-7.655,1.0859999999999999e-06
1493560680350,-7.655,1.0859999999999999e-06
1493560680360,-7.655,3.6200000000000004e-07
1493560680370,-7.655,3.6200000000000004e-07
1493560680380,-7.655,0.0
1493560680390,-7.655,1.0859999999999999e-06
1493560680400,-7.655,1.0859999999999999e-06
1493560680410,-7.655,3.6200000000000004e-07
1493560680420,-7.655,7.240000000000001e-07
1493560680430,-7.655,1.4480000000000002e-06
1493560680440,-7.655,7.240000000000001e-07
1493560680450,-7.655,7.240000000000001e-07
1493560680460,-7.655,1.0859999999999999e-06
1493560680470,-7.655,1.0859999999999999e-06
1493560680480,-7.655,1.0859999999999999e-06
1493560680490,-7.655,3.6200000000000004e-07
1493560680500,-7.655,1.4480000000000002e-06
1493560680510,-7.655,0.0
1493560680520,-7.655,1.4480000000000002e-06
1493560680530,-7.655,3.6200000000000004e-07
1493560680540,-7.655,1.81e-06
1493560680550,-7.655,3.6200000000000004e-07
1493560680560,-7.655,1.0859999999999999e-06
1493560680570,-7.655,1.4480000000000002e-06
1493560680580,-7.655,1.0859999999999999e-06
1493560680590,-7.655,7.240000000000001e-07
1493560680600,-7.655,1.4480000000000002e-06
1493560680610,-7.655,1.0859999999999999e-06
1493560680620,-7.655,3.6200000000000004e-07
1493560680630,-7.655,1.81e-06
1493560680640,-7.655,7.240000000000001e-07
1493560680650,-7.655,7.240000000000001e-07
1493560680660,-7.655,7.240000000000001e-07
1493560680670,-7.655,3.6200000000000004e-07
1493560680680,-7.655,3.6200000000000004e-07
1493560680690,-7.655,3.6200000000000004e-07
1493560680700,-7.655,7.240000000000001e-07
1493560680710,-7.655,1.4480000000000002e-06
1493560680720,-7.655,3.6200000000000004e-07
1493560680730,-7.655,1.0859999999999999e-06
1493560680740,-7.655,7.240000000000001e-07
1493560680750,-7.655,3.6200000000000004e-07
