Timestamp,position,BLMTI.06R3.B2E10_TCP.6R3.B2
1493647450150,8.025,7.240000000000001e-07
1493647450160,8.025,7.240000000000001e-07
1493647450170,8.025,7.240000000000001e-07
1493647450180,8.025,0.0
1493647450190,8.025,0.0
1493647450200,8.025,1.81e-06
1493647450210,8.025,3.6200000000000004e-07
1493647450220,8.025,3.6200000000000004e-07
1493647450230,8.025,7.240000000000001e-07
1493647450240,8.025,1.0859999999999999e-06
1493647450250,8.025,7.240000000000001e-07
1493647450260,8.025,0.0
1493647450270,8.025,7.240000000000001e-07
1493647450280,8.025,0.0
1493647450290,8.025,1.4480000000000002e-06
1493647450300,8.025,0.0
1493647450310,8.025,7.240000000000001e-07
1493647450320,8.025,3.6200000000000004e-07
1493647450330,8.025,1.0859999999999999e-06
1493647450340,8.025,0.0
1493647450350,8.025,7.240000000000001e-07
1493647450360,8.025,3.6200000000000004e-07
1493647450370,8.025,7.240000000000001e-07
1493647450380,8.025,3.6200000000000004e-07
1493647450390,8.025,3.6200000000000004e-07
1493647450400,8.025,1.0859999999999999e-06
1493647450410,8.025,3.6200000000000004e-07
1493647450420,8.025,7.240000000000001e-07
1493647450430,8.025,3.6200000000000004e-07
1493647450440,8.025,1.0859999999999999e-06
1493647450450,8.025,0.0
1493647450460,8.025,7.240000000000001e-07
1493647450470,8.025,7.240000000000001e-07
1493647450480,8.025,3.6200000000000004e-07
1493647450490,8.025,7.240000000000001e-07
1493647450500,8.025,1.0859999999999999e-06
1493647450510,8.025,7.240000000000001e-07
1493647450520,8.025,1.0859999999999999e-06
1493647450530,8.025,1.4480000000000002e-06
1493647450540,8.025,0.0
1493647450550,8.025,3.6200000000000004e-07
1493647450560,8.025,7.240000000000001e-07
1493647450570,8.025,0.0
1493647450580,8.025,1.0859999999999999e-06
1493647450590,8.025,3.6200000000000004e-07
1493647450600,8.025,1.4480000000000002e-06
1493647450610,8.025,0.0
1493647450620,8.025,3.6200000000000004e-07
1493647450630,8.025,7.240000000000001e-07
1493647450640,8.025,1.4480000000000002e-06
1493647450650,8.025,3.6200000000000004e-07
1493647450660,8.025,7.240000000000001e-07
1493647450670,8.025,3.6200000000000004e-07
1493647450680,8.025,3.6200000000000004e-07
1493647450690,8.025,1.0859999999999999e-06
1493647450700,8.025,3.6200000000000004e-07
1493647450710,8.025,7.240000000000001e-07
1493647450720,8.025,0.0
1493647450730,8.025,7.240000000000001e-07
1493647450740,8.025,3.6200000000000004e-07
1493647450750,8.025,7.240000000000001e-07
1493647450760,8.025,0.0
1493647450770,8.025,7.240000000000001e-07
1493647450780,8.025,7.240000000000001e-07
1493647450790,8.025,0.0
1493647450800,8.025,7.240000000000001e-07
1493647450810,8.025,7.240000000000001e-07
1493647450820,8.025,7.240000000000001e-07
1493647450830,8.025,7.240000000000001e-07
1493647450840,8.025,7.240000000000001e-07
1493647450850,8.025,7.240000000000001e-07
1493647450860,8.025,7.240000000000001e-07
1493647450870,8.025,1.0859999999999999e-06
1493647450880,8.025,1.0859999999999999e-06
1493647450890,8.025,3.6200000000000004e-07
1493647450900,8.025,3.6200000000000004e-07
1493647450910,8.025,7.240000000000001e-07
1493647450920,8.025,7.240000000000001e-07
1493647450930,8.025,7.240000000000001e-07
1493647450940,8.025,7.240000000000001e-07
1493647450950,8.025,7.240000000000001e-07
1493647450960,8.025,7.240000000000001e-07
1493647450970,8.025,3.6200000000000004e-07
1493647450980,8.025,0.0
1493647450990,8.025,1.4480000000000002e-06
1493647451000,8.025,3.6200000000000004e-07
1493647451010,8.025,3.6200000000000004e-07
1493647451020,8.025,7.240000000000001e-07
1493647451030,8.025,7.240000000000001e-07
1493647451040,8.025,3.6200000000000004e-07
1493647451050,8.025,7.240000000000001e-07
1493647451060,8.025,3.6200000000000004e-07
1493647451070,8.025,0.0
1493647451080,8.025,7.240000000000001e-07
1493647451090,8.025,7.240000000000001e-07
1493647451100,8.025,7.240000000000001e-07
1493647451110,8.025,7.240000000000001e-07
1493647451120,8.025,3.6200000000000004e-07
1493647451130,8.025,7.240000000000001e-07
1493647451140,8.025,7.240000000000001e-07
1493647451150,8.025,7.240000000000001e-07
1493647451160,8.025,3.6200000000000004e-07
1493647451170,8.025,7.240000000000001e-07
1493647451180,8.025,7.240000000000001e-07
1493647451190,8.025,7.240000000000001e-07
1493647451200,8.025,7.240000000000001e-07
1493647451210,8.025,3.6200000000000004e-07
1493647451220,8.025,3.6200000000000004e-07
1493647451230,8.025,7.240000000000001e-07
1493647451240,8.025,0.0
1493647451250,8.025,7.240000000000001e-07
1493647451260,8.025,7.240000000000001e-07
1493647451270,8.025,1.0859999999999999e-06
1493647451280,8.025,3.6200000000000004e-07
1493647451290,8.025,7.240000000000001e-07
1493647451300,8.025,3.6200000000000004e-07
1493647451310,8.025,1.0859999999999999e-06
1493647451320,8.025,0.0
1493647451330,8.025,1.0859999999999999e-06
1493647451340,8.025,3.6200000000000004e-07
1493647451350,8.025,7.240000000000001e-07
1493647451360,8.025,0.0
1493647451370,8.025,3.6200000000000004e-07
1493647451380,8.025,7.240000000000001e-07
1493647451390,8.025,7.240000000000001e-07
1493647451400,8.025,3.6200000000000004e-07
1493647451410,8.025,3.6200000000000004e-07
1493647451420,8.025,1.4480000000000002e-06
1493647451430,8.025,3.6200000000000004e-07
1493647451440,8.025,3.6200000000000004e-07
1493647451450,8.025,1.0859999999999999e-06
1493647451460,8.025,1.0859999999999999e-06
1493647451470,8.025,7.240000000000001e-07
1493647451480,8.025,3.6200000000000004e-07
1493647451490,8.025,7.240000000000001e-07
1493647451500,8.025,1.0859999999999999e-06
1493647451510,8.025,7.240000000000001e-07
1493647451520,8.025,3.6200000000000004e-07
1493647451530,8.025,1.0859999999999999e-06
1493647451540,8.025,3.6200000000000004e-07
1493647451550,8.025,3.6200000000000004e-07
1493647451560,8.025,7.240000000000001e-07
1493647451570,8.025,7.240000000000001e-07
1493647451580,8.025,1.0859999999999999e-06
1493647451590,8.025,0.0
1493647451600,8.025,1.0859999999999999e-06
1493647451610,8.025,3.6200000000000004e-07
1493647451620,8.025,1.4480000000000002e-06
1493647451630,8.025,0.0
1493647451640,8.025,1.4480000000000002e-06
1493647451650,8.025,0.0
1493647451660,8.025,0.0
1493647451670,8.025,0.0
1493647451680,8.025,7.240000000000001e-07
1493647451690,8.025,3.6200000000000004e-07
1493647451700,8.025,7.240000000000001e-07
1493647451710,8.025,7.240000000000001e-07
1493647451720,8.025,3.6200000000000004e-07
1493647451730,8.025,1.0859999999999999e-06
1493647451740,8.025,0.0
1493647451750,8.025,7.240000000000001e-07
1493647451760,8.025,3.6200000000000004e-07
1493647451770,8.025,3.6200000000000004e-07
1493647451780,8.025,1.0859999999999999e-06
1493647451790,8.025,7.240000000000001e-07
1493647451800,8.025,0.0
1493647451810,8.025,7.240000000000001e-07
1493647451820,8.025,1.4480000000000002e-06
1493647451830,8.025,7.240000000000001e-07
1493647451840,8.025,3.6200000000000004e-07
1493647451850,8.025,0.0
1493647451860,8.025,7.240000000000001e-07
1493647451870,8.025,1.0859999999999999e-06
1493647451880,8.025,3.6200000000000004e-07
1493647451890,8.025,3.6200000000000004e-07
1493647451900,8.025,0.0
1493647451910,8.02,1.0859999999999999e-06
1493647451920,8.02,0.0
1493647451930,8.02,7.240000000000001e-07
1493647451940,8.02,3.6200000000000004e-07
1493647451950,8.02,7.240000000000001e-07
1493647451960,8.02,3.6200000000000004e-07
1493647451970,8.02,3.6200000000000004e-07
1493647451980,8.02,1.0859999999999999e-06
1493647451990,8.02,3.6200000000000004e-07
1493647452000,8.02,3.6200000000000004e-07
1493647452010,8.02,3.6200000000000004e-07
1493647452020,8.02,3.6200000000000004e-07
1493647452030,8.02,1.4480000000000002e-06
1493647452040,8.02,1.0859999999999999e-06
