Timestamp,position,BLMTI.04R6.B1E11_TCSP.A4R6.B1
1493650133260,9.855,3.6200000000000004e-07
1493650133270,9.855,3.6200000000000004e-07
1493650133280,9.855,0.0
1493650133290,9.855,0.0
1493650133300,9.855,3.6200000000000004e-07
1493650133310,9.855,0.0
1493650133320,9.855,3.6200000000000004e-07
1493650133330,9.855,7.240000000000001e-07
1493650133340,9.855,3.6200000000000004e-07
1493650133350,9.855,3.6200000000000004e-07
1493650133360,9.855,0.0
1493650133370,9.855,3.6200000000000004e-07
1493650133380,9.855,0.0
1493650133390,9.855,0.0
1493650133400,9.855,3.6200000000000004e-07
1493650133410,9.855,3.6200000000000004e-07
1493650133420,9.855,0.0
1493650133430,9.855,0.0
1493650133440,9.855,3.6200000000000004e-07
1493650133450,9.855,0.0
1493650133460,9.855,3.6200000000000004e-07
1493650133470,9.855,0.0
1493650133480,9.855,0.0
1493650133490,9.855,0.0
1493650133500,9.855,0.0
1493650133510,9.855,3.6200000000000004e-07
1493650133520,9.855,3.6200000000000004e-07
1493650133530,9.855,3.6200000000000004e-07
1493650133540,9.855,3.6200000000000004e-07
1493650133550,9.855,0.0
1493650133560,9.855,0.0
1493650133570,9.855,7.240000000000001e-07
1493650133580,9.855,3.6200000000000004e-07
1493650133590,9.855,0.0
1493650133600,9.855,0.0
1493650133610,9.855,3.6200000000000004e-07
1493650133620,9.855,0.0
1493650133630,9.855,0.0
1493650133640,9.855,3.6200000000000004e-07
1493650133650,9.855,3.6200000000000004e-07
1493650133660,9.855,7.240000000000001e-07
1493650133670,9.855,0.0
1493650133680,9.855,3.6200000000000004e-07
1493650133690,9.855,0.0
1493650133700,9.855,7.240000000000001e-07
1493650133710,9.855,0.0
1493650133720,9.855,3.6200000000000004e-07
1493650133730,9.855,0.0
1493650133740,9.855,7.240000000000001e-07
1493650133750,9.855,3.6200000000000004e-07
1493650133760,9.855,3.6200000000000004e-07
1493650133770,9.855,3.6200000000000004e-07
1493650133780,9.855,3.6200000000000004e-07
1493650133790,9.855,7.240000000000001e-07
1493650133800,9.855,0.0
1493650133810,9.855,0.0
1493650133820,9.855,7.240000000000001e-07
1493650133830,9.855,3.6200000000000004e-07
1493650133840,9.855,0.0
1493650133850,9.855,0.0
1493650133860,9.855,0.0
1493650133870,9.855,3.6200000000000004e-07
1493650133880,9.855,3.6200000000000004e-07
1493650133890,9.855,3.6200000000000004e-07
1493650133900,9.855,3.6200000000000004e-07
1493650133910,9.855,3.6200000000000004e-07
1493650133920,9.855,0.0
1493650133930,9.855,0.0
1493650133940,9.855,3.6200000000000004e-07
1493650133950,9.855,3.6200000000000004e-07
1493650133960,9.855,3.6200000000000004e-07
1493650133970,9.855,0.0
1493650133980,9.855,3.6200000000000004e-07
1493650133990,9.855,0.0
1493650134000,9.855,7.240000000000001e-07
1493650134010,9.855,3.6200000000000004e-07
1493650134020,9.855,0.0
1493650134030,9.855,0.0
1493650134040,9.855,0.0
1493650134050,9.855,0.0
1493650134060,9.855,3.6200000000000004e-07
1493650134070,9.855,3.6200000000000004e-07
1493650134080,9.855,3.6200000000000004e-07
1493650134090,9.855,0.0
1493650134100,9.855,3.6200000000000004e-07
1493650134110,9.855,3.6200000000000004e-07
1493650134120,9.855,0.0
1493650134130,9.855,0.0
1493650134140,9.855,3.6200000000000004e-07
