Timestamp,position,BLMTI.06L7.B1E10_TCP.D6L7.B1
1493650435230,1.93,7.240000000000001e-07
1493650435240,1.93,0.0
1493650435250,1.93,3.6200000000000004e-07
1493650435260,1.93,3.6200000000000004e-07
1493650435270,1.93,0.0
1493650435280,1.93,3.6200000000000004e-07
1493650435290,1.93,7.240000000000001e-07
1493650435300,1.93,0.0
1493650435310,1.93,0.0
1493650435320,1.93,3.6200000000000004e-07
1493650435330,1.93,0.0
1493650435340,1.93,3.6200000000000004e-07
1493650435350,1.93,3.6200000000000004e-07
1493650435360,1.93,3.6200000000000004e-07
1493650435370,1.93,0.0
1493650435380,1.93,3.6200000000000004e-07
1493650435390,1.93,0.0
1493650435400,1.93,3.6200000000000004e-07
1493650435410,1.93,3.6200000000000004e-07
1493650435420,1.93,3.6200000000000004e-07
1493650435430,1.93,0.0
1493650435440,1.93,3.6200000000000004e-07
1493650435450,1.93,3.6200000000000004e-07
1493650435460,1.93,0.0
1493650435470,1.93,3.6200000000000004e-07
1493650435480,1.93,7.240000000000001e-07
1493650435490,1.93,0.0
1493650435500,1.93,1.0859999999999999e-06
1493650435510,1.93,0.0
1493650435520,1.93,0.0
1493650435530,1.93,0.0
1493650435540,1.93,7.240000000000001e-07
1493650435550,1.93,0.0
1493650435560,1.93,7.240000000000001e-07
1493650435570,1.93,3.6200000000000004e-07
1493650435580,1.93,3.6200000000000004e-07
1493650435590,1.93,0.0
1493650435600,1.93,7.240000000000001e-07
1493650435610,1.93,0.0
1493650435620,1.93,7.240000000000001e-07
1493650435630,1.93,0.0
1493650435640,1.93,0.0
1493650435650,1.93,0.0
1493650435660,1.93,7.240000000000001e-07
1493650435670,1.93,0.0
1493650435680,1.93,1.4480000000000002e-06
1493650435690,1.93,0.0
1493650435700,1.93,0.0
1493650435710,1.93,0.0
1493650435720,1.93,0.0
1493650435730,1.93,0.0
1493650435740,1.93,7.240000000000001e-07
1493650435750,1.93,0.0
1493650435760,1.93,3.6200000000000004e-07
1493650435770,1.93,0.0
1493650435780,1.93,7.240000000000001e-07
1493650435790,1.93,0.0
