Timestamp,position,BLMTI.06R3.B2E10_TCP.6R3.B2
1493647450150,-7.225,7.240000000000001e-07
1493647450160,-7.225,7.240000000000001e-07
1493647450170,-7.225,7.240000000000001e-07
1493647450180,-7.225,0.0
1493647450190,-7.225,0.0
1493647450200,-7.225,1.81e-06
1493647450210,-7.225,3.6200000000000004e-07
1493647450220,-7.225,3.6200000000000004e-07
1493647450230,-7.225,7.240000000000001e-07
1493647450240,-7.225,1.0859999999999999e-06
1493647450250,-7.225,7.240000000000001e-07
1493647450260,-7.225,0.0
1493647450270,-7.225,7.240000000000001e-07
1493647450280,-7.225,0.0
1493647450290,-7.225,1.4480000000000002e-06
1493647450300,-7.225,0.0
1493647450310,-7.225,7.240000000000001e-07
1493647450320,-7.225,3.6200000000000004e-07
1493647450330,-7.225,1.0859999999999999e-06
1493647450340,-7.225,0.0
1493647450350,-7.225,7.240000000000001e-07
1493647450360,-7.225,3.6200000000000004e-07
1493647450370,-7.225,7.240000000000001e-07
1493647450380,-7.225,3.6200000000000004e-07
1493647450390,-7.225,3.6200000000000004e-07
1493647450400,-7.225,1.0859999999999999e-06
1493647450410,-7.225,3.6200000000000004e-07
1493647450420,-7.225,7.240000000000001e-07
1493647450430,-7.225,3.6200000000000004e-07
1493647450440,-7.225,1.0859999999999999e-06
1493647450450,-7.225,0.0
1493647450460,-7.225,7.240000000000001e-07
1493647450470,-7.225,7.240000000000001e-07
1493647450480,-7.225,3.6200000000000004e-07
1493647450490,-7.225,7.240000000000001e-07
1493647450500,-7.225,1.0859999999999999e-06
1493647450510,-7.225,7.240000000000001e-07
1493647450520,-7.225,1.0859999999999999e-06
1493647450530,-7.225,1.4480000000000002e-06
1493647450540,-7.225,0.0
1493647450550,-7.225,3.6200000000000004e-07
1493647450560,-7.225,7.240000000000001e-07
1493647450570,-7.225,0.0
1493647450580,-7.225,1.0859999999999999e-06
1493647450590,-7.225,3.6200000000000004e-07
1493647450600,-7.225,1.4480000000000002e-06
1493647450610,-7.225,0.0
1493647450620,-7.225,3.6200000000000004e-07
1493647450630,-7.225,7.240000000000001e-07
1493647450640,-7.225,1.4480000000000002e-06
1493647450650,-7.225,3.6200000000000004e-07
1493647450660,-7.225,7.240000000000001e-07
1493647450670,-7.225,3.6200000000000004e-07
1493647450680,-7.225,3.6200000000000004e-07
1493647450690,-7.225,1.0859999999999999e-06
1493647450700,-7.225,3.6200000000000004e-07
1493647450710,-7.225,7.240000000000001e-07
1493647450720,-7.225,0.0
1493647450730,-7.225,7.240000000000001e-07
1493647450740,-7.225,3.6200000000000004e-07
1493647450750,-7.225,7.240000000000001e-07
1493647450760,-7.225,0.0
1493647450770,-7.225,7.240000000000001e-07
1493647450780,-7.225,7.240000000000001e-07
1493647450790,-7.225,0.0
1493647450800,-7.225,7.240000000000001e-07
1493647450810,-7.225,7.240000000000001e-07
1493647450820,-7.225,7.240000000000001e-07
1493647450830,-7.225,7.240000000000001e-07
1493647450840,-7.225,7.240000000000001e-07
1493647450850,-7.225,7.240000000000001e-07
1493647450860,-7.225,7.240000000000001e-07
1493647450870,-7.225,1.0859999999999999e-06
1493647450880,-7.225,1.0859999999999999e-06
1493647450890,-7.225,3.6200000000000004e-07
1493647450900,-7.225,3.6200000000000004e-07
1493647450910,-7.225,7.240000000000001e-07
1493647450920,-7.225,7.240000000000001e-07
1493647450930,-7.225,7.240000000000001e-07
1493647450940,-7.225,7.240000000000001e-07
1493647450950,-7.225,7.240000000000001e-07
1493647450960,-7.225,7.240000000000001e-07
1493647450970,-7.225,3.6200000000000004e-07
1493647450980,-7.225,0.0
1493647450990,-7.225,1.4480000000000002e-06
1493647451000,-7.225,3.6200000000000004e-07
1493647451010,-7.225,3.6200000000000004e-07
1493647451020,-7.225,7.240000000000001e-07
1493647451030,-7.225,7.240000000000001e-07
1493647451040,-7.225,3.6200000000000004e-07
1493647451050,-7.225,7.240000000000001e-07
1493647451060,-7.225,3.6200000000000004e-07
1493647451070,-7.225,0.0
1493647451080,-7.225,7.240000000000001e-07
1493647451090,-7.225,7.240000000000001e-07
1493647451100,-7.225,7.240000000000001e-07
1493647451110,-7.225,7.240000000000001e-07
1493647451120,-7.225,3.6200000000000004e-07
1493647451130,-7.225,7.240000000000001e-07
1493647451140,-7.225,7.240000000000001e-07
1493647451150,-7.225,7.240000000000001e-07
1493647451160,-7.225,3.6200000000000004e-07
1493647451170,-7.225,7.240000000000001e-07
1493647451180,-7.225,7.240000000000001e-07
1493647451190,-7.225,7.240000000000001e-07
1493647451200,-7.225,7.240000000000001e-07
1493647451210,-7.225,3.6200000000000004e-07
1493647451220,-7.225,3.6200000000000004e-07
1493647451230,-7.225,7.240000000000001e-07
1493647451240,-7.225,0.0
1493647451250,-7.225,7.240000000000001e-07
1493647451260,-7.225,7.240000000000001e-07
1493647451270,-7.225,1.0859999999999999e-06
1493647451280,-7.225,3.6200000000000004e-07
1493647451290,-7.225,7.240000000000001e-07
1493647451300,-7.225,3.6200000000000004e-07
1493647451310,-7.225,1.0859999999999999e-06
1493647451320,-7.225,0.0
1493647451330,-7.225,1.0859999999999999e-06
1493647451340,-7.225,3.6200000000000004e-07
1493647451350,-7.225,7.240000000000001e-07
1493647451360,-7.225,0.0
1493647451370,-7.225,3.6200000000000004e-07
1493647451380,-7.225,7.240000000000001e-07
1493647451390,-7.225,7.240000000000001e-07
1493647451400,-7.225,3.6200000000000004e-07
1493647451410,-7.225,3.6200000000000004e-07
1493647451420,-7.225,1.4480000000000002e-06
1493647451430,-7.225,3.6200000000000004e-07
1493647451440,-7.225,3.6200000000000004e-07
1493647451450,-7.225,1.0859999999999999e-06
1493647451460,-7.225,1.0859999999999999e-06
1493647451470,-7.225,7.240000000000001e-07
1493647451480,-7.225,3.6200000000000004e-07
1493647451490,-7.225,7.240000000000001e-07
1493647451500,-7.225,1.0859999999999999e-06
1493647451510,-7.225,7.240000000000001e-07
1493647451520,-7.225,3.6200000000000004e-07
1493647451530,-7.225,1.0859999999999999e-06
1493647451540,-7.225,3.6200000000000004e-07
1493647451550,-7.225,3.6200000000000004e-07
1493647451560,-7.225,7.240000000000001e-07
1493647451570,-7.225,7.240000000000001e-07
1493647451580,-7.225,1.0859999999999999e-06
1493647451590,-7.225,0.0
1493647451600,-7.225,1.0859999999999999e-06
1493647451610,-7.225,3.6200000000000004e-07
1493647451620,-7.225,1.4480000000000002e-06
1493647451630,-7.225,0.0
1493647451640,-7.225,1.4480000000000002e-06
1493647451650,-7.225,0.0
1493647451660,-7.225,0.0
1493647451670,-7.225,0.0
1493647451680,-7.225,7.240000000000001e-07
1493647451690,-7.225,3.6200000000000004e-07
1493647451700,-7.225,7.240000000000001e-07
1493647451710,-7.225,7.240000000000001e-07
1493647451720,-7.225,3.6200000000000004e-07
1493647451730,-7.225,1.0859999999999999e-06
1493647451740,-7.225,0.0
1493647451750,-7.225,7.240000000000001e-07
1493647451760,-7.225,3.6200000000000004e-07
1493647451770,-7.225,3.6200000000000004e-07
1493647451780,-7.225,1.0859999999999999e-06
1493647451790,-7.225,7.240000000000001e-07
1493647451800,-7.225,0.0
1493647451810,-7.225,7.240000000000001e-07
1493647451820,-7.225,1.4480000000000002e-06
1493647451830,-7.225,7.240000000000001e-07
1493647451840,-7.225,3.6200000000000004e-07
1493647451850,-7.225,0.0
1493647451860,-7.225,7.240000000000001e-07
1493647451870,-7.225,1.0859999999999999e-06
1493647451880,-7.225,3.6200000000000004e-07
1493647451890,-7.225,3.6200000000000004e-07
1493647451900,-7.225,0.0
1493647451910,-7.22,1.0859999999999999e-06
1493647451920,-7.22,0.0
1493647451930,-7.22,7.240000000000001e-07
1493647451940,-7.22,3.6200000000000004e-07
1493647451950,-7.22,7.240000000000001e-07
1493647451960,-7.22,3.6200000000000004e-07
1493647451970,-7.22,3.6200000000000004e-07
1493647451980,-7.22,1.0859999999999999e-06
1493647451990,-7.22,3.6200000000000004e-07
1493647452000,-7.22,3.6200000000000004e-07
1493647452010,-7.22,3.6200000000000004e-07
1493647452020,-7.22,3.6200000000000004e-07
1493647452030,-7.22,1.4480000000000002e-06
1493647452040,-7.22,1.0859999999999999e-06
1493647452050,-7.22,3.6200000000000004e-07
1493647452060,-7.22,3.6200000000000004e-07
1493647452070,-7.22,7.240000000000001e-07
1493647452080,-7.22,0.0
1493647452090,-7.22,1.0859999999999999e-06
1493647452100,-7.22,1.0859999999999999e-06
1493647452110,-7.22,1.0859999999999999e-06
1493647452120,-7.22,0.0
1493647452130,-7.22,7.240000000000001e-07
1493647452140,-7.22,7.240000000000001e-07
1493647452150,-7.22,7.240000000000001e-07
1493647452160,-7.22,0.0
1493647452170,-7.22,7.240000000000001e-07
1493647452180,-7.22,3.6200000000000004e-07
1493647452190,-7.22,7.240000000000001e-07
1493647452200,-7.22,3.6200000000000004e-07
1493647452210,-7.22,3.6200000000000004e-07
1493647452220,-7.22,7.240000000000001e-07
1493647452230,-7.22,3.6200000000000004e-07
1493647452240,-7.22,1.0859999999999999e-06
1493647452250,-7.22,3.6200000000000004e-07
1493647452260,-7.22,3.6200000000000004e-07
1493647452270,-7.22,3.6200000000000004e-07
1493647452280,-7.22,7.240000000000001e-07
1493647452290,-7.22,3.6200000000000004e-07
1493647452300,-7.22,0.0
1493647452310,-7.22,7.240000000000001e-07
1493647452320,-7.22,7.240000000000001e-07
1493647452330,-7.22,1.0859999999999999e-06
1493647452340,-7.22,0.0
1493647452350,-7.22,3.6200000000000004e-07
1493647452360,-7.22,1.0859999999999999e-06
1493647452370,-7.22,1.0859999999999999e-06
1493647452380,-7.22,3.6200000000000004e-07
1493647452390,-7.22,7.240000000000001e-07
1493647452400,-7.22,3.6200000000000004e-07
1493647452410,-7.22,3.6200000000000004e-07
1493647452420,-7.22,3.6200000000000004e-07
1493647452430,-7.22,3.6200000000000004e-07
1493647452440,-7.22,7.240000000000001e-07
1493647452450,-7.22,3.6200000000000004e-07
