Timestamp,position,BLMTI.04R1.B2I10_TCTPV.4R1.B2
1494171237610,9.345,0.0
1494171237620,9.345,0.0
1494171237630,9.345,0.0
1494171237640,9.345,0.0
1494171237650,9.345,0.0
1494171237660,9.345,0.0
1494171237670,9.345,0.0
1494171237680,9.345,0.0
1494171237690,9.345,3.6200000000000004e-07
1494171237700,9.345,7.240000000000001e-07
1494171237710,9.345,0.0
1494171237720,9.345,0.0
1494171237730,9.345,3.6200000000000004e-07
1494171237740,9.345,1.4480000000000002e-06
1494171237750,9.345,5.43e-06
1494171237760,9.345,0.0
1494171237770,9.345,0.0
1494171237780,9.345,0.0
1494171237790,9.345,0.0
1494171237800,9.345,0.0
1494171237810,9.345,0.0
1494171237820,9.345,0.0
1494171237830,9.345,0.0
1494171237840,9.345,0.0
1494171237850,9.345,0.0
1494171237860,9.345,0.0
1494171237870,9.345,3.6200000000000004e-07
1494171237880,9.345,1.0859999999999999e-06
1494171237890,9.345,1.0859999999999999e-06
1494171237900,9.345,0.0
1494171237910,9.345,0.0
1494171237920,9.345,0.0
1494171237930,9.345,3.6200000000000004e-07
1494171237940,9.345,0.0
1494171237950,9.345,0.0
1494171237960,9.345,0.0
1494171237970,9.345,2.1719999999999997e-06
1494171237980,9.345,1.0859999999999999e-06
1494171237990,9.345,7.240000000000001e-07
1494171238000,9.345,0.0
1494171238010,9.345,3.6200000000000004e-07
1494171238020,9.345,0.0
1494171238030,9.345,0.0
1494171238040,9.345,0.0
1494171238050,9.345,0.0
1494171238060,9.345,0.0
1494171238070,9.345,0.0
1494171238080,9.345,0.0
1494171238090,9.345,0.0
1494171238100,9.345,1.81e-06
1494171238110,9.345,7.240000000000001e-07
1494171238120,9.345,0.0
1494171238130,9.345,2.5340000000000002e-06
1494171238140,9.345,3.6200000000000004e-07
1494171238150,9.345,7.240000000000001e-07
1494171238160,9.345,0.0
1494171238170,9.345,3.6200000000000004e-07
1494171238180,9.345,3.6200000000000004e-07
1494171238190,9.345,3.6200000000000004e-07
