Timestamp,position,BLMTI.04L5.B1I10_TCTPH.4L5.B1
1494173400490,9.08,0.0
1494173400500,9.08,3.6200000000000004e-07
1494173400510,9.08,7.240000000000001e-07
1494173400520,9.08,0.0
1494173400530,9.08,0.0
1494173400540,9.08,7.240000000000001e-07
1494173400550,9.08,3.6200000000000004e-07
1494173400560,9.08,7.240000000000001e-07
1494173400570,9.08,0.0
1494173400580,9.08,0.0
1494173400590,9.08,7.240000000000001e-07
1494173400600,9.08,3.6200000000000004e-07
1494173400610,9.08,3.6200000000000004e-07
1494173400620,9.08,0.0
1494173400630,9.08,7.240000000000001e-07
1494173400640,9.08,0.0
1494173400650,9.08,3.6200000000000004e-07
1494173400660,9.08,3.6200000000000004e-07
1494173400670,9.08,7.240000000000001e-07
1494173400680,9.08,3.6200000000000004e-07
1494173400690,9.08,3.6200000000000004e-07
1494173400700,9.08,3.6200000000000004e-07
1494173400710,9.08,0.0
1494173400720,9.08,0.0
1494173400730,9.08,3.6200000000000004e-07
1494173400740,9.08,3.6200000000000004e-07
1494173400750,9.08,0.0
1494173400760,9.08,7.240000000000001e-07
1494173400770,9.08,3.6200000000000004e-07
1494173400780,9.08,0.0
1494173400790,9.08,0.0
1494173400800,9.08,7.240000000000001e-07
1494173400810,9.08,3.6200000000000004e-07
1494173400820,9.08,3.6200000000000004e-07
1494173400830,9.08,3.6200000000000004e-07
1494173400840,9.08,7.240000000000001e-07
1494173400850,9.08,0.0
1494173400860,9.08,7.240000000000001e-07
1494173400870,9.08,3.6200000000000004e-07
1494173400880,9.08,3.6200000000000004e-07
1494173400890,9.08,0.0
1494173400900,9.08,7.240000000000001e-07
1494173400910,9.08,3.6200000000000004e-07
1494173400920,9.08,3.6200000000000004e-07
1494173400930,9.08,3.6200000000000004e-07
1494173400940,9.08,3.6200000000000004e-07
1494173400950,9.08,0.0
1494173400960,9.08,0.0
1494173400970,9.08,3.6200000000000004e-07
1494173400980,9.08,3.6200000000000004e-07
1494173400990,9.08,3.6200000000000004e-07
1494173401000,9.08,0.0
1494173401010,9.08,0.0
1494173401020,9.08,3.6200000000000004e-07
1494173401030,9.08,0.0
1494173401040,9.08,0.0
1494173401050,9.08,3.6200000000000004e-07
1494173401060,9.08,3.6200000000000004e-07
1494173401070,9.08,0.0
1494173401080,9.08,3.6200000000000004e-07
1494173401090,9.08,7.240000000000001e-07
1494173401100,9.08,3.6200000000000004e-07
1494173401110,9.08,3.6200000000000004e-07
1494173401120,9.08,0.0
1494173401130,9.08,3.6200000000000004e-07
1494173401140,9.08,3.6200000000000004e-07
1494173401150,9.08,7.240000000000001e-07
1494173401160,9.08,0.0
1494173401170,9.08,3.6200000000000004e-07
1494173401180,9.08,3.6200000000000004e-07
1494173401190,9.08,0.0
1494173401200,9.08,7.240000000000001e-07
1494173401210,9.08,3.6200000000000004e-07
1494173401220,9.08,0.0
1494173401230,9.08,0.0
1494173401240,9.08,0.0
1494173401250,9.08,0.0
1494173401260,9.08,0.0
1494173401270,9.08,3.6200000000000004e-07
1494173401280,9.08,0.0
1494173401290,9.08,3.6200000000000004e-07
1494173401300,9.08,7.240000000000001e-07
1494173401310,9.08,3.6200000000000004e-07
1494173401320,9.08,3.6200000000000004e-07
1494173401330,9.08,3.6200000000000004e-07
1494173401340,9.08,3.6200000000000004e-07
1494173401350,9.08,0.0
1494173401360,9.08,0.0
1494173401370,9.08,0.0
1494173401380,9.08,3.6200000000000004e-07
1494173401390,9.08,0.0
1494173401400,9.08,0.0
1494173401410,9.08,7.240000000000001e-07
1494173401420,9.08,3.6200000000000004e-07
1494173401430,9.08,3.6200000000000004e-07
1494173401440,9.08,7.240000000000001e-07
1494173401450,9.08,7.240000000000001e-07
1494173401460,9.08,3.6200000000000004e-07
1494173401470,9.08,3.6200000000000004e-07
1494173401480,9.08,0.0
1494173401490,9.08,0.0
1494173401500,9.08,7.240000000000001e-07
1494173401510,9.08,0.0
1494173401520,9.08,3.6200000000000004e-07
1494173401530,9.08,3.6200000000000004e-07
1494173401540,9.08,7.240000000000001e-07
1494173401550,9.08,0.0
1494173401560,9.08,3.6200000000000004e-07
1494173401570,9.08,3.6200000000000004e-07
1494173401580,9.08,3.6200000000000004e-07
1494173401590,9.08,7.240000000000001e-07
1494173401600,9.08,3.6200000000000004e-07
1494173401610,9.08,0.0
1494173401620,9.08,3.6200000000000004e-07
1494173401630,9.08,3.6200000000000004e-07
1494173401640,9.08,3.6200000000000004e-07
1494173401650,9.08,0.0
1494173401660,9.08,3.6200000000000004e-07
1494173401670,9.08,7.240000000000001e-07
1494173401680,9.08,3.6200000000000004e-07
1494173401690,9.08,0.0
1494173401700,9.08,0.0
1494173401710,9.08,3.6200000000000004e-07
1494173401720,9.08,1.0859999999999999e-06
1494173401730,9.08,0.0
1494173401740,9.08,0.0
1494173401750,9.08,0.0
1494173401760,9.08,3.6200000000000004e-07
1494173401770,9.08,7.240000000000001e-07
1494173401780,9.08,7.240000000000001e-07
1494173401790,9.08,3.6200000000000004e-07
1494173401800,9.08,7.240000000000001e-07
1494173401810,9.08,0.0
1494173401820,9.08,3.6200000000000004e-07
1494173401830,9.08,7.240000000000001e-07
1494173401840,9.08,3.6200000000000004e-07
1494173401850,9.08,3.6200000000000004e-07
