Timestamp,position,BLMTI.06R7.B2I10_TCP.D6R7.B2
1494350661420,3.72,3.6200000000000004e-07
1494350661430,3.72,1.4480000000000002e-06
1494350661440,3.72,0.0
1494350661450,3.72,1.81e-06
1494350661460,3.72,0.0
1494350661470,3.72,1.81e-06
1494350661480,3.72,3.6200000000000004e-07
1494350661490,3.72,1.81e-06
1494350661500,3.72,0.0
1494350661510,3.72,2.1719999999999997e-06
1494350661520,3.72,0.0
1494350661530,3.72,1.4480000000000002e-06
1494350661540,3.72,3.6200000000000004e-07
1494350661550,3.72,7.240000000000001e-07
1494350661560,3.72,0.0
1494350661570,3.72,1.4480000000000002e-06
1494350661580,3.72,3.6200000000000004e-07
1494350661590,3.72,1.81e-06
1494350661600,3.72,0.0
1494350661610,3.72,2.1719999999999997e-06
1494350661620,3.72,3.6200000000000004e-07
1494350661630,3.72,1.81e-06
1494350661640,3.72,3.6200000000000004e-07
1494350661650,3.72,1.81e-06
1494350661660,3.72,3.6200000000000004e-07
1494350661670,3.72,2.1719999999999997e-06
1494350661680,3.72,3.6200000000000004e-07
1494350661690,3.72,2.1719999999999997e-06
1494350661700,3.72,0.0
1494350661710,3.72,2.1719999999999997e-06
1494350661720,3.72,3.6200000000000004e-07
1494350661730,3.72,1.81e-06
1494350661740,3.72,3.6200000000000004e-07
1494350661750,3.72,1.81e-06
1494350661760,3.72,3.6200000000000004e-07
1494350661770,3.72,1.4480000000000002e-06
1494350661780,3.72,7.240000000000001e-07
1494350661790,3.72,1.81e-06
1494350661800,3.72,7.240000000000001e-07
1494350661810,3.72,1.0859999999999999e-06
1494350661820,3.72,3.6200000000000004e-07
1494350661830,3.72,1.4480000000000002e-06
1494350661840,3.72,7.240000000000001e-07
1494350661850,3.72,1.4480000000000002e-06
1494350661860,3.72,7.240000000000001e-07
1494350661870,3.72,1.81e-06
1494350661880,3.72,7.240000000000001e-07
1494350661890,3.72,2.5340000000000002e-06
1494350661900,3.72,3.6200000000000004e-07
1494350661910,3.72,1.81e-06
1494350661920,3.72,3.6200000000000004e-07
1494350661930,3.72,1.81e-06
1494350661940,3.72,3.6200000000000004e-07
1494350661950,3.72,2.1719999999999997e-06
1494350661960,3.72,3.6200000000000004e-07
1494350661970,3.72,1.4480000000000002e-06
1494350661980,3.72,7.240000000000001e-07
1494350661990,3.72,2.1719999999999997e-06
1494350662000,3.72,3.6200000000000004e-07
1494350662010,3.72,7.240000000000001e-07
1494350662020,3.72,1.0859999999999999e-06
1494350662030,3.72,1.4480000000000002e-06
1494350662040,3.72,3.6200000000000004e-07
1494350662050,3.72,1.81e-06
1494350662060,3.72,0.0
1494350662070,3.72,1.0859999999999999e-06
1494350662080,3.72,7.240000000000001e-07
1494350662090,3.72,3.6200000000000004e-07
1494350662100,3.72,0.0
1494350662110,3.72,2.1719999999999997e-06
1494350662120,3.72,0.0
1494350662130,3.72,1.81e-06
1494350662140,3.72,0.0
1494350662150,3.72,1.81e-06
1494350662160,3.72,0.0
1494350662170,3.72,1.4480000000000002e-06
1494350662180,3.72,0.0
1494350662190,3.72,1.81e-06
1494350662200,3.72,3.6200000000000004e-07
1494350662210,3.72,1.0859999999999999e-06
1494350662220,3.72,3.6200000000000004e-07
1494350662230,3.72,1.81e-06
1494350662240,3.72,7.240000000000001e-07
1494350662250,3.72,1.0859999999999999e-06
1494350662260,3.72,3.6200000000000004e-07
1494350662270,3.72,1.81e-06
1494350662280,3.72,0.0
1494350662290,3.72,2.1719999999999997e-06
1494350662300,3.72,0.0
1494350662310,3.72,1.4480000000000002e-06
1494350662320,3.72,0.0
1494350662330,3.72,1.0859999999999999e-06
1494350662340,3.72,3.6200000000000004e-07
1494350662350,3.72,1.4480000000000002e-06
1494350662360,3.72,0.0
1494350662370,3.72,2.5340000000000002e-06
