Timestamp,position,BLMTI.06R7.B2I10_TCP.D6R7.B2
1494350661420,-2.535,3.6200000000000004e-07
1494350661430,-2.535,1.4480000000000002e-06
1494350661440,-2.535,0.0
1494350661450,-2.535,1.81e-06
1494350661460,-2.535,0.0
1494350661470,-2.535,1.81e-06
1494350661480,-2.535,3.6200000000000004e-07
1494350661490,-2.535,1.81e-06
1494350661500,-2.535,0.0
1494350661510,-2.535,2.1719999999999997e-06
1494350661520,-2.535,0.0
1494350661530,-2.535,1.4480000000000002e-06
1494350661540,-2.535,3.6200000000000004e-07
1494350661550,-2.535,7.240000000000001e-07
1494350661560,-2.535,0.0
1494350661570,-2.535,1.4480000000000002e-06
1494350661580,-2.535,3.6200000000000004e-07
1494350661590,-2.535,1.81e-06
1494350661600,-2.535,0.0
1494350661610,-2.535,2.1719999999999997e-06
1494350661620,-2.535,3.6200000000000004e-07
1494350661630,-2.535,1.81e-06
1494350661640,-2.535,3.6200000000000004e-07
1494350661650,-2.535,1.81e-06
1494350661660,-2.535,3.6200000000000004e-07
1494350661670,-2.535,2.1719999999999997e-06
1494350661680,-2.535,3.6200000000000004e-07
1494350661690,-2.535,2.1719999999999997e-06
1494350661700,-2.535,0.0
1494350661710,-2.535,2.1719999999999997e-06
1494350661720,-2.535,3.6200000000000004e-07
1494350661730,-2.535,1.81e-06
1494350661740,-2.535,3.6200000000000004e-07
1494350661750,-2.535,1.81e-06
1494350661760,-2.535,3.6200000000000004e-07
1494350661770,-2.535,1.4480000000000002e-06
1494350661780,-2.535,7.240000000000001e-07
1494350661790,-2.535,1.81e-06
1494350661800,-2.535,7.240000000000001e-07
1494350661810,-2.535,1.0859999999999999e-06
1494350661820,-2.535,3.6200000000000004e-07
1494350661830,-2.535,1.4480000000000002e-06
1494350661840,-2.535,7.240000000000001e-07
1494350661850,-2.535,1.4480000000000002e-06
1494350661860,-2.535,7.240000000000001e-07
1494350661870,-2.535,1.81e-06
1494350661880,-2.535,7.240000000000001e-07
1494350661890,-2.535,2.5340000000000002e-06
1494350661900,-2.535,3.6200000000000004e-07
1494350661910,-2.535,1.81e-06
1494350661920,-2.535,3.6200000000000004e-07
1494350661930,-2.535,1.81e-06
1494350661940,-2.535,3.6200000000000004e-07
1494350661950,-2.535,2.1719999999999997e-06
1494350661960,-2.535,3.6200000000000004e-07
1494350661970,-2.535,1.4480000000000002e-06
1494350661980,-2.535,7.240000000000001e-07
1494350661990,-2.535,2.1719999999999997e-06
1494350662000,-2.535,3.6200000000000004e-07
1494350662010,-2.535,7.240000000000001e-07
1494350662020,-2.535,1.0859999999999999e-06
1494350662030,-2.535,1.4480000000000002e-06
1494350662040,-2.535,3.6200000000000004e-07
1494350662050,-2.535,1.81e-06
1494350662060,-2.535,0.0
1494350662070,-2.535,1.0859999999999999e-06
1494350662080,-2.535,7.240000000000001e-07
1494350662090,-2.535,3.6200000000000004e-07
1494350662100,-2.535,0.0
1494350662110,-2.535,2.1719999999999997e-06
1494350662120,-2.535,0.0
1494350662130,-2.535,1.81e-06
1494350662140,-2.535,0.0
1494350662150,-2.535,1.81e-06
1494350662160,-2.535,0.0
1494350662170,-2.535,1.4480000000000002e-06
1494350662180,-2.535,0.0
1494350662190,-2.535,1.81e-06
1494350662200,-2.535,3.6200000000000004e-07
1494350662210,-2.535,1.0859999999999999e-06
1494350662220,-2.535,3.6200000000000004e-07
1494350662230,-2.535,1.81e-06
1494350662240,-2.535,7.240000000000001e-07
1494350662250,-2.535,1.0859999999999999e-06
1494350662260,-2.535,3.6200000000000004e-07
1494350662270,-2.535,1.81e-06
1494350662280,-2.535,0.0
1494350662290,-2.535,2.1719999999999997e-06
1494350662300,-2.535,0.0
1494350662310,-2.535,1.4480000000000002e-06
1494350662320,-2.535,0.0
1494350662330,-2.535,1.0859999999999999e-06
1494350662340,-2.535,3.6200000000000004e-07
1494350662350,-2.535,1.4480000000000002e-06
1494350662360,-2.535,0.0
1494350662370,-2.535,2.5340000000000002e-06
1494350662380,-2.535,3.6200000000000004e-07
1494350662390,-2.535,2.1719999999999997e-06
1494350662400,-2.535,3.6200000000000004e-07
1494350662410,-2.535,1.81e-06
1494350662420,-2.535,0.0
1494350662430,-2.535,1.81e-06
1494350662440,-2.535,3.6200000000000004e-07
1494350662450,-2.535,1.81e-06
1494350662460,-2.535,3.6200000000000004e-07
1494350662470,-2.535,1.81e-06
1494350662480,-2.535,3.6200000000000004e-07
1494350662490,-2.535,2.5340000000000002e-06
1494350662500,-2.535,0.0
1494350662510,-2.535,2.1719999999999997e-06
1494350662520,-2.535,3.6200000000000004e-07
1494350662530,-2.535,2.5340000000000002e-06
1494350662540,-2.535,3.6200000000000004e-07
