Timestamp,position,BLMTI.06R7.B2I10_TCP.C6R7.B2
1494674607650,1.555,1.4480000000000002e-06
1494674607660,1.555,1.0859999999999999e-06
1494674607670,1.555,7.240000000000001e-07
1494674607680,1.555,1.81e-06
1494674607690,1.555,1.4480000000000002e-06
1494674607700,1.555,1.0859999999999999e-06
1494674607710,1.555,1.4480000000000002e-06
1494674607720,1.555,7.240000000000001e-07
1494674607730,1.555,1.0859999999999999e-06
1494674607740,1.555,1.4480000000000002e-06
1494674607750,1.555,7.240000000000001e-07
1494674607760,1.555,1.0859999999999999e-06
1494674607770,1.555,3.6200000000000004e-07
1494674607780,1.555,7.240000000000001e-07
1494674607790,1.555,1.0859999999999999e-06
1494674607800,1.555,3.6200000000000004e-07
1494674607810,1.555,1.0859999999999999e-06
1494674607820,1.555,7.240000000000001e-07
1494674607830,1.555,7.240000000000001e-07
1494674607840,1.555,3.6200000000000004e-07
1494674607850,1.555,1.4480000000000002e-06
1494674607860,1.555,7.240000000000001e-07
1494674607870,1.555,1.0859999999999999e-06
1494674607880,1.555,1.81e-06
1494674607890,1.555,1.0859999999999999e-06
1494674607900,1.555,1.81e-06
1494674607910,1.555,1.4480000000000002e-06
1494674607920,1.555,1.81e-06
1494674607930,1.555,1.4480000000000002e-06
1494674607940,1.555,1.4480000000000002e-06
1494674607950,1.555,7.240000000000001e-07
1494674607960,1.555,1.0859999999999999e-06
1494674607970,1.555,1.0859999999999999e-06
1494674607980,1.555,3.6200000000000004e-07
1494674607990,1.555,1.4480000000000002e-06
1494674608000,1.555,1.0859999999999999e-06
1494674608010,1.555,7.240000000000001e-07
1494674608020,1.555,1.0859999999999999e-06
1494674608030,1.555,1.0859999999999999e-06
1494674608040,1.555,7.240000000000001e-07
1494674608050,1.555,1.81e-06
1494674608060,1.555,1.0859999999999999e-06
1494674608070,1.555,7.240000000000001e-07
1494674608080,1.555,1.0859999999999999e-06
1494674608090,1.555,1.4480000000000002e-06
1494674608100,1.555,1.0859999999999999e-06
1494674608110,1.555,1.0859999999999999e-06
1494674608120,1.555,1.4480000000000002e-06
1494674608130,1.555,7.240000000000001e-07
1494674608140,1.555,7.240000000000001e-07
1494674608150,1.555,1.0859999999999999e-06
1494674608160,1.555,7.240000000000001e-07
1494674608170,1.555,1.0859999999999999e-06
1494674608180,1.555,7.240000000000001e-07
1494674608190,1.555,1.0859999999999999e-06
1494674608200,1.555,1.4480000000000002e-06
1494674608210,1.555,7.240000000000001e-07
1494674608220,1.555,7.240000000000001e-07
1494674608230,1.555,1.0859999999999999e-06
1494674608240,1.555,3.6200000000000004e-07
1494674608250,1.555,7.240000000000001e-07
1494674608260,1.555,7.240000000000001e-07
1494674608270,1.555,7.240000000000001e-07
1494674608280,1.555,1.0859999999999999e-06
1494674608290,1.555,2.1719999999999997e-06
1494674608300,1.555,3.6200000000000004e-07
1494674608310,1.555,1.0859999999999999e-06
1494674608320,1.555,1.0859999999999999e-06
1494674608330,1.555,3.6200000000000004e-07
1494674608340,1.555,1.0859999999999999e-06
1494674608350,1.555,1.0859999999999999e-06
1494674608360,1.555,1.81e-06
1494674608370,1.555,1.0859999999999999e-06
1494674608380,1.555,2.1719999999999997e-06
1494674608390,1.555,7.240000000000001e-07
1494674608400,1.555,7.240000000000001e-07
1494674608410,1.555,1.4480000000000002e-06
1494674608420,1.555,7.240000000000001e-07
1494674608430,1.555,1.0859999999999999e-06
1494674608440,1.555,3.6200000000000004e-07
1494674608450,1.555,7.240000000000001e-07
1494674608460,1.555,7.240000000000001e-07
1494674608470,1.555,7.240000000000001e-07
1494674608480,1.555,1.4480000000000002e-06
1494674608490,1.555,1.0859999999999999e-06
1494674608500,1.555,3.6200000000000004e-07
1494674608510,1.555,1.0859999999999999e-06
1494674608520,1.555,1.0859999999999999e-06
1494674608530,1.555,1.0859999999999999e-06
1494674608540,1.555,1.4480000000000002e-06
1494674608550,1.555,1.0859999999999999e-06
1494674608560,1.555,1.4480000000000002e-06
1494674608570,1.555,7.240000000000001e-07
1494674608580,1.555,7.240000000000001e-07
1494674608590,1.555,7.240000000000001e-07
1494674608600,1.555,7.240000000000001e-07
1494674608610,1.555,1.0859999999999999e-06
1494674608620,1.555,1.0859999999999999e-06
1494674608630,1.555,1.0859999999999999e-06
1494674608640,1.555,7.240000000000001e-07
1494674608650,1.555,1.4480000000000002e-06
1494674608660,1.555,1.0859999999999999e-06
1494674608670,1.555,7.240000000000001e-07
1494674608680,1.555,7.240000000000001e-07
1494674608690,1.555,1.4480000000000002e-06
1494674608700,1.555,0.0
1494674608710,1.555,1.4480000000000002e-06
1494674608720,1.555,7.240000000000001e-07
1494674608730,1.555,1.81e-06
1494674608740,1.555,3.6200000000000004e-07
1494674608750,1.555,1.4480000000000002e-06
1494674608760,1.555,3.6200000000000004e-07
1494674608770,1.555,1.4480000000000002e-06
1494674608780,1.555,3.6200000000000004e-07
1494674608790,1.555,1.0859999999999999e-06
1494674608800,1.555,3.6200000000000004e-07
1494674608810,1.555,1.4480000000000002e-06
1494674608820,1.555,1.0859999999999999e-06
1494674608830,1.555,1.0859999999999999e-06
1494674608840,1.555,3.6200000000000004e-07
1494674608850,1.555,1.4480000000000002e-06
1494674608860,1.555,0.0
1494674608870,1.555,1.0859999999999999e-06
1494674608880,1.555,3.6200000000000004e-07
1494674608890,1.555,7.240000000000001e-07
1494674608900,1.555,7.240000000000001e-07
1494674608910,1.555,7.240000000000001e-07
1494674608920,1.555,1.0859999999999999e-06
1494674608930,1.555,3.6200000000000004e-07
1494674608940,1.555,7.240000000000001e-07
1494674608950,1.555,7.240000000000001e-07
1494674608960,1.555,7.240000000000001e-07
1494674608970,1.555,7.240000000000001e-07
1494674608980,1.555,7.240000000000001e-07
1494674608990,1.555,1.0859999999999999e-06
1494674609000,1.555,7.240000000000001e-07
1494674609010,1.555,7.240000000000001e-07
1494674609020,1.555,7.240000000000001e-07
1494674609030,1.555,1.0859999999999999e-06
1494674609040,1.555,3.6200000000000004e-07
1494674609050,1.555,7.240000000000001e-07
1494674609060,1.555,7.240000000000001e-07
1494674609070,1.555,1.0859999999999999e-06
1494674609080,1.555,7.240000000000001e-07
1494674609090,1.555,3.6200000000000004e-07
1494674609100,1.555,7.240000000000001e-07
1494674609110,1.555,3.6200000000000004e-07
1494674609120,1.555,3.6200000000000004e-07
1494674609130,1.555,1.0859999999999999e-06
1494674609140,1.555,0.0
1494674609150,1.555,3.6200000000000004e-07
1494674609160,1.555,1.0859999999999999e-06
1494674609170,1.555,3.6200000000000004e-07
1494674609180,1.555,3.6200000000000004e-07
1494674609190,1.555,7.240000000000001e-07
1494674609200,1.555,1.4480000000000002e-06
1494674609210,1.555,3.6200000000000004e-07
1494674609220,1.555,1.0859999999999999e-06
1494674609230,1.555,7.240000000000001e-07
1494674609240,1.555,1.0859999999999999e-06
1494674609250,1.555,1.4480000000000002e-06
1494674609260,1.555,7.240000000000001e-07
