Timestamp,position,BLMTI.06L7.B1E10_TCP.C6L7.B1
1494675703530,1.785,5.792000000000001e-06
1494675703540,1.785,2.5340000000000002e-06
1494675703550,1.785,3.62e-06
1494675703560,1.785,1.0859999999999999e-06
1494675703570,1.785,2.1719999999999997e-06
1494675703580,1.785,3.6200000000000004e-07
1494675703590,1.785,2.1719999999999997e-06
1494675703600,1.785,1.0859999999999999e-06
1494675703610,1.785,2.8960000000000003e-06
1494675703620,1.785,2.5340000000000002e-06
1494675703630,1.785,9.774e-06
1494675703640,1.785,1.1222e-05
1494675703650,1.785,4.343999999999999e-06
1494675703660,1.785,2.1719999999999997e-06
1494675703670,1.785,3.982e-06
1494675703680,1.785,2.1719999999999997e-06
1494675703690,1.785,2.1719999999999997e-06
1494675703700,1.785,1.0859999999999999e-06
1494675703710,1.785,2.5340000000000002e-06
1494675703720,1.785,1.4480000000000002e-06
1494675703730,1.785,2.5340000000000002e-06
1494675703740,1.785,1.0859999999999999e-06
1494675703750,1.785,3.62e-06
1494675703760,1.785,1.0859999999999999e-06
1494675703770,1.785,3.62e-06
1494675703780,1.785,1.0859999999999999e-06
1494675703790,1.785,1.4480000000000002e-06
1494675703800,1.785,1.0859999999999999e-06
1494675703810,1.785,2.1719999999999997e-06
1494675703820,1.785,1.81e-06
1494675703830,1.785,2.8960000000000003e-06
1494675703840,1.785,1.81e-06
1494675703850,1.785,3.62e-06
1494675703860,1.785,3.258e-06
1494675703870,1.785,2.5340000000000002e-06
1494675703880,1.785,1.0859999999999999e-06
1494675703890,1.785,3.62e-06
1494675703900,1.785,3.6200000000000004e-07
1494675703910,1.785,2.8960000000000003e-06
1494675703920,1.785,1.0859999999999999e-06
1494675703930,1.785,3.62e-06
1494675703940,1.785,1.0859999999999999e-06
1494675703950,1.785,3.982e-06
1494675703960,1.785,1.0859999999999999e-06
1494675703970,1.785,1.81e-06
1494675703980,1.785,1.0859999999999999e-06
1494675703990,1.785,2.1719999999999997e-06
1494675704000,1.785,7.240000000000001e-07
1494675704010,1.785,3.258e-06
1494675704020,1.785,7.240000000000001e-07
1494675704030,1.785,2.1719999999999997e-06
1494675704040,1.785,7.240000000000001e-07
1494675704050,1.785,2.1719999999999997e-06
1494675704060,1.785,1.81e-06
1494675704070,1.785,2.5340000000000002e-06
1494675704080,1.785,1.81e-06
1494675704090,1.785,2.5340000000000002e-06
1494675704100,1.785,1.81e-06
1494675704110,1.785,2.5340000000000002e-06
1494675704120,1.785,3.6200000000000004e-07
1494675704130,1.785,3.258e-06
1494675704140,1.785,1.0859999999999999e-06
1494675704150,1.785,1.4480000000000002e-06
1494675704160,1.785,0.0
1494675704170,1.785,2.1719999999999997e-06
1494675704180,1.785,3.6200000000000004e-07
1494675704190,1.785,2.5340000000000002e-06
1494675704200,1.785,3.6200000000000004e-07
1494675704210,1.785,2.1719999999999997e-06
1494675704220,1.785,3.6200000000000004e-07
1494675704230,1.785,2.8960000000000003e-06
1494675704240,1.785,2.5340000000000002e-06
1494675704250,1.785,9.412e-06
1494675704260,1.785,4.706e-06
1494675704270,1.785,2.8960000000000003e-06
1494675704280,1.785,7.240000000000001e-07
1494675704290,1.785,2.5340000000000002e-06
1494675704300,1.785,7.240000000000001e-07
1494675704310,1.785,2.8960000000000003e-06
1494675704320,1.785,7.240000000000001e-07
1494675704330,1.785,1.4480000000000002e-06
1494675704340,1.785,2.5340000000000002e-06
