Timestamp,position,BLMTI.05L3.B2E10_TCSG.A5L3.B2
1494676301550,0.795,1.0859999999999999e-06
1494676301560,0.795,3.6200000000000004e-07
1494676301570,0.795,1.0859999999999999e-06
1494676301580,0.795,7.240000000000001e-07
1494676301590,0.795,1.0859999999999999e-06
1494676301600,0.795,1.4480000000000002e-06
1494676301610,0.795,0.0
1494676301620,0.795,7.240000000000001e-07
1494676301630,0.795,7.240000000000001e-07
1494676301640,0.795,1.4480000000000002e-06
1494676301650,0.795,7.240000000000001e-07
1494676301660,0.795,1.81e-06
1494676301670,0.795,7.240000000000001e-07
1494676301680,0.795,1.0859999999999999e-06
1494676301690,0.795,1.0859999999999999e-06
1494676301700,0.795,3.6200000000000004e-07
1494676301710,0.795,1.0859999999999999e-06
1494676301720,0.795,3.6200000000000004e-07
1494676301730,0.795,3.6200000000000004e-07
1494676301740,0.795,7.240000000000001e-07
1494676301750,0.795,1.0859999999999999e-06
1494676301760,0.795,7.240000000000001e-07
1494676301770,0.795,1.0859999999999999e-06
1494676301780,0.795,7.240000000000001e-07
1494676301790,0.795,7.240000000000001e-07
1494676301800,0.795,3.6200000000000004e-07
1494676301810,0.795,7.240000000000001e-07
1494676301820,0.795,7.240000000000001e-07
1494676301830,0.795,3.6200000000000004e-07
1494676301840,0.795,1.4480000000000002e-06
1494676301850,0.795,0.0
1494676301860,0.795,1.4480000000000002e-06
1494676301870,0.795,7.240000000000001e-07
1494676301880,0.795,7.240000000000001e-07
1494676301890,0.795,1.0859999999999999e-06
1494676301900,0.795,7.240000000000001e-07
1494676301910,0.795,1.0859999999999999e-06
1494676301920,0.795,7.240000000000001e-07
1494676301930,0.795,7.240000000000001e-07
1494676301940,0.795,7.240000000000001e-07
1494676301950,0.795,7.240000000000001e-07
1494676301960,0.795,1.0859999999999999e-06
1494676301970,0.795,7.240000000000001e-07
1494676301980,0.795,7.240000000000001e-07
1494676301990,0.795,0.0
1494676302000,0.795,1.0859999999999999e-06
1494676302010,0.795,7.240000000000001e-07
1494676302020,0.795,7.240000000000001e-07
1494676302030,0.795,3.6200000000000004e-07
1494676302040,0.795,7.240000000000001e-07
1494676302050,0.795,3.6200000000000004e-07
1494676302060,0.795,7.240000000000001e-07
1494676302070,0.795,3.6200000000000004e-07
1494676302080,0.795,7.240000000000001e-07
1494676302090,0.795,1.4480000000000002e-06
1494676302100,0.795,1.0859999999999999e-06
1494676302110,0.795,0.0
1494676302120,0.795,3.6200000000000004e-07
1494676302130,0.795,7.240000000000001e-07
1494676302140,0.795,3.6200000000000004e-07
1494676302150,0.795,1.0859999999999999e-06
1494676302160,0.795,1.0859999999999999e-06
1494676302170,0.795,7.240000000000001e-07
1494676302180,0.795,1.0859999999999999e-06
1494676302190,0.795,7.240000000000001e-07
1494676302200,0.795,1.4480000000000002e-06
1494676302210,0.795,7.240000000000001e-07
1494676302220,0.795,1.0859999999999999e-06
1494676302230,0.795,1.0859999999999999e-06
1494676302240,0.795,7.240000000000001e-07
1494676302250,0.795,1.0859999999999999e-06
1494676302260,0.795,1.4480000000000002e-06
1494676302270,0.795,3.6200000000000004e-07
1494676302280,0.795,1.0859999999999999e-06
1494676302290,0.795,3.6200000000000004e-07
1494676302300,0.795,7.240000000000001e-07
1494676302310,0.795,0.0
1494676302320,0.795,1.4480000000000002e-06
1494676302330,0.795,3.6200000000000004e-07
1494676302340,0.795,1.0859999999999999e-06
1494676302350,0.795,3.6200000000000004e-07
1494676302360,0.795,1.0859999999999999e-06
1494676302370,0.795,1.0859999999999999e-06
1494676302380,0.795,3.6200000000000004e-07
1494676302390,0.795,7.240000000000001e-07
1494676302400,0.795,7.240000000000001e-07
1494676302410,0.795,1.0859999999999999e-06
1494676302420,0.795,3.6200000000000004e-07
1494676302430,0.795,3.6200000000000004e-07
1494676302440,0.795,1.0859999999999999e-06
1494676302450,0.795,7.240000000000001e-07
1494676302460,0.795,1.81e-06
1494676302470,0.795,7.240000000000001e-07
1494676302480,0.795,3.6200000000000004e-07
1494676302490,0.795,7.240000000000001e-07
1494676302500,0.795,7.240000000000001e-07
1494676302510,0.795,3.6200000000000004e-07
1494676302520,0.795,7.240000000000001e-07
1494676302530,0.795,3.6200000000000004e-07
1494676302540,0.795,7.240000000000001e-07
1494676302550,0.795,7.240000000000001e-07
1494676302560,0.795,7.240000000000001e-07
