Timestamp,position,BLMTI.04L3.B2E10_TCSG.4L3.B2
1494676618550,0.05,0.0
1494676618560,0.05,1.4480000000000002e-06
1494676618570,0.05,0.0
1494676618580,0.05,0.0
1494676618590,0.05,0.0
1494676618600,0.05,1.4480000000000002e-06
1494676618610,0.05,0.0
1494676618620,0.05,1.4480000000000002e-06
1494676618630,0.05,7.240000000000001e-07
1494676618640,0.05,1.0859999999999999e-06
1494676618650,0.05,3.6200000000000004e-07
1494676618660,0.05,1.4480000000000002e-06
1494676618670,0.05,1.0859999999999999e-06
1494676618680,0.05,1.4480000000000002e-06
1494676618690,0.05,1.4480000000000002e-06
1494676618700,0.05,3.6200000000000004e-07
1494676618710,0.05,1.4480000000000002e-06
1494676618720,0.05,7.240000000000001e-07
1494676618730,0.05,1.0859999999999999e-06
1494676618740,0.05,3.6200000000000004e-07
1494676618750,0.05,7.240000000000001e-07
1494676618760,0.05,1.0859999999999999e-06
1494676618770,0.05,3.6200000000000004e-07
1494676618780,0.05,1.0859999999999999e-06
1494676618790,0.05,7.240000000000001e-07
1494676618800,0.05,1.4480000000000002e-06
1494676618810,0.05,1.0859999999999999e-06
1494676618820,0.05,3.6200000000000004e-07
1494676618830,0.05,1.4480000000000002e-06
1494676618840,0.05,1.0859999999999999e-06
1494676618850,0.05,1.0859999999999999e-06
1494676618860,0.05,1.0859999999999999e-06
1494676618870,0.05,3.6200000000000004e-07
1494676618880,0.05,1.4480000000000002e-06
1494676618890,0.05,7.240000000000001e-07
1494676618900,0.05,1.0859999999999999e-06
1494676618910,0.05,7.240000000000001e-07
1494676618920,0.05,1.0859999999999999e-06
1494676618930,0.05,7.240000000000001e-07
1494676618940,0.05,1.0859999999999999e-06
1494676618950,0.05,1.4480000000000002e-06
1494676618960,0.05,3.6200000000000004e-07
1494676618970,0.05,1.81e-06
1494676618980,0.05,7.240000000000001e-07
1494676618990,0.05,1.81e-06
1494676619000,0.05,1.0859999999999999e-06
1494676619010,0.05,3.6200000000000004e-07
1494676619020,0.05,1.4480000000000002e-06
1494676619030,0.05,7.240000000000001e-07
1494676619040,0.05,1.0859999999999999e-06
1494676619050,0.05,3.6200000000000004e-07
1494676619060,0.05,1.81e-06
1494676619070,0.05,7.240000000000001e-07
1494676619080,0.05,1.0859999999999999e-06
1494676619090,0.05,3.6200000000000004e-07
1494676619100,0.05,1.0859999999999999e-06
1494676619110,0.05,7.240000000000001e-07
1494676619120,0.05,1.4480000000000002e-06
1494676619130,0.05,0.0
1494676619140,0.05,7.240000000000001e-07
1494676619150,0.05,1.4480000000000002e-06
1494676619160,0.05,7.240000000000001e-07
1494676619170,0.05,7.240000000000001e-07
