Timestamp,position,BLMTI.06R7.B2I10_TCP.C6R7.B2
1494675649490,-0.845,1.1584000000000001e-05
1494675649500,-0.845,1.4118e-05
1494675649510,-0.845,1.2308e-05
1494675649520,-0.845,1.4118e-05
1494675649530,-0.845,1.1222e-05
1494675649540,-0.845,1.4842000000000001e-05
1494675649550,-0.845,1.1222e-05
1494675649560,-0.845,1.448e-05
1494675649570,-0.845,1.086e-05
1494675649580,-0.845,1.5566e-05
1494675649590,-0.845,1.1945999999999999e-05
1494675649600,-0.845,1.3032e-05
1494675649610,-0.845,9.774e-06
1494675649620,-0.845,1.5566e-05
1494675649630,-0.845,1.1222e-05
1494675649640,-0.845,1.4842000000000001e-05
1494675649650,-0.845,9.774e-06
1494675649660,-0.845,1.7375999999999998e-05
1494675649670,-0.845,1.3032e-05
1494675649680,-0.845,1.3755999999999998e-05
1494675649690,-0.845,9.05e-06
1494675649700,-0.845,1.2308e-05
1494675649710,-0.845,1.086e-05
1494675649720,-0.845,1.5204e-05
1494675649730,-0.845,1.0136000000000001e-05
1494675649740,-0.845,1.448e-05
1494675649750,-0.845,1.0136000000000001e-05
1494675649760,-0.845,1.4118e-05
1494675649770,-0.845,1.1584000000000001e-05
1494675649780,-0.845,1.267e-05
1494675649790,-0.845,9.774e-06
1494675649800,-0.845,1.3755999999999998e-05
1494675649810,-0.845,1.0136000000000001e-05
1494675649820,-0.845,1.2308e-05
1494675649830,-0.845,1.086e-05
1494675649840,-0.845,1.1945999999999999e-05
1494675649850,-0.845,1.0136000000000001e-05
1494675649860,-0.845,1.1222e-05
1494675649870,-0.845,7.964e-06
1494675649880,-0.845,1.1584000000000001e-05
1494675649890,-0.845,8.326e-06
1494675649900,-0.845,1.2308e-05
1494675649910,-0.845,9.774e-06
1494675649920,-0.845,1.4118e-05
1494675649930,-0.845,9.774e-06
1494675649940,-0.845,1.1584000000000001e-05
1494675649950,-0.845,8.326e-06
1494675649960,-0.845,1.1945999999999999e-05
1494675649970,-0.845,8.687999999999999e-06
1494675649980,-0.845,1.1222e-05
1494675649990,-0.845,8.326e-06
1494675650000,-0.845,1.267e-05
1494675650010,-0.845,9.774e-06
1494675650020,-0.845,1.2308e-05
1494675650030,-0.845,8.687999999999999e-06
1494675650040,-0.845,1.1222e-05
1494675650050,-0.845,9.412e-06
1494675650060,-0.845,1.2308e-05
1494675650070,-0.845,1.3755999999999998e-05
1494675650080,-0.845,1.9548e-05
1494675650090,-0.845,1.9548e-05
1494675650100,-0.845,1.8824e-05
1494675650110,-0.845,1.3032e-05
1494675650120,-0.845,1.8100000000000003e-05
1494675650130,-0.845,1.9548e-05
1494675650140,-0.845,1.9186e-05
1494675650150,-0.845,1.448e-05
1494675650160,-0.845,1.3032e-05
1494675650170,-0.845,1.1584000000000001e-05
1494675650180,-0.845,2.6064e-05
1494675650190,-0.845,2.3891999999999998e-05
1494675650200,-0.845,2.2805999999999998e-05
1494675650210,-0.845,1.7014e-05
1494675650220,-0.845,1.6652e-05
1494675650230,-0.845,1.448e-05
1494675650240,-0.845,1.6652e-05
1494675650250,-0.845,1.448e-05
1494675650260,-0.845,1.3394000000000001e-05
1494675650270,-0.845,1.3755999999999998e-05
1494675650280,-0.845,1.4842000000000001e-05
1494675650290,-0.845,1.5928e-05
1494675650300,-0.845,1.629e-05
1494675650310,-0.845,1.4842000000000001e-05
1494675650320,-0.845,1.448e-05
1494675650330,-0.845,1.1945999999999999e-05
1494675650340,-0.845,1.6652e-05
1494675650350,-0.845,1.8100000000000003e-05
1494675650360,-0.845,1.629e-05
1494675650370,-0.845,1.4118e-05
1494675650380,-0.845,1.3755999999999998e-05
1494675650390,-0.845,1.267e-05
1494675650400,-0.845,1.3032e-05
1494675650410,-0.845,1.991e-05
1494675650420,-0.845,3.258e-05
1494675650430,-0.845,2.534e-05
1494675650440,-0.845,2.2805999999999998e-05
1494675650450,-0.845,1.8100000000000003e-05
1494675650460,-0.845,2.2444e-05
1494675650470,-0.845,2.5702e-05
1494675650480,-0.845,2.7511999999999997e-05
1494675650490,-0.845,2.3168000000000002e-05
1494675650500,-0.845,1.5566e-05
