Timestamp,position,BLMTI.05R3.B1I10_TCSG.B5R3.B1
1494678060460,-1.275,2.1719999999999997e-06
1494678060470,-1.275,1.4480000000000002e-06
1494678060480,-1.275,2.8960000000000003e-06
1494678060490,-1.275,1.0859999999999999e-06
1494678060500,-1.275,2.5340000000000002e-06
1494678060510,-1.275,1.4480000000000002e-06
1494678060520,-1.275,2.5340000000000002e-06
1494678060530,-1.275,1.4480000000000002e-06
1494678060540,-1.275,1.81e-06
1494678060550,-1.275,1.4480000000000002e-06
1494678060560,-1.275,1.4480000000000002e-06
1494678060570,-1.275,7.240000000000001e-07
1494678060580,-1.275,2.1719999999999997e-06
1494678060590,-1.275,7.240000000000001e-07
1494678060600,-1.275,1.4480000000000002e-06
1494678060610,-1.275,1.0859999999999999e-06
1494678060620,-1.275,2.5340000000000002e-06
1494678060630,-1.275,7.240000000000001e-07
1494678060640,-1.275,2.8960000000000003e-06
1494678060650,-1.275,3.6200000000000004e-07
1494678060660,-1.275,2.5340000000000002e-06
1494678060670,-1.275,3.6200000000000004e-07
1494678060680,-1.275,1.4480000000000002e-06
1494678060690,-1.275,1.0859999999999999e-06
1494678060700,-1.275,2.5340000000000002e-06
1494678060710,-1.275,1.0859999999999999e-06
1494678060720,-1.275,2.1719999999999997e-06
1494678060730,-1.275,7.240000000000001e-07
1494678060740,-1.275,2.1719999999999997e-06
1494678060750,-1.275,7.240000000000001e-07
1494678060760,-1.275,1.0859999999999999e-06
1494678060770,-1.275,2.1719999999999997e-06
1494678060780,-1.275,2.5340000000000002e-06
1494678060790,-1.275,1.81e-06
1494678060800,-1.275,1.4480000000000002e-06
1494678060810,-1.275,7.240000000000001e-07
1494678060820,-1.275,1.81e-06
1494678060830,-1.275,1.81e-06
1494678060840,-1.275,2.5340000000000002e-06
1494678060850,-1.275,7.240000000000001e-07
1494678060860,-1.275,1.4480000000000002e-06
1494678060870,-1.275,7.240000000000001e-07
1494678060880,-1.275,1.4480000000000002e-06
1494678060890,-1.275,1.4480000000000002e-06
1494678060900,-1.275,1.81e-06
1494678060910,-1.275,1.81e-06
1494678060920,-1.275,2.5340000000000002e-06
1494678060930,-1.275,1.0859999999999999e-06
1494678060940,-1.275,1.81e-06
1494678060950,-1.275,1.4480000000000002e-06
1494678060960,-1.275,2.5340000000000002e-06
1494678060970,-1.275,1.4480000000000002e-06
1494678060980,-1.275,7.240000000000001e-07
1494678060990,-1.275,7.240000000000001e-07
