Timestamp,position,BLMTI.04R3.B1I10_TCSG.4R3.B1
1494678315440,-0.68,3.6200000000000004e-07
1494678315450,-0.68,7.240000000000001e-07
1494678315460,-0.68,7.240000000000001e-07
1494678315470,-0.68,1.0859999999999999e-06
1494678315480,-0.68,3.6200000000000004e-07
1494678315490,-0.68,1.0859999999999999e-06
1494678315500,-0.68,3.6200000000000004e-07
1494678315510,-0.68,3.6200000000000004e-07
1494678315520,-0.68,3.6200000000000004e-07
1494678315530,-0.68,7.240000000000001e-07
1494678315540,-0.68,7.240000000000001e-07
1494678315550,-0.68,7.240000000000001e-07
1494678315560,-0.68,7.240000000000001e-07
1494678315570,-0.68,7.240000000000001e-07
1494678315580,-0.68,3.6200000000000004e-07
1494678315590,-0.68,1.0859999999999999e-06
1494678315600,-0.68,3.6200000000000004e-07
1494678315610,-0.68,3.6200000000000004e-07
1494678315620,-0.68,7.240000000000001e-07
1494678315630,-0.68,1.0859999999999999e-06
1494678315640,-0.68,3.6200000000000004e-07
1494678315650,-0.68,7.240000000000001e-07
1494678315660,-0.68,7.240000000000001e-07
1494678315670,-0.68,7.240000000000001e-07
1494678315680,-0.68,7.240000000000001e-07
1494678315690,-0.68,7.240000000000001e-07
1494678315700,-0.68,7.240000000000001e-07
1494678315710,-0.68,0.0
1494678315720,-0.68,7.240000000000001e-07
1494678315730,-0.68,7.240000000000001e-07
1494678315740,-0.68,3.6200000000000004e-07
1494678315750,-0.68,1.0859999999999999e-06
1494678315760,-0.68,7.240000000000001e-07
1494678315770,-0.68,7.240000000000001e-07
1494678315780,-0.68,0.0
1494678315790,-0.68,1.0859999999999999e-06
1494678315800,-0.68,3.6200000000000004e-07
1494678315810,-0.68,7.240000000000001e-07
1494678315820,-0.68,0.0
1494678315830,-0.68,7.240000000000001e-07
1494678315840,-0.68,3.6200000000000004e-07
1494678315850,-0.68,7.240000000000001e-07
1494678315860,-0.68,7.240000000000001e-07
1494678315870,-0.68,1.0859999999999999e-06
1494678315880,-0.68,0.0
1494678315890,-0.68,7.240000000000001e-07
1494678315900,-0.68,7.240000000000001e-07
1494678315910,-0.68,0.0
1494678315920,-0.68,1.0859999999999999e-06
1494678315930,-0.68,1.0859999999999999e-06
1494678315940,-0.68,3.6200000000000004e-07
1494678315950,-0.68,7.240000000000001e-07
1494678315960,-0.68,1.4480000000000002e-06
1494678315970,-0.68,3.6200000000000004e-07
1494678315980,-0.68,1.4480000000000002e-06
1494678315990,-0.68,7.240000000000001e-07
1494678316000,-0.68,3.6200000000000004e-07
1494678316010,-0.68,3.6200000000000004e-07
1494678316020,-0.68,7.240000000000001e-07
1494678316030,-0.68,1.0859999999999999e-06
1494678316040,-0.68,1.0859999999999999e-06
1494678316050,-0.68,3.6200000000000004e-07
1494678316060,-0.68,3.6200000000000004e-07
1494678316070,-0.68,7.240000000000001e-07
1494678316080,-0.68,7.240000000000001e-07
1494678316090,-0.68,1.0859999999999999e-06
1494678316100,-0.68,0.0
1494678316110,-0.68,7.240000000000001e-07
1494678316120,-0.68,7.240000000000001e-07
1494678316130,-0.68,1.0859999999999999e-06
1494678316140,-0.68,3.6200000000000004e-07
1494678316150,-0.68,3.6200000000000004e-07
1494678316160,-0.68,1.0859999999999999e-06
1494678316170,-0.68,3.6200000000000004e-07
1494678316180,-0.68,7.240000000000001e-07
1494678316190,-0.68,3.6200000000000004e-07
1494678316200,-0.68,3.6200000000000004e-07
1494678316210,-0.68,1.0859999999999999e-06
1494678316220,-0.68,0.0
1494678316230,-0.68,7.240000000000001e-07
1494678316240,-0.68,3.6200000000000004e-07
1494678316250,-0.68,1.4480000000000002e-06
1494678316260,-0.68,7.240000000000001e-07
1494678316270,-0.68,7.240000000000001e-07
1494678316280,-0.68,7.240000000000001e-07
1494678316290,-0.68,7.240000000000001e-07
1494678316300,-0.68,3.6200000000000004e-07
1494678316310,-0.68,3.6200000000000004e-07
1494678316320,-0.68,7.240000000000001e-07
1494678316330,-0.68,7.240000000000001e-07
1494678316340,-0.68,7.240000000000001e-07
1494678316350,-0.68,3.6200000000000004e-07
1494678316360,-0.68,7.240000000000001e-07
1494678316370,-0.68,1.0859999999999999e-06
1494678316380,-0.68,7.240000000000001e-07
1494678316390,-0.68,3.6200000000000004e-07
1494678316400,-0.68,3.6200000000000004e-07
1494678316410,-0.68,3.6200000000000004e-07
1494678316420,-0.68,1.0859999999999999e-06
1494678316430,-0.68,7.240000000000001e-07
1494678316440,-0.68,3.6200000000000004e-07
1494678316450,-0.68,7.240000000000001e-07
1494678316460,-0.68,0.0
1494678316470,-0.68,1.4480000000000002e-06
1494678316480,-0.68,3.6200000000000004e-07
1494678316490,-0.68,1.0859999999999999e-06
1494678316500,-0.68,3.6200000000000004e-07
1494678316510,-0.68,7.240000000000001e-07
1494678316520,-0.68,7.240000000000001e-07
1494678316530,-0.68,7.240000000000001e-07
1494678316540,-0.68,3.6200000000000004e-07
1494678316550,-0.68,3.6200000000000004e-07
1494678316560,-0.68,7.240000000000001e-07
1494678316570,-0.68,1.0859999999999999e-06
1494678316580,-0.68,7.240000000000001e-07
1494678316590,-0.68,3.6200000000000004e-07
1494678316600,-0.68,1.0859999999999999e-06
1494678316610,-0.68,3.6200000000000004e-07
1494678316620,-0.68,0.0
1494678316630,-0.68,1.0859999999999999e-06
1494678316640,-0.68,3.6200000000000004e-07
1494678316650,-0.68,1.4480000000000002e-06
1494678316660,-0.68,3.6200000000000004e-07
1494678316670,-0.68,7.240000000000001e-07
1494678316680,-0.68,7.240000000000001e-07
1494678316690,-0.68,1.81e-06
1494678316700,-0.68,0.0
1494678316710,-0.68,7.240000000000001e-07
1494678316720,-0.68,3.6200000000000004e-07
1494678316730,-0.68,3.6200000000000004e-07
1494678316740,-0.68,3.6200000000000004e-07
1494678316750,-0.68,1.0859999999999999e-06
