Timestamp,position,BLMTI.05L3.B2E10_TCLA.A5L3.B2
1494680493750,-1.525,2.5340000000000002e-06
1494680493760,-1.525,7.240000000000001e-07
1494680493770,-1.525,1.0859999999999999e-06
1494680493780,-1.525,1.4480000000000002e-06
1494680493790,-1.525,3.6200000000000004e-07
1494680493800,-1.525,1.81e-06
1494680493810,-1.525,1.4480000000000002e-06
1494680493820,-1.525,1.4480000000000002e-06
1494680493830,-1.525,1.0859999999999999e-06
1494680493840,-1.525,2.1719999999999997e-06
1494680493850,-1.525,2.5340000000000002e-06
1494680493860,-1.525,1.0859999999999999e-06
1494680493870,-1.525,1.4480000000000002e-06
1494680493880,-1.525,1.81e-06
1494680493890,-1.525,1.4480000000000002e-06
1494680493900,-1.525,1.0859999999999999e-06
1494680493910,-1.525,1.4480000000000002e-06
1494680493920,-1.525,2.1719999999999997e-06
1494680493930,-1.525,1.81e-06
1494680493940,-1.525,1.81e-06
1494680493950,-1.525,1.81e-06
1494680493960,-1.525,1.81e-06
1494680493970,-1.525,2.8960000000000003e-06
1494680493980,-1.525,1.0859999999999999e-06
1494680493990,-1.525,1.0859999999999999e-06
1494680494000,-1.525,1.4480000000000002e-06
1494680494010,-1.525,1.81e-06
1494680494020,-1.525,1.4480000000000002e-06
1494680494030,-1.525,1.81e-06
1494680494040,-1.525,1.4480000000000002e-06
1494680494050,-1.525,1.81e-06
1494680494060,-1.525,1.4480000000000002e-06
1494680494070,-1.525,1.4480000000000002e-06
1494680494080,-1.525,1.4480000000000002e-06
1494680494090,-1.525,1.81e-06
1494680494100,-1.525,1.81e-06
1494680494110,-1.525,1.0859999999999999e-06
1494680494120,-1.525,1.81e-06
1494680494130,-1.525,2.1719999999999997e-06
1494680494140,-1.525,1.0859999999999999e-06
1494680494150,-1.525,1.81e-06
1494680494160,-1.525,1.0859999999999999e-06
1494680494170,-1.525,1.81e-06
1494680494180,-1.525,7.240000000000001e-07
1494680494190,-1.525,2.1719999999999997e-06
1494680494200,-1.525,1.81e-06
1494680494210,-1.525,1.81e-06
1494680494220,-1.525,1.0859999999999999e-06
1494680494230,-1.525,1.81e-06
1494680494240,-1.525,2.1719999999999997e-06
1494680494250,-1.525,1.81e-06
1494680494260,-1.525,1.4480000000000002e-06
1494680494270,-1.525,1.81e-06
1494680494280,-1.525,1.4480000000000002e-06
1494680494290,-1.525,2.1719999999999997e-06
1494680494300,-1.525,1.0859999999999999e-06
1494680494310,-1.525,3.6200000000000004e-07
1494680494320,-1.525,1.81e-06
1494680494330,-1.525,2.1719999999999997e-06
1494680494340,-1.525,1.81e-06
1494680494350,-1.525,1.4480000000000002e-06
1494680494360,-1.525,1.81e-06
1494680494370,-1.525,1.0859999999999999e-06
1494680494380,-1.525,1.0859999999999999e-06
1494680494390,-1.525,1.4480000000000002e-06
1494680494400,-1.525,1.0859999999999999e-06
1494680494410,-1.525,1.4480000000000002e-06
1494680494420,-1.525,1.0859999999999999e-06
1494680494430,-1.525,1.81e-06
1494680494440,-1.525,1.4480000000000002e-06
1494680494450,-1.525,1.81e-06
1494680494460,-1.525,1.4480000000000002e-06
1494680494470,-1.525,2.1719999999999997e-06
1494680494480,-1.525,1.4480000000000002e-06
1494680494490,-1.525,2.1719999999999997e-06
1494680494500,-1.525,1.0859999999999999e-06
1494680494510,-1.525,1.81e-06
1494680494520,-1.525,1.4480000000000002e-06
1494680494530,-1.525,1.4480000000000002e-06
1494680494540,-1.525,1.81e-06
1494680494550,-1.525,7.240000000000001e-07
1494680494560,-1.525,2.5340000000000002e-06
1494680494570,-1.525,2.5340000000000002e-06
1494680494580,-1.525,1.0859999999999999e-06
1494680494590,-1.525,7.240000000000001e-07
1494680494600,-1.525,7.240000000000001e-07
1494680494610,-1.525,1.81e-06
1494680494620,-1.525,1.4480000000000002e-06
1494680494630,-1.525,1.4480000000000002e-06
1494680494640,-1.525,7.240000000000001e-07
1494680494650,-1.525,1.81e-06
1494680494660,-1.525,1.0859999999999999e-06
1494680494670,-1.525,1.4480000000000002e-06
1494680494680,-1.525,7.240000000000001e-07
1494680494690,-1.525,1.4480000000000002e-06
1494680494700,-1.525,1.4480000000000002e-06
1494680494710,-1.525,1.81e-06
1494680494720,-1.525,1.81e-06
1494680494730,-1.525,1.81e-06
1494680494740,-1.525,1.4480000000000002e-06
1494680494750,-1.525,1.4480000000000002e-06
1494680494760,-1.525,1.81e-06
1494680494770,-1.525,1.81e-06
1494680494780,-1.525,1.81e-06
1494680494790,-1.525,1.0859999999999999e-06
1494680494800,-1.525,1.0859999999999999e-06
1494680494810,-1.525,7.240000000000001e-07
1494680494820,-1.525,2.1719999999999997e-06
1494680494830,-1.525,1.81e-06
1494680494840,-1.525,1.0859999999999999e-06
1494680494850,-1.525,1.81e-06
1494680494860,-1.525,1.0859999999999999e-06
1494680494870,-1.525,1.0859999999999999e-06
1494680494880,-1.525,1.81e-06
1494680494890,-1.525,1.81e-06
1494680494900,-1.525,1.4480000000000002e-06
1494680494910,-1.525,1.81e-06
1494680494920,-1.525,1.0859999999999999e-06
1494680494930,-1.525,1.81e-06
1494680494940,-1.525,2.8960000000000003e-06
1494680494950,-1.525,7.240000000000001e-07
1494680494960,-1.525,1.4480000000000002e-06
1494680494970,-1.525,1.4480000000000002e-06
1494680494980,-1.525,1.81e-06
1494680494990,-1.525,1.4480000000000002e-06
1494680495000,-1.525,1.81e-06
1494680495010,-1.525,1.4480000000000002e-06
1494680495020,-1.525,2.1719999999999997e-06
1494680495030,-1.525,1.0859999999999999e-06
1494680495040,-1.525,1.0859999999999999e-06
1494680495050,-1.525,1.81e-06
1494680495060,-1.525,1.0859999999999999e-06
1494680495070,-1.525,1.81e-06
1494680495080,-1.525,3.6200000000000004e-07
1494680495090,-1.525,1.4480000000000002e-06
1494680495100,-1.525,1.0859999999999999e-06
1494680495110,-1.525,1.81e-06
1494680495120,-1.525,2.1719999999999997e-06
1494680495130,-1.525,1.4480000000000002e-06
1494680495140,-1.525,1.81e-06
1494680495150,-1.525,7.240000000000001e-07
1494680495160,-1.525,1.81e-06
1494680495170,-1.525,1.4480000000000002e-06
1494680495180,-1.525,1.81e-06
1494680495190,-1.525,1.0859999999999999e-06
1494680495200,-1.525,1.81e-06
1494680495210,-1.525,1.81e-06
1494680495220,-1.525,2.1719999999999997e-06
1494680495230,-1.525,7.240000000000001e-07
1494680495240,-1.525,1.0859999999999999e-06
1494680495250,-1.525,2.1719999999999997e-06
1494680495260,-1.525,1.81e-06
1494680495270,-1.525,1.4480000000000002e-06
1494680495280,-1.525,1.0859999999999999e-06
1494680495290,-1.525,1.81e-06
1494680495300,-1.525,7.240000000000001e-07
1494680495310,-1.525,2.5340000000000002e-06
1494680495320,-1.525,2.1719999999999997e-06
1494680495330,-1.525,1.4480000000000002e-06
1494680495340,-1.525,2.1719999999999997e-06
1494680495350,-1.525,2.5340000000000002e-06
1494680495360,-1.525,1.4480000000000002e-06
1494680495370,-1.525,1.4480000000000002e-06
1494680495380,-1.525,1.81e-06
1494680495390,-1.525,7.240000000000001e-07
1494680495400,-1.525,1.81e-06
1494680495410,-1.525,2.1719999999999997e-06
1494680495420,-1.525,2.1719999999999997e-06
1494680495430,-1.525,1.0859999999999999e-06
1494680495440,-1.525,2.1719999999999997e-06
1494680495450,-1.525,1.81e-06
1494680495460,-1.525,2.5340000000000002e-06
1494680495470,-1.525,1.4480000000000002e-06
1494680495480,-1.525,2.1719999999999997e-06
1494680495490,-1.525,1.0859999999999999e-06
1494680495500,-1.525,1.0859999999999999e-06
1494680495510,-1.525,2.1719999999999997e-06
1494680495520,-1.525,2.1719999999999997e-06
1494680495530,-1.525,2.1719999999999997e-06
1494680495540,-1.525,2.5340000000000002e-06
1494680495550,-1.525,7.240000000000001e-07
1494680495560,-1.525,1.81e-06
1494680495570,-1.525,1.0859999999999999e-06
1494680495580,-1.525,1.81e-06
1494680495590,-1.525,1.4480000000000002e-06
1494680495600,-1.525,1.4480000000000002e-06
1494680495610,-1.525,1.81e-06
1494680495620,-1.525,1.4480000000000002e-06
1494680495630,-1.525,1.0859999999999999e-06
1494680495640,-1.525,2.8960000000000003e-06
1494680495650,-1.525,3.6200000000000004e-07
1494680495660,-1.525,1.81e-06
1494680495670,-1.525,1.4480000000000002e-06
1494680495680,-1.525,1.81e-06
1494680495690,-1.525,7.240000000000001e-07
1494680495700,-1.525,1.4480000000000002e-06
1494680495710,-1.525,7.240000000000001e-07
1494680495720,-1.525,1.4480000000000002e-06
1494680495730,-1.525,1.4480000000000002e-06
1494680495740,-1.525,1.81e-06
1494680495750,-1.525,2.1719999999999997e-06
1494680495760,-1.525,1.81e-06
1494680495770,-1.525,1.4480000000000002e-06
1494680495780,-1.525,2.1719999999999997e-06
1494680495790,-1.525,1.4480000000000002e-06
1494680495800,-1.525,1.4480000000000002e-06
1494680495810,-1.525,7.240000000000001e-07
1494680495820,-1.525,1.81e-06
1494680495830,-1.525,1.81e-06
1494680495840,-1.525,1.81e-06
1494680495850,-1.525,1.0859999999999999e-06
1494680495860,-1.525,1.4480000000000002e-06
1494680495870,-1.525,1.4480000000000002e-06
1494680495880,-1.525,1.81e-06
1494680495890,-1.525,1.4480000000000002e-06
1494680495900,-1.525,1.81e-06
1494680495910,-1.525,1.0859999999999999e-06
1494680495920,-1.525,1.4480000000000002e-06
1494680495930,-1.525,1.4480000000000002e-06
1494680495940,-1.525,2.1719999999999997e-06
1494680495950,-1.525,1.0859999999999999e-06
1494680495960,-1.525,1.4480000000000002e-06
1494680495970,-1.525,1.0859999999999999e-06
1494680495980,-1.525,1.0859999999999999e-06
1494680495990,-1.525,1.81e-06
1494680496000,-1.525,1.81e-06
1494680496010,-1.525,1.0859999999999999e-06
1494680496020,-1.525,1.0859999999999999e-06
1494680496030,-1.525,1.0859999999999999e-06
1494680496040,-1.525,1.81e-06
1494680496050,-1.525,1.0859999999999999e-06
1494680496060,-1.525,1.4480000000000002e-06
1494680496070,-1.525,1.81e-06
1494680496080,-1.525,1.4480000000000002e-06
1494680496090,-1.525,7.240000000000001e-07
1494680496100,-1.525,1.4480000000000002e-06
1494680496110,-1.525,1.0859999999999999e-06
1494680496120,-1.525,1.81e-06
1494680496130,-1.525,1.0859999999999999e-06
1494680496140,-1.525,1.4480000000000002e-06
1494680496150,-1.525,1.0859999999999999e-06
1494680496160,-1.525,2.5340000000000002e-06
1494680496170,-1.525,1.4480000000000002e-06
1494680496180,-1.525,1.81e-06
1494680496190,-1.525,1.4480000000000002e-06
1494680496200,-1.525,3.6200000000000004e-07
1494680496210,-1.525,1.0859999999999999e-06
1494680496220,-1.525,2.1719999999999997e-06
1494680496230,-1.525,7.240000000000001e-07
1494680496240,-1.525,1.0859999999999999e-06
1494680496250,-1.525,1.0859999999999999e-06
1494680496260,-1.525,1.4480000000000002e-06
1494680496270,-1.525,7.240000000000001e-07
1494680496280,-1.525,1.81e-06
1494680496290,-1.525,1.4480000000000002e-06
1494680496300,-1.525,1.4480000000000002e-06
1494680496310,-1.525,1.4480000000000002e-06
1494680496320,-1.525,1.81e-06
1494680496330,-1.525,7.240000000000001e-07
1494680496340,-1.525,1.4480000000000002e-06
1494680496350,-1.525,7.240000000000001e-07
1494680496360,-1.525,1.81e-06
1494680496370,-1.525,1.81e-06
1494680496380,-1.525,1.81e-06
1494680496390,-1.525,1.4480000000000002e-06
1494680496400,-1.525,1.81e-06
1494680496410,-1.525,1.0859999999999999e-06
1494680496420,-1.525,1.81e-06
1494680496430,-1.525,3.6200000000000004e-07
1494680496440,-1.525,2.5340000000000002e-06
1494680496450,-1.525,1.0859999999999999e-06
1494680496460,-1.525,2.1719999999999997e-06
1494680496470,-1.525,1.0859999999999999e-06
1494680496480,-1.525,2.1719999999999997e-06
1494680496490,-1.525,1.81e-06
1494680496500,-1.525,1.4480000000000002e-06
1494680496510,-1.525,7.240000000000001e-07
1494680496520,-1.525,1.81e-06
1494680496530,-1.525,2.5340000000000002e-06
1494680496540,-1.525,1.81e-06
1494680496550,-1.525,1.4480000000000002e-06
