Timestamp,position,BLMTI.04L7.B2I10_TCSG.A4L7.B2
1494682479180,-1.825,2.1719999999999997e-06
1494682479190,-1.825,1.0859999999999999e-06
1494682479200,-1.825,1.4480000000000002e-06
1494682479210,-1.825,0.0
1494682479220,-1.825,1.0859999999999999e-06
1494682479230,-1.825,7.240000000000001e-07
1494682479240,-1.825,1.4480000000000002e-06
1494682479250,-1.825,2.1719999999999997e-06
1494682479260,-1.825,1.4480000000000002e-06
1494682479270,-1.825,2.1719999999999997e-06
1494682479280,-1.825,1.0859999999999999e-06
1494682479290,-1.825,1.0859999999999999e-06
1494682479300,-1.825,3.6200000000000004e-07
1494682479310,-1.825,1.81e-06
1494682479320,-1.825,1.0859999999999999e-06
1494682479330,-1.825,1.4480000000000002e-06
1494682479340,-1.825,1.4480000000000002e-06
1494682479350,-1.825,1.4480000000000002e-06
1494682479360,-1.825,1.81e-06
1494682479370,-1.825,1.0859999999999999e-06
1494682479380,-1.825,1.0859999999999999e-06
1494682479390,-1.825,1.0859999999999999e-06
1494682479400,-1.825,2.1719999999999997e-06
1494682479410,-1.825,1.0859999999999999e-06
1494682479420,-1.825,1.0859999999999999e-06
1494682479430,-1.825,1.0859999999999999e-06
1494682479440,-1.825,1.0859999999999999e-06
1494682479450,-1.825,1.4480000000000002e-06
1494682479460,-1.825,1.4480000000000002e-06
1494682479470,-1.825,2.5340000000000002e-06
1494682479480,-1.825,1.4480000000000002e-06
1494682479490,-1.825,3.6200000000000004e-07
1494682479500,-1.825,1.4480000000000002e-06
1494682479510,-1.825,1.0859999999999999e-06
1494682479520,-1.825,1.0859999999999999e-06
1494682479530,-1.825,1.0859999999999999e-06
1494682479540,-1.825,1.0859999999999999e-06
1494682479550,-1.825,1.0859999999999999e-06
1494682479560,-1.825,1.4480000000000002e-06
1494682479570,-1.825,2.1719999999999997e-06
1494682479580,-1.825,1.0859999999999999e-06
1494682479590,-1.825,7.240000000000001e-07
1494682479600,-1.825,2.5340000000000002e-06
1494682479610,-1.825,1.0859999999999999e-06
1494682479620,-1.825,7.240000000000001e-07
1494682479630,-1.825,1.4480000000000002e-06
1494682479640,-1.825,2.1719999999999997e-06
1494682479650,-1.825,1.81e-06
1494682479660,-1.825,1.0859999999999999e-06
1494682479670,-1.825,1.81e-06
1494682479680,-1.825,1.4480000000000002e-06
1494682479690,-1.825,1.0859999999999999e-06
1494682479700,-1.825,1.4480000000000002e-06
1494682479710,-1.825,1.0859999999999999e-06
1494682479720,-1.825,7.240000000000001e-07
1494682479730,-1.825,1.81e-06
1494682479740,-1.825,1.0859999999999999e-06
1494682479750,-1.825,2.5340000000000002e-06
1494682479760,-1.825,2.1719999999999997e-06
1494682479770,-1.825,7.240000000000001e-07
1494682479780,-1.825,2.5340000000000002e-06
1494682479790,-1.825,0.0
1494682479800,-1.825,1.4480000000000002e-06
1494682479810,-1.825,1.81e-06
1494682479820,-1.825,7.240000000000001e-07
1494682479830,-1.825,2.8960000000000003e-06
1494682479840,-1.825,1.4480000000000002e-06
1494682479850,-1.825,1.0859999999999999e-06
1494682479860,-1.825,1.81e-06
1494682479870,-1.825,3.6200000000000004e-07
1494682479880,-1.825,2.5340000000000002e-06
1494682479890,-1.825,3.6200000000000004e-07
1494682479900,-1.825,0.0
1494682479910,-1.825,0.0
1494682479920,-1.825,0.0
1494682479930,-1.825,0.0
1494682479940,-1.825,0.0
1494682479950,-1.825,0.0
1494682479960,-1.825,1.81e-06
1494682479970,-1.825,0.0
1494682479980,-1.825,1.4480000000000002e-06
1494682479990,-1.825,1.0859999999999999e-06
1494682480000,-1.825,1.4480000000000002e-06
1494682480010,-1.825,2.8960000000000003e-06
1494682480020,-1.825,3.6200000000000004e-07
1494682480030,-1.825,1.0859999999999999e-06
1494682480040,-1.825,1.0859999999999999e-06
1494682480050,-1.825,1.0859999999999999e-06
1494682480060,-1.825,2.1719999999999997e-06
1494682480070,-1.825,2.1719999999999997e-06
1494682480080,-1.825,2.1719999999999997e-06
1494682480090,-1.825,1.0859999999999999e-06
1494682480100,-1.825,3.258e-06
1494682480110,-1.825,7.240000000000001e-07
1494682480120,-1.825,1.4480000000000002e-06
1494682480130,-1.825,7.240000000000001e-07
1494682480140,-1.825,2.1719999999999997e-06
1494682480150,-1.825,7.240000000000001e-07
1494682480160,-1.825,1.81e-06
1494682480170,-1.825,1.4480000000000002e-06
1494682480180,-1.785,2.5340000000000002e-06
1494682480190,-1.785,2.1719999999999997e-06
1494682480200,-1.785,1.81e-06
1494682480210,-1.785,1.4480000000000002e-06
1494682480220,-1.785,2.8960000000000003e-06
1494682480230,-1.785,1.0859999999999999e-06
1494682480240,-1.785,1.81e-06
1494682480250,-1.785,1.81e-06
1494682480260,-1.785,2.1719999999999997e-06
1494682480270,-1.785,7.240000000000001e-07
1494682480280,-1.785,2.5340000000000002e-06
1494682480290,-1.785,1.4480000000000002e-06
1494682480300,-1.785,2.1719999999999997e-06
1494682480310,-1.785,3.6200000000000004e-07
1494682480320,-1.785,1.4480000000000002e-06
1494682480330,-1.785,1.0859999999999999e-06
1494682480340,-1.785,2.5340000000000002e-06
1494682480350,-1.785,1.0859999999999999e-06
1494682480360,-1.785,2.5340000000000002e-06
1494682480370,-1.785,1.81e-06
1494682480380,-1.785,1.4480000000000002e-06
1494682480390,-1.785,2.1719999999999997e-06
1494682480400,-1.785,1.0859999999999999e-06
1494682480410,-1.785,2.1719999999999997e-06
1494682480420,-1.785,1.0859999999999999e-06
1494682480430,-1.785,2.1719999999999997e-06
1494682480440,-1.785,7.240000000000001e-07
1494682480450,-1.785,1.4480000000000002e-06
1494682480460,-1.785,3.62e-06
1494682480470,-1.785,1.0859999999999999e-06
1494682480480,-1.785,0.0
1494682480490,-1.785,1.0859999999999999e-06
1494682480500,-1.785,2.5340000000000002e-06
1494682480510,-1.785,1.4480000000000002e-06
1494682480520,-1.785,2.5340000000000002e-06
1494682480530,-1.785,2.5340000000000002e-06
1494682480540,-1.785,1.81e-06
1494682480550,-1.785,1.4480000000000002e-06
1494682480560,-1.785,2.1719999999999997e-06
1494682480570,-1.785,2.1719999999999997e-06
1494682480580,-1.785,2.1719999999999997e-06
1494682480590,-1.785,1.0859999999999999e-06
1494682480600,-1.785,1.81e-06
1494682480610,-1.785,1.81e-06
1494682480620,-1.785,1.4480000000000002e-06
1494682480630,-1.785,3.258e-06
1494682480640,-1.785,0.0
1494682480650,-1.785,3.258e-06
1494682480660,-1.785,7.240000000000001e-07
1494682480670,-1.785,1.81e-06
1494682480680,-1.785,1.81e-06
1494682480690,-1.785,1.81e-06
1494682480700,-1.785,1.4480000000000002e-06
1494682480710,-1.785,1.0859999999999999e-06
1494682480720,-1.785,2.5340000000000002e-06
1494682480730,-1.785,2.1719999999999997e-06
1494682480740,-1.785,7.240000000000001e-07
1494682480750,-1.785,1.0859999999999999e-06
1494682480760,-1.785,1.0859999999999999e-06
1494682480770,-1.785,1.4480000000000002e-06
1494682480780,-1.785,1.81e-06
1494682480790,-1.785,1.81e-06
1494682480800,-1.785,1.81e-06
1494682480810,-1.785,1.0859999999999999e-06
1494682480820,-1.785,2.1719999999999997e-06
1494682480830,-1.785,7.240000000000001e-07
1494682480840,-1.785,2.5340000000000002e-06
1494682480850,-1.785,1.4480000000000002e-06
1494682480860,-1.785,1.0859999999999999e-06
1494682480870,-1.785,2.1719999999999997e-06
1494682480880,-1.785,1.0859999999999999e-06
1494682480890,-1.785,1.81e-06
1494682480900,-1.785,2.1719999999999997e-06
1494682480910,-1.785,1.4480000000000002e-06
1494682480920,-1.785,2.1719999999999997e-06
1494682480930,-1.785,1.0859999999999999e-06
1494682480940,-1.785,1.4480000000000002e-06
1494682480950,-1.785,3.6200000000000004e-07
1494682480960,-1.785,1.81e-06
1494682480970,-1.785,1.0859999999999999e-06
1494682480980,-1.785,2.1719999999999997e-06
1494682480990,-1.785,3.6200000000000004e-07
1494682481000,-1.785,2.1719999999999997e-06
1494682481010,-1.785,1.4480000000000002e-06
1494682481020,-1.785,7.240000000000001e-07
1494682481030,-1.785,2.1719999999999997e-06
1494682481040,-1.785,3.6200000000000004e-07
1494682481050,-1.785,1.81e-06
1494682481060,-1.785,3.6200000000000004e-07
1494682481070,-1.785,7.240000000000001e-07
1494682481080,-1.785,1.0859999999999999e-06
1494682481090,-1.785,2.5340000000000002e-06
1494682481100,-1.785,1.81e-06
1494682481110,-1.785,1.81e-06
1494682481120,-1.785,1.81e-06
1494682481130,-1.785,1.81e-06
1494682481140,-1.785,2.5340000000000002e-06
1494682481150,-1.785,2.1719999999999997e-06
1494682481160,-1.785,2.1719999999999997e-06
1494682481170,-1.785,1.81e-06
1494682481180,-1.785,1.4480000000000002e-06
1494682481190,-1.785,1.4480000000000002e-06
1494682481200,-1.785,1.4480000000000002e-06
1494682481210,-1.785,2.5340000000000002e-06
1494682481220,-1.785,1.81e-06
1494682481230,-1.785,1.0859999999999999e-06
1494682481240,-1.785,1.4480000000000002e-06
1494682481250,-1.785,7.240000000000001e-07
1494682481260,-1.785,2.5340000000000002e-06
1494682481270,-1.785,1.4480000000000002e-06
1494682481280,-1.785,1.81e-06
1494682481290,-1.785,1.0859999999999999e-06
1494682481300,-1.785,1.81e-06
1494682481310,-1.785,1.81e-06
1494682481320,-1.785,1.4480000000000002e-06
1494682481330,-1.785,2.5340000000000002e-06
1494682481340,-1.785,3.6200000000000004e-07
1494682481350,-1.785,3.258e-06
1494682481360,-1.785,7.240000000000001e-07
