Timestamp,position,BLMTI.04R1.B2I10_TCTPH.4R1.B2
1505613998270,7.025,0.0
1505613998280,7.025,0.0
1505613998290,7.025,1.0859999999999999e-06
1505613998300,7.025,1.4480000000000002e-06
1505613998310,7.025,1.4480000000000002e-06
1505613998320,7.025,3.6200000000000004e-07
1505613998330,7.025,1.4480000000000002e-06
1505613998340,7.025,1.81e-06
1505613998350,7.025,1.0859999999999999e-06
1505613998360,7.025,2.1719999999999997e-06
1505613998370,7.025,3.6200000000000004e-07
1505613998380,7.025,0.0
1505613998390,7.025,0.0
1505613998400,7.025,3.6200000000000004e-07
1505613998410,7.025,0.0
1505613998420,7.025,3.6200000000000004e-07
1505613998430,7.025,2.8960000000000003e-06
1505613998440,7.025,1.0859999999999999e-06
1505613998450,7.025,1.81e-06
1505613998460,7.025,3.6200000000000004e-07
1505613998470,7.025,1.4480000000000002e-06
1505613998480,7.025,1.4480000000000002e-06
1505613998490,7.025,0.0
1505613998500,7.025,3.6200000000000004e-07
1505613998510,7.025,0.0
1505613998520,7.025,0.0
1505613998530,7.025,7.240000000000001e-07
1505613998540,7.025,0.0
1505613998550,7.025,1.0859999999999999e-06
1505613998560,7.025,1.0859999999999999e-06
1505613998570,7.025,1.81e-06
1505613998580,7.025,0.0
1505613998590,7.025,3.6200000000000004e-07
1505613998600,7.025,7.240000000000001e-07
1505613998610,7.025,2.1719999999999997e-06
1505613998620,7.025,1.0859999999999999e-06
1505613998630,7.025,1.4480000000000002e-06
1505613998640,7.025,1.0859999999999999e-06
1505613998650,7.025,1.0859999999999999e-06
1505613998660,7.025,1.0859999999999999e-06
1505613998670,7.025,1.4480000000000002e-06
1505613998680,7.025,1.81e-06
1505613998690,7.025,7.240000000000001e-07
1505613998700,7.025,1.4480000000000002e-06
1505613998710,7.025,0.0
1505613998720,7.025,3.6200000000000004e-07
1505613998730,7.025,3.6200000000000004e-07
1505613998740,7.025,3.6200000000000004e-07
1505613998750,7.025,7.240000000000001e-07
1505613998760,7.025,1.4480000000000002e-06
1505613998770,7.025,3.6200000000000004e-07
1505613998780,7.025,2.1719999999999997e-06
1505613998790,7.025,0.0
1505613998800,7.025,3.6200000000000004e-07
1505613998810,7.025,0.0
1505613998820,7.025,1.0859999999999999e-06
1505613998830,7.025,1.0859999999999999e-06
1505613998840,7.025,2.5340000000000002e-06
1505613998850,7.025,3.982e-06
1505613998860,7.025,7.240000000000001e-07
1505613998870,7.025,0.0
1505613998880,7.025,0.0
1505613998890,7.025,0.0
1505613998900,7.025,7.240000000000001e-07
1505613998910,7.025,1.81e-06
1505613998920,7.025,0.0
1505613998930,7.025,3.6200000000000004e-07
1505613998940,7.025,7.240000000000001e-07
1505613998950,7.025,1.0859999999999999e-06
1505613998960,7.025,1.81e-06
1505613998970,7.025,1.81e-06
1505613998980,7.025,1.0859999999999999e-06
1505613998990,7.025,1.4480000000000002e-06
1505613999000,7.025,1.0859999999999999e-06
1505613999010,7.025,1.4480000000000002e-06
1505613999020,7.025,0.0
1505613999030,7.025,0.0
1505613999040,7.025,3.6200000000000004e-07
1505613999050,7.025,1.81e-06
1505613999060,7.02,0.0
1505613999070,7.02,2.1719999999999997e-06
1505613999080,7.02,1.81e-06
1505613999090,7.02,1.81e-06
1505613999100,7.02,1.4480000000000002e-06
1505613999110,7.02,1.4480000000000002e-06
1505613999120,7.02,1.4480000000000002e-06
1505613999130,7.02,1.81e-06
1505613999140,7.02,3.6200000000000004e-07
1505613999150,7.02,1.0859999999999999e-06
1505613999160,7.02,0.0
1505613999170,7.02,0.0
1505613999180,7.02,0.0
1505613999190,7.02,0.0
1505613999200,7.02,0.0
1505613999210,7.02,4.706e-06
1505613999220,7.02,3.6200000000000004e-07
1505613999230,7.02,2.5340000000000002e-06
1505613999240,7.02,1.0859999999999999e-06
1505613999250,7.02,0.0
1505613999260,7.02,3.6200000000000004e-07
1505613999270,7.02,1.4480000000000002e-06
1505613999280,7.02,3.6200000000000004e-07
1505613999290,7.02,0.0
1505613999300,7.02,0.0
1505613999310,7.02,0.0
1505613999320,7.02,0.0
1505613999330,7.02,0.0
1505613999340,7.02,3.6200000000000004e-07
1505613999350,7.02,3.6200000000000004e-07
1505613999360,7.02,2.8960000000000003e-06
1505613999370,7.02,3.6200000000000004e-07
1505613999380,7.02,0.0
1505613999390,7.02,1.81e-06
1505613999400,7.02,2.1719999999999997e-06
1505613999410,7.02,3.6200000000000004e-07
1505613999420,7.02,1.4480000000000002e-06
1505613999430,7.02,1.4480000000000002e-06
1505613999440,7.02,1.0859999999999999e-06
1505613999450,7.02,1.81e-06
1505613999460,7.02,7.240000000000001e-07
1505613999470,7.02,7.240000000000001e-07
1505613999480,7.02,0.0
1505613999490,7.02,1.4480000000000002e-06
1505613999500,7.02,5.0680000000000004e-06
1505613999510,7.02,0.0
1505613999520,7.02,7.240000000000001e-07
1505613999530,7.02,0.0
1505613999540,7.02,3.6200000000000004e-07
1505613999550,7.02,0.0
1505613999560,7.02,0.0
1505613999570,7.02,3.6200000000000004e-07
1505613999580,7.02,7.240000000000001e-07
1505613999590,7.02,1.0859999999999999e-06
1505613999600,7.02,1.0859999999999999e-06
1505613999610,7.02,2.1719999999999997e-06
1505613999620,7.02,1.4480000000000002e-06
1505613999630,7.02,1.0859999999999999e-06
1505613999640,7.02,0.0
1505613999650,7.02,0.0
1505613999660,7.02,0.0
1505613999670,7.02,0.0
1505613999680,7.02,6.516e-06
1505613999690,7.02,7.240000000000001e-07
1505613999700,7.02,1.81e-06
1505613999710,7.02,1.4480000000000002e-06
1505613999720,7.02,1.4480000000000002e-06
1505613999730,7.02,1.4480000000000002e-06
1505613999740,7.02,1.4480000000000002e-06
1505613999750,7.02,2.1719999999999997e-06
1505613999760,7.02,0.0
1505613999770,7.02,0.0
1505613999780,7.02,2.5340000000000002e-06
1505613999790,7.02,0.0
1505613999800,7.02,0.0
1505613999810,7.02,0.0
1505613999820,7.02,0.0
1505613999830,7.02,0.0
1505613999840,7.02,0.0
1505613999850,7.02,0.0
1505613999860,7.02,0.0
1505613999870,7.02,0.0
1505613999880,7.02,0.0
1505613999890,7.02,7.240000000000001e-07
1505613999900,7.02,3.6200000000000004e-07
1505613999910,7.02,7.240000000000001e-07
1505613999920,7.02,3.6200000000000004e-07
1505613999930,7.02,0.0
1505613999940,7.02,3.6200000000000004e-07
1505613999950,7.02,7.240000000000001e-07
1505613999960,7.02,1.81e-06
1505613999970,7.02,3.6200000000000004e-07
1505613999980,7.02,3.6200000000000004e-07
1505613999990,7.02,7.240000000000001e-07
1505614000000,7.02,1.4480000000000002e-06
1505614000010,7.02,1.0859999999999999e-06
1505614000020,7.02,2.1719999999999997e-06
1505614000030,7.02,2.8960000000000003e-06
1505614000040,7.02,3.6200000000000004e-07
1505614000050,7.02,2.5340000000000002e-06
1505614000060,7.02,3.6200000000000004e-07
1505614000070,7.02,1.81e-06
1505614000080,7.02,7.240000000000001e-07
1505614000090,7.02,1.81e-06
1505614000100,7.02,0.0
1505614000110,7.02,1.0859999999999999e-06
1505614000120,7.02,0.0
1505614000130,7.02,0.0
1505614000140,7.02,0.0
1505614000150,7.02,3.6200000000000004e-07
1505614000160,7.02,1.81e-06
1505614000170,7.02,2.8960000000000003e-06
1505614000180,7.02,7.240000000000001e-07
1505614000190,7.02,0.0
1505614000200,7.02,1.0859999999999999e-06
1505614000210,7.02,2.1719999999999997e-06
1505614000220,7.02,0.0
1505614000230,7.02,0.0
1505614000240,7.02,0.0
1505614000250,7.02,3.982e-06
1505614000260,7.02,0.0
1505614000270,7.02,0.0
