Timestamp,position,BLMTI.04R6.B1E11_TCSP.A4R6.B1
1493558933400,-8.71,3.6200000000000004e-07
1493558933410,-8.71,3.6200000000000004e-07
1493558933420,-8.71,0.0
1493558933430,-8.71,7.240000000000001e-07
1493558933440,-8.71,0.0
1493558933450,-8.71,3.6200000000000004e-07
1493558933460,-8.71,7.240000000000001e-07
1493558933470,-8.71,0.0
1493558933480,-8.71,7.240000000000001e-07
1493558933490,-8.71,0.0
1493558933500,-8.71,3.6200000000000004e-07
1493558933510,-8.71,3.6200000000000004e-07
1493558933520,-8.71,3.6200000000000004e-07
1493558933530,-8.71,3.6200000000000004e-07
1493558933540,-8.71,0.0
1493558933550,-8.71,7.240000000000001e-07
1493558933560,-8.71,3.6200000000000004e-07
1493558933570,-8.71,3.6200000000000004e-07
1493558933580,-8.71,3.6200000000000004e-07
1493558933590,-8.71,3.6200000000000004e-07
1493558933600,-8.71,3.6200000000000004e-07
1493558933610,-8.71,7.240000000000001e-07
1493558933620,-8.71,3.6200000000000004e-07
1493558933630,-8.71,7.240000000000001e-07
1493558933640,-8.71,0.0
1493558933650,-8.71,0.0
1493558933660,-8.71,0.0
1493558933670,-8.71,7.240000000000001e-07
1493558933680,-8.71,7.240000000000001e-07
1493558933690,-8.71,3.6200000000000004e-07
1493558933700,-8.71,3.6200000000000004e-07
1493558933710,-8.71,0.0
1493558933720,-8.71,3.6200000000000004e-07
1493558933730,-8.71,3.6200000000000004e-07
1493558933740,-8.71,3.6200000000000004e-07
1493558933750,-8.71,0.0
1493558933760,-8.71,0.0
1493558933770,-8.71,3.6200000000000004e-07
1493558933780,-8.71,3.6200000000000004e-07
1493558933790,-8.71,0.0
1493558933800,-8.71,0.0
1493558933810,-8.71,0.0
1493558933820,-8.71,0.0
1493558933830,-8.71,0.0
1493558933840,-8.71,3.6200000000000004e-07
1493558933850,-8.71,3.6200000000000004e-07
1493558933860,-8.71,3.6200000000000004e-07
1493558933870,-8.71,3.6200000000000004e-07
1493558933880,-8.71,3.6200000000000004e-07
1493558933890,-8.71,7.240000000000001e-07
1493558933900,-8.71,3.6200000000000004e-07
1493558933910,-8.71,7.240000000000001e-07
1493558933920,-8.71,7.240000000000001e-07
1493558933930,-8.71,0.0
1493558933940,-8.71,3.6200000000000004e-07
1493558933950,-8.71,3.6200000000000004e-07
1493558933960,-8.71,0.0
1493558933970,-8.71,3.6200000000000004e-07
1493558933980,-8.71,3.6200000000000004e-07
1493558933990,-8.71,0.0
1493558934000,-8.71,3.6200000000000004e-07
1493558934010,-8.71,3.6200000000000004e-07
1493558934020,-8.71,3.6200000000000004e-07
1493558934030,-8.71,3.6200000000000004e-07
1493558934040,-8.71,7.240000000000001e-07
1493558934050,-8.71,3.6200000000000004e-07
1493558934060,-8.71,0.0
1493558934070,-8.71,7.240000000000001e-07
1493558934080,-8.71,0.0
1493558934090,-8.71,7.240000000000001e-07
1493558934100,-8.71,0.0
1493558934110,-8.71,3.6200000000000004e-07
1493558934120,-8.71,0.0
1493558934130,-8.71,3.6200000000000004e-07
1493558934140,-8.71,3.6200000000000004e-07
1493558934150,-8.71,3.6200000000000004e-07
1493558934160,-8.71,0.0
1493558934170,-8.71,0.0
1493558934180,-8.71,3.6200000000000004e-07
1493558934190,-8.71,0.0
1493558934200,-8.71,3.6200000000000004e-07
1493558934210,-8.71,7.240000000000001e-07
1493558934220,-8.71,0.0
1493558934230,-8.71,0.0
1493558934240,-8.71,0.0
1493558934250,-8.71,1.0859999999999999e-06
1493558934260,-8.71,3.6200000000000004e-07
1493558934270,-8.71,1.0859999999999999e-06
1493558934280,-8.71,3.6200000000000004e-07
1493558934290,-8.71,0.0
1493558934300,-8.71,3.6200000000000004e-07
1493558934310,-8.71,3.6200000000000004e-07
1493558934320,-8.71,0.0
1493558934330,-8.71,3.6200000000000004e-07
1493558934340,-8.71,0.0
1493558934350,-8.71,3.6200000000000004e-07
1493558934360,-8.71,3.6200000000000004e-07
1493558934370,-8.71,7.240000000000001e-07
1493558934380,-8.71,3.6200000000000004e-07
1493558934390,-8.71,3.6200000000000004e-07
1493558934400,-8.71,7.240000000000001e-07
1493558934410,-8.71,0.0
1493558934420,-8.71,0.0
1493558934430,-8.71,0.0
1493558934440,-8.71,3.6200000000000004e-07
1493558934450,-8.71,7.240000000000001e-07
1493558934460,-8.71,0.0
1493558934470,-8.71,3.6200000000000004e-07
1493558934480,-8.71,3.6200000000000004e-07
1493558934490,-8.71,3.6200000000000004e-07
1493558934500,-8.71,3.6200000000000004e-07
1493558934510,-8.71,0.0
1493558934520,-8.71,0.0
1493558934530,-8.71,3.6200000000000004e-07
1493558934540,-8.71,3.6200000000000004e-07
1493558934550,-8.71,3.6200000000000004e-07
1493558934560,-8.71,7.240000000000001e-07
1493558934570,-8.71,3.6200000000000004e-07
1493558934580,-8.71,0.0
1493558934590,-8.71,3.6200000000000004e-07
1493558934600,-8.71,0.0
1493558934610,-8.71,0.0
1493558934620,-8.71,3.6200000000000004e-07
1493558934630,-8.71,3.6200000000000004e-07
1493558934640,-8.71,7.240000000000001e-07
1493558934650,-8.71,3.6200000000000004e-07
1493558934660,-8.71,0.0
1493558934670,-8.71,0.0
1493558934680,-8.71,0.0
1493558934690,-8.71,3.6200000000000004e-07
1493558934700,-8.71,0.0
1493558934710,-8.71,3.6200000000000004e-07
1493558934720,-8.71,3.6200000000000004e-07
1493558934730,-8.71,0.0
1493558934740,-8.71,3.6200000000000004e-07
1493558934750,-8.71,3.6200000000000004e-07
1493558934760,-8.71,0.0
1493558934770,-8.71,7.240000000000001e-07
1493558934780,-8.71,3.6200000000000004e-07
1493558934790,-8.71,7.240000000000001e-07
1493558934800,-8.71,0.0
1493558934810,-8.71,7.240000000000001e-07
1493558934820,-8.71,3.6200000000000004e-07
1493558934830,-8.71,3.6200000000000004e-07
1493558934840,-8.71,7.240000000000001e-07
1493558934850,-8.71,3.6200000000000004e-07
1493558934860,-8.71,0.0
1493558934870,-8.71,3.6200000000000004e-07
1493558934880,-8.71,0.0
1493558934890,-8.71,0.0
1493558934900,-8.71,3.6200000000000004e-07
1493558934910,-8.71,0.0
