Timestamp,position,BLMTI.04L6.B2I11_TCSP.A4L6.B2
1493560597790,-7.815,7.240000000000001e-07
1493560597800,-7.815,7.240000000000001e-07
1493560597810,-7.815,1.0859999999999999e-06
1493560597820,-7.815,7.240000000000001e-07
1493560597830,-7.815,7.240000000000001e-07
1493560597840,-7.815,3.6200000000000004e-07
1493560597850,-7.815,7.240000000000001e-07
1493560597860,-7.815,3.6200000000000004e-07
1493560597870,-7.815,7.240000000000001e-07
1493560597880,-7.815,3.6200000000000004e-07
1493560597890,-7.815,1.0859999999999999e-06
1493560597900,-7.815,1.0859999999999999e-06
1493560597910,-7.815,3.6200000000000004e-07
1493560597920,-7.815,3.6200000000000004e-07
1493560597930,-7.815,1.0859999999999999e-06
1493560597940,-7.815,3.6200000000000004e-07
1493560597950,-7.815,0.0
1493560597960,-7.815,1.0859999999999999e-06
1493560597970,-7.815,7.240000000000001e-07
1493560597980,-7.815,7.240000000000001e-07
1493560597990,-7.815,1.0859999999999999e-06
1493560598000,-7.815,7.240000000000001e-07
1493560598010,-7.815,3.6200000000000004e-07
1493560598020,-7.815,1.0859999999999999e-06
1493560598030,-7.815,7.240000000000001e-07
1493560598040,-7.815,1.4480000000000002e-06
1493560598050,-7.815,1.0859999999999999e-06
1493560598060,-7.815,7.240000000000001e-07
1493560598070,-7.815,1.81e-06
1493560598080,-7.815,1.0859999999999999e-06
1493560598090,-7.815,1.4480000000000002e-06
1493560598100,-7.815,1.0859999999999999e-06
1493560598110,-7.815,1.0859999999999999e-06
1493560598120,-7.815,1.4480000000000002e-06
1493560598130,-7.815,7.240000000000001e-07
1493560598140,-7.815,1.81e-06
1493560598150,-7.815,1.0859999999999999e-06
1493560598160,-7.815,1.4480000000000002e-06
1493560598170,-7.815,1.81e-06
1493560598180,-7.815,1.0859999999999999e-06
1493560598190,-7.815,1.4480000000000002e-06
1493560598200,-7.815,1.4480000000000002e-06
1493560598210,-7.815,1.81e-06
1493560598220,-7.815,1.0859999999999999e-06
1493560598230,-7.815,1.81e-06
1493560598240,-7.815,7.240000000000001e-07
1493560598250,-7.815,1.4480000000000002e-06
1493560598260,-7.815,1.0859999999999999e-06
1493560598270,-7.815,7.240000000000001e-07
1493560598280,-7.815,7.240000000000001e-07
1493560598290,-7.815,1.81e-06
1493560598300,-7.815,1.81e-06
1493560598310,-7.815,1.4480000000000002e-06
1493560598320,-7.815,7.240000000000001e-07
1493560598330,-7.815,1.4480000000000002e-06
1493560598340,-7.815,1.0859999999999999e-06
1493560598350,-7.815,1.0859999999999999e-06
1493560598360,-7.815,1.0859999999999999e-06
1493560598370,-7.815,7.240000000000001e-07
1493560598380,-7.815,1.4480000000000002e-06
1493560598390,-7.815,1.0859999999999999e-06
1493560598400,-7.815,1.81e-06
1493560598410,-7.815,2.1719999999999997e-06
1493560598420,-7.815,2.5340000000000002e-06
1493560598430,-7.815,2.1719999999999997e-06
1493560598440,-7.815,1.81e-06
1493560598450,-7.815,1.81e-06
1493560598460,-7.815,1.4480000000000002e-06
1493560598470,-7.815,1.4480000000000002e-06
1493560598480,-7.815,1.81e-06
1493560598490,-7.815,1.4480000000000002e-06
1493560598500,-7.815,1.81e-06
1493560598510,-7.815,1.81e-06
1493560598520,-7.815,1.81e-06
1493560598530,-7.815,2.1719999999999997e-06
1493560598540,-7.815,1.81e-06
1493560598550,-7.815,1.0859999999999999e-06
1493560598560,-7.815,7.240000000000001e-07
1493560598570,-7.815,1.4480000000000002e-06
1493560598580,-7.815,1.0859999999999999e-06
1493560598590,-7.815,7.240000000000001e-07
1493560598600,-7.815,1.4480000000000002e-06
1493560598610,-7.815,1.4480000000000002e-06
1493560598620,-7.815,1.4480000000000002e-06
1493560598630,-7.815,1.4480000000000002e-06
1493560598640,-7.815,1.0859999999999999e-06
1493560598650,-7.815,1.4480000000000002e-06
1493560598660,-7.815,1.0859999999999999e-06
1493560598670,-7.815,2.5340000000000002e-06
1493560598680,-7.815,2.8960000000000003e-06
1493560598690,-7.815,2.5340000000000002e-06
1493560598700,-7.815,3.258e-06
1493560598710,-7.815,1.4480000000000002e-06
1493560598720,-7.815,1.4480000000000002e-06
1493560598730,-7.815,1.4480000000000002e-06
1493560598740,-7.815,1.0859999999999999e-06
1493560598750,-7.815,1.0859999999999999e-06
1493560598760,-7.815,1.4480000000000002e-06
1493560598770,-7.815,1.4480000000000002e-06
1493560598780,-7.815,2.1719999999999997e-06
1493560598790,-7.815,2.5340000000000002e-06
1493560598800,-7.815,2.5340000000000002e-06
1493560598810,-7.815,3.258e-06
1493560598820,-7.815,6.154e-06
1493560598830,-7.815,6.516e-06
1493560598840,-7.815,6.877999999999999e-06
1493560598850,-7.815,6.516e-06
1493560598860,-7.815,5.43e-06
1493560598870,-7.815,6.516e-06
1493560598880,-7.815,5.43e-06
1493560598890,-7.815,4.343999999999999e-06
1493560598900,-7.815,3.258e-06
1493560598910,-7.815,3.982e-06
1493560598920,-7.815,3.258e-06
1493560598930,-7.815,3.258e-06
1493560598940,-7.815,2.5340000000000002e-06
1493560598950,-7.815,1.81e-06
1493560598960,-7.815,4.343999999999999e-06
1493560598970,-7.815,3.982e-06
1493560598980,-7.815,2.5340000000000002e-06
1493560598990,-7.815,3.62e-06
1493560599000,-7.815,2.1719999999999997e-06
1493560599010,-7.815,2.8960000000000003e-06
1493560599020,-7.815,2.8960000000000003e-06
1493560599030,-7.815,2.5340000000000002e-06
1493560599040,-7.815,3.258e-06
1493560599050,-7.815,4.343999999999999e-06
1493560599060,-7.815,3.62e-06
1493560599070,-7.815,2.8960000000000003e-06
1493560599080,-7.815,1.4480000000000002e-06
1493560599090,-7.815,1.4480000000000002e-06
1493560599100,-7.815,1.0859999999999999e-06
1493560599110,-7.815,1.81e-06
1493560599120,-7.815,2.8960000000000003e-06
1493560599130,-7.815,2.8960000000000003e-06
1493560599140,-7.815,2.1719999999999997e-06
1493560599150,-7.815,2.8960000000000003e-06
1493560599160,-7.815,1.81e-06
1493560599170,-7.815,1.0859999999999999e-06
1493560599180,-7.815,7.240000000000001e-07
1493560599190,-7.815,1.4480000000000002e-06
1493560599200,-7.815,7.240000000000001e-07
1493560599210,-7.815,1.0859999999999999e-06
1493560599220,-7.815,7.240000000000001e-07
1493560599230,-7.815,7.240000000000001e-07
1493560599240,-7.815,7.240000000000001e-07
1493560599250,-7.815,1.4480000000000002e-06
1493560599260,-7.815,0.0
1493560599270,-7.815,3.6200000000000004e-07
1493560599280,-7.815,7.240000000000001e-07
1493560599290,-7.815,3.6200000000000004e-07
1493560599300,-7.815,1.4480000000000002e-06
1493560599310,-7.815,1.4480000000000002e-06
1493560599320,-7.815,1.4480000000000002e-06
1493560599330,-7.815,2.1719999999999997e-06
1493560599340,-7.815,3.258e-06
1493560599350,-7.815,1.81e-06
1493560599360,-7.815,1.4480000000000002e-06
1493560599370,-7.815,1.81e-06
1493560599380,-7.815,7.240000000000001e-07
1493560599390,-7.815,1.81e-06
1493560599400,-7.815,1.0859999999999999e-06
1493560599410,-7.815,1.0859999999999999e-06
1493560599420,-7.815,1.0859999999999999e-06
1493560599430,-7.815,7.240000000000001e-07
1493560599440,-7.815,7.240000000000001e-07
1493560599450,-7.815,1.4480000000000002e-06
1493560599460,-7.815,1.0859999999999999e-06
1493560599470,-7.815,1.4480000000000002e-06
1493560599480,-7.815,7.240000000000001e-07
1493560599490,-7.815,1.0859999999999999e-06
1493560599500,-7.815,1.4480000000000002e-06
1493560599510,-7.815,7.240000000000001e-07
1493560599520,-7.815,7.240000000000001e-07
1493560599530,-7.815,1.4480000000000002e-06
1493560599540,-7.815,1.4480000000000002e-06
1493560599550,-7.815,7.240000000000001e-07
1493560599560,-7.815,1.0859999999999999e-06
1493560599570,-7.815,1.4480000000000002e-06
1493560599580,-7.815,1.81e-06
1493560599590,-7.815,3.258e-06
1493560599600,-7.815,4.706e-06
1493560599610,-7.815,3.982e-06
1493560599620,-7.815,3.62e-06
1493560599630,-7.815,2.5340000000000002e-06
1493560599640,-7.815,2.1719999999999997e-06
1493560599650,-7.815,2.1719999999999997e-06
1493560599660,-7.815,1.0859999999999999e-06
1493560599670,-7.815,1.4480000000000002e-06
1493560599680,-7.815,2.1719999999999997e-06
1493560599690,-7.815,1.81e-06
1493560599700,-7.815,1.0859999999999999e-06
1493560599710,-7.815,1.4480000000000002e-06
1493560599720,-7.815,7.240000000000001e-07
1493560599730,-7.815,1.4480000000000002e-06
1493560599740,-7.815,7.240000000000001e-07
1493560599750,-7.815,7.240000000000001e-07
1493560599760,-7.815,1.0859999999999999e-06
1493560599770,-7.815,7.240000000000001e-07
1493560599780,-7.815,1.4480000000000002e-06
1493560599790,-7.815,7.240000000000001e-07
1493560599800,-7.815,1.0859999999999999e-06
1493560599810,-7.815,3.6200000000000004e-07
1493560599820,-7.815,3.6200000000000004e-07
1493560599830,-7.815,3.6200000000000004e-07
1493560599840,-7.815,1.0859999999999999e-06
1493560599850,-7.815,7.240000000000001e-07
1493560599860,-7.815,3.6200000000000004e-07
1493560599870,-7.815,7.240000000000001e-07
1493560599880,-7.815,7.240000000000001e-07
1493560599890,-7.815,3.6200000000000004e-07
1493560599900,-7.815,3.6200000000000004e-07
1493560599910,-7.815,7.240000000000001e-07
1493560599920,-7.815,3.6200000000000004e-07
1493560599930,-7.815,3.6200000000000004e-07
1493560599940,-7.815,0.0
1493560599950,-7.815,3.6200000000000004e-07
1493560599960,-7.815,3.6200000000000004e-07
1493560599970,-7.815,0.0
1493560599980,-7.815,3.6200000000000004e-07
1493560599990,-7.815,7.240000000000001e-07
1493560600000,-7.815,3.6200000000000004e-07
1493560600010,-7.815,0.0
1493560600020,-7.815,3.6200000000000004e-07
1493560600030,-7.815,0.0
1493560600040,-7.815,3.6200000000000004e-07
1493560600050,-7.815,0.0
1493560600060,-7.815,3.6200000000000004e-07
1493560600070,-7.815,3.6200000000000004e-07
1493560600080,-7.815,3.6200000000000004e-07
1493560600090,-7.815,3.6200000000000004e-07
1493560600100,-7.815,0.0
1493560600110,-7.815,3.6200000000000004e-07
1493560600120,-7.815,3.6200000000000004e-07
1493560600130,-7.815,3.6200000000000004e-07
1493560600140,-7.815,3.6200000000000004e-07
1493560600150,-7.815,3.6200000000000004e-07
1493560600160,-7.815,3.6200000000000004e-07
1493560600170,-7.815,7.240000000000001e-07
1493560600180,-7.815,3.6200000000000004e-07
1493560600190,-7.815,3.6200000000000004e-07
1493560600200,-7.815,0.0
1493560600210,-7.815,7.240000000000001e-07
1493560600220,-7.815,3.6200000000000004e-07
1493560600230,-7.815,7.240000000000001e-07
1493560600240,-7.815,7.240000000000001e-07
1493560600250,-7.815,0.0
1493560600260,-7.815,3.6200000000000004e-07
1493560600270,-7.815,1.0859999999999999e-06
1493560600280,-7.815,7.240000000000001e-07
1493560600290,-7.815,3.6200000000000004e-07
1493560600300,-7.815,1.0859999999999999e-06
1493560600310,-7.815,7.240000000000001e-07
1493560600320,-7.815,3.6200000000000004e-07
1493560600330,-7.815,1.0859999999999999e-06
1493560600340,-7.815,3.6200000000000004e-07
1493560600350,-7.815,7.240000000000001e-07
1493560600360,-7.815,3.6200000000000004e-07
1493560600370,-7.815,3.6200000000000004e-07
1493560600380,-7.815,3.6200000000000004e-07
1493560600390,-7.815,3.6200000000000004e-07
1493560600400,-7.815,7.240000000000001e-07
1493560600410,-7.815,3.6200000000000004e-07
1493560600420,-7.815,0.0
