Timestamp,position,BLMTI.06L7.B1E10_TCP.D6L7.B1
1494170603580,2.52,7.240000000000001e-07
1494170603590,2.52,7.240000000000001e-07
1494170603600,2.52,1.81e-06
1494170603610,2.52,7.240000000000001e-07
1494170603620,2.52,1.0859999999999999e-06
1494170603630,2.52,1.0859999999999999e-06
1494170603640,2.52,1.81e-06
1494170603650,2.52,1.4480000000000002e-06
1494170603660,2.52,1.81e-06
1494170603670,2.52,3.6200000000000004e-07
1494170603680,2.52,1.4480000000000002e-06
1494170603690,2.52,3.6200000000000004e-07
1494170603700,2.52,1.0859999999999999e-06
1494170603710,2.52,1.0859999999999999e-06
1494170603720,2.52,3.6200000000000004e-07
1494170603730,2.52,3.6200000000000004e-07
1494170603740,2.52,1.0859999999999999e-06
1494170603750,2.52,7.240000000000001e-07
1494170603760,2.52,7.240000000000001e-07
1494170603770,2.52,3.6200000000000004e-07
1494170603780,2.52,1.0859999999999999e-06
1494170603790,2.52,7.240000000000001e-07
1494170603800,2.52,1.4480000000000002e-06
1494170603810,2.52,3.6200000000000004e-07
1494170603820,2.52,1.81e-06
1494170603830,2.52,3.6200000000000004e-07
1494170603840,2.52,1.0859999999999999e-06
1494170603850,2.52,7.240000000000001e-07
1494170603860,2.52,1.4480000000000002e-06
1494170603870,2.52,7.240000000000001e-07
1494170603880,2.52,1.0859999999999999e-06
1494170603890,2.52,1.0859999999999999e-06
1494170603900,2.52,1.81e-06
1494170603910,2.52,7.240000000000001e-07
1494170603920,2.52,7.240000000000001e-07
1494170603930,2.52,1.0859999999999999e-06
1494170603940,2.52,1.0859999999999999e-06
1494170603950,2.52,7.240000000000001e-07
1494170603960,2.52,1.81e-06
1494170603970,2.52,0.0
1494170603980,2.52,1.0859999999999999e-06
1494170603990,2.52,3.6200000000000004e-07
1494170604000,2.52,1.0859999999999999e-06
1494170604010,2.52,3.6200000000000004e-07
1494170604020,2.52,1.4480000000000002e-06
1494170604030,2.52,0.0
1494170604040,2.52,1.4480000000000002e-06
1494170604050,2.52,3.6200000000000004e-07
1494170604060,2.52,1.0859999999999999e-06
1494170604070,2.52,3.6200000000000004e-07
1494170604080,2.52,1.0859999999999999e-06
1494170604090,2.52,1.0859999999999999e-06
1494170604100,2.52,2.1719999999999997e-06
1494170604110,2.52,7.240000000000001e-07
1494170604120,2.52,7.240000000000001e-07
1494170604130,2.52,1.0859999999999999e-06
1494170604140,2.52,7.240000000000001e-07
1494170604150,2.52,0.0
1494170604160,2.52,1.81e-06
1494170604170,2.52,3.6200000000000004e-07
1494170604180,2.52,1.0859999999999999e-06
1494170604190,2.52,3.6200000000000004e-07
1494170604200,2.52,1.4480000000000002e-06
1494170604210,2.52,0.0
1494170604220,2.52,7.240000000000001e-07
1494170604230,2.52,3.6200000000000004e-07
1494170604240,2.52,1.0859999999999999e-06
1494170604250,2.52,3.6200000000000004e-07
1494170604260,2.52,1.4480000000000002e-06
1494170604270,2.52,7.240000000000001e-07
1494170604280,2.52,1.0859999999999999e-06
1494170604290,2.52,7.240000000000001e-07
1494170604300,2.52,1.4480000000000002e-06
1494170604310,2.52,1.4480000000000002e-06
1494170604320,2.52,1.4480000000000002e-06
1494170604330,2.52,7.240000000000001e-07
1494170604340,2.52,1.4480000000000002e-06
1494170604350,2.52,1.81e-06
1494170604360,2.52,1.81e-06
1494170604370,2.52,3.6200000000000004e-07
1494170604380,2.52,1.4480000000000002e-06
1494170604390,2.52,7.240000000000001e-07
1494170604400,2.52,1.81e-06
1494170604410,2.52,7.240000000000001e-07
1494170604420,2.52,1.0859999999999999e-06
1494170604430,2.52,0.0
1494170604440,2.52,1.81e-06
1494170604450,2.52,3.6200000000000004e-07
1494170604460,2.52,7.240000000000001e-07
1494170604470,2.52,1.4480000000000002e-06
1494170604480,2.52,1.81e-06
1494170604490,2.52,7.240000000000001e-07
1494170604500,2.52,1.4480000000000002e-06
1494170604510,2.52,7.240000000000001e-07
1494170604520,2.52,1.4480000000000002e-06
1494170604530,2.52,1.0859999999999999e-06
1494170604540,2.52,2.5340000000000002e-06
1494170604550,2.52,0.0
1494170604560,2.52,1.0859999999999999e-06
1494170604570,2.52,1.0859999999999999e-06
1494170604580,2.52,1.0859999999999999e-06
1494170604590,2.52,7.240000000000001e-07
1494170604600,2.52,1.4480000000000002e-06
1494170604610,2.52,7.240000000000001e-07
1494170604620,2.52,1.0859999999999999e-06
1494170604630,2.52,7.240000000000001e-07
1494170604640,2.52,1.0859999999999999e-06
1494170604650,2.52,0.0
1494170604660,2.52,1.0859999999999999e-06
1494170604670,2.52,0.0
1494170604680,2.52,1.0859999999999999e-06
1494170604690,2.52,0.0
1494170604700,2.52,1.4480000000000002e-06
1494170604710,2.52,7.240000000000001e-07
1494170604720,2.52,1.0859999999999999e-06
1494170604730,2.52,3.6200000000000004e-07
1494170604740,2.52,2.1719999999999997e-06
1494170604750,2.52,3.6200000000000004e-07
1494170604760,2.52,1.81e-06
1494170604770,2.52,1.0859999999999999e-06
1494170604780,2.52,1.81e-06
1494170604790,2.52,1.0859999999999999e-06
1494170604800,2.52,2.1719999999999997e-06
1494170604810,2.52,0.0
1494170604820,2.52,1.4480000000000002e-06
1494170604830,2.52,0.0
1494170604840,2.52,1.0859999999999999e-06
1494170604850,2.52,0.0
1494170604860,2.52,7.240000000000001e-07
1494170604870,2.52,3.6200000000000004e-07
1494170604880,2.52,7.240000000000001e-07
1494170604890,2.52,3.6200000000000004e-07
1494170604900,2.52,7.240000000000001e-07
1494170604910,2.52,3.6200000000000004e-07
1494170604920,2.52,1.4480000000000002e-06
1494170604930,2.52,0.0
1494170604940,2.52,1.4480000000000002e-06
1494170604950,2.52,0.0
1494170604960,2.52,7.240000000000001e-07
1494170604970,2.52,1.0859999999999999e-06
1494170604980,2.52,1.81e-06
1494170604990,2.52,1.0859999999999999e-06
1494170605000,2.52,1.4480000000000002e-06
1494170605010,2.52,7.240000000000001e-07
1494170605020,2.52,1.81e-06
1494170605030,2.52,0.0
1494170605040,2.52,1.4480000000000002e-06
1494170605050,2.52,0.0
1494170605060,2.52,1.4480000000000002e-06
1494170605070,2.52,0.0
1494170605080,2.52,7.240000000000001e-07
1494170605090,2.52,0.0
1494170605100,2.52,1.0859999999999999e-06
1494170605110,2.52,0.0
1494170605120,2.52,1.0859999999999999e-06
1494170605130,2.52,3.6200000000000004e-07
1494170605140,2.52,1.4480000000000002e-06
1494170605150,2.52,0.0
1494170605160,2.52,1.0859999999999999e-06
1494170605170,2.52,0.0
1494170605180,2.52,7.240000000000001e-07
1494170605190,2.52,0.0
1494170605200,2.52,1.4480000000000002e-06
1494170605210,2.52,3.6200000000000004e-07
1494170605220,2.52,1.4480000000000002e-06
1494170605230,2.52,3.6200000000000004e-07
1494170605240,2.52,1.4480000000000002e-06
1494170605250,2.52,1.0859999999999999e-06
1494170605260,2.52,1.4480000000000002e-06
1494170605270,2.52,0.0
1494170605280,2.52,1.0859999999999999e-06
1494170605290,2.52,7.240000000000001e-07
1494170605300,2.52,1.0859999999999999e-06
1494170605310,2.52,3.6200000000000004e-07
1494170605320,2.52,1.0859999999999999e-06
1494170605330,2.52,0.0
1494170605340,2.52,3.6200000000000004e-07
1494170605350,2.52,3.6200000000000004e-07
1494170605360,2.52,1.81e-06
1494170605370,2.52,0.0
1494170605380,2.52,7.240000000000001e-07
1494170605390,2.52,3.6200000000000004e-07
1494170605400,2.52,1.81e-06
1494170605410,2.52,0.0
1494170605420,2.52,1.0859999999999999e-06
1494170605430,2.52,3.6200000000000004e-07
1494170605440,2.52,1.0859999999999999e-06
1494170605450,2.52,1.0859999999999999e-06
1494170605460,2.52,1.81e-06
1494170605470,2.52,7.240000000000001e-07
1494170605480,2.52,1.0859999999999999e-06
1494170605490,2.52,7.240000000000001e-07
1494170605500,2.52,1.0859999999999999e-06
1494170605510,2.52,0.0
1494170605520,2.52,1.0859999999999999e-06
1494170605530,2.52,7.240000000000001e-07
1494170605540,2.52,7.240000000000001e-07
1494170605550,2.52,3.6200000000000004e-07
1494170605560,2.52,1.0859999999999999e-06
1494170605570,2.52,0.0
1494170605580,2.52,1.4480000000000002e-06
1494170605590,2.52,0.0
1494170605600,2.52,1.4480000000000002e-06
1494170605610,2.52,0.0
1494170605620,2.52,1.4480000000000002e-06
1494170605630,2.52,3.6200000000000004e-07
1494170605640,2.52,1.0859999999999999e-06
1494170605650,2.52,7.240000000000001e-07
1494170605660,2.52,1.4480000000000002e-06
1494170605670,2.52,7.240000000000001e-07
1494170605680,2.52,1.0859999999999999e-06
1494170605690,2.52,3.6200000000000004e-07
1494170605700,2.52,1.4480000000000002e-06
1494170605710,2.52,0.0
1494170605720,2.52,1.81e-06
1494170605730,2.52,3.6200000000000004e-07
1494170605740,2.52,1.81e-06
1494170605750,2.52,0.0
1494170605760,2.52,7.240000000000001e-07
1494170605770,2.52,0.0
1494170605780,2.52,7.240000000000001e-07
1494170605790,2.52,0.0
1494170605800,2.52,1.0859999999999999e-06
1494170605810,2.52,0.0
1494170605820,2.52,1.0859999999999999e-06
1494170605830,2.52,0.0
1494170605840,2.52,1.0859999999999999e-06
1494170605850,2.52,0.0
1494170605860,2.52,1.0859999999999999e-06
1494170605870,2.52,3.6200000000000004e-07
1494170605880,2.52,1.0859999999999999e-06
1494170605890,2.52,3.6200000000000004e-07
1494170605900,2.52,1.0859999999999999e-06
1494170605910,2.52,7.240000000000001e-07
1494170605920,2.52,7.240000000000001e-07
1494170605930,2.52,7.240000000000001e-07
1494170605940,2.52,1.0859999999999999e-06
1494170605950,2.52,3.6200000000000004e-07
1494170605960,2.52,1.4480000000000002e-06
1494170605970,2.52,0.0
1494170605980,2.52,1.0859999999999999e-06
1494170605990,2.52,0.0
1494170606000,2.52,1.4480000000000002e-06
1494170606010,2.52,0.0
1494170606020,2.52,3.6200000000000004e-07
1494170606030,2.52,0.0
1494170606040,2.52,7.240000000000001e-07
1494170606050,2.52,3.6200000000000004e-07
1494170606060,2.52,1.0859999999999999e-06
1494170606070,2.52,0.0
1494170606080,2.52,7.240000000000001e-07
1494170606090,2.52,3.6200000000000004e-07
1494170606100,2.52,1.4480000000000002e-06
1494170606110,2.52,3.6200000000000004e-07
1494170606120,2.52,1.4480000000000002e-06
1494170606130,2.52,3.6200000000000004e-07
1494170606140,2.52,2.1719999999999997e-06
1494170606150,2.52,0.0
1494170606160,2.52,1.4480000000000002e-06
1494170606170,2.52,3.6200000000000004e-07
1494170606180,2.52,1.81e-06
1494170606190,2.52,0.0
1494170606200,2.52,3.6200000000000004e-07
1494170606210,2.52,0.0
1494170606220,2.52,1.0859999999999999e-06
1494170606230,2.52,0.0
1494170606240,2.52,1.0859999999999999e-06
1494170606250,2.52,0.0
1494170606260,2.52,7.240000000000001e-07
1494170606270,2.52,3.6200000000000004e-07
1494170606280,2.52,1.0859999999999999e-06
1494170606290,2.52,0.0
1494170606300,2.52,1.4480000000000002e-06
1494170606310,2.52,0.0
1494170606320,2.52,1.81e-06
1494170606330,2.52,0.0
1494170606340,2.52,1.0859999999999999e-06
1494170606350,2.52,3.6200000000000004e-07
1494170606360,2.52,1.4480000000000002e-06
1494170606370,2.52,7.240000000000001e-07
1494170606380,2.52,7.240000000000001e-07
1494170606390,2.52,3.6200000000000004e-07
1494170606400,2.52,1.4480000000000002e-06
1494170606410,2.52,0.0
1494170606420,2.52,1.81e-06
1494170606430,2.52,0.0
1494170606440,2.52,1.0859999999999999e-06
1494170606450,2.52,0.0
1494170606460,2.52,1.4480000000000002e-06
1494170606470,2.52,3.6200000000000004e-07
1494170606480,2.52,7.240000000000001e-07
1494170606490,2.52,0.0
1494170606500,2.52,1.0859999999999999e-06
1494170606510,2.52,0.0
1494170606520,2.52,1.0859999999999999e-06
1494170606530,2.52,0.0
1494170606540,2.52,2.1719999999999997e-06
1494170606550,2.52,0.0
1494170606560,2.52,1.0859999999999999e-06
1494170606570,2.52,0.0
1494170606580,2.505,1.4480000000000002e-06
1494170606590,2.505,0.0
1494170606600,2.505,1.81e-06
1494170606610,2.505,0.0
1494170606620,2.505,1.4480000000000002e-06
1494170606630,2.505,0.0
1494170606640,2.505,1.0859999999999999e-06
1494170606650,2.505,3.6200000000000004e-07
1494170606660,2.505,1.4480000000000002e-06
1494170606670,2.505,0.0
1494170606680,2.505,2.1719999999999997e-06
1494170606690,2.505,3.6200000000000004e-07
1494170606700,2.505,1.4480000000000002e-06
1494170606710,2.505,0.0
1494170606720,2.505,1.0859999999999999e-06
1494170606730,2.505,1.4480000000000002e-06
1494170606740,2.505,1.81e-06
1494170606750,2.505,5.792000000000001e-06
1494170606760,2.505,1.1222e-05
1494170606770,2.505,1.267e-05
1494170606780,2.505,1.4842000000000001e-05
1494170606790,2.505,9.412e-06
1494170606800,2.505,8.687999999999999e-06
1494170606810,2.505,1.3755999999999998e-05
1494170606820,2.505,1.0136000000000001e-05
1494170606830,2.505,1.3032e-05
1494170606840,2.505,7.24e-06
1494170606850,2.505,2.6788000000000002e-05
1494170606860,2.505,1.1222e-05
1494170606870,2.505,1.7738e-05
1494170606880,2.505,1.2308e-05
1494170606890,2.505,9.774e-06
1494170606900,2.505,1.1945999999999999e-05
1494170606910,2.505,6.877999999999999e-06
1494170606920,2.505,9.05e-06
1494170606930,2.505,9.05e-06
1494170606940,2.505,6.877999999999999e-06
1494170606950,2.505,7.964e-06
1494170606960,2.505,5.0680000000000004e-06
1494170606970,2.505,1.0136000000000001e-05
1494170606980,2.505,8.687999999999999e-06
1494170606990,2.505,1.1584000000000001e-05
1494170607000,2.505,9.774e-06
1494170607010,2.505,9.774e-06
1494170607020,2.505,1.1584000000000001e-05
1494170607030,2.505,9.774e-06
1494170607040,2.505,7.24e-06
1494170607050,2.505,6.154e-06
1494170607060,2.505,3.982e-06
1494170607070,2.505,8.687999999999999e-06
1494170607080,2.505,3.258e-06
1494170607090,2.505,5.43e-06
1494170607100,2.505,2.5340000000000002e-06
1494170607110,2.505,2.8960000000000003e-06
1494170607120,2.505,3.258e-06
1494170607130,2.505,1.4480000000000002e-06
1494170607140,2.505,3.62e-06
1494170607150,2.505,1.4480000000000002e-06
1494170607160,2.505,2.8960000000000003e-06
1494170607170,2.505,2.1719999999999997e-06
1494170607180,2.505,2.5340000000000002e-06
1494170607190,2.505,1.4480000000000002e-06
1494170607200,2.505,3.62e-06
1494170607210,2.505,1.81e-06
1494170607220,2.505,3.62e-06
1494170607230,2.505,3.258e-06
1494170607240,2.505,5.43e-06
1494170607250,2.505,5.0680000000000004e-06
1494170607260,2.505,3.982e-06
1494170607270,2.505,3.258e-06
1494170607280,2.505,3.62e-06
1494170607290,2.505,5.43e-06
1494170607300,2.505,2.5340000000000002e-06
1494170607310,2.505,3.258e-06
1494170607320,2.505,2.1719999999999997e-06
1494170607330,2.505,1.81e-06
1494170607340,2.505,1.81e-06
1494170607350,2.505,1.0859999999999999e-06
1494170607360,2.505,2.8960000000000003e-06
1494170607370,2.505,3.6200000000000004e-07
1494170607380,2.505,2.8960000000000003e-06
1494170607390,2.505,7.240000000000001e-07
1494170607400,2.505,2.5340000000000002e-06
1494170607410,2.505,1.4480000000000002e-06
1494170607420,2.505,2.1719999999999997e-06
1494170607430,2.505,1.81e-06
1494170607440,2.505,2.1719999999999997e-06
1494170607450,2.505,2.5340000000000002e-06
1494170607460,2.505,3.62e-06
1494170607470,2.505,2.1719999999999997e-06
1494170607480,2.505,3.62e-06
1494170607490,2.505,2.5340000000000002e-06
1494170607500,2.505,2.5340000000000002e-06
1494170607510,2.505,2.1719999999999997e-06
1494170607520,2.505,2.8960000000000003e-06
1494170607530,2.505,1.81e-06
