Timestamp,position,BLMTI.06R7.B2I10_TCP.D6R7.B2
1494171672180,2.395,7.240000000000001e-07
1494171672190,2.395,1.0859999999999999e-06
1494171672200,2.395,7.240000000000001e-07
1494171672210,2.395,1.4480000000000002e-06
1494171672220,2.395,7.240000000000001e-07
1494171672230,2.395,1.4480000000000002e-06
1494171672240,2.395,1.0859999999999999e-06
1494171672250,2.395,7.240000000000001e-07
1494171672260,2.395,1.0859999999999999e-06
1494171672270,2.395,1.4480000000000002e-06
1494171672280,2.395,7.240000000000001e-07
1494171672290,2.395,1.0859999999999999e-06
1494171672300,2.395,7.240000000000001e-07
1494171672310,2.395,1.4480000000000002e-06
1494171672320,2.395,1.0859999999999999e-06
1494171672330,2.395,1.81e-06
1494171672340,2.395,1.0859999999999999e-06
1494171672350,2.395,1.0859999999999999e-06
1494171672360,2.395,1.0859999999999999e-06
1494171672370,2.395,7.240000000000001e-07
1494171672380,2.395,1.0859999999999999e-06
1494171672390,2.395,1.4480000000000002e-06
1494171672400,2.395,1.0859999999999999e-06
1494171672410,2.395,1.0859999999999999e-06
1494171672420,2.395,3.6200000000000004e-07
1494171672430,2.395,1.0859999999999999e-06
1494171672440,2.395,1.4480000000000002e-06
1494171672450,2.395,1.0859999999999999e-06
1494171672460,2.395,7.240000000000001e-07
1494171672470,2.395,1.0859999999999999e-06
1494171672480,2.395,1.0859999999999999e-06
1494171672490,2.395,1.4480000000000002e-06
1494171672500,2.395,7.240000000000001e-07
1494171672510,2.395,1.4480000000000002e-06
1494171672520,2.395,7.240000000000001e-07
1494171672530,2.395,1.0859999999999999e-06
1494171672540,2.395,1.0859999999999999e-06
1494171672550,2.395,1.4480000000000002e-06
1494171672560,2.395,1.81e-06
1494171672570,2.395,7.240000000000001e-07
1494171672580,2.395,1.81e-06
1494171672590,2.395,1.81e-06
1494171672600,2.395,1.0859999999999999e-06
1494171672610,2.395,7.240000000000001e-07
1494171672620,2.395,1.0859999999999999e-06
1494171672630,2.395,1.0859999999999999e-06
1494171672640,2.395,1.4480000000000002e-06
1494171672650,2.395,7.240000000000001e-07
1494171672660,2.395,3.6200000000000004e-07
1494171672670,2.395,1.0859999999999999e-06
1494171672680,2.395,1.0859999999999999e-06
1494171672690,2.395,1.0859999999999999e-06
1494171672700,2.395,7.240000000000001e-07
1494171672710,2.395,1.0859999999999999e-06
1494171672720,2.395,1.4480000000000002e-06
1494171672730,2.395,0.0
1494171672740,2.395,1.4480000000000002e-06
1494171672750,2.395,1.0859999999999999e-06
1494171672760,2.395,2.5340000000000002e-06
1494171672770,2.395,1.0859999999999999e-06
1494171672780,2.395,1.4480000000000002e-06
1494171672790,2.395,1.0859999999999999e-06
1494171672800,2.395,1.4480000000000002e-06
1494171672810,2.395,1.4480000000000002e-06
1494171672820,2.395,1.4480000000000002e-06
1494171672830,2.395,7.240000000000001e-07
1494171672840,2.395,1.81e-06
1494171672850,2.395,3.6200000000000004e-07
1494171672860,2.395,7.240000000000001e-07
1494171672870,2.395,1.4480000000000002e-06
1494171672880,2.395,3.6200000000000004e-07
1494171672890,2.395,1.0859999999999999e-06
1494171672900,2.395,1.4480000000000002e-06
1494171672910,2.395,7.240000000000001e-07
1494171672920,2.395,1.0859999999999999e-06
1494171672930,2.395,7.240000000000001e-07
1494171672940,2.395,7.240000000000001e-07
1494171672950,2.395,7.240000000000001e-07
1494171672960,2.395,1.4480000000000002e-06
1494171672970,2.395,7.240000000000001e-07
1494171672980,2.395,1.4480000000000002e-06
1494171672990,2.395,7.240000000000001e-07
1494171673000,2.395,1.0859999999999999e-06
1494171673010,2.395,7.240000000000001e-07
1494171673020,2.395,1.81e-06
1494171673030,2.395,1.0859999999999999e-06
1494171673040,2.395,1.4480000000000002e-06
1494171673050,2.395,7.240000000000001e-07
1494171673060,2.395,1.4480000000000002e-06
1494171673070,2.395,1.4480000000000002e-06
1494171673080,2.395,7.240000000000001e-07
1494171673090,2.395,1.0859999999999999e-06
1494171673100,2.395,3.6200000000000004e-07
1494171673110,2.395,3.6200000000000004e-07
1494171673120,2.395,1.4480000000000002e-06
1494171673130,2.395,3.6200000000000004e-07
1494171673140,2.395,3.6200000000000004e-07
1494171673150,2.395,7.240000000000001e-07
1494171673160,2.395,1.0859999999999999e-06
1494171673170,2.395,7.240000000000001e-07
1494171673180,2.395,1.0859999999999999e-06
1494171673190,2.395,3.6200000000000004e-07
1494171673200,2.395,1.0859999999999999e-06
1494171673210,2.395,1.4480000000000002e-06
1494171673220,2.395,1.0859999999999999e-06
1494171673230,2.395,7.240000000000001e-07
1494171673240,2.395,1.4480000000000002e-06
1494171673250,2.395,3.6200000000000004e-07
1494171673260,2.395,7.240000000000001e-07
1494171673270,2.395,7.240000000000001e-07
1494171673280,2.395,1.0859999999999999e-06
1494171673290,2.395,7.240000000000001e-07
1494171673300,2.395,7.240000000000001e-07
1494171673310,2.395,1.0859999999999999e-06
1494171673320,2.395,3.6200000000000004e-07
1494171673330,2.395,7.240000000000001e-07
1494171673340,2.395,7.240000000000001e-07
1494171673350,2.395,7.240000000000001e-07
1494171673360,2.395,7.240000000000001e-07
1494171673370,2.395,3.6200000000000004e-07
1494171673380,2.395,7.240000000000001e-07
1494171673390,2.395,1.0859999999999999e-06
1494171673400,2.395,7.240000000000001e-07
1494171673410,2.395,1.0859999999999999e-06
1494171673420,2.395,7.240000000000001e-07
1494171673430,2.395,1.4480000000000002e-06
1494171673440,2.395,7.240000000000001e-07
1494171673450,2.395,1.0859999999999999e-06
1494171673460,2.395,1.0859999999999999e-06
1494171673470,2.395,7.240000000000001e-07
1494171673480,2.395,1.4480000000000002e-06
1494171673490,2.395,1.0859999999999999e-06
