Timestamp,position,BLMTI.06L7.B1E10_TCP.D6L7.B1
1494170716590,-1.615,1.4480000000000002e-06
1494170716600,-1.615,1.81e-06
1494170716610,-1.615,1.0859999999999999e-06
1494170716620,-1.615,1.4480000000000002e-06
1494170716630,-1.615,2.1719999999999997e-06
1494170716640,-1.615,2.1719999999999997e-06
1494170716650,-1.615,1.0859999999999999e-06
1494170716660,-1.615,1.81e-06
1494170716670,-1.615,1.81e-06
1494170716680,-1.615,1.4480000000000002e-06
1494170716690,-1.615,1.81e-06
1494170716700,-1.615,1.0859999999999999e-06
1494170716710,-1.615,1.4480000000000002e-06
1494170716720,-1.615,2.1719999999999997e-06
1494170716730,-1.615,2.1719999999999997e-06
1494170716740,-1.615,2.5340000000000002e-06
1494170716750,-1.615,1.4480000000000002e-06
1494170716760,-1.615,2.1719999999999997e-06
1494170716770,-1.615,2.1719999999999997e-06
1494170716780,-1.615,1.81e-06
1494170716790,-1.615,2.5340000000000002e-06
1494170716800,-1.615,1.4480000000000002e-06
1494170716810,-1.615,2.1719999999999997e-06
1494170716820,-1.615,3.258e-06
1494170716830,-1.615,1.81e-06
1494170716840,-1.615,2.1719999999999997e-06
1494170716850,-1.615,1.4480000000000002e-06
1494170716860,-1.615,1.81e-06
1494170716870,-1.615,2.5340000000000002e-06
1494170716880,-1.615,1.4480000000000002e-06
1494170716890,-1.615,2.1719999999999997e-06
1494170716900,-1.615,1.4480000000000002e-06
1494170716910,-1.615,1.81e-06
1494170716920,-1.615,2.1719999999999997e-06
1494170716930,-1.615,1.4480000000000002e-06
1494170716940,-1.615,1.81e-06
1494170716950,-1.615,1.4480000000000002e-06
1494170716960,-1.615,1.81e-06
1494170716970,-1.615,1.0859999999999999e-06
1494170716980,-1.615,2.5340000000000002e-06
1494170716990,-1.615,1.4480000000000002e-06
1494170717000,-1.615,2.1719999999999997e-06
1494170717010,-1.615,1.81e-06
1494170717020,-1.615,1.81e-06
1494170717030,-1.615,1.4480000000000002e-06
1494170717040,-1.615,2.1719999999999997e-06
1494170717050,-1.615,1.0859999999999999e-06
1494170717060,-1.615,2.1719999999999997e-06
1494170717070,-1.615,1.0859999999999999e-06
1494170717080,-1.615,1.81e-06
1494170717090,-1.615,1.0859999999999999e-06
1494170717100,-1.615,2.1719999999999997e-06
1494170717110,-1.615,1.4480000000000002e-06
1494170717120,-1.615,1.81e-06
1494170717130,-1.615,1.4480000000000002e-06
1494170717140,-1.615,2.1719999999999997e-06
1494170717150,-1.615,1.0859999999999999e-06
1494170717160,-1.615,2.1719999999999997e-06
1494170717170,-1.615,1.81e-06
1494170717180,-1.615,2.1719999999999997e-06
1494170717190,-1.615,1.0859999999999999e-06
1494170717200,-1.615,2.5340000000000002e-06
1494170717210,-1.615,1.81e-06
1494170717220,-1.615,2.8960000000000003e-06
1494170717230,-1.615,1.0859999999999999e-06
1494170717240,-1.615,2.1719999999999997e-06
1494170717250,-1.615,1.0859999999999999e-06
1494170717260,-1.615,1.81e-06
1494170717270,-1.615,1.4480000000000002e-06
1494170717280,-1.615,0.0
1494170717290,-1.615,0.0
1494170717300,-1.615,0.0
1494170717310,-1.615,0.0
1494170717320,-1.615,2.1719999999999997e-06
1494170717330,-1.615,7.240000000000001e-07
1494170717340,-1.615,1.0859999999999999e-06
1494170717350,-1.615,1.4480000000000002e-06
1494170717360,-1.615,1.81e-06
1494170717370,-1.615,1.0859999999999999e-06
1494170717380,-1.615,1.4480000000000002e-06
1494170717390,-1.615,1.4480000000000002e-06
1494170717400,-1.615,1.4480000000000002e-06
1494170717410,-1.615,7.240000000000001e-07
1494170717420,-1.615,2.1719999999999997e-06
1494170717430,-1.615,1.0859999999999999e-06
1494170717440,-1.615,1.4480000000000002e-06
1494170717450,-1.615,1.0859999999999999e-06
1494170717460,-1.615,2.1719999999999997e-06
1494170717470,-1.615,1.0859999999999999e-06
1494170717480,-1.615,2.5340000000000002e-06
1494170717490,-1.615,1.81e-06
1494170717500,-1.615,1.4480000000000002e-06
1494170717510,-1.615,7.240000000000001e-07
1494170717520,-1.615,1.81e-06
1494170717530,-1.615,1.0859999999999999e-06
1494170717540,-1.615,1.0859999999999999e-06
1494170717550,-1.615,7.240000000000001e-07
1494170717560,-1.615,1.4480000000000002e-06
1494170717570,-1.615,3.6200000000000004e-07
1494170717580,-1.615,1.4480000000000002e-06
1494170717590,-1.615,1.0859999999999999e-06
1494170717600,-1.615,1.81e-06
1494170717610,-1.615,1.0859999999999999e-06
1494170717620,-1.615,1.0859999999999999e-06
1494170717630,-1.615,1.0859999999999999e-06
1494170717640,-1.615,2.5340000000000002e-06
1494170717650,-1.615,1.0859999999999999e-06
1494170717660,-1.615,1.0859999999999999e-06
1494170717670,-1.615,1.0859999999999999e-06
1494170717680,-1.615,1.81e-06
1494170717690,-1.615,1.4480000000000002e-06
1494170717700,-1.615,1.81e-06
1494170717710,-1.615,1.0859999999999999e-06
1494170717720,-1.615,2.1719999999999997e-06
1494170717730,-1.615,1.0859999999999999e-06
1494170717740,-1.615,2.1719999999999997e-06
1494170717750,-1.615,1.4480000000000002e-06
1494170717760,-1.615,1.4480000000000002e-06
1494170717770,-1.615,1.0859999999999999e-06
1494170717780,-1.615,1.4480000000000002e-06
1494170717790,-1.615,1.4480000000000002e-06
1494170717800,-1.615,1.4480000000000002e-06
1494170717810,-1.615,3.6200000000000004e-07
1494170717820,-1.615,2.1719999999999997e-06
1494170717830,-1.615,1.0859999999999999e-06
1494170717840,-1.615,1.4480000000000002e-06
1494170717850,-1.615,1.4480000000000002e-06
1494170717860,-1.615,7.240000000000001e-07
1494170717870,-1.615,1.0859999999999999e-06
1494170717880,-1.615,1.81e-06
1494170717890,-1.615,0.0
1494170717900,-1.615,2.1719999999999997e-06
1494170717910,-1.615,7.240000000000001e-07
1494170717920,-1.615,2.1719999999999997e-06
1494170717930,-1.615,1.4480000000000002e-06
1494170717940,-1.615,2.1719999999999997e-06
1494170717950,-1.615,1.0859999999999999e-06
1494170717960,-1.615,1.81e-06
1494170717970,-1.615,1.81e-06
1494170717980,-1.615,2.5340000000000002e-06
1494170717990,-1.615,1.4480000000000002e-06
1494170718000,-1.615,1.81e-06
1494170718010,-1.615,3.6200000000000004e-07
1494170718020,-1.615,1.81e-06
1494170718030,-1.615,1.0859999999999999e-06
1494170718040,-1.615,1.4480000000000002e-06
1494170718050,-1.615,1.0859999999999999e-06
