Timestamp,position,BLMTI.06R7.B2I10_TCP.D6R7.B2
1494171684180,-1.045,1.4480000000000002e-06
1494171684190,-1.045,1.81e-06
1494171684200,-1.045,1.4480000000000002e-06
1494171684210,-1.045,1.4480000000000002e-06
1494171684220,-1.045,1.81e-06
1494171684230,-1.045,1.81e-06
1494171684240,-1.045,2.1719999999999997e-06
1494171684250,-1.045,1.4480000000000002e-06
1494171684260,-1.045,2.8960000000000003e-06
1494171684270,-1.045,1.0859999999999999e-06
1494171684280,-1.045,2.5340000000000002e-06
1494171684290,-1.045,1.81e-06
1494171684300,-1.045,2.1719999999999997e-06
1494171684310,-1.045,2.1719999999999997e-06
1494171684320,-1.045,1.0859999999999999e-06
1494171684330,-1.045,1.81e-06
1494171684340,-1.045,2.1719999999999997e-06
1494171684350,-1.045,2.1719999999999997e-06
1494171684360,-1.045,1.0859999999999999e-06
1494171684370,-1.045,1.4480000000000002e-06
1494171684380,-1.045,1.0859999999999999e-06
1494171684390,-1.045,1.4480000000000002e-06
1494171684400,-1.045,1.4480000000000002e-06
1494171684410,-1.045,1.81e-06
1494171684420,-1.045,1.0859999999999999e-06
1494171684430,-1.045,1.4480000000000002e-06
1494171684440,-1.045,7.240000000000001e-07
1494171684450,-1.045,1.81e-06
1494171684460,-1.045,1.0859999999999999e-06
1494171684470,-1.045,1.4480000000000002e-06
1494171684480,-1.045,1.4480000000000002e-06
1494171684490,-1.045,1.0859999999999999e-06
1494171684500,-1.045,1.4480000000000002e-06
1494171684510,-1.045,1.81e-06
1494171684520,-1.045,2.5340000000000002e-06
1494171684530,-1.045,1.81e-06
1494171684540,-1.045,2.5340000000000002e-06
1494171684550,-1.045,2.8960000000000003e-06
1494171684560,-1.045,1.81e-06
1494171684570,-1.045,1.81e-06
1494171684580,-1.045,1.4480000000000002e-06
1494171684590,-1.045,2.1719999999999997e-06
1494171684600,-1.045,1.4480000000000002e-06
1494171684610,-1.045,1.4480000000000002e-06
1494171684620,-1.045,1.4480000000000002e-06
1494171684630,-1.045,1.81e-06
1494171684640,-1.045,1.0859999999999999e-06
1494171684650,-1.045,1.81e-06
1494171684660,-1.045,7.240000000000001e-07
1494171684670,-1.045,1.81e-06
1494171684680,-1.045,1.4480000000000002e-06
1494171684690,-1.045,1.81e-06
1494171684700,-1.045,7.240000000000001e-07
1494171684710,-1.045,1.4480000000000002e-06
1494171684720,-1.045,1.81e-06
1494171684730,-1.045,2.1719999999999997e-06
1494171684740,-1.045,1.0859999999999999e-06
1494171684750,-1.045,1.0859999999999999e-06
1494171684760,-1.045,2.1719999999999997e-06
1494171684770,-1.045,2.1719999999999997e-06
1494171684780,-1.045,1.4480000000000002e-06
1494171684790,-1.045,1.4480000000000002e-06
1494171684800,-1.045,1.4480000000000002e-06
1494171684810,-1.045,2.1719999999999997e-06
1494171684820,-1.045,1.0859999999999999e-06
1494171684830,-1.045,1.4480000000000002e-06
1494171684840,-1.045,7.240000000000001e-07
1494171684850,-1.045,1.81e-06
1494171684860,-1.045,7.240000000000001e-07
1494171684870,-1.045,1.81e-06
1494171684880,-1.045,3.6200000000000004e-07
1494171684890,-1.045,1.4480000000000002e-06
1494171684900,-1.045,7.240000000000001e-07
1494171684910,-1.045,1.81e-06
1494171684920,-1.045,1.0859999999999999e-06
1494171684930,-1.045,2.5340000000000002e-06
1494171684940,-1.045,1.0859999999999999e-06
1494171684950,-1.045,1.81e-06
1494171684960,-1.045,1.0859999999999999e-06
1494171684970,-1.045,2.1719999999999997e-06
1494171684980,-1.045,1.0859999999999999e-06
1494171684990,-1.045,1.4480000000000002e-06
1494171685000,-1.045,1.4480000000000002e-06
1494171685010,-1.045,1.4480000000000002e-06
1494171685020,-1.045,7.240000000000001e-07
1494171685030,-1.045,1.81e-06
1494171685040,-1.045,1.0859999999999999e-06
1494171685050,-1.045,1.81e-06
1494171685060,-1.045,3.6200000000000004e-07
1494171685070,-1.045,1.4480000000000002e-06
1494171685080,-1.045,7.240000000000001e-07
1494171685090,-1.045,1.4480000000000002e-06
1494171685100,-1.045,7.240000000000001e-07
1494171685110,-1.045,7.240000000000001e-07
1494171685120,-1.045,1.4480000000000002e-06
1494171685130,-1.045,1.4480000000000002e-06
1494171685140,-1.045,1.0859999999999999e-06
1494171685150,-1.045,1.4480000000000002e-06
1494171685160,-1.045,7.240000000000001e-07
1494171685170,-1.045,1.4480000000000002e-06
1494171685180,-1.045,1.0859999999999999e-06
1494171685190,-1.045,2.5340000000000002e-06
1494171685200,-1.045,7.240000000000001e-07
1494171685210,-1.045,1.0859999999999999e-06
1494171685220,-1.045,1.4480000000000002e-06
1494171685230,-1.045,1.4480000000000002e-06
1494171685240,-1.045,1.81e-06
1494171685250,-1.045,7.240000000000001e-07
1494171685260,-1.045,1.0859999999999999e-06
1494171685270,-1.045,2.1719999999999997e-06
1494171685280,-1.045,3.6200000000000004e-07
1494171685290,-1.045,1.4480000000000002e-06
1494171685300,-1.045,7.240000000000001e-07
1494171685310,-1.045,1.4480000000000002e-06
1494171685320,-1.045,1.0859999999999999e-06
1494171685330,-1.045,1.81e-06
1494171685340,-1.045,3.6200000000000004e-07
1494171685350,-1.045,1.81e-06
1494171685360,-1.045,7.240000000000001e-07
1494171685370,-1.045,1.4480000000000002e-06
1494171685380,-1.045,1.0859999999999999e-06
1494171685390,-1.045,1.81e-06
1494171685400,-1.045,7.240000000000001e-07
1494171685410,-1.045,3.6200000000000004e-07
1494171685420,-1.045,1.4480000000000002e-06
1494171685430,-1.045,1.4480000000000002e-06
1494171685440,-1.045,1.0859999999999999e-06
1494171685450,-1.045,1.0859999999999999e-06
1494171685460,-1.045,1.81e-06
1494171685470,-1.045,1.81e-06
1494171685480,-1.045,3.6200000000000004e-07
1494171685490,-1.045,1.4480000000000002e-06
1494171685500,-1.045,1.4480000000000002e-06
1494171685510,-1.045,1.81e-06
1494171685520,-1.045,3.6200000000000004e-07
1494171685530,-1.045,1.4480000000000002e-06
1494171685540,-1.045,7.240000000000001e-07
1494171685550,-1.045,1.0859999999999999e-06
1494171685560,-1.045,7.240000000000001e-07
1494171685570,-1.045,1.0859999999999999e-06
1494171685580,-1.045,7.240000000000001e-07
1494171685590,-1.045,2.5340000000000002e-06
1494171685600,-1.045,3.6200000000000004e-07
1494171685610,-1.045,1.4480000000000002e-06
1494171685620,-1.045,7.240000000000001e-07
1494171685630,-1.045,1.81e-06
1494171685640,-1.045,1.0859999999999999e-06
1494171685650,-1.045,1.4480000000000002e-06
1494171685660,-1.045,7.240000000000001e-07
1494171685670,-1.045,1.4480000000000002e-06
1494171685680,-1.045,7.240000000000001e-07
1494171685690,-1.045,1.0859999999999999e-06
1494171685700,-1.045,7.240000000000001e-07
1494171685710,-1.045,1.4480000000000002e-06
1494171685720,-1.045,3.6200000000000004e-07
1494171685730,-1.045,1.4480000000000002e-06
1494171685740,-1.045,3.6200000000000004e-07
1494171685750,-1.045,1.4480000000000002e-06
1494171685760,-1.045,7.240000000000001e-07
1494171685770,-1.045,7.240000000000001e-07
1494171685780,-1.045,1.4480000000000002e-06
1494171685790,-1.045,1.0859999999999999e-06
1494171685800,-1.045,7.240000000000001e-07
1494171685810,-1.045,1.0859999999999999e-06
1494171685820,-1.045,7.240000000000001e-07
1494171685830,-1.045,2.1719999999999997e-06
1494171685840,-1.045,7.240000000000001e-07
1494171685850,-1.045,1.4480000000000002e-06
1494171685860,-1.045,1.0859999999999999e-06
1494171685870,-1.045,1.4480000000000002e-06
1494171685880,-1.045,1.4480000000000002e-06
1494171685890,-1.045,1.0859999999999999e-06
1494171685900,-1.045,3.6200000000000004e-07
1494171685910,-1.045,1.4480000000000002e-06
1494171685920,-1.045,1.0859999999999999e-06
1494171685930,-1.045,1.81e-06
1494171685940,-1.045,7.240000000000001e-07
1494171685950,-1.045,1.4480000000000002e-06
1494171685960,-1.045,3.6200000000000004e-07
1494171685970,-1.045,1.0859999999999999e-06
1494171685980,-1.045,7.240000000000001e-07
1494171685990,-1.045,1.0859999999999999e-06
1494171686000,-1.045,3.6200000000000004e-07
1494171686010,-1.045,1.0859999999999999e-06
1494171686020,-1.045,7.240000000000001e-07
1494171686030,-1.045,1.4480000000000002e-06
1494171686040,-1.045,7.240000000000001e-07
1494171686050,-1.045,1.4480000000000002e-06
1494171686060,-1.045,1.0859999999999999e-06
1494171686070,-1.045,1.81e-06
1494171686080,-1.045,1.4480000000000002e-06
1494171686090,-1.045,1.81e-06
1494171686100,-1.045,7.240000000000001e-07
1494171686110,-1.045,1.81e-06
1494171686120,-1.045,7.240000000000001e-07
1494171686130,-1.045,1.0859999999999999e-06
1494171686140,-1.045,1.0859999999999999e-06
1494171686150,-1.045,2.1719999999999997e-06
1494171686160,-1.045,3.6200000000000004e-07
1494171686170,-1.045,1.4480000000000002e-06
1494171686180,-1.035,7.240000000000001e-07
1494171686190,-1.035,1.0859999999999999e-06
1494171686200,-1.035,0.0
1494171686210,-1.035,1.4480000000000002e-06
1494171686220,-1.035,0.0
1494171686230,-1.035,1.4480000000000002e-06
1494171686240,-1.035,3.6200000000000004e-07
1494171686250,-1.035,1.4480000000000002e-06
1494171686260,-1.035,7.240000000000001e-07
1494171686270,-1.035,1.81e-06
1494171686280,-1.035,3.6200000000000004e-07
1494171686290,-1.035,1.4480000000000002e-06
1494171686300,-1.035,3.6200000000000004e-07
1494171686310,-1.035,1.4480000000000002e-06
1494171686320,-1.035,1.4480000000000002e-06
1494171686330,-1.035,1.81e-06
1494171686340,-1.035,0.0
1494171686350,-1.035,1.81e-06
1494171686360,-1.035,1.0859999999999999e-06
1494171686370,-1.035,1.81e-06
1494171686380,-1.035,7.240000000000001e-07
1494171686390,-1.035,7.240000000000001e-07
1494171686400,-1.035,3.6200000000000004e-07
1494171686410,-1.035,1.81e-06
1494171686420,-1.035,3.6200000000000004e-07
1494171686430,-1.035,1.4480000000000002e-06
1494171686440,-1.035,3.6200000000000004e-07
1494171686450,-1.035,3.6200000000000004e-07
1494171686460,-1.035,7.240000000000001e-07
1494171686470,-1.035,1.0859999999999999e-06
1494171686480,-1.035,3.6200000000000004e-07
1494171686490,-1.035,1.81e-06
1494171686500,-1.035,3.6200000000000004e-07
1494171686510,-1.035,1.0859999999999999e-06
