Timestamp,position,BLMTI.06L7.B1E10_TCP.C6L7.B1
1494674271850,1.845,1.81e-06
1494674271860,1.845,2.1719999999999997e-06
1494674271870,1.845,3.258e-06
1494674271880,1.845,2.1719999999999997e-06
1494674271890,1.845,3.258e-06
1494674271900,1.845,1.81e-06
1494674271910,1.845,2.1719999999999997e-06
1494674271920,1.845,1.81e-06
1494674271930,1.845,1.4480000000000002e-06
1494674271940,1.845,2.1719999999999997e-06
1494674271950,1.845,1.81e-06
1494674271960,1.845,2.5340000000000002e-06
1494674271970,1.845,1.81e-06
1494674271980,1.845,3.258e-06
1494674271990,1.845,1.81e-06
1494674272000,1.845,3.258e-06
1494674272010,1.845,1.4480000000000002e-06
1494674272020,1.845,3.258e-06
1494674272030,1.845,7.240000000000001e-07
1494674272040,1.845,3.258e-06
1494674272050,1.845,7.240000000000001e-07
1494674272060,1.845,2.5340000000000002e-06
1494674272070,1.845,1.0859999999999999e-06
1494674272080,1.845,2.5340000000000002e-06
1494674272090,1.845,2.5340000000000002e-06
1494674272100,1.845,2.1719999999999997e-06
1494674272110,1.845,2.5340000000000002e-06
1494674272120,1.845,1.4480000000000002e-06
1494674272130,1.845,2.5340000000000002e-06
1494674272140,1.845,2.1719999999999997e-06
1494674272150,1.845,2.5340000000000002e-06
1494674272160,1.845,1.81e-06
1494674272170,1.845,1.4480000000000002e-06
1494674272180,1.845,3.258e-06
1494674272190,1.845,3.6200000000000004e-07
1494674272200,1.845,3.258e-06
1494674272210,1.845,0.0
1494674272220,1.845,3.258e-06
1494674272230,1.845,7.240000000000001e-07
1494674272240,1.845,3.62e-06
1494674272250,1.845,2.1719999999999997e-06
1494674272260,1.845,2.8960000000000003e-06
1494674272270,1.845,1.0859999999999999e-06
1494674272280,1.845,3.62e-06
1494674272290,1.845,1.4480000000000002e-06
1494674272300,1.845,2.5340000000000002e-06
1494674272310,1.845,1.81e-06
1494674272320,1.845,1.4480000000000002e-06
1494674272330,1.845,2.5340000000000002e-06
1494674272340,1.845,1.0859999999999999e-06
1494674272350,1.845,1.81e-06
1494674272360,1.845,1.81e-06
1494674272370,1.845,2.1719999999999997e-06
1494674272380,1.845,2.5340000000000002e-06
1494674272390,1.845,1.81e-06
1494674272400,1.845,3.258e-06
1494674272410,1.845,1.4480000000000002e-06
1494674272420,1.845,1.81e-06
1494674272430,1.845,1.4480000000000002e-06
1494674272440,1.845,2.1719999999999997e-06
1494674272450,1.845,7.240000000000001e-07
1494674272460,1.845,2.8960000000000003e-06
1494674272470,1.845,1.0859999999999999e-06
1494674272480,1.845,3.258e-06
1494674272490,1.845,1.4480000000000002e-06
1494674272500,1.845,2.8960000000000003e-06
1494674272510,1.845,2.1719999999999997e-06
1494674272520,1.845,1.81e-06
1494674272530,1.845,1.81e-06
1494674272540,1.845,1.81e-06
1494674272550,1.845,1.4480000000000002e-06
1494674272560,1.845,2.5340000000000002e-06
1494674272570,1.845,2.1719999999999997e-06
1494674272580,1.845,1.81e-06
1494674272590,1.845,1.81e-06
1494674272600,1.845,2.5340000000000002e-06
1494674272610,1.845,1.0859999999999999e-06
1494674272620,1.845,1.81e-06
1494674272630,1.845,1.4480000000000002e-06
1494674272640,1.845,1.81e-06
1494674272650,1.845,1.0859999999999999e-06
1494674272660,1.845,2.5340000000000002e-06
1494674272670,1.845,1.0859999999999999e-06
1494674272680,1.845,2.1719999999999997e-06
1494674272690,1.845,1.0859999999999999e-06
1494674272700,1.845,2.8960000000000003e-06
1494674272710,1.845,7.240000000000001e-07
1494674272720,1.845,2.5340000000000002e-06
1494674272730,1.845,1.4480000000000002e-06
1494674272740,1.845,2.5340000000000002e-06
1494674272750,1.845,1.81e-06
1494674272760,1.845,2.5340000000000002e-06
1494674272770,1.845,1.0859999999999999e-06
1494674272780,1.845,1.4480000000000002e-06
1494674272790,1.845,7.240000000000001e-07
1494674272800,1.845,1.81e-06
1494674272810,1.845,1.0859999999999999e-06
1494674272820,1.845,1.4480000000000002e-06
1494674272830,1.845,1.4480000000000002e-06
1494674272840,1.845,2.5340000000000002e-06
1494674272850,1.845,1.4480000000000002e-06
1494674272860,1.845,2.5340000000000002e-06
1494674272870,1.845,1.0859999999999999e-06
1494674272880,1.845,2.8960000000000003e-06
1494674272890,1.845,7.240000000000001e-07
1494674272900,1.845,2.5340000000000002e-06
1494674272910,1.845,3.6200000000000004e-07
1494674272920,1.845,2.8960000000000003e-06
1494674272930,1.845,7.240000000000001e-07
1494674272940,1.845,1.81e-06
1494674272950,1.845,2.1719999999999997e-06
1494674272960,1.845,2.5340000000000002e-06
1494674272970,1.845,1.81e-06
1494674272980,1.845,2.5340000000000002e-06
1494674272990,1.845,7.240000000000001e-07
1494674273000,1.845,1.81e-06
1494674273010,1.845,1.81e-06
1494674273020,1.845,1.81e-06
1494674273030,1.845,1.0859999999999999e-06
1494674273040,1.845,2.1719999999999997e-06
1494674273050,1.845,1.4480000000000002e-06
1494674273060,1.845,2.1719999999999997e-06
1494674273070,1.845,2.1719999999999997e-06
1494674273080,1.845,3.258e-06
1494674273090,1.845,1.4480000000000002e-06
