Timestamp,position,BLMTI.07R3.B1I10_TCLA.7R3.B1
1494675148380,0.215,1.81e-06
1494675148390,0.215,2.1719999999999997e-06
1494675148400,0.215,0.0
1494675148410,0.215,1.4480000000000002e-06
1494675148420,0.215,7.240000000000001e-07
1494675148430,0.215,1.0859999999999999e-06
1494675148440,0.215,7.240000000000001e-07
1494675148450,0.215,2.1719999999999997e-06
1494675148460,0.215,1.81e-06
1494675148470,0.215,2.1719999999999997e-06
1494675148480,0.215,0.0
1494675148490,0.215,2.1719999999999997e-06
1494675148500,0.215,0.0
1494675148510,0.215,1.0859999999999999e-06
1494675148520,0.215,0.0
1494675148530,0.215,1.4480000000000002e-06
1494675148540,0.215,2.8960000000000003e-06
1494675148550,0.215,2.8960000000000003e-06
1494675148560,0.215,3.258e-06
1494675148570,0.215,1.81e-06
1494675148580,0.215,3.6200000000000004e-07
1494675148590,0.215,7.240000000000001e-07
1494675148600,0.215,1.0859999999999999e-06
1494675148610,0.215,3.6200000000000004e-07
1494675148620,0.215,1.4480000000000002e-06
1494675148630,0.215,1.81e-06
1494675148640,0.215,1.81e-06
1494675148650,0.215,1.81e-06
1494675148660,0.215,1.81e-06
1494675148670,0.215,5.792000000000001e-06
1494675148680,0.215,0.0
1494675148690,0.215,0.0
1494675148700,0.215,0.0
1494675148710,0.215,0.0
1494675148720,0.215,7.240000000000001e-07
1494675148730,0.215,1.81e-06
1494675148740,0.215,1.81e-06
1494675148750,0.215,7.240000000000001e-07
1494675148760,0.215,1.4480000000000002e-06
1494675148770,0.215,1.4480000000000002e-06
1494675148780,0.215,1.0859999999999999e-06
1494675148790,0.215,1.4480000000000002e-06
1494675148800,0.215,0.0
1494675148810,0.215,1.0859999999999999e-06
1494675148820,0.215,2.5340000000000002e-06
1494675148830,0.215,2.1719999999999997e-06
1494675148840,0.215,3.6200000000000004e-07
1494675148850,0.215,1.4480000000000002e-06
1494675148860,0.215,1.0859999999999999e-06
1494675148870,0.215,7.240000000000001e-07
1494675148880,0.215,1.0859999999999999e-06
1494675148890,0.215,1.0859999999999999e-06
1494675148900,0.215,0.0
1494675148910,0.215,3.6200000000000004e-07
1494675148920,0.215,1.0859999999999999e-06
1494675148930,0.215,2.1719999999999997e-06
1494675148940,0.215,7.240000000000001e-07
1494675148950,0.215,1.4480000000000002e-06
1494675148960,0.215,0.0
1494675148970,0.215,1.81e-06
1494675148980,0.215,1.0859999999999999e-06
1494675148990,0.215,1.81e-06
1494675149000,0.215,0.0
1494675149010,0.215,2.1719999999999997e-06
1494675149020,0.215,0.0
1494675149030,0.215,2.1719999999999997e-06
1494675149040,0.215,0.0
1494675149050,0.215,1.81e-06
1494675149060,0.215,0.0
1494675149070,0.215,7.240000000000001e-07
1494675149080,0.215,7.240000000000001e-07
1494675149090,0.215,7.240000000000001e-07
1494675149100,0.215,7.240000000000001e-07
1494675149110,0.215,1.81e-06
1494675149120,0.215,3.6200000000000004e-07
1494675149130,0.215,1.0859999999999999e-06
1494675149140,0.215,1.4480000000000002e-06
1494675149150,0.215,7.240000000000001e-07
1494675149160,0.215,1.4480000000000002e-06
1494675149170,0.215,7.240000000000001e-07
1494675149180,0.215,1.0859999999999999e-06
1494675149190,0.215,1.4480000000000002e-06
1494675149200,0.215,0.0
1494675149210,0.215,1.4480000000000002e-06
1494675149220,0.215,3.6200000000000004e-07
1494675149230,0.215,1.81e-06
1494675149240,0.215,3.6200000000000004e-07
1494675149250,0.215,1.4480000000000002e-06
1494675149260,0.215,3.6200000000000004e-07
1494675149270,0.215,1.81e-06
1494675149280,0.215,3.6200000000000004e-07
1494675149290,0.215,2.1719999999999997e-06
1494675149300,0.215,0.0
1494675149310,0.215,2.1719999999999997e-06
1494675149320,0.215,0.0
1494675149330,0.215,1.81e-06
1494675149340,0.215,3.6200000000000004e-07
1494675149350,0.215,1.4480000000000002e-06
1494675149360,0.215,7.240000000000001e-07
1494675149370,0.215,2.1719999999999997e-06
1494675149380,0.215,0.0
1494675149390,0.215,2.1719999999999997e-06
1494675149400,0.215,0.0
1494675149410,0.215,1.4480000000000002e-06
1494675149420,0.215,0.0
1494675149430,0.215,1.81e-06
1494675149440,0.215,7.240000000000001e-07
1494675149450,0.215,1.0859999999999999e-06
1494675149460,0.215,1.0859999999999999e-06
1494675149470,0.215,2.1719999999999997e-06
1494675149480,0.215,0.0
1494675149490,0.215,2.5340000000000002e-06
1494675149500,0.215,0.0
1494675149510,0.215,1.81e-06
1494675149520,0.215,0.0
1494675149530,0.215,7.240000000000001e-07
1494675149540,0.215,3.6200000000000004e-07
1494675149550,0.215,1.81e-06
1494675149560,0.215,1.4480000000000002e-06
1494675149570,0.215,1.81e-06
1494675149580,0.215,1.0859999999999999e-06
1494675149590,0.215,2.1719999999999997e-06
1494675149600,0.215,3.6200000000000004e-07
1494675149610,0.215,1.4480000000000002e-06
1494675149620,0.215,7.240000000000001e-07
1494675149630,0.215,1.81e-06
1494675149640,0.215,0.0
1494675149650,0.215,2.5340000000000002e-06
1494675149660,0.215,7.240000000000001e-07
1494675149670,0.215,6.877999999999999e-06
1494675149680,0.215,0.0
1494675149690,0.215,0.0
1494675149700,0.215,0.0
1494675149710,0.215,0.0
1494675149720,0.215,0.0
1494675149730,0.215,3.6200000000000004e-07
1494675149740,0.215,0.0
1494675149750,0.215,2.1719999999999997e-06
1494675149760,0.215,3.6200000000000004e-07
1494675149770,0.215,1.4480000000000002e-06
1494675149780,0.215,1.4480000000000002e-06
1494675149790,0.215,2.1719999999999997e-06
1494675149800,0.215,0.0
1494675149810,0.215,1.81e-06
1494675149820,0.215,0.0
1494675149830,0.215,1.81e-06
1494675149840,0.215,0.0
1494675149850,0.215,1.81e-06
1494675149860,0.215,1.0859999999999999e-06
1494675149870,0.215,1.4480000000000002e-06
1494675149880,0.215,1.81e-06
1494675149890,0.215,1.4480000000000002e-06
1494675149900,0.215,5.0680000000000004e-06
1494675149910,0.215,5.792000000000001e-06
1494675149920,0.215,1.4480000000000002e-06
1494675149930,0.215,1.81e-06
1494675149940,0.215,3.6200000000000004e-07
1494675149950,0.215,1.0859999999999999e-06
1494675149960,0.215,1.81e-06
1494675149970,0.215,7.240000000000001e-07
1494675149980,0.215,7.240000000000001e-07
1494675149990,0.215,1.0859999999999999e-06
1494675150000,0.215,0.0
1494675150010,0.215,2.1719999999999997e-06
1494675150020,0.215,3.6200000000000004e-07
1494675150030,0.215,7.240000000000001e-07
1494675150040,0.215,1.0859999999999999e-06
1494675150050,0.215,1.81e-06
1494675150060,0.215,1.81e-06
1494675150070,0.215,7.240000000000001e-07
1494675150080,0.215,1.4480000000000002e-06
1494675150090,0.215,7.240000000000001e-07
1494675150100,0.215,2.1719999999999997e-06
1494675150110,0.215,3.6200000000000004e-07
1494675150120,0.215,1.0859999999999999e-06
1494675150130,0.215,3.6200000000000004e-07
1494675150140,0.215,7.240000000000001e-07
1494675150150,0.215,7.240000000000001e-07
1494675150160,0.215,1.0859999999999999e-06
1494675150170,0.215,1.0859999999999999e-06
1494675150180,0.215,1.4480000000000002e-06
1494675150190,0.215,2.8960000000000003e-06
1494675150200,0.215,3.6200000000000004e-07
1494675150210,0.215,1.0859999999999999e-06
1494675150220,0.215,7.240000000000001e-07
1494675150230,0.215,1.4480000000000002e-06
1494675150240,0.215,7.240000000000001e-07
1494675150250,0.215,1.0859999999999999e-06
1494675150260,0.215,7.240000000000001e-07
1494675150270,0.215,1.0859999999999999e-06
1494675150280,0.215,7.240000000000001e-07
1494675150290,0.215,1.4480000000000002e-06
1494675150300,0.215,0.0
1494675150310,0.215,1.0859999999999999e-06
1494675150320,0.215,1.81e-06
1494675150330,0.215,2.1719999999999997e-06
1494675150340,0.215,1.81e-06
1494675150350,0.215,1.4480000000000002e-06
1494675150360,0.215,1.0859999999999999e-06
1494675150370,0.215,1.0859999999999999e-06
1494675150380,0.215,7.240000000000001e-07
1494675150390,0.215,1.4480000000000002e-06
1494675150400,0.215,3.6200000000000004e-07
1494675150410,0.215,2.5340000000000002e-06
1494675150420,0.215,3.6200000000000004e-07
1494675150430,0.215,1.81e-06
1494675150440,0.215,1.0859999999999999e-06
1494675150450,0.215,3.6200000000000004e-07
1494675150460,0.215,1.4480000000000002e-06
1494675150470,0.215,7.240000000000001e-07
1494675150480,0.215,1.0859999999999999e-06
1494675150490,0.215,1.4480000000000002e-06
1494675150500,0.215,0.0
1494675150510,0.215,2.1719999999999997e-06
1494675150520,0.215,0.0
1494675150530,0.215,1.0859999999999999e-06
1494675150540,0.215,7.240000000000001e-07
1494675150550,0.215,1.4480000000000002e-06
1494675150560,0.215,7.240000000000001e-07
1494675150570,0.215,1.0859999999999999e-06
1494675150580,0.215,7.240000000000001e-07
1494675150590,0.215,1.81e-06
1494675150600,0.215,0.0
1494675150610,0.215,1.81e-06
1494675150620,0.215,3.6200000000000004e-07
1494675150630,0.215,2.1719999999999997e-06
1494675150640,0.215,3.6200000000000004e-07
1494675150650,0.215,1.81e-06
1494675150660,0.215,1.4480000000000002e-06
1494675150670,0.215,7.24e-06
1494675150680,0.215,0.0
1494675150690,0.215,0.0
1494675150700,0.215,0.0
1494675150710,0.215,0.0
1494675150720,0.215,0.0
1494675150730,0.215,0.0
1494675150740,0.215,0.0
1494675150750,0.215,7.240000000000001e-07
1494675150760,0.215,7.240000000000001e-07
1494675150770,0.215,2.5340000000000002e-06
1494675150780,0.215,0.0
1494675150790,0.215,1.81e-06
1494675150800,0.215,0.0
1494675150810,0.215,1.81e-06
1494675150820,0.215,0.0
1494675150830,0.215,2.1719999999999997e-06
1494675150840,0.215,3.6200000000000004e-07
1494675150850,0.215,2.1719999999999997e-06
1494675150860,0.215,0.0
1494675150870,0.215,1.81e-06
1494675150880,0.215,0.0
1494675150890,0.215,1.0859999999999999e-06
1494675150900,0.215,0.0
1494675150910,0.215,1.0859999999999999e-06
1494675150920,0.215,0.0
1494675150930,0.215,2.5340000000000002e-06
1494675150940,0.215,3.6200000000000004e-07
1494675150950,0.215,1.0859999999999999e-06
1494675150960,0.215,7.240000000000001e-07
1494675150970,0.215,1.0859999999999999e-06
1494675150980,0.215,7.240000000000001e-07
1494675150990,0.215,1.4480000000000002e-06
1494675151000,0.215,3.6200000000000004e-07
1494675151010,0.215,1.4480000000000002e-06
1494675151020,0.215,0.0
1494675151030,0.215,1.81e-06
1494675151040,0.215,3.6200000000000004e-07
1494675151050,0.215,1.81e-06
1494675151060,0.215,1.0859999999999999e-06
1494675151070,0.215,1.0859999999999999e-06
1494675151080,0.215,0.0
1494675151090,0.215,1.4480000000000002e-06
1494675151100,0.215,0.0
1494675151110,0.215,1.81e-06
1494675151120,0.215,0.0
1494675151130,0.215,2.5340000000000002e-06
1494675151140,0.215,0.0
1494675151150,0.215,1.0859999999999999e-06
1494675151160,0.215,0.0
1494675151170,0.215,1.81e-06
1494675151180,0.215,0.0
1494675151190,0.215,7.240000000000001e-07
1494675151200,0.215,7.240000000000001e-07
1494675151210,0.215,1.0859999999999999e-06
1494675151220,0.215,1.0859999999999999e-06
1494675151230,0.215,7.240000000000001e-07
1494675151240,0.215,1.81e-06
1494675151250,0.215,7.240000000000001e-07
1494675151260,0.215,2.1719999999999997e-06
1494675151270,0.215,1.0859999999999999e-06
1494675151280,0.215,1.81e-06
1494675151290,0.215,3.6200000000000004e-07
1494675151300,0.215,3.6200000000000004e-07
1494675151310,0.215,2.1719999999999997e-06
1494675151320,0.215,0.0
1494675151330,0.215,2.1719999999999997e-06
1494675151340,0.215,7.240000000000001e-07
1494675151350,0.215,1.4480000000000002e-06
1494675151360,0.215,3.6200000000000004e-07
1494675151370,0.215,1.81e-06
1494675151380,0.215,0.0
1494675151390,0.215,1.4480000000000002e-06
1494675151400,0.215,0.0
1494675151410,0.215,1.0859999999999999e-06
1494675151420,0.215,1.0859999999999999e-06
1494675151430,0.215,7.240000000000001e-07
1494675151440,0.215,7.240000000000001e-07
1494675151450,0.215,1.4480000000000002e-06
1494675151460,0.215,7.240000000000001e-07
1494675151470,0.215,1.4480000000000002e-06
1494675151480,0.215,1.0859999999999999e-06
1494675151490,0.215,3.6200000000000004e-07
1494675151500,0.215,1.4480000000000002e-06
1494675151510,0.215,7.240000000000001e-07
1494675151520,0.215,7.240000000000001e-07
1494675151530,0.215,7.240000000000001e-07
1494675151540,0.215,0.0
1494675151550,0.215,1.81e-06
1494675151560,0.215,1.0859999999999999e-06
1494675151570,0.215,7.240000000000001e-07
1494675151580,0.215,3.6200000000000004e-07
1494675151590,0.215,1.4480000000000002e-06
1494675151600,0.215,2.5340000000000002e-06
1494675151610,0.215,0.0
1494675151620,0.215,1.4480000000000002e-06
1494675151630,0.215,3.6200000000000004e-07
1494675151640,0.215,1.81e-06
1494675151650,0.215,1.0859999999999999e-06
1494675151660,0.215,2.1719999999999997e-06
1494675151670,0.215,8.326e-06
1494675151680,0.215,0.0
1494675151690,0.215,0.0
1494675151700,0.215,0.0
1494675151710,0.215,0.0
1494675151720,0.215,7.240000000000001e-07
1494675151730,0.215,1.81e-06
1494675151740,0.215,3.6200000000000004e-07
1494675151750,0.215,1.0859999999999999e-06
1494675151760,0.215,1.0859999999999999e-06
1494675151770,0.215,2.5340000000000002e-06
1494675151780,0.215,0.0
1494675151790,0.215,2.8960000000000003e-06
1494675151800,0.215,3.6200000000000004e-07
