Timestamp,position,BLMTI.06R7.B1E10_TCLA.D6R7.B1
1494676500770,2.565,3.6200000000000004e-07
1494676500780,2.565,1.81e-06
1494676500790,2.565,0.0
1494676500800,2.565,2.5340000000000002e-06
1494676500810,2.565,3.6200000000000004e-07
1494676500820,2.565,1.81e-06
1494676500830,2.565,3.6200000000000004e-07
1494676500840,2.565,1.4480000000000002e-06
1494676500850,2.565,7.240000000000001e-07
1494676500860,2.565,1.4480000000000002e-06
1494676500870,2.565,3.6200000000000004e-07
1494676500880,2.565,1.81e-06
1494676500890,2.565,7.240000000000001e-07
1494676500900,2.565,2.1719999999999997e-06
1494676500910,2.565,1.0859999999999999e-06
1494676500920,2.565,6.154e-06
1494676500930,2.565,2.8960000000000003e-06
1494676500940,2.565,3.982e-06
1494676500950,2.565,0.0
1494676500960,2.565,1.81e-06
1494676500970,2.565,1.0859999999999999e-06
1494676500980,2.565,2.5340000000000002e-06
1494676500990,2.565,1.81e-06
1494676501000,2.565,2.5340000000000002e-06
1494676501010,2.565,3.6200000000000004e-07
1494676501020,2.565,2.1719999999999997e-06
1494676501030,2.565,1.4480000000000002e-06
1494676501040,2.565,1.4480000000000002e-06
1494676501050,2.565,7.240000000000001e-07
1494676501060,2.565,1.4480000000000002e-06
1494676501070,2.565,1.0859999999999999e-06
1494676501080,2.565,1.4480000000000002e-06
1494676501090,2.565,1.81e-06
1494676501100,2.565,2.5340000000000002e-06
1494676501110,2.565,2.1719999999999997e-06
1494676501120,2.565,2.5340000000000002e-06
1494676501130,2.565,7.240000000000001e-07
1494676501140,2.565,3.6200000000000004e-07
1494676501150,2.565,0.0
1494676501160,2.565,0.0
1494676501170,2.565,1.0859999999999999e-06
1494676501180,2.565,1.81e-06
1494676501190,2.565,7.240000000000001e-07
1494676501200,2.565,2.1719999999999997e-06
1494676501210,2.565,3.6200000000000004e-07
1494676501220,2.565,1.81e-06
1494676501230,2.565,1.4480000000000002e-06
1494676501240,2.565,1.4480000000000002e-06
1494676501250,2.565,1.4480000000000002e-06
1494676501260,2.565,3.258e-06
1494676501270,2.565,7.240000000000001e-07
1494676501280,2.565,2.1719999999999997e-06
1494676501290,2.565,1.0859999999999999e-06
1494676501300,2.565,7.240000000000001e-07
1494676501310,2.565,1.4480000000000002e-06
1494676501320,2.565,1.0859999999999999e-06
1494676501330,2.565,3.6200000000000004e-07
1494676501340,2.565,2.1719999999999997e-06
1494676501350,2.565,1.0859999999999999e-06
1494676501360,2.565,1.0859999999999999e-06
1494676501370,2.565,1.4480000000000002e-06
1494676501380,2.565,2.8960000000000003e-06
1494676501390,2.565,7.240000000000001e-07
1494676501400,2.565,1.81e-06
1494676501410,2.565,7.240000000000001e-07
1494676501420,2.565,2.1719999999999997e-06
1494676501430,2.565,3.6200000000000004e-07
1494676501440,2.565,2.1719999999999997e-06
1494676501450,2.565,3.6200000000000004e-07
1494676501460,2.565,2.1719999999999997e-06
1494676501470,2.565,1.0859999999999999e-06
1494676501480,2.565,2.1719999999999997e-06
1494676501490,2.565,3.6200000000000004e-07
1494676501500,2.565,2.5340000000000002e-06
1494676501510,2.565,3.6200000000000004e-07
1494676501520,2.565,1.81e-06
1494676501530,2.565,1.0859999999999999e-06
1494676501540,2.565,7.240000000000001e-07
1494676501550,2.565,7.240000000000001e-07
1494676501560,2.565,1.4480000000000002e-06
1494676501570,2.565,1.0859999999999999e-06
1494676501580,2.565,2.5340000000000002e-06
1494676501590,2.565,1.0859999999999999e-06
1494676501600,2.565,2.1719999999999997e-06
1494676501610,2.565,1.0859999999999999e-06
1494676501620,2.565,1.0859999999999999e-06
1494676501630,2.565,3.6200000000000004e-07
1494676501640,2.565,1.4480000000000002e-06
1494676501650,2.565,1.0859999999999999e-06
1494676501660,2.565,2.1719999999999997e-06
1494676501670,2.565,7.240000000000001e-07
1494676501680,2.565,2.1719999999999997e-06
1494676501690,2.565,1.0859999999999999e-06
1494676501700,2.565,1.4480000000000002e-06
1494676501710,2.565,1.4480000000000002e-06
1494676501720,2.565,7.240000000000001e-07
1494676501730,2.565,1.4480000000000002e-06
1494676501740,2.565,3.6200000000000004e-07
1494676501750,2.565,7.240000000000001e-07
1494676501760,2.565,1.81e-06
1494676501770,2.565,1.0859999999999999e-06
1494676501780,2.565,1.0859999999999999e-06
1494676501790,2.565,1.0859999999999999e-06
1494676501800,2.565,2.1719999999999997e-06
1494676501810,2.565,0.0
1494676501820,2.565,1.4480000000000002e-06
1494676501830,2.565,7.240000000000001e-07
1494676501840,2.565,1.4480000000000002e-06
1494676501850,2.565,1.0859999999999999e-06
1494676501860,2.565,1.0859999999999999e-06
1494676501870,2.565,1.4480000000000002e-06
1494676501880,2.565,2.1719999999999997e-06
1494676501890,2.565,7.240000000000001e-07
1494676501900,2.565,1.4480000000000002e-06
1494676501910,2.565,7.240000000000001e-07
1494676501920,2.565,2.1719999999999997e-06
1494676501930,2.565,1.4480000000000002e-06
1494676501940,2.565,1.4480000000000002e-06
1494676501950,2.565,1.0859999999999999e-06
1494676501960,2.565,7.240000000000001e-07
1494676501970,2.565,7.240000000000001e-07
1494676501980,2.565,1.4480000000000002e-06
1494676501990,2.565,1.0859999999999999e-06
1494676502000,2.565,1.4480000000000002e-06
1494676502010,2.565,7.240000000000001e-07
1494676502020,2.565,2.1719999999999997e-06
1494676502030,2.565,3.6200000000000004e-07
1494676502040,2.565,1.81e-06
1494676502050,2.565,7.240000000000001e-07
1494676502060,2.565,1.4480000000000002e-06
1494676502070,2.565,1.0859999999999999e-06
1494676502080,2.565,1.81e-06
1494676502090,2.565,1.4480000000000002e-06
1494676502100,2.565,1.4480000000000002e-06
1494676502110,2.565,1.0859999999999999e-06
1494676502120,2.565,1.4480000000000002e-06
1494676502130,2.565,0.0
1494676502140,2.565,1.4480000000000002e-06
1494676502150,2.565,3.6200000000000004e-07
1494676502160,2.565,1.4480000000000002e-06
1494676502170,2.565,1.0859999999999999e-06
1494676502180,2.565,7.240000000000001e-07
1494676502190,2.565,1.0859999999999999e-06
1494676502200,2.565,1.0859999999999999e-06
1494676502210,2.565,7.240000000000001e-07
1494676502220,2.565,1.0859999999999999e-06
1494676502230,2.565,1.4480000000000002e-06
1494676502240,2.565,1.4480000000000002e-06
1494676502250,2.565,7.240000000000001e-07
1494676502260,2.565,1.4480000000000002e-06
1494676502270,2.565,3.6200000000000004e-07
1494676502280,2.565,1.0859999999999999e-06
1494676502290,2.565,1.0859999999999999e-06
1494676502300,2.565,1.0859999999999999e-06
1494676502310,2.565,0.0
1494676502320,2.565,1.0859999999999999e-06
1494676502330,2.565,7.240000000000001e-07
1494676502340,2.565,2.1719999999999997e-06
1494676502350,2.565,1.4480000000000002e-06
1494676502360,2.565,2.8960000000000003e-06
1494676502370,2.565,7.240000000000001e-07
1494676502380,2.56,1.4480000000000002e-06
1494676502390,2.56,0.0
1494676502400,2.56,7.240000000000001e-07
1494676502410,2.56,1.0859999999999999e-06
1494676502420,2.56,1.4480000000000002e-06
1494676502430,2.56,3.6200000000000004e-07
1494676502440,2.56,1.4480000000000002e-06
1494676502450,2.56,1.0859999999999999e-06
1494676502460,2.56,1.4480000000000002e-06
1494676502470,2.56,7.240000000000001e-07
1494676502480,2.56,1.4480000000000002e-06
1494676502490,2.56,3.6200000000000004e-07
1494676502500,2.56,1.81e-06
1494676502510,2.56,7.240000000000001e-07
1494676502520,2.56,1.81e-06
1494676502530,2.56,1.4480000000000002e-06
1494676502540,2.56,3.258e-06
1494676502550,2.56,1.0859999999999999e-06
1494676502560,2.56,1.81e-06
1494676502570,2.56,3.6200000000000004e-07
1494676502580,2.56,1.81e-06
1494676502590,2.56,7.240000000000001e-07
1494676502600,2.56,1.4480000000000002e-06
1494676502610,2.56,3.6200000000000004e-07
1494676502620,2.56,1.0859999999999999e-06
1494676502630,2.56,7.240000000000001e-07
1494676502640,2.56,1.4480000000000002e-06
1494676502650,2.56,3.6200000000000004e-07
1494676502660,2.56,1.81e-06
1494676502670,2.56,7.240000000000001e-07
1494676502680,2.56,1.4480000000000002e-06
1494676502690,2.56,1.0859999999999999e-06
1494676502700,2.56,1.0859999999999999e-06
1494676502710,2.56,3.6200000000000004e-07
1494676502720,2.56,1.4480000000000002e-06
1494676502730,2.56,1.0859999999999999e-06
1494676502740,2.56,2.0272000000000002e-05
1494676502750,2.56,5.0680000000000004e-06
1494676502760,2.56,1.8824e-05
1494676502770,2.56,1.4842000000000001e-05
1494676502780,2.56,2.353e-05
1494676502790,2.56,3.6562e-05
1494676502800,2.56,2.8598000000000003e-05
1494676502810,2.56,2.4978e-05
1494676502820,2.56,1.5928e-05
1494676502830,2.56,2.6788000000000002e-05
1494676502840,2.56,3.2218e-05
1494676502850,2.56,4.7422e-05
1494676502860,2.56,3.7286e-05
1494676502870,2.56,2.4616e-05
1494676502880,2.56,1.0136000000000001e-05
1494676502890,2.56,3.982e-06
1494676502900,2.56,5.792000000000001e-06
1494676502910,2.56,2.8960000000000003e-06
1494676502920,2.56,4.706e-06
1494676502930,2.56,3.982e-06
1494676502940,2.56,1.5566e-05
1494676502950,2.56,1.7738e-05
1494676502960,2.56,4.344e-05
1494676502970,2.56,2.7874e-05
1494676502980,2.56,2.3168000000000002e-05
1494676502990,2.56,8.687999999999999e-06
1494676503000,2.56,1.0498e-05
1494676503010,2.56,1.086e-05
1494676503020,2.56,1.3032e-05
1494676503030,2.56,1.086e-05
1494676503040,2.56,7.24e-06
1494676503050,2.56,2.1719999999999997e-06
1494676503060,2.56,2.8960000000000003e-06
1494676503070,2.56,1.0859999999999999e-06
1494676503080,2.56,2.5340000000000002e-06
1494676503090,2.56,1.0859999999999999e-06
1494676503100,2.56,3.62e-06
1494676503110,2.56,6.516e-06
1494676503120,2.56,1.6652e-05
1494676503130,2.56,1.7014e-05
1494676503140,2.56,4.4526e-05
1494676503150,2.56,2.534e-05
1494676503160,2.56,2.2444e-05
1494676503170,2.56,1.0498e-05
1494676503180,2.56,1.0136000000000001e-05
1494676503190,2.56,3.982e-06
1494676503200,2.56,6.154e-06
1494676503210,2.56,2.5340000000000002e-06
1494676503220,2.56,1.81e-06
1494676503230,2.56,7.240000000000001e-07
1494676503240,2.56,2.5340000000000002e-06
1494676503250,2.56,3.6200000000000004e-07
1494676503260,2.56,3.258e-06
1494676503270,2.56,1.086e-05
1494676503280,2.56,2.8236e-05
1494676503290,2.56,4.2353999999999995e-05
1494676503300,2.56,1.8100000000000003e-05
1494676503310,2.56,4.343999999999999e-06
1494676503320,2.56,3.62e-06
1494676503330,2.56,3.258e-06
1494676503340,2.56,3.258e-06
1494676503350,2.56,1.4480000000000002e-06
1494676503360,2.56,2.8960000000000003e-06
1494676503370,2.56,2.8960000000000003e-06
1494676503380,2.56,6.877999999999999e-06
1494676503390,2.56,3.982e-06
1494676503400,2.56,5.792000000000001e-06
1494676503410,2.56,1.81e-06
1494676503420,2.56,4.343999999999999e-06
1494676503430,2.56,3.62e-06
1494676503440,2.56,1.1584000000000001e-05
1494676503450,2.56,1.8462e-05
1494676503460,2.56,1.0498e-05
1494676503470,2.56,4.706e-06
1494676503480,2.56,4.343999999999999e-06
1494676503490,2.56,1.4480000000000002e-06
1494676503500,2.56,2.8960000000000003e-06
1494676503510,2.56,7.240000000000001e-07
1494676503520,2.56,2.5340000000000002e-06
1494676503530,2.56,2.5340000000000002e-06
1494676503540,2.56,9.412e-06
1494676503550,2.56,6.516e-06
1494676503560,2.56,6.516e-06
1494676503570,2.56,7.240000000000001e-07
1494676503580,2.56,2.1719999999999997e-06
1494676503590,2.56,7.240000000000001e-07
1494676503600,2.56,2.8960000000000003e-06
1494676503610,2.56,1.4480000000000002e-06
1494676503620,2.56,6.516e-06
1494676503630,2.56,9.774e-06
1494676503640,2.56,1.5566e-05
1494676503650,2.56,6.516e-06
1494676503660,2.56,3.62e-06
1494676503670,2.56,1.0859999999999999e-06
1494676503680,2.56,2.5340000000000002e-06
1494676503690,2.56,0.0
1494676503700,2.56,7.240000000000001e-07
1494676503710,2.56,3.62e-06
1494676503720,2.56,1.0136000000000001e-05
1494676503730,2.56,1.086e-05
1494676503740,2.56,7.964e-06
1494676503750,2.56,1.0859999999999999e-06
1494676503760,2.56,2.5340000000000002e-06
1494676503770,2.56,1.4480000000000002e-06
1494676503780,2.56,3.982e-06
1494676503790,2.56,1.4480000000000002e-06
1494676503800,2.56,3.258e-06
1494676503810,2.56,1.81e-06
1494676503820,2.56,2.8960000000000003e-06
1494676503830,2.56,7.240000000000001e-07
1494676503840,2.56,2.8960000000000003e-06
1494676503850,2.56,7.240000000000001e-07
1494676503860,2.56,2.8960000000000003e-06
1494676503870,2.56,1.4480000000000002e-06
1494676503880,2.56,9.05e-06
1494676503890,2.56,9.05e-06
1494676503900,2.56,7.964e-06
1494676503910,2.56,1.4480000000000002e-06
1494676503920,2.56,2.1719999999999997e-06
1494676503930,2.56,3.6200000000000004e-07
1494676503940,2.56,2.5340000000000002e-06
1494676503950,2.56,1.4480000000000002e-06
1494676503960,2.56,3.62e-06
1494676503970,2.56,2.1719999999999997e-06
1494676503980,2.56,5.792000000000001e-06
1494676503990,2.56,2.5340000000000002e-06
1494676504000,2.56,4.706e-06
1494676504010,2.56,7.240000000000001e-07
1494676504020,2.56,3.258e-06
1494676504030,2.56,3.6200000000000004e-07
1494676504040,2.56,1.4480000000000002e-06
1494676504050,2.56,7.240000000000001e-07
1494676504060,2.56,1.81e-06
1494676504070,2.56,2.1719999999999997e-06
1494676504080,2.56,7.964e-06
1494676504090,2.56,2.1719999999999997e-06
1494676504100,2.56,3.258e-06
1494676504110,2.56,1.81e-06
1494676504120,2.56,2.1719999999999997e-06
1494676504130,2.56,1.4480000000000002e-06
1494676504140,2.56,3.258e-06
1494676504150,2.56,1.0859999999999999e-06
1494676504160,2.56,1.81e-06
1494676504170,2.56,1.4480000000000002e-06
1494676504180,2.56,2.1719999999999997e-06
1494676504190,2.56,7.240000000000001e-07
1494676504200,2.56,1.81e-06
1494676504210,2.56,7.240000000000001e-07
1494676504220,2.56,1.81e-06
1494676504230,2.56,7.240000000000001e-07
1494676504240,2.56,1.81e-06
1494676504250,2.56,1.81e-06
1494676504260,2.56,1.81e-06
1494676504270,2.56,1.0859999999999999e-06
1494676504280,2.56,2.5340000000000002e-06
1494676504290,2.56,1.81e-06
1494676504300,2.56,5.0680000000000004e-06
1494676504310,2.56,1.0859999999999999e-06
1494676504320,2.56,4.343999999999999e-06
1494676504330,2.56,7.240000000000001e-07
1494676504340,2.56,2.1719999999999997e-06
1494676504350,2.56,1.81e-06
1494676504360,2.56,1.4480000000000002e-06
1494676504370,2.56,1.4480000000000002e-06
1494676504380,2.56,2.1719999999999997e-06
1494676504390,2.56,2.1719999999999997e-06
1494676504400,2.56,2.5340000000000002e-06
1494676504410,2.56,7.240000000000001e-07
1494676504420,2.56,1.81e-06
1494676504430,2.56,1.4480000000000002e-06
1494676504440,2.56,1.81e-06
1494676504450,2.56,2.8960000000000003e-06
1494676504460,2.56,4.343999999999999e-06
1494676504470,2.56,3.258e-06
1494676504480,2.56,4.706e-06
1494676504490,2.56,1.4480000000000002e-06
1494676504500,2.56,3.62e-06
1494676504510,2.56,7.240000000000001e-07
1494676504520,2.56,2.1719999999999997e-06
1494676504530,2.56,7.240000000000001e-07
1494676504540,2.56,1.4480000000000002e-06
1494676504550,2.56,7.240000000000001e-07
