Timestamp,position,BLMTI.06R7.B1E10_TCLA.B6R7.B1
1494676690340,1.37,1.3394000000000001e-05
1494676690350,1.37,1.1584000000000001e-05
1494676690360,1.37,8.326e-06
1494676690370,1.37,8.326e-06
1494676690380,1.37,7.964e-06
1494676690390,1.37,9.774e-06
1494676690400,1.37,9.05e-06
1494676690410,1.37,1.086e-05
1494676690420,1.37,1.0498e-05
1494676690430,1.37,1.0498e-05
1494676690440,1.37,1.1584000000000001e-05
1494676690450,1.37,1.267e-05
1494676690460,1.37,9.05e-06
1494676690470,1.37,9.412e-06
1494676690480,1.37,1.0136000000000001e-05
1494676690490,1.37,1.1584000000000001e-05
1494676690500,1.37,1.3032e-05
1494676690510,1.37,1.3394000000000001e-05
1494676690520,1.37,1.267e-05
1494676690530,1.37,9.774e-06
1494676690540,1.37,9.412e-06
1494676690550,1.37,1.1584000000000001e-05
1494676690560,1.37,9.774e-06
1494676690570,1.37,1.0136000000000001e-05
1494676690580,1.37,9.412e-06
1494676690590,1.37,1.2308e-05
1494676690600,1.37,9.774e-06
1494676690610,1.37,1.0498e-05
1494676690620,1.37,9.412e-06
1494676690630,1.37,1.086e-05
1494676690640,1.37,1.086e-05
1494676690650,1.37,1.1584000000000001e-05
1494676690660,1.37,1.0136000000000001e-05
1494676690670,1.37,1.3755999999999998e-05
1494676690680,1.37,1.3755999999999998e-05
1494676690690,1.37,1.1945999999999999e-05
1494676690700,1.37,9.05e-06
1494676690710,1.37,1.0136000000000001e-05
1494676690720,1.37,1.0498e-05
1494676690730,1.37,1.1222e-05
1494676690740,1.37,9.05e-06
1494676690750,1.37,9.412e-06
1494676690760,1.37,8.687999999999999e-06
1494676690770,1.37,9.05e-06
1494676690780,1.37,7.964e-06
1494676690790,1.37,9.05e-06
1494676690800,1.37,9.05e-06
1494676690810,1.37,8.687999999999999e-06
1494676690820,1.37,1.086e-05
1494676690830,1.37,1.3394000000000001e-05
1494676690840,1.37,1.3755999999999998e-05
1494676690850,1.37,1.5928e-05
1494676690860,1.37,1.1222e-05
1494676690870,1.37,1.0136000000000001e-05
1494676690880,1.37,9.412e-06
1494676690890,1.37,1.267e-05
1494676690900,1.37,9.774e-06
1494676690910,1.37,1.086e-05
1494676690920,1.37,1.3394000000000001e-05
1494676690930,1.37,2.172e-05
1494676690940,1.37,2.3891999999999998e-05
1494676690950,1.37,1.7014e-05
1494676690960,1.37,1.448e-05
1494676690970,1.37,9.05e-06
1494676690980,1.37,9.412e-06
1494676690990,1.37,1.1584000000000001e-05
1494676691000,1.37,1.1222e-05
1494676691010,1.37,1.3755999999999998e-05
1494676691020,1.37,1.2308e-05
1494676691030,1.37,1.3032e-05
1494676691040,1.37,8.326e-06
1494676691050,1.37,9.774e-06
1494676691060,1.37,9.774e-06
1494676691070,1.37,9.774e-06
1494676691080,1.37,1.0136000000000001e-05
1494676691090,1.37,1.0136000000000001e-05
1494676691100,1.37,1.2308e-05
1494676691110,1.37,1.8100000000000003e-05
1494676691120,1.37,2.1358e-05
1494676691130,1.37,1.7375999999999998e-05
1494676691140,1.37,1.1945999999999999e-05
1494676691150,1.37,1.0498e-05
1494676691160,1.37,9.774e-06
1494676691170,1.37,1.1584000000000001e-05
1494676691180,1.37,1.0136000000000001e-05
1494676691190,1.37,1.2308e-05
1494676691200,1.37,1.1584000000000001e-05
1494676691210,1.37,1.086e-05
1494676691220,1.37,9.05e-06
1494676691230,1.37,1.1222e-05
1494676691240,1.37,7.602e-06
1494676691250,1.37,8.326e-06
1494676691260,1.37,1.0498e-05
1494676691270,1.37,1.1584000000000001e-05
1494676691280,1.37,9.774e-06
1494676691290,1.37,1.2308e-05
1494676691300,1.37,1.0136000000000001e-05
1494676691310,1.37,9.774e-06
1494676691320,1.37,8.326e-06
1494676691330,1.37,9.412e-06
1494676691340,1.37,8.326e-06
1494676691350,1.37,8.687999999999999e-06
1494676691360,1.37,9.774e-06
1494676691370,1.37,9.412e-06
1494676691380,1.37,9.774e-06
1494676691390,1.37,9.412e-06
1494676691400,1.37,1.086e-05
1494676691410,1.37,1.0498e-05
1494676691420,1.37,7.964e-06
1494676691430,1.37,1.1222e-05
1494676691440,1.37,1.1584000000000001e-05
1494676691450,1.37,1.448e-05
1494676691460,1.37,1.3755999999999998e-05
1494676691470,1.37,1.267e-05
1494676691480,1.37,1.0136000000000001e-05
1494676691490,1.37,1.1222e-05
1494676691500,1.37,7.602e-06
1494676691510,1.37,1.0136000000000001e-05
1494676691520,1.37,7.964e-06
1494676691530,1.37,9.05e-06
1494676691540,1.37,8.326e-06
1494676691550,1.37,1.0136000000000001e-05
1494676691560,1.37,9.05e-06
1494676691570,1.37,1.1222e-05
1494676691580,1.37,8.326e-06
1494676691590,1.37,1.0136000000000001e-05
1494676691600,1.37,7.964e-06
1494676691610,1.37,1.0498e-05
1494676691620,1.37,1.3032e-05
1494676691630,1.37,1.1945999999999999e-05
1494676691640,1.37,7.964e-06
1494676691650,1.37,1.0498e-05
1494676691660,1.37,1.0498e-05
1494676691670,1.37,7.964e-06
1494676691680,1.37,8.326e-06
1494676691690,1.37,1.0136000000000001e-05
1494676691700,1.37,7.964e-06
1494676691710,1.37,8.326e-06
1494676691720,1.37,1.1945999999999999e-05
1494676691730,1.37,1.1945999999999999e-05
1494676691740,1.37,1.2308e-05
1494676691750,1.37,1.1584000000000001e-05
1494676691760,1.37,1.0136000000000001e-05
1494676691770,1.37,1.0136000000000001e-05
1494676691780,1.37,7.964e-06
1494676691790,1.37,9.05e-06
1494676691800,1.37,8.687999999999999e-06
1494676691810,1.37,1.0136000000000001e-05
1494676691820,1.37,8.326e-06
1494676691830,1.37,9.05e-06
1494676691840,1.37,7.602e-06
1494676691850,1.37,1.0136000000000001e-05
1494676691860,1.37,7.602e-06
1494676691870,1.37,8.687999999999999e-06
1494676691880,1.37,9.05e-06
1494676691890,1.37,8.687999999999999e-06
1494676691900,1.37,8.326e-06
1494676691910,1.37,9.05e-06
1494676691920,1.37,9.05e-06
1494676691930,1.37,1.0498e-05
1494676691940,1.37,6.877999999999999e-06
1494676691950,1.37,7.602e-06
1494676691960,1.37,7.24e-06
1494676691970,1.37,8.326e-06
1494676691980,1.37,5.792000000000001e-06
1494676691990,1.37,8.326e-06
1494676692000,1.37,8.687999999999999e-06
1494676692010,1.37,8.687999999999999e-06
1494676692020,1.37,6.516e-06
1494676692030,1.37,1.0136000000000001e-05
1494676692040,1.37,8.687999999999999e-06
1494676692050,1.37,1.1222e-05
1494676692060,1.37,7.602e-06
1494676692070,1.37,8.687999999999999e-06
1494676692080,1.37,6.154e-06
1494676692090,1.37,9.412e-06
1494676692100,1.37,6.877999999999999e-06
1494676692110,1.37,8.687999999999999e-06
1494676692120,1.37,8.687999999999999e-06
1494676692130,1.37,9.774e-06
1494676692140,1.37,6.877999999999999e-06
1494676692150,1.37,8.326e-06
1494676692160,1.37,5.43e-06
1494676692170,1.37,9.05e-06
1494676692180,1.37,7.24e-06
1494676692190,1.37,6.877999999999999e-06
1494676692200,1.37,7.964e-06
1494676692210,1.37,7.24e-06
1494676692220,1.37,6.154e-06
1494676692230,1.37,7.964e-06
1494676692240,1.37,7.602e-06
1494676692250,1.37,8.687999999999999e-06
1494676692260,1.37,6.154e-06
1494676692270,1.37,7.964e-06
1494676692280,1.37,7.602e-06
1494676692290,1.37,7.964e-06
1494676692300,1.37,9.412e-06
1494676692310,1.37,1.1945999999999999e-05
1494676692320,1.37,8.326e-06
1494676692330,1.37,1.0136000000000001e-05
1494676692340,1.37,7.602e-06
1494676692350,1.37,9.774e-06
1494676692360,1.37,7.602e-06
1494676692370,1.37,8.687999999999999e-06
1494676692380,1.37,9.05e-06
1494676692390,1.37,8.687999999999999e-06
1494676692400,1.37,6.516e-06
1494676692410,1.37,9.05e-06
1494676692420,1.37,6.877999999999999e-06
1494676692430,1.37,9.05e-06
1494676692440,1.37,6.516e-06
1494676692450,1.37,6.877999999999999e-06
1494676692460,1.37,8.326e-06
1494676692470,1.37,9.774e-06
1494676692480,1.37,7.24e-06
1494676692490,1.37,8.326e-06
1494676692500,1.37,1.0498e-05
1494676692510,1.37,1.0136000000000001e-05
1494676692520,1.37,6.877999999999999e-06
1494676692530,1.37,8.687999999999999e-06
1494676692540,1.37,8.326e-06
1494676692550,1.37,7.964e-06
1494676692560,1.37,7.602e-06
1494676692570,1.37,8.687999999999999e-06
1494676692580,1.37,8.326e-06
1494676692590,1.37,8.687999999999999e-06
1494676692600,1.37,8.687999999999999e-06
1494676692610,1.37,9.774e-06
1494676692620,1.37,7.602e-06
1494676692630,1.37,8.687999999999999e-06
1494676692640,1.37,6.516e-06
1494676692650,1.37,7.602e-06
1494676692660,1.37,6.877999999999999e-06
1494676692670,1.37,7.24e-06
1494676692680,1.37,7.24e-06
1494676692690,1.37,7.24e-06
1494676692700,1.37,7.964e-06
1494676692710,1.37,8.687999999999999e-06
1494676692720,1.37,8.326e-06
1494676692730,1.37,1.448e-05
1494676692740,1.37,2.0634e-05
1494676692750,1.37,1.3032e-05
1494676692760,1.37,8.326e-06
1494676692770,1.37,9.774e-06
1494676692780,1.37,8.326e-06
1494676692790,1.37,8.687999999999999e-06
1494676692800,1.37,6.154e-06
1494676692810,1.37,6.154e-06
1494676692820,1.37,7.24e-06
1494676692830,1.37,6.877999999999999e-06
1494676692840,1.37,7.602e-06
1494676692850,1.37,9.05e-06
1494676692860,1.37,6.877999999999999e-06
1494676692870,1.37,7.602e-06
1494676692880,1.37,8.326e-06
1494676692890,1.37,8.687999999999999e-06
1494676692900,1.37,9.774e-06
1494676692910,1.37,1.1584000000000001e-05
1494676692920,1.37,9.774e-06
1494676692930,1.37,1.1584000000000001e-05
1494676692940,1.37,9.05e-06
1494676692950,1.37,9.05e-06
1494676692960,1.37,7.602e-06
1494676692970,1.37,7.964e-06
1494676692980,1.37,7.964e-06
1494676692990,1.37,9.05e-06
1494676693000,1.37,8.326e-06
1494676693010,1.37,7.602e-06
1494676693020,1.37,7.964e-06
1494676693030,1.37,8.687999999999999e-06
1494676693040,1.37,7.24e-06
1494676693050,1.37,8.687999999999999e-06
1494676693060,1.37,7.24e-06
1494676693070,1.37,1.0136000000000001e-05
1494676693080,1.37,7.964e-06
1494676693090,1.37,9.05e-06
1494676693100,1.37,5.43e-06
1494676693110,1.37,9.05e-06
1494676693120,1.37,6.877999999999999e-06
1494676693130,1.37,7.602e-06
1494676693140,1.37,7.24e-06
1494676693150,1.37,9.05e-06
1494676693160,1.37,7.24e-06
1494676693170,1.37,9.412e-06
1494676693180,1.37,9.412e-06
1494676693190,1.37,1.0136000000000001e-05
1494676693200,1.37,6.877999999999999e-06
1494676693210,1.37,1.0498e-05
1494676693220,1.37,9.05e-06
1494676693230,1.37,9.05e-06
1494676693240,1.37,1.1222e-05
1494676693250,1.37,1.0498e-05
1494676693260,1.37,7.602e-06
1494676693270,1.37,7.24e-06
1494676693280,1.37,3.982e-06
1494676693290,1.37,6.877999999999999e-06
1494676693300,1.37,5.0680000000000004e-06
1494676693310,1.37,5.43e-06
1494676693320,1.37,5.43e-06
1494676693330,1.37,8.326e-06
1494676693340,1.37,7.24e-06
1494676693350,1.37,1.1222e-05
1494676693360,1.37,5.792000000000001e-06
1494676693370,1.37,8.326e-06
1494676693380,1.37,6.516e-06
1494676693390,1.37,6.877999999999999e-06
1494676693400,1.37,6.516e-06
1494676693410,1.37,8.687999999999999e-06
1494676693420,1.37,8.326e-06
1494676693430,1.37,6.877999999999999e-06
1494676693440,1.37,6.154e-06
1494676693450,1.37,6.877999999999999e-06
1494676693460,1.37,5.792000000000001e-06
1494676693470,1.37,7.964e-06
1494676693480,1.37,7.964e-06
