Timestamp,position,BLMTI.04R3.B1I10_TCSG.4R3.B1
1494678406450,0.075,3.6200000000000004e-07
1494678406460,0.075,7.240000000000001e-07
1494678406470,0.075,7.240000000000001e-07
1494678406480,0.075,1.0859999999999999e-06
1494678406490,0.075,0.0
1494678406500,0.075,7.240000000000001e-07
1494678406510,0.075,3.6200000000000004e-07
1494678406520,0.075,7.240000000000001e-07
1494678406530,0.075,3.6200000000000004e-07
1494678406540,0.075,1.81e-06
1494678406550,0.075,0.0
1494678406560,0.075,7.240000000000001e-07
1494678406570,0.075,3.6200000000000004e-07
1494678406580,0.075,1.0859999999999999e-06
1494678406590,0.075,3.6200000000000004e-07
1494678406600,0.075,7.240000000000001e-07
1494678406610,0.075,7.240000000000001e-07
1494678406620,0.075,1.0859999999999999e-06
1494678406630,0.075,1.0859999999999999e-06
1494678406640,0.075,0.0
1494678406650,0.075,1.0859999999999999e-06
1494678406660,0.075,3.6200000000000004e-07
1494678406670,0.075,1.0859999999999999e-06
1494678406680,0.075,1.0859999999999999e-06
1494678406690,0.075,3.6200000000000004e-07
1494678406700,0.075,1.4480000000000002e-06
1494678406710,0.075,3.6200000000000004e-07
1494678406720,0.075,7.240000000000001e-07
1494678406730,0.075,3.6200000000000004e-07
1494678406740,0.075,1.4480000000000002e-06
1494678406750,0.075,3.6200000000000004e-07
1494678406760,0.075,7.240000000000001e-07
1494678406770,0.075,3.6200000000000004e-07
1494678406780,0.075,1.0859999999999999e-06
1494678406790,0.075,7.240000000000001e-07
1494678406800,0.075,3.6200000000000004e-07
1494678406810,0.075,7.240000000000001e-07
1494678406820,0.075,7.240000000000001e-07
1494678406830,0.075,7.240000000000001e-07
1494678406840,0.075,7.240000000000001e-07
1494678406850,0.075,3.6200000000000004e-07
1494678406860,0.075,7.240000000000001e-07
1494678406870,0.075,7.240000000000001e-07
1494678406880,0.075,3.6200000000000004e-07
1494678406890,0.075,7.240000000000001e-07
1494678406900,0.075,7.240000000000001e-07
1494678406910,0.075,7.240000000000001e-07
1494678406920,0.075,1.0859999999999999e-06
1494678406930,0.075,3.6200000000000004e-07
1494678406940,0.075,1.0859999999999999e-06
1494678406950,0.075,3.6200000000000004e-07
1494678406960,0.075,7.240000000000001e-07
1494678406970,0.075,7.240000000000001e-07
1494678406980,0.075,1.0859999999999999e-06
1494678406990,0.075,3.6200000000000004e-07
1494678407000,0.075,7.240000000000001e-07
1494678407010,0.075,7.240000000000001e-07
1494678407020,0.075,3.6200000000000004e-07
1494678407030,0.075,1.0859999999999999e-06
1494678407040,0.075,0.0
1494678407050,0.075,1.81e-06
1494678407060,0.075,3.6200000000000004e-07
1494678407070,0.075,1.0859999999999999e-06
1494678407080,0.075,3.6200000000000004e-07
1494678407090,0.075,1.0859999999999999e-06
1494678407100,0.075,7.240000000000001e-07
1494678407110,0.075,7.240000000000001e-07
1494678407120,0.075,7.240000000000001e-07
1494678407130,0.075,3.6200000000000004e-07
1494678407140,0.075,1.4480000000000002e-06
1494678407150,0.075,0.0
1494678407160,0.075,7.240000000000001e-07
1494678407170,0.075,7.240000000000001e-07
1494678407180,0.075,7.240000000000001e-07
1494678407190,0.075,0.0
1494678407200,0.075,1.81e-06
1494678407210,0.075,1.0859999999999999e-06
1494678407220,0.075,3.6200000000000004e-07
1494678407230,0.075,1.0859999999999999e-06
1494678407240,0.075,3.6200000000000004e-07
1494678407250,0.075,1.0859999999999999e-06
1494678407260,0.075,0.0
1494678407270,0.075,1.0859999999999999e-06
1494678407280,0.075,3.6200000000000004e-07
1494678407290,0.075,3.6200000000000004e-07
1494678407300,0.075,1.0859999999999999e-06
1494678407310,0.075,7.240000000000001e-07
1494678407320,0.075,7.240000000000001e-07
1494678407330,0.075,3.6200000000000004e-07
1494678407340,0.075,7.240000000000001e-07
1494678407350,0.075,3.6200000000000004e-07
1494678407360,0.075,7.240000000000001e-07
