Timestamp,position,BLMTI.06R7.B2I10_TCP.C6R7.B2
1494680006960,1.35,1.81e-06
1494680006970,1.35,7.240000000000001e-07
1494680006980,1.35,1.81e-06
1494680006990,1.35,5.43e-06
1494680007000,1.35,1.1584000000000001e-05
1494680007010,1.35,6.154e-06
1494680007020,1.35,5.792000000000001e-06
1494680007030,1.35,1.4480000000000002e-06
1494680007040,1.35,2.8960000000000003e-06
1494680007050,1.35,2.1719999999999997e-06
1494680007060,1.35,3.982e-06
1494680007070,1.35,2.5340000000000002e-06
1494680007080,1.35,1.81e-06
1494680007090,1.35,7.240000000000001e-07
1494680007100,1.35,4.706e-06
1494680007110,1.35,3.62e-06
1494680007120,1.35,4.706e-06
1494680007130,1.35,2.1719999999999997e-06
1494680007140,1.35,1.4480000000000002e-06
1494680007150,1.35,3.6200000000000004e-07
1494680007160,1.35,1.4480000000000002e-06
1494680007170,1.35,1.0859999999999999e-06
1494680007180,1.35,1.4480000000000002e-06
1494680007190,1.35,1.0859999999999999e-06
1494680007200,1.35,2.1719999999999997e-06
1494680007210,1.35,0.0
1494680007220,1.35,1.4480000000000002e-06
1494680007230,1.35,0.0
1494680007240,1.35,2.1719999999999997e-06
1494680007250,1.35,3.6200000000000004e-07
1494680007260,1.35,2.1719999999999997e-06
1494680007270,1.35,6.154e-06
1494680007280,1.35,1.5204e-05
1494680007290,1.35,3.982e-06
1494680007300,1.35,3.982e-06
1494680007310,1.35,1.0859999999999999e-06
1494680007320,1.35,1.4480000000000002e-06
1494680007330,1.35,3.6200000000000004e-07
1494680007340,1.35,1.0859999999999999e-06
1494680007350,1.35,3.6200000000000004e-07
1494680007360,1.35,1.81e-06
1494680007370,1.35,3.6200000000000004e-07
1494680007380,1.35,1.0859999999999999e-06
1494680007390,1.35,3.6200000000000004e-07
1494680007400,1.35,1.81e-06
1494680007410,1.35,0.0
1494680007420,1.35,2.1719999999999997e-06
1494680007430,1.35,7.240000000000001e-07
1494680007440,1.35,1.81e-06
1494680007450,1.35,7.240000000000001e-07
1494680007460,1.35,2.8960000000000003e-06
1494680007470,1.35,1.81e-06
1494680007480,1.35,2.8960000000000003e-06
1494680007490,1.35,3.6200000000000004e-07
1494680007500,1.35,1.81e-06
1494680007510,1.35,3.6200000000000004e-07
1494680007520,1.35,1.81e-06
1494680007530,1.35,3.6200000000000004e-07
1494680007540,1.35,3.982e-06
1494680007550,1.35,1.4480000000000002e-06
1494680007560,1.35,1.4480000000000002e-06
1494680007570,1.35,3.6200000000000004e-07
1494680007580,1.35,1.0859999999999999e-06
1494680007590,1.35,3.6200000000000004e-07
1494680007600,1.35,1.4480000000000002e-06
1494680007610,1.35,0.0
1494680007620,1.35,1.81e-06
1494680007630,1.35,7.240000000000001e-07
1494680007640,1.35,1.4480000000000002e-06
1494680007650,1.35,3.6200000000000004e-07
1494680007660,1.35,2.1719999999999997e-06
1494680007670,1.35,0.0
1494680007680,1.35,7.240000000000001e-07
1494680007690,1.35,0.0
1494680007700,1.35,1.0859999999999999e-06
1494680007710,1.35,2.1719999999999997e-06
