Timestamp,position,BLMTI.06L7.B1E10_TCP.B6L7.B1
1494680450750,1.34,1.1222e-05
1494680450760,1.34,9.412e-06
1494680450770,1.34,1.5928e-05
1494680450780,1.34,1.8462e-05
1494680450790,1.34,1.5928e-05
1494680450800,1.34,1.4118e-05
1494680450810,1.34,1.3394000000000001e-05
1494680450820,1.34,1.3394000000000001e-05
1494680450830,1.34,1.3032e-05
1494680450840,1.34,1.1584000000000001e-05
1494680450850,1.34,1.1584000000000001e-05
1494680450860,1.34,1.3032e-05
1494680450870,1.34,1.7738e-05
1494680450880,1.34,1.8824e-05
1494680450890,1.34,1.9186e-05
1494680450900,1.34,1.4842000000000001e-05
1494680450910,1.34,1.2308e-05
1494680450920,1.34,1.267e-05
1494680450930,1.34,1.1945999999999999e-05
1494680450940,1.34,1.1584000000000001e-05
1494680450950,1.34,1.5204e-05
1494680450960,1.34,1.7375999999999998e-05
1494680450970,1.34,2.6064e-05
1494680450980,1.34,2.0272000000000002e-05
1494680450990,1.34,1.5928e-05
1494680451000,1.34,1.0498e-05
1494680451010,1.34,1.267e-05
1494680451020,1.34,3.982e-06
1494680451030,1.34,8.326e-06
1494680451040,1.34,1.1945999999999999e-05
1494680451050,1.34,1.3755999999999998e-05
1494680451060,1.34,1.7738e-05
1494680451070,1.34,1.6652e-05
1494680451080,1.34,1.4842000000000001e-05
1494680451090,1.34,1.267e-05
1494680451100,1.34,1.3394000000000001e-05
1494680451110,1.34,1.3032e-05
1494680451120,1.34,1.5566e-05
1494680451130,1.34,1.7014e-05
1494680451140,1.34,2.4978e-05
1494680451150,1.34,2.2805999999999998e-05
1494680451160,1.34,1.5566e-05
1494680451170,1.34,1.4842000000000001e-05
1494680451180,1.34,1.1222e-05
1494680451190,1.34,1.1945999999999999e-05
1494680451200,1.34,1.1222e-05
1494680451210,1.34,1.1584000000000001e-05
1494680451220,1.34,1.086e-05
1494680451230,1.34,1.6652e-05
1494680451240,1.34,2.0634e-05
1494680451250,1.34,1.8462e-05
1494680451260,1.34,1.5204e-05
1494680451270,1.34,1.1945999999999999e-05
1494680451280,1.34,1.1584000000000001e-05
1494680451290,1.34,1.0498e-05
1494680451300,1.34,1.1222e-05
1494680451310,1.34,1.3032e-05
1494680451320,1.34,1.4118e-05
1494680451330,1.34,1.1222e-05
1494680451340,1.34,1.5566e-05
1494680451350,1.34,1.1945999999999999e-05
1494680451360,1.34,1.0136000000000001e-05
1494680451370,1.34,1.1945999999999999e-05
1494680451380,1.34,1.1222e-05
1494680451390,1.34,1.448e-05
1494680451400,1.34,1.3032e-05
1494680451410,1.34,1.7014e-05
1494680451420,1.34,1.3394000000000001e-05
1494680451430,1.34,1.1222e-05
1494680451440,1.34,1.0136000000000001e-05
1494680451450,1.34,1.1222e-05
1494680451460,1.34,1.086e-05
1494680451470,1.34,1.1584000000000001e-05
1494680451480,1.34,1.267e-05
1494680451490,1.34,1.3032e-05
1494680451500,1.34,1.1222e-05
1494680451510,1.34,1.1945999999999999e-05
1494680451520,1.34,1.086e-05
1494680451530,1.34,1.1222e-05
1494680451540,1.34,1.0136000000000001e-05
1494680451550,1.34,1.2308e-05
1494680451560,1.34,1.4118e-05
1494680451570,1.34,1.8100000000000003e-05
1494680451580,1.34,1.629e-05
1494680451590,1.34,2.172e-05
1494680451600,1.34,1.5566e-05
1494680451610,1.34,1.4842000000000001e-05
1494680451620,1.34,1.1584000000000001e-05
1494680451630,1.34,1.1222e-05
1494680451640,1.34,1.1945999999999999e-05
1494680451650,1.34,1.086e-05
1494680451660,1.34,3.62e-06
1494680451670,1.34,8.687999999999999e-06
1494680451680,1.34,1.1584000000000001e-05
1494680451690,1.34,1.0498e-05
1494680451700,1.34,1.0136000000000001e-05
1494680451710,1.34,1.0498e-05
1494680451720,1.34,1.086e-05
1494680451730,1.34,1.4842000000000001e-05
1494680451740,1.34,1.629e-05
1494680451750,1.34,1.8100000000000003e-05
1494680451760,1.34,1.1945999999999999e-05
1494680451770,1.34,1.1584000000000001e-05
1494680451780,1.34,1.0498e-05
1494680451790,1.34,1.4842000000000001e-05
1494680451800,1.34,1.3032e-05
1494680451810,1.34,1.267e-05
1494680451820,1.34,1.1945999999999999e-05
1494680451830,1.34,1.5204e-05
1494680451840,1.34,1.267e-05
1494680451850,1.34,1.2308e-05
1494680451860,1.34,1.1945999999999999e-05
1494680451870,1.34,1.1945999999999999e-05
1494680451880,1.34,1.1584000000000001e-05
1494680451890,1.34,1.3032e-05
1494680451900,1.34,1.086e-05
1494680451910,1.34,1.086e-05
1494680451920,1.34,1.0136000000000001e-05
1494680451930,1.34,1.267e-05
1494680451940,1.34,9.774e-06
1494680451950,1.34,1.086e-05
1494680451960,1.34,8.687999999999999e-06
1494680451970,1.34,8.326e-06
1494680451980,1.34,8.326e-06
1494680451990,1.34,1.1222e-05
1494680452000,1.34,1.086e-05
1494680452010,1.34,1.3394000000000001e-05
1494680452020,1.34,1.3032e-05
1494680452030,1.34,6.516e-06
1494680452040,1.34,1.1584000000000001e-05
1494680452050,1.34,1.1584000000000001e-05
1494680452060,1.34,9.774e-06
1494680452070,1.34,1.1945999999999999e-05
1494680452080,1.34,1.1945999999999999e-05
1494680452090,1.34,9.412e-06
1494680452100,1.34,1.1584000000000001e-05
1494680452110,1.34,8.687999999999999e-06
1494680452120,1.34,1.1584000000000001e-05
1494680452130,1.34,9.412e-06
1494680452140,1.34,8.687999999999999e-06
1494680452150,1.34,8.326e-06
1494680452160,1.34,1.0136000000000001e-05
1494680452170,1.34,1.0136000000000001e-05
1494680452180,1.34,1.1584000000000001e-05
1494680452190,1.34,1.267e-05
1494680452200,1.34,9.412e-06
1494680452210,1.34,1.0136000000000001e-05
1494680452220,1.34,1.0136000000000001e-05
1494680452230,1.34,1.1584000000000001e-05
1494680452240,1.34,1.0498e-05
1494680452250,1.34,1.1222e-05
1494680452260,1.34,1.0136000000000001e-05
1494680452270,1.34,1.086e-05
1494680452280,1.34,1.1945999999999999e-05
1494680452290,1.34,1.086e-05
1494680452300,1.34,1.086e-05
1494680452310,1.34,1.0136000000000001e-05
1494680452320,1.34,1.1945999999999999e-05
1494680452330,1.325,9.05e-06
1494680452340,1.325,1.0498e-05
1494680452350,1.325,1.0136000000000001e-05
1494680452360,1.325,9.412e-06
1494680452370,1.325,1.0136000000000001e-05
1494680452380,1.325,9.412e-06
1494680452390,1.325,8.687999999999999e-06
1494680452400,1.325,8.326e-06
1494680452410,1.325,1.2308e-05
1494680452420,1.325,1.3394000000000001e-05
1494680452430,1.325,8.687999999999999e-06
1494680452440,1.325,1.3755999999999998e-05
1494680452450,1.325,1.3394000000000001e-05
1494680452460,1.325,1.267e-05
1494680452470,1.325,1.1222e-05
1494680452480,1.325,1.267e-05
1494680452490,1.325,1.1584000000000001e-05
1494680452500,1.325,1.5566e-05
1494680452510,1.325,1.448e-05
1494680452520,1.325,1.5204e-05
1494680452530,1.325,1.1945999999999999e-05
1494680452540,1.325,1.0498e-05
1494680452550,1.325,9.774e-06
1494680452560,1.325,9.774e-06
1494680452570,1.325,8.326e-06
1494680452580,1.325,1.0498e-05
1494680452590,1.325,1.0136000000000001e-05
1494680452600,1.325,1.2308e-05
1494680452610,1.325,1.0136000000000001e-05
1494680452620,1.325,1.0498e-05
1494680452630,1.325,1.0136000000000001e-05
1494680452640,1.325,8.687999999999999e-06
1494680452650,1.325,9.05e-06
1494680452660,1.325,9.412e-06
1494680452670,1.325,8.687999999999999e-06
1494680452680,1.325,1.1584000000000001e-05
1494680452690,1.325,1.0498e-05
1494680452700,1.325,1.448e-05
1494680452710,1.325,1.5204e-05
1494680452720,1.325,1.629e-05
1494680452730,1.325,1.1584000000000001e-05
1494680452740,1.325,1.1584000000000001e-05
1494680452750,1.325,1.0136000000000001e-05
1494680452760,1.325,1.2308e-05
1494680452770,1.325,1.3755999999999998e-05
1494680452780,1.325,1.5566e-05
1494680452790,1.325,3.258e-06
1494680452800,1.325,1.086e-05
1494680452810,1.325,9.412e-06
1494680452820,1.325,9.412e-06
1494680452830,1.325,7.964e-06
1494680452840,1.325,1.1584000000000001e-05
1494680452850,1.325,1.2308e-05
1494680452860,1.325,1.2308e-05
1494680452870,1.325,1.1945999999999999e-05
1494680452880,1.325,1.4118e-05
1494680452890,1.325,1.629e-05
1494680452900,1.325,1.7014e-05
1494680452910,1.325,1.3394000000000001e-05
1494680452920,1.325,1.3032e-05
1494680452930,1.325,1.0136000000000001e-05
1494680452940,1.325,1.3394000000000001e-05
1494680452950,1.325,9.774e-06
1494680452960,1.325,1.267e-05
1494680452970,1.325,9.05e-06
1494680452980,1.325,1.1584000000000001e-05
1494680452990,1.325,1.086e-05
1494680453000,1.325,1.1945999999999999e-05
1494680453010,1.325,9.412e-06
1494680453020,1.325,1.5204e-05
1494680453030,1.325,1.3755999999999998e-05
1494680453040,1.325,1.3394000000000001e-05
1494680453050,1.325,9.774e-06
1494680453060,1.325,1.1222e-05
1494680453070,1.325,7.964e-06
1494680453080,1.325,9.05e-06
1494680453090,1.325,1.1584000000000001e-05
1494680453100,1.325,1.267e-05
1494680453110,1.325,1.1584000000000001e-05
1494680453120,1.325,1.4842000000000001e-05
1494680453130,1.325,1.2308e-05
1494680453140,1.325,1.629e-05
1494680453150,1.325,1.267e-05
1494680453160,1.325,4.343999999999999e-06
1494680453170,1.325,1.2308e-05
1494680453180,1.325,1.4118e-05
1494680453190,1.325,1.629e-05
1494680453200,1.325,1.7738e-05
1494680453210,1.325,1.5928e-05
1494680453220,1.325,1.8100000000000003e-05
1494680453230,1.325,1.4842000000000001e-05
1494680453240,1.325,1.8462e-05
1494680453250,1.325,1.8824e-05
1494680453260,1.325,2.0996e-05
1494680453270,1.325,1.8462e-05
1494680453280,1.325,2.4616e-05
1494680453290,1.325,5.7196000000000006e-05
1494680453300,1.325,8.289799999999999e-05
1494680453310,1.325,7.0228e-05
1494680453320,1.325,8.6156e-05
1494680453330,1.325,8.688e-05
1494680453340,1.325,8.434600000000001e-05
1494680453350,1.325,8.3984e-05
1494680453360,1.325,7.3848e-05
1494680453370,1.325,8.2174e-05
1494680453380,1.325,8.108800000000001e-05
1494680453390,1.325,8.2536e-05
1494680453400,1.325,8.7242e-05
1494680453410,1.325,7.783e-05
1494680453420,1.325,9.412e-05
1494680453430,1.325,8.470799999999999e-05
1494680453440,1.325,8.7604e-05
1494680453450,1.325,8.507e-05
1494680453460,1.325,9.1586e-05
1494680453470,1.325,0.000102446
1494680453480,1.325,0.00011801200000000001
1494680453490,1.325,0.000125252
1494680453500,1.325,0.000141904
1494680453510,1.325,0.000165434
1494680453520,1.325,0.000149144
1494680453530,1.325,0.00014118
1494680453540,1.325,0.00013683600000000002
1494680453550,1.325,0.00012127
1494680453560,1.325,0.00012670000000000002
1494680453570,1.325,0.00011909799999999999
1494680453580,1.325,0.000105704
1494680453590,1.325,0.00010823799999999999
1494680453600,1.325,0.00010642799999999999
1494680453610,1.325,9.955e-05
1494680453620,1.325,9.122399999999999e-05
1494680453630,1.325,9.4844e-05
1494680453640,1.325,0.00010172200000000001
1494680453650,1.325,0.000107514
1494680453660,1.325,0.000100998
1494680453670,1.325,0.00010317
1494680453680,1.325,0.00011004799999999999
1494680453690,1.325,0.000116926
1494680453700,1.325,0.000121994
1494680453710,1.325,0.00011475399999999999
1494680453720,1.325,0.000111496
1494680453730,1.325,0.000113306
1494680453740,1.325,0.000125976
1494680453750,1.325,0.000116926
1494680453760,1.325,0.00010823799999999999
1494680453770,1.325,9.8826e-05
1494680453780,1.325,0.00011584
1494680453790,1.325,0.00011728799999999999
1494680453800,1.325,0.000102084
1494680453810,1.325,9.8102e-05
1494680453820,1.325,9.918799999999999e-05
1494680453830,1.325,0.000104256
1494680453840,1.325,9.9912e-05
1494680453850,1.325,8.7966e-05
1494680453860,1.325,9.1586e-05
1494680453870,1.325,8.507e-05
1494680453880,1.325,8.470799999999999e-05
1494680453890,1.325,7.167600000000001e-05
1494680453900,1.325,8.2536e-05
1494680453910,1.325,8.5794e-05
1494680453920,1.325,8.9052e-05
1494680453930,1.325,9.412e-05
1494680453940,1.325,9.3396e-05
1494680453950,1.325,0.00010317
1494680453960,1.325,0.000111496
1494680453970,1.325,0.000111134
1494680453980,1.325,0.000102808
1494680453990,1.325,0.00010859999999999998
1494680454000,1.325,0.00010859999999999998
1494680454010,1.325,9.412e-05
1494680454020,1.325,8.3984e-05
1494680454030,1.325,8.688e-05
1494680454040,1.325,8.289799999999999e-05
1494680454050,1.325,7.6382e-05
1494680454060,1.325,7.2038e-05
1494680454070,1.325,5.9368000000000005e-05
1494680454080,1.325,6.3712e-05
1494680454090,1.325,6.6246e-05
1494680454100,1.325,6.950399999999999e-05
1494680454110,1.325,7.240000000000001e-05
1494680454120,1.325,7.240000000000001e-05
1494680454130,1.325,7.1314e-05
1494680454140,1.325,8.145e-05
1494680454150,1.325,9.086200000000001e-05
1494680454160,1.325,0.00010172200000000001
1494680454170,1.325,0.00010317
1494680454180,1.325,0.00010317
1494680454190,1.325,9.267200000000001e-05
1494680454200,1.325,8.7242e-05
1494680454210,1.325,7.4572e-05
1494680454220,1.325,7.783e-05
1494680454230,1.325,7.276199999999999e-05
1494680454240,1.325,7.1314e-05
1494680454250,1.325,7.240000000000001e-05
1494680454260,1.325,8.2174e-05
1494680454270,1.325,7.3848e-05
1494680454280,1.325,7.7106e-05
1494680454290,1.325,7.2038e-05
1494680454300,1.325,7.276199999999999e-05
1494680454310,1.325,6.3712e-05
1494680454320,1.325,6.2626e-05
1494680454330,1.325,5.1042e-05
1494680454340,1.325,6.0453999999999994e-05
1494680454350,1.325,6.4798e-05
1494680454360,1.325,7.0228e-05
1494680454370,1.325,6.9142e-05
1494680454380,1.325,6.9142e-05
1494680454390,1.325,6.0453999999999994e-05
1494680454400,1.325,7.348600000000001e-05
1494680454410,1.325,8.3984e-05
1494680454420,1.325,7.9278e-05
1494680454430,1.325,8.5432e-05
1494680454440,1.325,8.1812e-05
1494680454450,1.325,9.9912e-05
1494680454460,1.325,8.9776e-05
1494680454470,1.325,8.326e-05
1494680454480,1.325,7.4572e-05
1494680454490,1.325,6.4074e-05
1494680454500,1.325,6.697e-05
1494680454510,1.325,6.5522e-05
1494680454520,1.325,5.792e-05
1494680454530,1.325,5.5023999999999994e-05
1494680454540,1.325,5.6472e-05
1494680454550,1.325,5.5748e-05
1494680454560,1.325,5.3213999999999996e-05
1494680454570,1.325,5.9368000000000005e-05
1494680454580,1.325,6.3712e-05
1494680454590,1.325,6.4436e-05
1494680454600,1.325,6.3712e-05
1494680454610,1.325,6.1902e-05
1494680454620,1.325,5.9368000000000005e-05
1494680454630,1.325,7.421e-05
1494680454640,1.325,6.769399999999999e-05
1494680454650,1.325,6.4798e-05
1494680454660,1.325,6.0816e-05
1494680454670,1.325,6.1178e-05
1494680454680,1.325,5.8281999999999995e-05
1494680454690,1.325,5.1766000000000005e-05
1494680454700,1.325,5.7196000000000006e-05
1494680454710,1.325,5.611e-05
1494680454720,1.325,5.6834e-05
1494680454730,1.325,5.8643999999999996e-05
1494680454740,1.325,5.611e-05
1494680454750,1.325,5.3576000000000003e-05
1494680454760,1.325,4.1992e-05
1494680454770,1.325,4.959399999999999e-05
1494680454780,1.325,5.1404e-05
1494680454790,1.325,4.9956e-05
1494680454800,1.325,5.5023999999999994e-05
1494680454810,1.325,5.792e-05
1494680454820,1.325,6.7332e-05
1494680454830,1.325,6.6246e-05
1494680454840,1.325,5.8643999999999996e-05
1494680454850,1.325,6.2988e-05
1494680454860,1.325,6.2988e-05
1494680454870,1.325,6.516e-05
1494680454880,1.325,6.769399999999999e-05
1494680454890,1.325,7.3848e-05
1494680454900,1.325,5.792e-05
1494680454910,1.325,5.8643999999999996e-05
1494680454920,1.325,5.5748e-05
1494680454930,1.325,5.249e-05
1494680454940,1.325,4.887e-05
1494680454950,1.325,4.959399999999999e-05
1494680454960,1.325,4.887e-05
1494680454970,1.325,4.887e-05
1494680454980,1.325,4.163e-05
1494680454990,1.325,4.959399999999999e-05
1494680455000,1.325,5.1042e-05
1494680455010,1.325,4.8508000000000004e-05
1494680455020,1.325,4.6698e-05
1494680455030,1.325,4.6336000000000005e-05
1494680455040,1.325,4.7783999999999995e-05
1494680455050,1.325,4.5611999999999996e-05
1494680455060,1.325,4.6336000000000005e-05
1494680455070,1.325,5.3213999999999996e-05
1494680455080,1.325,6.516e-05
1494680455090,1.325,6.2988e-05
1494680455100,1.325,5.611e-05
1494680455110,1.325,5.792e-05
1494680455120,1.325,5.1766000000000005e-05
1494680455130,1.325,5.429999999999999e-05
1494680455140,1.325,4.4526e-05
1494680455150,1.325,5.2128e-05
1494680455160,1.325,5.1404e-05
1494680455170,1.325,5.1404e-05
1494680455180,1.325,4.4526e-05
1494680455190,1.325,4.4164e-05
1494680455200,1.325,4.6698e-05
1494680455210,1.325,4.3078e-05
1494680455220,1.325,3.4751999999999995e-05
1494680455230,1.325,3.801e-05
