Timestamp,position,BLMTI.04R7.B1E10_TCSG.A4R7.B1
1494680575240,0.975,1.5566e-05
1494680575250,0.975,1.4842000000000001e-05
1494680575260,0.975,1.3032e-05
1494680575270,0.975,1.267e-05
1494680575280,0.975,1.267e-05
1494680575290,0.975,1.3755999999999998e-05
1494680575300,0.975,1.3032e-05
1494680575310,0.975,1.4118e-05
1494680575320,0.975,1.1945999999999999e-05
1494680575330,0.975,1.2308e-05
1494680575340,0.975,1.086e-05
1494680575350,0.975,1.3755999999999998e-05
1494680575360,0.975,1.2308e-05
1494680575370,0.975,1.4842000000000001e-05
1494680575380,0.975,7.24e-06
1494680575390,0.975,1.629e-05
1494680575400,0.975,1.5204e-05
1494680575410,0.975,1.4842000000000001e-05
1494680575420,0.975,1.5204e-05
1494680575430,0.975,1.3032e-05
1494680575440,0.975,1.3032e-05
1494680575450,0.975,1.448e-05
1494680575460,0.975,1.3394000000000001e-05
1494680575470,0.975,1.3755999999999998e-05
1494680575480,0.975,9.412e-06
1494680575490,0.975,1.4118e-05
1494680575500,0.975,1.3394000000000001e-05
1494680575510,0.975,1.448e-05
1494680575520,0.975,1.1584000000000001e-05
1494680575530,0.975,1.3032e-05
1494680575540,0.975,1.267e-05
1494680575550,0.975,1.4118e-05
1494680575560,0.975,1.3755999999999998e-05
1494680575570,0.975,1.3394000000000001e-05
1494680575580,0.975,1.4842000000000001e-05
1494680575590,0.975,1.5204e-05
1494680575600,0.975,1.2308e-05
1494680575610,0.975,1.3755999999999998e-05
1494680575620,0.975,1.267e-05
1494680575630,0.975,1.4842000000000001e-05
1494680575640,0.975,1.3394000000000001e-05
1494680575650,0.975,1.3755999999999998e-05
1494680575660,0.975,1.448e-05
1494680575670,0.975,1.1584000000000001e-05
1494680575680,0.975,9.412e-06
1494680575690,0.975,1.3032e-05
1494680575700,0.975,1.3755999999999998e-05
1494680575710,0.975,1.267e-05
1494680575720,0.975,1.267e-05
1494680575730,0.975,1.5204e-05
1494680575740,0.975,1.448e-05
1494680575750,0.975,1.5566e-05
1494680575760,0.975,1.448e-05
1494680575770,0.975,1.2308e-05
1494680575780,0.975,1.1222e-05
1494680575790,0.975,1.1584000000000001e-05
1494680575800,0.975,1.267e-05
1494680575810,0.975,1.4118e-05
1494680575820,0.975,1.3032e-05
1494680575830,0.975,1.448e-05
1494680575840,0.975,1.4842000000000001e-05
1494680575850,0.975,1.7375999999999998e-05
1494680575860,0.975,1.448e-05
1494680575870,0.975,1.3394000000000001e-05
1494680575880,0.975,1.5204e-05
1494680575890,0.975,1.448e-05
1494680575900,0.975,1.3755999999999998e-05
1494680575910,0.975,1.629e-05
1494680575920,0.975,1.3755999999999998e-05
1494680575930,0.975,1.267e-05
1494680575940,0.975,1.2308e-05
