Timestamp,position,BLMTI.04L7.B1E10_TCSG.A4L7.B1
1494680715060,1.885,7.602e-06
1494680715070,1.885,1.0136000000000001e-05
1494680715080,1.885,9.412e-06
1494680715090,1.885,1.2308e-05
1494680715100,1.885,1.3032e-05
1494680715110,1.885,1.448e-05
1494680715120,1.885,1.4118e-05
1494680715130,1.885,1.1222e-05
1494680715140,1.885,1.1945999999999999e-05
1494680715150,1.885,1.086e-05
1494680715160,1.885,8.326e-06
1494680715170,1.885,1.0136000000000001e-05
1494680715180,1.885,1.1222e-05
1494680715190,1.885,1.0498e-05
1494680715200,1.885,1.1584000000000001e-05
1494680715210,1.885,1.4842000000000001e-05
1494680715220,1.885,1.2308e-05
1494680715230,1.885,1.1584000000000001e-05
1494680715240,1.885,1.086e-05
1494680715250,1.885,1.4118e-05
1494680715260,1.885,1.267e-05
1494680715270,1.885,1.2308e-05
1494680715280,1.885,1.2308e-05
1494680715290,1.885,6.516e-06
1494680715300,1.885,2.8960000000000003e-06
1494680715310,1.885,1.0136000000000001e-05
1494680715320,1.885,1.0136000000000001e-05
1494680715330,1.885,1.2308e-05
1494680715340,1.885,1.1945999999999999e-05
1494680715350,1.885,1.1584000000000001e-05
1494680715360,1.885,1.3032e-05
1494680715370,1.885,9.05e-06
1494680715380,1.885,1.3755999999999998e-05
1494680715390,1.885,1.448e-05
1494680715400,1.885,1.4118e-05
1494680715410,1.885,1.1222e-05
1494680715420,1.885,1.1222e-05
1494680715430,1.885,1.448e-05
1494680715440,1.885,1.086e-05
1494680715450,1.885,1.0498e-05
1494680715460,1.885,9.774e-06
1494680715470,1.885,1.1584000000000001e-05
1494680715480,1.885,9.774e-06
1494680715490,1.885,9.412e-06
1494680715500,1.885,1.1584000000000001e-05
1494680715510,1.885,1.4118e-05
1494680715520,1.885,1.2308e-05
1494680715530,1.885,1.1222e-05
1494680715540,1.885,1.0498e-05
1494680715550,1.885,1.1584000000000001e-05
1494680715560,1.885,1.0498e-05
1494680715570,1.885,1.1584000000000001e-05
1494680715580,1.885,1.1945999999999999e-05
1494680715590,1.885,1.4118e-05
1494680715600,1.885,1.3755999999999998e-05
1494680715610,1.885,1.1222e-05
1494680715620,1.885,1.0498e-05
1494680715630,1.885,9.412e-06
1494680715640,1.885,7.602e-06
1494680715650,1.885,0.0
1494680715660,1.885,7.24e-06
1494680715670,1.885,1.3032e-05
1494680715680,1.885,1.3394000000000001e-05
1494680715690,1.885,1.629e-05
1494680715700,1.885,1.3394000000000001e-05
1494680715710,1.885,1.5928e-05
1494680715720,1.885,1.0136000000000001e-05
1494680715730,1.885,1.3394000000000001e-05
1494680715740,1.885,1.0136000000000001e-05
1494680715750,1.885,1.1584000000000001e-05
1494680715760,1.885,1.086e-05
1494680715770,1.885,1.267e-05
1494680715780,1.885,9.774e-06
1494680715790,1.885,1.1222e-05
1494680715800,1.885,9.774e-06
1494680715810,1.885,9.412e-06
1494680715820,1.885,1.1584000000000001e-05
1494680715830,1.885,1.3394000000000001e-05
1494680715840,1.885,1.3032e-05
1494680715850,1.885,1.0136000000000001e-05
1494680715860,1.885,1.267e-05
1494680715870,1.885,1.3032e-05
1494680715880,1.885,1.267e-05
1494680715890,1.885,1.267e-05
1494680715900,1.885,9.412e-06
1494680715910,1.885,8.687999999999999e-06
1494680715920,1.885,1.086e-05
1494680715930,1.885,1.3032e-05
1494680715940,1.885,1.3394000000000001e-05
1494680715950,1.885,1.4842000000000001e-05
1494680715960,1.885,1.086e-05
1494680715970,1.885,1.2308e-05
1494680715980,1.885,1.2308e-05
1494680715990,1.885,3.62e-06
1494680716000,1.885,7.602e-06
1494680716010,1.885,1.267e-05
1494680716020,1.885,1.448e-05
1494680716030,1.885,1.3032e-05
1494680716040,1.885,1.1222e-05
1494680716050,1.885,1.086e-05
1494680716060,1.885,1.0498e-05
1494680716070,1.885,9.05e-06
1494680716080,1.885,1.0136000000000001e-05
1494680716090,1.885,1.0136000000000001e-05
1494680716100,1.885,1.1584000000000001e-05
1494680716110,1.885,1.3032e-05
1494680716120,1.885,1.1222e-05
1494680716130,1.885,1.5928e-05
1494680716140,1.885,1.3032e-05
1494680716150,1.885,1.3032e-05
1494680716160,1.885,1.1222e-05
1494680716170,1.885,9.05e-06
1494680716180,1.885,1.086e-05
1494680716190,1.885,9.774e-06
1494680716200,1.885,8.687999999999999e-06
1494680716210,1.885,1.1584000000000001e-05
1494680716220,1.885,9.412e-06
1494680716230,1.885,1.1222e-05
1494680716240,1.885,1.0136000000000001e-05
1494680716250,1.885,8.326e-06
1494680716260,1.885,1.267e-05
1494680716270,1.885,1.3032e-05
1494680716280,1.885,1.0136000000000001e-05
1494680716290,1.885,1.2308e-05
1494680716300,1.885,1.086e-05
1494680716310,1.885,1.4842000000000001e-05
1494680716320,1.885,9.774e-06
1494680716330,1.885,7.602e-06
1494680716340,1.885,7.964e-06
1494680716350,1.885,7.964e-06
1494680716360,1.885,7.964e-06
1494680716370,1.885,0.0
1494680716380,1.885,9.412e-06
1494680716390,1.885,1.0498e-05
1494680716400,1.885,1.0498e-05
1494680716410,1.885,1.1222e-05
1494680716420,1.885,1.1222e-05
1494680716430,1.885,1.0498e-05
1494680716440,1.885,1.3032e-05
1494680716450,1.885,1.086e-05
1494680716460,1.885,1.1222e-05
1494680716470,1.885,1.086e-05
1494680716480,1.885,8.687999999999999e-06
1494680716490,1.885,1.0498e-05
1494680716500,1.885,7.602e-06
1494680716510,1.885,9.05e-06
1494680716520,1.885,7.24e-06
1494680716530,1.885,8.687999999999999e-06
1494680716540,1.885,9.774e-06
1494680716550,1.885,1.4118e-05
1494680716560,1.885,1.5204e-05
1494680716570,1.885,1.3032e-05
1494680716580,1.885,1.4842000000000001e-05
