Timestamp,position,BLMTI.05L7.B2I10_TCSG.D5L7.B2
1494682087120,1.16,2.1719999999999997e-06
1494682087130,1.16,1.0859999999999999e-06
1494682087140,1.16,2.8960000000000003e-06
1494682087150,1.16,3.258e-06
1494682087160,1.16,2.1719999999999997e-06
1494682087170,1.16,2.8960000000000003e-06
1494682087180,1.16,2.8960000000000003e-06
1494682087190,1.16,1.0859999999999999e-06
1494682087200,1.16,2.8960000000000003e-06
1494682087210,1.16,7.240000000000001e-07
1494682087220,1.16,2.8960000000000003e-06
1494682087230,1.16,1.0859999999999999e-06
1494682087240,1.16,2.8960000000000003e-06
1494682087250,1.16,2.5340000000000002e-06
1494682087260,1.16,3.62e-06
1494682087270,1.16,2.8960000000000003e-06
1494682087280,1.16,2.8960000000000003e-06
1494682087290,1.16,2.5340000000000002e-06
1494682087300,1.16,2.5340000000000002e-06
1494682087310,1.16,1.81e-06
1494682087320,1.16,2.5340000000000002e-06
1494682087330,1.16,1.81e-06
1494682087340,1.16,4.343999999999999e-06
1494682087350,1.16,4.706e-06
1494682087360,1.16,4.706e-06
1494682087370,1.16,2.5340000000000002e-06
1494682087380,1.16,2.1719999999999997e-06
1494682087390,1.16,0.0
1494682087400,1.16,2.1719999999999997e-06
1494682087410,1.16,1.81e-06
1494682087420,1.16,3.258e-06
1494682087430,1.16,1.4480000000000002e-06
1494682087440,1.16,3.62e-06
1494682087450,1.16,2.1719999999999997e-06
1494682087460,1.16,2.5340000000000002e-06
1494682087470,1.16,2.5340000000000002e-06
1494682087480,1.16,2.5340000000000002e-06
1494682087490,1.16,1.0859999999999999e-06
1494682087500,1.16,2.5340000000000002e-06
1494682087510,1.16,3.258e-06
1494682087520,1.16,3.982e-06
1494682087530,1.16,3.258e-06
1494682087540,1.16,4.343999999999999e-06
1494682087550,1.16,2.1719999999999997e-06
1494682087560,1.16,2.5340000000000002e-06
1494682087570,1.16,2.1719999999999997e-06
1494682087580,1.16,3.258e-06
1494682087590,1.16,1.81e-06
1494682087600,1.16,2.8960000000000003e-06
1494682087610,1.16,1.4480000000000002e-06
1494682087620,1.16,2.8960000000000003e-06
1494682087630,1.16,2.5340000000000002e-06
1494682087640,1.16,4.343999999999999e-06
1494682087650,1.16,1.81e-06
1494682087660,1.16,2.8960000000000003e-06
1494682087670,1.16,1.81e-06
1494682087680,1.16,2.5340000000000002e-06
1494682087690,1.16,1.81e-06
1494682087700,1.16,1.81e-06
1494682087710,1.16,1.4480000000000002e-06
1494682087720,1.16,3.62e-06
1494682087730,1.16,1.0859999999999999e-06
1494682087740,1.16,3.258e-06
1494682087750,1.16,2.1719999999999997e-06
1494682087760,1.16,1.81e-06
1494682087770,1.16,1.4480000000000002e-06
1494682087780,1.16,2.8960000000000003e-06
1494682087790,1.16,1.81e-06
1494682087800,1.16,2.1719999999999997e-06
1494682087810,1.16,2.5340000000000002e-06
1494682087820,1.16,3.258e-06
1494682087830,1.16,7.240000000000001e-07
1494682087840,1.16,3.258e-06
1494682087850,1.16,1.0859999999999999e-06
1494682087860,1.16,2.5340000000000002e-06
1494682087870,1.16,1.81e-06
1494682087880,1.16,3.258e-06
1494682087890,1.16,7.240000000000001e-07
1494682087900,1.16,2.5340000000000002e-06
1494682087910,1.16,1.81e-06
1494682087930,1.16,3.258e-06
1494682087940,1.16,1.81e-06
1494682087950,1.16,2.1719999999999997e-06
1494682087960,1.16,1.81e-06
1494682087970,1.16,1.4480000000000002e-06
1494682087980,1.16,2.1719999999999997e-06
1494682087990,1.16,3.258e-06
1494682088000,1.16,7.240000000000001e-07
1494682088010,1.16,2.8960000000000003e-06
1494682088020,1.16,1.81e-06
1494682088030,1.16,2.1719999999999997e-06
1494682088040,1.16,1.0859999999999999e-06
1494682088050,1.16,2.8960000000000003e-06
1494682088060,1.16,7.240000000000001e-07
1494682088070,1.16,3.258e-06
1494682088080,1.16,7.240000000000001e-07
1494682088090,1.16,3.258e-06
1494682088100,1.16,1.0859999999999999e-06
1494682088110,1.16,2.5340000000000002e-06
1494682088120,1.16,1.0859999999999999e-06
1494682088130,1.16,1.81e-06
1494682088140,1.16,2.1719999999999997e-06
1494682088150,1.16,1.0859999999999999e-06
1494682088160,1.16,1.81e-06
1494682088170,1.16,1.81e-06
1494682088180,1.16,1.0859999999999999e-06
1494682088190,1.16,2.5340000000000002e-06
1494682088200,1.16,2.1719999999999997e-06
1494682088210,1.16,2.5340000000000002e-06
1494682088220,1.16,3.6200000000000004e-07
1494682088230,1.16,2.1719999999999997e-06
1494682088240,1.16,0.0
1494682088250,1.16,2.5340000000000002e-06
1494682088260,1.16,1.0859999999999999e-06
1494682088270,1.16,2.1719999999999997e-06
1494682088280,1.16,1.81e-06
1494682088290,1.16,2.8960000000000003e-06
1494682088300,1.16,1.81e-06
1494682088310,1.16,1.0859999999999999e-06
1494682088320,1.16,2.5340000000000002e-06
1494682088330,1.16,3.258e-06
1494682088340,1.16,2.1719999999999997e-06
1494682088350,1.16,1.81e-06
1494682088360,1.16,1.4480000000000002e-06
1494682088370,1.16,0.0
1494682088380,1.16,1.81e-06
1494682088390,1.16,1.4480000000000002e-06
1494682088400,1.16,1.81e-06
1494682088410,1.16,1.4480000000000002e-06
1494682088420,1.16,0.0
1494682088430,1.16,2.5340000000000002e-06
1494682088440,1.16,1.4480000000000002e-06
1494682088450,1.16,7.240000000000001e-07
1494682088460,1.16,3.6200000000000004e-07
1494682088470,1.16,2.8960000000000003e-06
1494682088480,1.16,2.1719999999999997e-06
1494682088490,1.16,7.240000000000001e-07
1494682088500,1.16,1.81e-06
1494682088510,1.16,2.8960000000000003e-06
1494682088520,1.16,3.6200000000000004e-07
1494682088530,1.16,1.81e-06
1494682088540,1.16,1.81e-06
1494682088550,1.16,1.81e-06
1494682088560,1.16,3.6200000000000004e-07
1494682088570,1.16,2.5340000000000002e-06
1494682088580,1.16,1.81e-06
1494682088590,1.16,3.6200000000000004e-07
1494682088600,1.16,1.81e-06
1494682088610,1.16,3.258e-06
1494682088620,1.16,7.240000000000001e-07
1494682088630,1.16,2.1719999999999997e-06
1494682088640,1.16,3.6200000000000004e-07
1494682088650,1.16,2.5340000000000002e-06
1494682088660,1.16,1.81e-06
1494682088670,1.16,7.240000000000001e-07
1494682088680,1.16,2.1719999999999997e-06
1494682088690,1.16,2.5340000000000002e-06
1494682088700,1.16,7.240000000000001e-07
1494682088710,1.16,1.81e-06
1494682088720,1.16,3.6200000000000004e-07
1494682088730,1.16,2.8960000000000003e-06
1494682088740,1.16,1.4480000000000002e-06
1494682088750,1.16,2.8960000000000003e-06
1494682088760,1.16,7.240000000000001e-07
1494682088770,1.16,2.5340000000000002e-06
1494682088780,1.16,2.1719999999999997e-06
1494682088790,1.16,7.240000000000001e-07
1494682088800,1.16,3.6200000000000004e-07
1494682088810,1.16,3.258e-06
1494682088820,1.16,7.240000000000001e-07
1494682088830,1.16,2.8960000000000003e-06
1494682088840,1.16,3.6200000000000004e-07
1494682088850,1.16,2.8960000000000003e-06
1494682088860,1.16,3.6200000000000004e-07
1494682088870,1.16,2.5340000000000002e-06
1494682088880,1.16,1.0859999999999999e-06
1494682088890,1.16,3.258e-06
1494682088900,1.16,1.0859999999999999e-06
1494682088910,1.16,2.5340000000000002e-06
1494682088920,1.16,1.0859999999999999e-06
1494682088930,1.16,2.8960000000000003e-06
1494682088940,1.16,1.81e-06
1494682088950,1.16,2.1719999999999997e-06
1494682088960,1.16,1.81e-06
1494682088970,1.16,7.240000000000001e-07
1494682088980,1.16,2.1719999999999997e-06
1494682088990,1.16,1.81e-06
1494682089000,1.16,3.6200000000000004e-07
1494682089010,1.16,2.8960000000000003e-06
1494682089020,1.16,7.240000000000001e-07
1494682089030,1.16,3.258e-06
1494682089040,1.16,7.240000000000001e-07
1494682089050,1.16,2.1719999999999997e-06
1494682089060,1.16,2.1719999999999997e-06
1494682089070,1.16,7.240000000000001e-07
1494682089080,1.16,3.62e-06
1494682089090,1.16,1.81e-06
1494682089100,1.16,7.240000000000001e-07
1494682089110,1.16,3.258e-06
1494682089120,1.16,1.4480000000000002e-06
1494682089130,1.16,1.4480000000000002e-06
1494682089140,1.16,3.258e-06
1494682089150,1.16,1.81e-06
1494682089160,1.16,2.1719999999999997e-06
1494682089170,1.16,1.4480000000000002e-06
1494682089180,1.16,2.5340000000000002e-06
1494682089190,1.16,2.1719999999999997e-06
1494682089200,1.16,1.81e-06
1494682089210,1.16,1.4480000000000002e-06
1494682089220,1.16,2.5340000000000002e-06
1494682089230,1.16,7.240000000000001e-07
1494682089240,1.16,3.6200000000000004e-07
1494682089250,1.16,4.706e-06
1494682089260,1.16,7.240000000000001e-07
1494682089270,1.16,2.1719999999999997e-06
1494682089280,1.16,2.1719999999999997e-06
1494682089290,1.16,3.982e-06
1494682089300,1.16,1.81e-06
1494682089310,1.16,1.81e-06
1494682089320,1.16,1.81e-06
1494682089330,1.16,3.62e-06
1494682089340,1.16,5.792000000000001e-06
1494682089350,1.16,2.8960000000000003e-06
1494682089360,1.16,1.0859999999999999e-06
1494682089370,1.16,4.343999999999999e-06
1494682089380,1.16,1.81e-06
1494682089390,1.16,2.5340000000000002e-06
1494682089400,1.16,7.240000000000001e-07
1494682089410,1.16,2.5340000000000002e-06
1494682089420,1.16,1.4480000000000002e-06
1494682089430,1.16,2.5340000000000002e-06
1494682089440,1.16,1.4480000000000002e-06
1494682089450,1.16,1.4480000000000002e-06
1494682089460,1.16,1.4480000000000002e-06
1494682089470,1.16,1.0859999999999999e-06
1494682089480,1.16,1.81e-06
1494682089490,1.16,1.0859999999999999e-06
1494682089500,1.16,3.6200000000000004e-07
1494682089510,1.16,1.4480000000000002e-06
1494682089520,1.16,1.81e-06
1494682089530,1.16,1.4480000000000002e-06
1494682089540,1.16,1.4480000000000002e-06
1494682089550,1.16,3.258e-06
1494682089560,1.16,7.240000000000001e-07
1494682089570,1.16,2.5340000000000002e-06
1494682089580,1.16,7.240000000000001e-07
1494682089590,1.16,0.0
1494682089600,1.16,1.4480000000000002e-06
1494682089610,1.16,1.4480000000000002e-06
1494682089620,1.16,2.1719999999999997e-06
1494682089630,1.16,2.8960000000000003e-06
1494682089640,1.16,1.4480000000000002e-06
1494682089650,1.16,2.8960000000000003e-06
1494682089660,1.16,1.0859999999999999e-06
1494682089670,1.16,2.1719999999999997e-06
1494682089680,1.16,1.81e-06
1494682089690,1.16,2.5340000000000002e-06
1494682089700,1.16,1.4480000000000002e-06
1494682089710,1.16,1.4480000000000002e-06
1494682089720,1.16,2.1719999999999997e-06
1494682089730,1.16,1.0859999999999999e-06
1494682089740,1.16,1.81e-06
1494682089750,1.16,1.81e-06
1494682089760,1.16,1.4480000000000002e-06
1494682089770,1.16,1.4480000000000002e-06
1494682089780,1.16,1.81e-06
1494682089790,1.16,1.4480000000000002e-06
1494682089800,1.16,1.0859999999999999e-06
1494682089810,1.16,1.81e-06
1494682089820,1.16,1.81e-06
1494682089830,1.16,2.5340000000000002e-06
1494682089840,1.16,1.0859999999999999e-06
1494682089850,1.16,1.81e-06
1494682089860,1.16,7.240000000000001e-07
1494682089870,1.16,1.4480000000000002e-06
1494682089880,1.16,1.4480000000000002e-06
1494682089890,1.16,2.5340000000000002e-06
1494682089900,1.16,2.5340000000000002e-06
1494682089910,1.16,3.62e-06
1494682089920,1.16,2.8960000000000003e-06
1494682089930,1.16,2.1719999999999997e-06
1494682089940,1.16,7.240000000000001e-07
1494682089950,1.16,1.81e-06
1494682089960,1.16,7.240000000000001e-07
1494682089970,1.16,1.81e-06
1494682089980,1.16,1.4480000000000002e-06
1494682089990,1.16,2.8960000000000003e-06
1494682090000,1.16,1.81e-06
1494682090010,1.16,1.81e-06
1494682090020,1.16,2.1719999999999997e-06
1494682090030,1.16,1.4480000000000002e-06
1494682090040,1.16,1.4480000000000002e-06
1494682090050,1.16,3.258e-06
1494682090060,1.16,1.81e-06
1494682090070,1.16,2.1719999999999997e-06
1494682090080,1.16,1.4480000000000002e-06
1494682090090,1.16,2.5340000000000002e-06
1494682090100,1.16,2.5340000000000002e-06
1494682090110,1.16,1.4480000000000002e-06
1494682090120,1.16,1.0859999999999999e-06
1494682090130,1.16,1.4480000000000002e-06
1494682090140,1.16,7.240000000000001e-07
1494682090150,1.16,3.62e-06
1494682090160,1.16,2.8960000000000003e-06
1494682090170,1.16,1.81e-06
1494682090180,1.16,7.240000000000001e-07
1494682090190,1.16,2.5340000000000002e-06
1494682090200,1.16,1.4480000000000002e-06
1494682090210,1.16,1.0859999999999999e-06
1494682090220,1.16,2.1719999999999997e-06
1494682090230,1.16,7.240000000000001e-07
1494682090240,1.16,1.0859999999999999e-06
1494682090250,1.16,1.4480000000000002e-06
1494682090260,1.16,1.81e-06
1494682090270,1.16,3.6200000000000004e-07
1494682090280,1.16,3.6200000000000004e-07
1494682090290,1.16,2.5340000000000002e-06
1494682090300,1.16,0.0
1494682090310,1.16,2.5340000000000002e-06
1494682090320,1.16,1.81e-06
1494682090330,1.16,2.1719999999999997e-06
1494682090340,1.16,1.81e-06
1494682090350,1.16,7.240000000000001e-07
1494682090360,1.16,1.0859999999999999e-06
1494682090370,1.16,2.5340000000000002e-06
1494682090380,1.16,2.1719999999999997e-06
1494682090390,1.16,7.240000000000001e-07
1494682090400,1.16,2.8960000000000003e-06
1494682090410,1.16,2.8960000000000003e-06
1494682090420,1.16,1.4480000000000002e-06
1494682090430,1.16,3.982e-06
1494682090440,1.16,2.1719999999999997e-06
1494682090450,1.16,1.81e-06
1494682090460,1.16,2.1719999999999997e-06
1494682090470,1.16,1.81e-06
1494682090480,1.16,2.1719999999999997e-06
1494682090490,1.16,1.0859999999999999e-06
1494682090500,1.16,2.1719999999999997e-06
1494682090510,1.16,7.240000000000001e-07
1494682090520,1.16,1.81e-06
1494682090530,1.16,1.0859999999999999e-06
1494682090540,1.16,1.0859999999999999e-06
1494682090550,1.16,7.240000000000001e-07
1494682090560,1.16,2.5340000000000002e-06
1494682090570,1.16,1.4480000000000002e-06
1494682090580,1.16,3.6200000000000004e-07
1494682090590,1.16,3.258e-06
1494682090600,1.16,1.4480000000000002e-06
1494682090610,1.16,1.0859999999999999e-06
1494682090620,1.16,2.1719999999999997e-06
1494682090630,1.16,1.4480000000000002e-06
1494682090640,1.16,1.0859999999999999e-06
1494682090650,1.16,1.0859999999999999e-06
1494682090660,1.16,3.6200000000000004e-07
1494682090670,1.16,3.258e-06
1494682090680,1.16,7.240000000000001e-07
1494682090690,1.16,1.81e-06
1494682090700,1.16,7.240000000000001e-07
1494682090710,1.16,1.4480000000000002e-06
1494682090720,1.16,2.1719999999999997e-06
1494682090730,1.16,2.1719999999999997e-06
1494682090740,1.16,2.1719999999999997e-06
1494682090750,1.16,2.5340000000000002e-06
1494682090760,1.16,2.1719999999999997e-06
1494682090770,1.16,1.0859999999999999e-06
1494682090780,1.16,1.81e-06
1494682090790,1.16,2.1719999999999997e-06
1494682090800,1.16,2.1719999999999997e-06
1494682090810,1.16,2.5340000000000002e-06
1494682090820,1.16,1.4480000000000002e-06
1494682090830,1.16,1.0859999999999999e-06
1494682090840,1.16,2.8960000000000003e-06
1494682090850,1.16,1.81e-06
1494682090860,1.16,5.0680000000000004e-06
1494682090870,1.16,1.81e-06
1494682090880,1.16,0.0
1494682090890,1.16,2.5340000000000002e-06
1494682090900,1.16,1.4480000000000002e-06
1494682090910,1.16,2.1719999999999997e-06
1494682090920,1.16,0.0
1494682090930,1.16,1.81e-06
1494682090940,1.16,3.6200000000000004e-07
1494682090950,1.16,2.1719999999999997e-06
1494682090960,1.16,1.0859999999999999e-06
1494682090970,1.16,1.0859999999999999e-06
1494682090980,1.16,1.4480000000000002e-06
1494682090990,1.16,1.81e-06
1494682091000,1.16,1.0859999999999999e-06
1494682091010,1.16,1.4480000000000002e-06
1494682091020,1.16,1.0859999999999999e-06
1494682091030,1.16,1.81e-06
1494682091040,1.16,1.0859999999999999e-06
1494682091050,1.16,1.0859999999999999e-06
1494682091060,1.16,0.0
1494682091070,1.16,1.81e-06
1494682091080,1.16,3.6200000000000004e-07
1494682091090,1.16,2.1719999999999997e-06
1494682091100,1.16,3.6200000000000004e-07
1494682091110,1.16,0.0
1494682091120,1.16,3.6200000000000004e-07
1494682091130,1.16,2.8960000000000003e-06
1494682091140,1.16,3.6200000000000004e-07
1494682091150,1.16,1.81e-06
1494682091160,1.16,0.0
1494682091170,1.16,2.5340000000000002e-06
1494682091180,1.16,1.0859999999999999e-06
1494682091190,1.16,1.81e-06
1494682091200,1.16,7.240000000000001e-07
1494682091210,1.16,1.81e-06
1494682091220,1.16,7.240000000000001e-07
1494682091230,1.16,2.8960000000000003e-06
1494682091240,1.16,7.240000000000001e-07
1494682091250,1.16,2.1719999999999997e-06
1494682091260,1.16,0.0
1494682091270,1.16,2.5340000000000002e-06
1494682091280,1.16,7.240000000000001e-07
1494682091290,1.16,2.5340000000000002e-06
1494682091300,1.16,0.0
