Timestamp,position,BLMTI.06R7.B2I10_TCP.B6R7.B2
1494682647450,0.71,1.2308e-05
1494682647460,0.71,9.412e-06
1494682647470,0.71,1.5204e-05
1494682647480,0.71,9.774e-06
1494682647490,0.71,1.3032e-05
1494682647500,0.71,7.964e-06
1494682647510,0.71,1.4118e-05
1494682647520,0.71,9.412e-06
1494682647530,0.71,1.448e-05
1494682647540,0.71,1.0498e-05
1494682647550,0.71,1.5928e-05
1494682647560,0.71,1.0136000000000001e-05
1494682647570,0.71,1.3394000000000001e-05
1494682647580,0.71,1.0136000000000001e-05
1494682647590,0.71,1.267e-05
1494682647600,0.71,8.687999999999999e-06
1494682647610,0.71,1.3394000000000001e-05
1494682647620,0.71,9.412e-06
1494682647630,0.71,1.4118e-05
1494682647640,0.71,1.1222e-05
1494682647650,0.71,1.3394000000000001e-05
1494682647660,0.71,8.687999999999999e-06
1494682647670,0.71,9.774e-06
1494682647680,0.71,7.602e-06
1494682647690,0.71,1.2308e-05
1494682647700,0.71,7.602e-06
1494682647710,0.71,1.267e-05
1494682647720,0.71,9.412e-06
1494682647730,0.71,1.4118e-05
1494682647740,0.71,9.412e-06
1494682647750,0.71,1.1584000000000001e-05
1494682647760,0.71,7.964e-06
1494682647770,0.71,1.1584000000000001e-05
1494682647780,0.71,8.687999999999999e-06
1494682647790,0.71,1.1945999999999999e-05
1494682647800,0.71,9.05e-06
1494682647810,0.71,1.5928e-05
1494682647820,0.71,1.1945999999999999e-05
1494682647830,0.71,1.6652e-05
1494682647840,0.71,9.412e-06
1494682647850,0.71,1.267e-05
1494682647860,0.71,6.516e-06
1494682647870,0.71,1.1584000000000001e-05
1494682647880,0.71,7.602e-06
1494682647890,0.71,1.267e-05
1494682647900,0.71,7.964e-06
1494682647910,0.71,1.2308e-05
1494682647920,0.71,7.964e-06
1494682647930,0.71,1.1222e-05
1494682647940,0.71,6.877999999999999e-06
1494682647950,0.71,1.0498e-05
1494682647960,0.71,6.516e-06
1494682647970,0.71,1.1222e-05
1494682647980,0.71,8.326e-06
1494682647990,0.71,1.1584000000000001e-05
1494682648000,0.71,7.602e-06
1494682648010,0.71,1.0498e-05
1494682648020,0.71,7.602e-06
1494682648030,0.71,1.2308e-05
1494682648040,0.71,7.964e-06
1494682648050,0.71,1.0136000000000001e-05
1494682648060,0.71,7.24e-06
1494682648070,0.71,1.1222e-05
1494682648080,0.71,7.602e-06
1494682648090,0.71,9.774e-06
1494682648100,0.71,7.602e-06
1494682648110,0.71,9.774e-06
1494682648120,0.71,6.154e-06
1494682648130,0.71,1.2308e-05
1494682648140,0.71,7.602e-06
1494682648150,0.71,1.1222e-05
1494682648160,0.71,6.516e-06
1494682648170,0.71,9.774e-06
1494682648180,0.71,6.516e-06
1494682648190,0.71,9.774e-06
1494682648200,0.71,6.516e-06
