Timestamp,position,BLMTI.06L3.B1I10_TCP.6L3.B1
1494674588650,-1.0,7.240000000000001e-07
1494674588660,-1.0,1.81e-06
1494674588670,-1.0,3.6200000000000004e-07
1494674588680,-1.0,7.240000000000001e-07
1494674588690,-1.0,7.240000000000001e-07
1494674588700,-1.0,7.240000000000001e-07
1494674588710,-1.0,3.6200000000000004e-07
1494674588720,-1.0,7.240000000000001e-07
1494674588730,-1.0,3.6200000000000004e-07
1494674588740,-1.0,1.0859999999999999e-06
1494674588750,-1.0,7.240000000000001e-07
1494674588760,-1.0,7.240000000000001e-07
1494674588770,-1.0,1.4480000000000002e-06
1494674588780,-1.0,1.0859999999999999e-06
1494674588790,-1.0,1.81e-06
1494674588800,-1.0,1.0859999999999999e-06
1494674588810,-1.0,7.240000000000001e-07
1494674588820,-1.0,1.0859999999999999e-06
1494674588830,-1.0,3.6200000000000004e-07
1494674588840,-1.0,7.240000000000001e-07
1494674588850,-1.0,7.240000000000001e-07
1494674588860,-1.0,1.0859999999999999e-06
1494674588870,-1.0,3.6200000000000004e-07
1494674588880,-1.0,1.0859999999999999e-06
1494674588890,-1.0,7.240000000000001e-07
1494674588900,-1.0,1.0859999999999999e-06
1494674588910,-1.0,7.240000000000001e-07
1494674588920,-1.0,3.6200000000000004e-07
1494674588930,-1.0,7.240000000000001e-07
1494674588940,-1.0,1.4480000000000002e-06
1494674588950,-1.0,1.4480000000000002e-06
1494674588960,-1.0,7.240000000000001e-07
1494674588970,-1.0,7.240000000000001e-07
1494674588980,-1.0,7.240000000000001e-07
1494674588990,-1.0,1.0859999999999999e-06
1494674589000,-1.0,3.6200000000000004e-07
1494674589010,-1.0,1.81e-06
1494674589020,-1.0,1.0859999999999999e-06
1494674589030,-1.0,1.0859999999999999e-06
1494674589040,-1.0,1.4480000000000002e-06
1494674589050,-1.0,7.240000000000001e-07
1494674589060,-1.0,3.6200000000000004e-07
1494674589070,-1.0,1.0859999999999999e-06
1494674589080,-1.0,1.0859999999999999e-06
1494674589090,-1.0,7.240000000000001e-07
1494674589100,-1.0,1.0859999999999999e-06
1494674589110,-1.0,3.6200000000000004e-07
1494674589120,-1.0,1.0859999999999999e-06
1494674589130,-1.0,7.240000000000001e-07
1494674589140,-1.0,1.0859999999999999e-06
1494674589150,-1.0,3.6200000000000004e-07
1494674589160,-1.0,7.240000000000001e-07
1494674589170,-1.0,3.6200000000000004e-07
1494674589180,-1.0,7.240000000000001e-07
1494674589190,-1.0,1.0859999999999999e-06
1494674589200,-1.0,1.0859999999999999e-06
1494674589210,-1.0,1.0859999999999999e-06
1494674589220,-1.0,1.4480000000000002e-06
