Timestamp,position,BLMTI.06L7.B1E10_TCP.C6L7.B1
1494674700030,-0.78,3.258e-06
1494674700040,-0.78,2.5340000000000002e-06
1494674700050,-0.78,2.5340000000000002e-06
1494674700060,-0.78,2.1719999999999997e-06
1494674700070,-0.78,2.5340000000000002e-06
1494674700080,-0.78,2.5340000000000002e-06
1494674700090,-0.78,3.258e-06
1494674700100,-0.78,2.8960000000000003e-06
1494674700110,-0.78,3.258e-06
1494674700120,-0.78,2.1719999999999997e-06
1494674700130,-0.78,2.1719999999999997e-06
1494674700140,-0.78,2.8960000000000003e-06
1494674700150,-0.78,1.81e-06
1494674700160,-0.78,3.62e-06
1494674700170,-0.78,1.4480000000000002e-06
1494674700180,-0.78,3.258e-06
1494674700190,-0.78,2.8960000000000003e-06
1494674700200,-0.78,1.4480000000000002e-06
1494674700210,-0.78,3.62e-06
1494674700220,-0.78,3.258e-06
1494674700230,-0.78,2.1719999999999997e-06
1494674700240,-0.78,1.81e-06
1494674700250,-0.78,3.982e-06
1494674700260,-0.78,2.1719999999999997e-06
1494674700270,-0.78,2.5340000000000002e-06
1494674700280,-0.78,2.5340000000000002e-06
1494674700290,-0.78,3.258e-06
1494674700300,-0.78,1.4480000000000002e-06
1494674700310,-0.78,2.5340000000000002e-06
1494674700320,-0.78,2.5340000000000002e-06
1494674700330,-0.78,1.81e-06
1494674700340,-0.78,2.1719999999999997e-06
1494674700350,-0.78,2.1719999999999997e-06
1494674700360,-0.78,1.81e-06
1494674700370,-0.78,0.0
1494674700380,-0.78,2.8960000000000003e-06
1494674700390,-0.78,1.4480000000000002e-06
1494674700400,-0.78,3.258e-06
1494674700410,-0.78,1.81e-06
1494674700420,-0.78,2.8960000000000003e-06
1494674700430,-0.78,3.258e-06
1494674700440,-0.78,2.8960000000000003e-06
1494674700450,-0.78,2.1719999999999997e-06
1494674700460,-0.78,1.81e-06
1494674700470,-0.78,3.258e-06
1494674700480,-0.78,2.1719999999999997e-06
1494674700490,-0.78,4.343999999999999e-06
1494674700500,-0.78,1.81e-06
1494674700510,-0.78,2.1719999999999997e-06
1494674700520,-0.78,2.8960000000000003e-06
1494674700530,-0.78,2.1719999999999997e-06
1494674700540,-0.78,2.5340000000000002e-06
1494674700550,-0.78,2.1719999999999997e-06
1494674700560,-0.78,2.5340000000000002e-06
1494674700570,-0.78,2.8960000000000003e-06
1494674700580,-0.78,2.8960000000000003e-06
1494674700590,-0.78,1.81e-06
1494674700600,-0.78,2.8960000000000003e-06
1494674700610,-0.78,2.8960000000000003e-06
1494674700620,-0.78,2.1719999999999997e-06
1494674700630,-0.78,2.1719999999999997e-06
1494674700640,-0.78,2.5340000000000002e-06
1494674700650,-0.78,3.258e-06
1494674700660,-0.78,2.1719999999999997e-06
1494674700670,-0.78,2.8960000000000003e-06
1494674700680,-0.78,2.5340000000000002e-06
1494674700690,-0.78,2.1719999999999997e-06
1494674700700,-0.78,3.258e-06
1494674700710,-0.78,3.258e-06
1494674700720,-0.78,2.5340000000000002e-06
1494674700730,-0.78,2.8960000000000003e-06
1494674700740,-0.78,1.4480000000000002e-06
1494674700750,-0.78,2.8960000000000003e-06
1494674700760,-0.78,2.8960000000000003e-06
1494674700770,-0.78,2.5340000000000002e-06
1494674700780,-0.78,1.81e-06
1494674700790,-0.78,2.1719999999999997e-06
1494674700800,-0.78,2.8960000000000003e-06
1494674700810,-0.78,2.5340000000000002e-06
1494674700820,-0.78,1.81e-06
1494674700830,-0.78,3.258e-06
1494674700840,-0.78,1.81e-06
1494674700850,-0.78,2.8960000000000003e-06
1494674700860,-0.78,2.1719999999999997e-06
1494674700870,-0.78,2.8960000000000003e-06
1494674700880,-0.78,2.8960000000000003e-06
1494674700890,-0.78,2.8960000000000003e-06
1494674700900,-0.78,2.5340000000000002e-06
1494674700910,-0.78,2.1719999999999997e-06
1494674700920,-0.78,2.1719999999999997e-06
1494674700930,-0.78,2.1719999999999997e-06
1494674700940,-0.78,2.1719999999999997e-06
1494674700950,-0.78,2.5340000000000002e-06
1494674700960,-0.78,1.81e-06
1494674700970,-0.78,2.5340000000000002e-06
1494674700980,-0.78,1.4480000000000002e-06
1494674700990,-0.78,1.81e-06
1494674701000,-0.78,1.4480000000000002e-06
1494674701010,-0.78,2.5340000000000002e-06
1494674701020,-0.78,1.81e-06
1494674701030,-0.78,2.8960000000000003e-06
1494674701040,-0.78,1.4480000000000002e-06
1494674701050,-0.78,2.8960000000000003e-06
1494674701060,-0.78,2.1719999999999997e-06
1494674701070,-0.78,2.5340000000000002e-06
1494674701080,-0.78,1.81e-06
