Timestamp,position,BLMTI.06R7.B1E10_TCLA.B6R7.B1
1494676713350,-0.975,1.086e-05
1494676713360,-0.975,6.877999999999999e-06
1494676713370,-0.975,7.964e-06
1494676713380,-0.975,6.154e-06
1494676713390,-0.975,7.24e-06
1494676713400,-0.975,7.602e-06
1494676713410,-0.975,9.412e-06
1494676713420,-0.975,7.24e-06
1494676713430,-0.975,7.964e-06
1494676713440,-0.975,5.43e-06
1494676713450,-0.975,7.24e-06
1494676713460,-0.975,5.43e-06
1494676713470,-0.975,8.326e-06
1494676713480,-0.975,5.43e-06
1494676713490,-0.975,1.0136000000000001e-05
1494676713500,-0.975,7.964e-06
1494676713510,-0.975,9.412e-06
1494676713520,-0.975,7.602e-06
1494676713530,-0.975,8.326e-06
1494676713540,-0.975,5.792000000000001e-06
1494676713550,-0.975,7.602e-06
1494676713560,-0.975,5.792000000000001e-06
1494676713570,-0.975,7.602e-06
1494676713580,-0.975,5.792000000000001e-06
1494676713590,-0.975,7.24e-06
1494676713600,-0.975,6.877999999999999e-06
1494676713610,-0.975,7.602e-06
1494676713620,-0.975,6.154e-06
1494676713630,-0.975,8.687999999999999e-06
1494676713640,-0.975,9.412e-06
1494676713650,-0.975,1.448e-05
1494676713660,-0.975,1.7375999999999998e-05
1494676713670,-0.975,1.9548e-05
1494676713680,-0.975,9.774e-06
1494676713690,-0.975,9.412e-06
1494676713700,-0.975,5.792000000000001e-06
1494676713710,-0.975,8.687999999999999e-06
1494676713720,-0.975,6.154e-06
1494676713730,-0.975,1.0136000000000001e-05
1494676713740,-0.975,7.964e-06
1494676713750,-0.975,1.0498e-05
1494676713760,-0.975,9.05e-06
1494676713770,-0.975,1.1222e-05
1494676713780,-0.975,6.877999999999999e-06
1494676713790,-0.975,8.687999999999999e-06
1494676713800,-0.975,6.154e-06
1494676713810,-0.975,6.877999999999999e-06
1494676713820,-0.975,6.154e-06
1494676713830,-0.975,6.877999999999999e-06
1494676713840,-0.975,6.154e-06
1494676713850,-0.975,8.687999999999999e-06
1494676713860,-0.975,6.154e-06
1494676713870,-0.975,8.687999999999999e-06
1494676713880,-0.975,6.877999999999999e-06
1494676713890,-0.975,6.877999999999999e-06
1494676713900,-0.975,7.24e-06
1494676713910,-0.975,7.602e-06
1494676713920,-0.975,6.154e-06
1494676713930,-0.975,1.0136000000000001e-05
1494676713940,-0.975,1.0136000000000001e-05
1494676713950,-0.975,9.412e-06
1494676713960,-0.975,6.516e-06
1494676713970,-0.975,6.516e-06
1494676713980,-0.975,5.0680000000000004e-06
1494676713990,-0.975,6.877999999999999e-06
1494676714000,-0.975,5.792000000000001e-06
1494676714010,-0.975,9.412e-06
1494676714020,-0.975,7.964e-06
