Timestamp,position,BLMTI.06R7.B1E10_TCSG.6R7.B1
1494677044910,-1.6,5.0680000000000004e-06
1494677044920,-1.6,5.0680000000000004e-06
1494677044930,-1.6,4.343999999999999e-06
1494677044940,-1.6,4.706e-06
1494677044950,-1.6,3.982e-06
1494677044960,-1.6,3.982e-06
1494677044970,-1.6,3.982e-06
1494677044980,-1.6,4.706e-06
1494677044990,-1.6,4.343999999999999e-06
1494677045000,-1.6,6.877999999999999e-06
1494677045010,-1.6,4.343999999999999e-06
1494677045020,-1.6,3.62e-06
1494677045030,-1.6,3.982e-06
1494677045040,-1.6,3.258e-06
1494677045050,-1.6,3.982e-06
1494677045060,-1.6,4.343999999999999e-06
1494677045070,-1.6,3.982e-06
1494677045080,-1.6,5.792000000000001e-06
1494677045090,-1.6,3.982e-06
1494677045100,-1.6,5.43e-06
1494677045110,-1.6,4.343999999999999e-06
1494677045120,-1.6,5.792000000000001e-06
1494677045130,-1.6,3.62e-06
1494677045140,-1.6,3.982e-06
1494677045150,-1.6,5.0680000000000004e-06
1494677045160,-1.6,4.343999999999999e-06
1494677045170,-1.6,4.343999999999999e-06
1494677045180,-1.6,4.706e-06
1494677045190,-1.6,3.62e-06
1494677045200,-1.6,2.8960000000000003e-06
1494677045210,-1.6,3.62e-06
1494677045220,-1.6,5.43e-06
1494677045230,-1.6,3.62e-06
1494677045240,-1.6,6.154e-06
1494677045250,-1.6,4.343999999999999e-06
1494677045260,-1.6,3.62e-06
1494677045270,-1.6,4.343999999999999e-06
1494677045280,-1.6,4.706e-06
1494677045290,-1.6,3.258e-06
1494677045300,-1.6,5.0680000000000004e-06
1494677045310,-1.6,5.792000000000001e-06
1494677045320,-1.6,2.8960000000000003e-06
1494677045330,-1.6,3.62e-06
1494677045340,-1.6,5.0680000000000004e-06
1494677045350,-1.6,4.343999999999999e-06
1494677045360,-1.6,4.706e-06
1494677045370,-1.6,3.982e-06
1494677045380,-1.6,3.258e-06
1494677045390,-1.6,3.62e-06
1494677045400,-1.6,4.343999999999999e-06
1494677045410,-1.6,6.154e-06
1494677045420,-1.6,5.43e-06
1494677045430,-1.6,5.43e-06
1494677045440,-1.6,5.0680000000000004e-06
1494677045450,-1.6,4.343999999999999e-06
1494677045460,-1.6,3.62e-06
1494677045470,-1.6,5.43e-06
1494677045480,-1.6,3.62e-06
1494677045490,-1.6,5.0680000000000004e-06
1494677045500,-1.6,3.982e-06
1494677045510,-1.6,4.343999999999999e-06
1494677045520,-1.6,4.706e-06
1494677045530,-1.6,3.62e-06
1494677045540,-1.6,5.43e-06
1494677045550,-1.6,5.0680000000000004e-06
1494677045560,-1.6,5.43e-06
1494677045570,-1.6,4.343999999999999e-06
1494677045580,-1.6,5.0680000000000004e-06
1494677045590,-1.6,3.982e-06
1494677045600,-1.6,3.62e-06
1494677045610,-1.6,3.982e-06
1494677045620,-1.6,3.982e-06
1494677045630,-1.6,3.982e-06
1494677045640,-1.6,5.43e-06
1494677045650,-1.6,3.982e-06
1494677045660,-1.6,4.343999999999999e-06
1494677045670,-1.6,3.982e-06
1494677045680,-1.6,3.982e-06
1494677045690,-1.6,4.706e-06
1494677045700,-1.6,2.8960000000000003e-06
1494677045710,-1.6,3.62e-06
1494677045720,-1.6,4.706e-06
1494677045730,-1.6,5.0680000000000004e-06
1494677045740,-1.6,6.516e-06
1494677045750,-1.6,5.792000000000001e-06
1494677045760,-1.6,5.43e-06
1494677045770,-1.6,4.706e-06
1494677045780,-1.6,4.343999999999999e-06
1494677045790,-1.6,5.0680000000000004e-06
1494677045800,-1.6,5.0680000000000004e-06
1494677045810,-1.6,4.343999999999999e-06
1494677045820,-1.6,4.706e-06
1494677045830,-1.6,4.706e-06
1494677045840,-1.6,4.343999999999999e-06
1494677045850,-1.6,4.343999999999999e-06
1494677045860,-1.6,3.982e-06
1494677045870,-1.6,2.5340000000000002e-06
1494677045880,-1.6,4.706e-06
1494677045890,-1.6,3.982e-06
1494677045900,-1.6,4.706e-06
1494677045910,-1.6,4.343999999999999e-06
1494677045920,-1.6,5.792000000000001e-06
1494677045930,-1.6,5.43e-06
1494677045940,-1.6,5.43e-06
1494677045950,-1.6,2.5340000000000002e-06
1494677045960,-1.6,3.982e-06
1494677045970,-1.6,4.343999999999999e-06
1494677045980,-1.6,3.982e-06
1494677045990,-1.6,4.343999999999999e-06
1494677046000,-1.6,5.0680000000000004e-06
1494677046010,-1.6,3.982e-06
1494677046020,-1.6,4.343999999999999e-06
1494677046030,-1.6,3.258e-06
1494677046040,-1.6,4.343999999999999e-06
1494677046050,-1.6,2.8960000000000003e-06
1494677046060,-1.6,3.982e-06
1494677046070,-1.6,2.5340000000000002e-06
1494677046080,-1.6,4.343999999999999e-06
1494677046090,-1.6,2.8960000000000003e-06
1494677046100,-1.6,5.0680000000000004e-06
1494677046110,-1.6,3.982e-06
1494677046120,-1.6,4.706e-06
1494677046130,-1.6,4.343999999999999e-06
1494677046140,-1.6,4.343999999999999e-06
1494677046150,-1.6,4.706e-06
1494677046160,-1.6,4.706e-06
1494677046170,-1.6,5.0680000000000004e-06
1494677046180,-1.6,6.154e-06
1494677046190,-1.6,4.343999999999999e-06
1494677046200,-1.6,3.62e-06
1494677046210,-1.6,3.62e-06
1494677046220,-1.6,4.343999999999999e-06
1494677046230,-1.6,3.62e-06
1494677046240,-1.6,4.706e-06
