Timestamp,position,BLMTI.05R3.B1I10_TCSG.A5R3.B1
1494678184160,-1.23,2.5340000000000002e-06
1494678184170,-1.23,1.4480000000000002e-06
1494678184180,-1.23,1.81e-06
1494678184190,-1.23,2.5340000000000002e-06
1494678184200,-1.23,3.258e-06
1494678184210,-1.23,2.5340000000000002e-06
1494678184220,-1.23,2.5340000000000002e-06
1494678184230,-1.23,2.5340000000000002e-06
1494678184240,-1.23,2.1719999999999997e-06
1494678184250,-1.23,2.5340000000000002e-06
1494678184260,-1.23,1.81e-06
1494678184270,-1.23,1.4480000000000002e-06
1494678184280,-1.23,2.5340000000000002e-06
1494678184290,-1.23,2.8960000000000003e-06
1494678184300,-1.23,1.81e-06
1494678184310,-1.23,2.8960000000000003e-06
1494678184320,-1.23,1.4480000000000002e-06
1494678184330,-1.23,2.8960000000000003e-06
1494678184340,-1.23,1.81e-06
1494678184350,-1.23,1.81e-06
1494678184360,-1.23,1.4480000000000002e-06
1494678184370,-1.23,2.8960000000000003e-06
1494678184380,-1.23,2.1719999999999997e-06
1494678184390,-1.23,1.81e-06
1494678184400,-1.23,2.8960000000000003e-06
1494678184410,-1.23,1.81e-06
1494678184420,-1.23,2.1719999999999997e-06
1494678184430,-1.23,2.5340000000000002e-06
1494678184440,-1.23,2.5340000000000002e-06
1494678184450,-1.23,2.8960000000000003e-06
1494678184460,-1.23,2.1719999999999997e-06
1494678184470,-1.215,2.8960000000000003e-06
1494678184480,-1.215,1.0859999999999999e-06
1494678184490,-1.215,1.81e-06
1494678184500,-1.215,1.0859999999999999e-06
1494678184510,-1.215,1.81e-06
1494678184520,-1.215,1.4480000000000002e-06
1494678184530,-1.215,2.8960000000000003e-06
1494678184540,-1.215,2.1719999999999997e-06
1494678184550,-1.215,2.1719999999999997e-06
1494678184560,-1.215,2.5340000000000002e-06
1494678184570,-1.215,2.8960000000000003e-06
1494678184580,-1.215,2.8960000000000003e-06
1494678184590,-1.215,1.4480000000000002e-06
1494678184600,-1.215,2.1719999999999997e-06
1494678184610,-1.215,1.81e-06
1494678184620,-1.215,2.5340000000000002e-06
1494678184630,-1.215,2.5340000000000002e-06
1494678184640,-1.215,2.1719999999999997e-06
1494678184650,-1.215,2.8960000000000003e-06
1494678184660,-1.215,1.81e-06
1494678184670,-1.215,2.5340000000000002e-06
1494678184680,-1.215,1.81e-06
1494678184690,-1.215,2.8960000000000003e-06
1494678184700,-1.215,2.5340000000000002e-06
1494678184710,-1.215,3.258e-06
1494678184720,-1.215,1.81e-06
1494678184730,-1.215,2.8960000000000003e-06
1494678184740,-1.215,2.5340000000000002e-06
1494678184750,-1.215,2.8960000000000003e-06
1494678184760,-1.215,2.8960000000000003e-06
1494678184770,-1.215,2.5340000000000002e-06
1494678184780,-1.215,2.1719999999999997e-06
1494678184790,-1.215,2.5340000000000002e-06
1494678184800,-1.215,2.8960000000000003e-06
1494678184810,-1.215,3.62e-06
1494678184820,-1.215,1.81e-06
1494678184830,-1.215,2.5340000000000002e-06
1494678184840,-1.215,2.8960000000000003e-06
1494678184850,-1.215,3.258e-06
1494678184860,-1.215,2.8960000000000003e-06
1494678184870,-1.215,3.982e-06
1494678184880,-1.215,2.5340000000000002e-06
1494678184890,-1.215,6.877999999999999e-06
1494678184900,-1.215,5.0680000000000004e-06
1494678184910,-1.215,5.792000000000001e-06
1494678184920,-1.215,6.154e-06
1494678184930,-1.215,5.43e-06
1494678184940,-1.215,5.792000000000001e-06
1494678184950,-1.215,5.0680000000000004e-06
1494678184960,-1.215,3.62e-06
1494678184970,-1.215,6.154e-06
1494678184980,-1.215,5.0680000000000004e-06
1494678184990,-1.215,7.602e-06
1494678185000,-1.215,5.43e-06
1494678185010,-1.215,7.24e-06
1494678185020,-1.215,4.706e-06
1494678185030,-1.215,6.154e-06
1494678185040,-1.215,3.258e-06
1494678185050,-1.215,5.0680000000000004e-06
1494678185060,-1.215,4.706e-06
1494678185070,-1.215,5.43e-06
1494678185080,-1.215,5.43e-06
1494678185090,-1.215,6.877999999999999e-06
1494678185100,-1.215,4.706e-06
1494678185110,-1.215,6.154e-06
1494678185120,-1.215,5.0680000000000004e-06
1494678185130,-1.215,4.706e-06
1494678185140,-1.215,4.706e-06
1494678185150,-1.215,4.343999999999999e-06
1494678185160,-1.215,5.43e-06
1494678185170,-1.215,6.877999999999999e-06
1494678185180,-1.215,6.516e-06
1494678185190,-1.215,8.687999999999999e-06
1494678185200,-1.215,5.43e-06
1494678185210,-1.215,4.343999999999999e-06
1494678185220,-1.215,5.0680000000000004e-06
1494678185230,-1.215,5.43e-06
1494678185240,-1.215,4.706e-06
1494678185250,-1.215,5.792000000000001e-06
1494678185260,-1.215,5.792000000000001e-06
1494678185270,-1.215,7.602e-06
1494678185280,-1.215,4.706e-06
1494678185290,-1.215,6.516e-06
1494678185300,-1.215,4.706e-06
1494678185310,-1.215,4.343999999999999e-06
1494678185320,-1.215,4.343999999999999e-06
1494678185330,-1.215,5.792000000000001e-06
1494678185340,-1.215,6.154e-06
1494678185350,-1.215,5.792000000000001e-06
1494678185360,-1.215,5.792000000000001e-06
1494678185370,-1.215,5.43e-06
1494678185380,-1.215,5.0680000000000004e-06
1494678185390,-1.215,6.154e-06
1494678185400,-1.215,4.343999999999999e-06
1494678185410,-1.215,3.982e-06
1494678185420,-1.215,4.343999999999999e-06
1494678185430,-1.215,5.43e-06
1494678185440,-1.215,5.0680000000000004e-06
1494678185450,-1.215,5.43e-06
1494678185460,-1.215,5.0680000000000004e-06
1494678185470,-1.215,6.516e-06
1494678185480,-1.215,2.1719999999999997e-06
1494678185490,-1.215,6.154e-06
1494678185500,-1.215,4.706e-06
1494678185510,-1.215,5.43e-06
