Timestamp,position,BLMTI.06R7.B1E10_TCLA.A6R7.B1
1494679612540,-0.585,1.1584000000000001e-05
1494679612550,-0.585,1.448e-05
1494679612560,-0.585,7.964e-06
1494679612570,-0.585,1.2308e-05
1494679612580,-0.585,1.1222e-05
1494679612590,-0.585,1.267e-05
1494679612600,-0.585,1.0136000000000001e-05
1494679612610,-0.585,1.4842000000000001e-05
1494679612620,-0.585,1.1584000000000001e-05
1494679612630,-0.585,1.6652e-05
1494679612640,-0.585,9.412e-06
1494679612650,-0.585,2.2805999999999998e-05
1494679612660,-0.585,1.448e-05
1494679612670,-0.585,1.9548e-05
1494679612680,-0.585,1.1584000000000001e-05
1494679612690,-0.585,1.4842000000000001e-05
1494679612700,-0.585,1.1945999999999999e-05
1494679612710,-0.585,1.3032e-05
1494679612720,-0.585,9.774e-06
1494679612730,-0.585,1.3394000000000001e-05
1494679612740,-0.585,9.05e-06
1494679612750,-0.585,1.3032e-05
1494679612760,-0.585,8.687999999999999e-06
1494679612770,-0.585,1.7014e-05
1494679612780,-0.585,9.05e-06
1494679612790,-0.585,1.2308e-05
1494679612800,-0.585,9.412e-06
1494679612810,-0.585,1.3032e-05
1494679612820,-0.585,9.774e-06
1494679612830,-0.585,1.0136000000000001e-05
1494679612840,-0.585,1.0498e-05
1494679612850,-0.585,1.629e-05
1494679612860,-0.585,9.774e-06
1494679612870,-0.585,1.3755999999999998e-05
1494679612880,-0.585,8.326e-06
1494679612890,-0.585,3.5114e-05
1494679612900,-0.585,1.448e-05
1494679612910,-0.585,1.3755999999999998e-05
1494679612920,-0.585,9.05e-06
1494679612930,-0.585,1.4118e-05
1494679612940,-0.585,1.0498e-05
1494679612950,-0.585,1.086e-05
1494679612960,-0.585,7.24e-06
1494679612970,-0.585,1.086e-05
1494679612980,-0.585,8.687999999999999e-06
1494679612990,-0.585,1.1222e-05
1494679613000,-0.585,9.05e-06
1494679613010,-0.585,1.1584000000000001e-05
1494679613020,-0.585,8.326e-06
1494679613030,-0.585,1.3394000000000001e-05
1494679613040,-0.585,1.1222e-05
1494679613050,-0.585,1.4118e-05
1494679613060,-0.585,7.602e-06
1494679613070,-0.585,9.774e-06
1494679613080,-0.585,1.2308e-05
1494679613090,-0.585,1.7014e-05
1494679613100,-0.585,1.1584000000000001e-05
1494679613110,-0.585,1.086e-05
1494679613120,-0.585,9.412e-06
1494679613130,-0.585,1.7738e-05
1494679613140,-0.585,9.412e-06
1494679613150,-0.585,1.448e-05
1494679613160,-0.585,9.412e-06
1494679613170,-0.585,1.4118e-05
1494679613180,-0.585,8.326e-06
1494679613190,-0.585,1.0136000000000001e-05
1494679613200,-0.585,9.412e-06
1494679613210,-0.585,1.1222e-05
1494679613220,-0.585,1.0136000000000001e-05
1494679613230,-0.585,1.0136000000000001e-05
