Timestamp,position,BLMTI.06L7.B2I10_TCLA.D6L7.B2
1494679811550,-0.755,3.62e-06
1494679811560,-0.755,3.62e-06
1494679811570,-0.755,3.258e-06
1494679811580,-0.755,3.982e-06
1494679811590,-0.755,2.1719999999999997e-06
1494679811600,-0.755,3.982e-06
1494679811610,-0.755,2.1719999999999997e-06
1494679811620,-0.755,4.706e-06
1494679811630,-0.755,3.62e-06
1494679811640,-0.755,3.982e-06
1494679811650,-0.755,3.62e-06
1494679811660,-0.755,3.258e-06
1494679811670,-0.755,2.8960000000000003e-06
1494679811680,-0.755,3.62e-06
1494679811690,-0.755,2.1719999999999997e-06
1494679811700,-0.755,3.62e-06
1494679811710,-0.755,3.258e-06
1494679811720,-0.755,3.62e-06
1494679811730,-0.755,2.1719999999999997e-06
1494679811740,-0.755,3.258e-06
1494679811750,-0.755,2.8960000000000003e-06
1494679811760,-0.755,4.343999999999999e-06
1494679811770,-0.755,2.1719999999999997e-06
1494679811780,-0.755,3.258e-06
1494679811790,-0.755,2.5340000000000002e-06
1494679811800,-0.755,3.258e-06
1494679811810,-0.755,2.5340000000000002e-06
1494679811820,-0.755,3.62e-06
1494679811830,-0.755,2.8960000000000003e-06
1494679811840,-0.755,1.4480000000000002e-06
1494679811850,-0.755,1.81e-06
1494679811860,-0.755,3.258e-06
1494679811870,-0.755,2.5340000000000002e-06
1494679811880,-0.755,3.258e-06
1494679811890,-0.755,3.258e-06
1494679811900,-0.755,2.5340000000000002e-06
1494679811910,-0.755,3.982e-06
1494679811920,-0.755,3.62e-06
1494679811930,-0.755,2.8960000000000003e-06
1494679811940,-0.755,3.258e-06
1494679811950,-0.755,2.8960000000000003e-06
1494679811960,-0.755,2.8960000000000003e-06
1494679811970,-0.755,2.1719999999999997e-06
1494679811980,-0.755,2.5340000000000002e-06
1494679811990,-0.755,2.1719999999999997e-06
1494679812000,-0.755,3.62e-06
1494679812010,-0.755,3.258e-06
1494679812020,-0.755,2.8960000000000003e-06
1494679812030,-0.755,3.62e-06
1494679812040,-0.755,2.8960000000000003e-06
1494679812050,-0.755,3.982e-06
1494679812060,-0.755,3.258e-06
1494679812070,-0.755,3.258e-06
1494679812080,-0.755,2.5340000000000002e-06
1494679812090,-0.755,2.5340000000000002e-06
1494679812100,-0.755,3.982e-06
1494679812110,-0.755,3.982e-06
1494679812120,-0.755,2.8960000000000003e-06
1494679812130,-0.755,3.62e-06
1494679812140,-0.755,1.81e-06
1494679812150,-0.755,2.5340000000000002e-06
1494679812160,-0.755,2.5340000000000002e-06
1494679812170,-0.755,4.706e-06
1494679812180,-0.755,3.258e-06
1494679812190,-0.755,3.982e-06
1494679812200,-0.755,3.258e-06
1494679812210,-0.755,3.982e-06
1494679812220,-0.755,3.258e-06
1494679812230,-0.755,3.62e-06
1494679812240,-0.755,2.1719999999999997e-06
1494679812250,-0.755,3.62e-06
1494679812260,-0.755,2.1719999999999997e-06
1494679812270,-0.755,3.982e-06
1494679812280,-0.755,3.982e-06
1494679812290,-0.755,3.258e-06
1494679812300,-0.755,2.8960000000000003e-06
1494679812310,-0.755,3.258e-06
1494679812320,-0.755,2.5340000000000002e-06
1494679812330,-0.755,2.5340000000000002e-06
1494679812340,-0.755,2.1719999999999997e-06
1494679812350,-0.755,3.62e-06
1494679812360,-0.755,2.5340000000000002e-06
1494679812370,-0.755,3.62e-06
1494679812380,-0.755,3.258e-06
1494679812390,-0.755,3.258e-06
1494679812400,-0.755,2.1719999999999997e-06
1494679812410,-0.755,3.258e-06
1494679812420,-0.755,1.81e-06
1494679812430,-0.755,3.258e-06
1494679812440,-0.755,2.5340000000000002e-06
1494679812450,-0.755,4.343999999999999e-06
1494679812460,-0.755,4.343999999999999e-06
1494679812470,-0.755,4.706e-06
1494679812480,-0.755,2.5340000000000002e-06
1494679812490,-0.755,3.258e-06
1494679812500,-0.755,3.258e-06
1494679812510,-0.755,3.982e-06
1494679812520,-0.755,1.81e-06
1494679812530,-0.755,4.343999999999999e-06
1494679812540,-0.755,3.62e-06
1494679812550,-0.755,3.258e-06
1494679812560,-0.755,2.5340000000000002e-06
1494679812570,-0.755,2.5340000000000002e-06
1494679812580,-0.755,3.258e-06
1494679812590,-0.755,2.8960000000000003e-06
1494679812600,-0.755,2.5340000000000002e-06
1494679812610,-0.755,2.8960000000000003e-06
1494679812620,-0.755,2.1719999999999997e-06
1494679812630,-0.755,4.343999999999999e-06
1494679812640,-0.755,2.5340000000000002e-06
1494679812650,-0.755,4.706e-06
1494679812660,-0.755,3.982e-06
1494679812670,-0.755,3.258e-06
1494679812680,-0.755,1.81e-06
1494679812690,-0.755,3.62e-06
1494679812700,-0.755,1.4480000000000002e-06
1494679812710,-0.755,3.62e-06
1494679812720,-0.755,2.1719999999999997e-06
1494679812730,-0.755,3.258e-06
1494679812740,-0.755,2.8960000000000003e-06
1494679812750,-0.755,2.5340000000000002e-06
1494679812760,-0.755,1.81e-06
1494679812770,-0.755,4.343999999999999e-06
1494679812780,-0.755,2.1719999999999997e-06
1494679812790,-0.755,3.982e-06
1494679812800,-0.755,2.5340000000000002e-06
1494679812810,-0.755,3.258e-06
1494679812820,-0.755,1.81e-06
1494679812830,-0.755,3.258e-06
1494679812840,-0.755,1.81e-06
1494679812850,-0.755,3.62e-06
1494679812860,-0.755,2.1719999999999997e-06
1494679812870,-0.755,2.8960000000000003e-06
1494679812880,-0.755,3.62e-06
1494679812890,-0.755,2.8960000000000003e-06
1494679812900,-0.755,2.5340000000000002e-06
1494679812910,-0.755,3.62e-06
1494679812920,-0.755,1.81e-06
1494679812930,-0.755,2.8960000000000003e-06
1494679812940,-0.755,1.81e-06
1494679812950,-0.755,3.62e-06
1494679812960,-0.755,2.8960000000000003e-06
1494679812970,-0.755,2.8960000000000003e-06
1494679812980,-0.755,2.5340000000000002e-06
1494679812990,-0.755,2.5340000000000002e-06
1494679813000,-0.755,2.8960000000000003e-06
1494679813010,-0.755,3.258e-06
1494679813020,-0.755,1.81e-06
1494679813030,-0.755,2.8960000000000003e-06
1494679813040,-0.755,1.81e-06
1494679813050,-0.755,2.1719999999999997e-06
1494679813060,-0.755,2.8960000000000003e-06
1494679813070,-0.755,4.706e-06
1494679813080,-0.755,1.81e-06
1494679813090,-0.755,3.258e-06
1494679813100,-0.755,3.62e-06
1494679813110,-0.755,2.5340000000000002e-06
1494679813120,-0.755,1.81e-06
1494679813130,-0.755,2.5340000000000002e-06
1494679813140,-0.755,2.5340000000000002e-06
1494679813150,-0.755,1.81e-06
1494679813160,-0.755,1.81e-06
1494679813170,-0.755,3.62e-06
1494679813180,-0.755,3.62e-06
1494679813190,-0.755,3.982e-06
1494679813200,-0.755,3.258e-06
1494679813210,-0.755,3.258e-06
1494679813220,-0.755,1.81e-06
1494679813230,-0.755,1.0859999999999999e-06
1494679813240,-0.755,0.0
1494679813250,-0.755,0.0
1494679813260,-0.755,3.6200000000000004e-07
1494679813270,-0.755,4.343999999999999e-06
1494679813280,-0.755,3.62e-06
1494679813290,-0.755,3.62e-06
1494679813300,-0.755,2.5340000000000002e-06
1494679813310,-0.755,3.62e-06
1494679813320,-0.755,2.1719999999999997e-06
1494679813330,-0.755,2.5340000000000002e-06
1494679813340,-0.755,2.1719999999999997e-06
1494679813350,-0.755,3.258e-06
1494679813360,-0.755,3.258e-06
1494679813370,-0.755,5.0680000000000004e-06
1494679813380,-0.755,3.62e-06
1494679813390,-0.755,3.982e-06
1494679813400,-0.755,2.1719999999999997e-06
1494679813410,-0.755,2.5340000000000002e-06
1494679813420,-0.755,1.81e-06
1494679813430,-0.755,3.62e-06
1494679813440,-0.755,2.1719999999999997e-06
1494679813450,-0.755,3.62e-06
1494679813460,-0.755,1.0859999999999999e-06
1494679813470,-0.755,3.258e-06
1494679813480,-0.755,1.81e-06
1494679813490,-0.755,2.8960000000000003e-06
