Timestamp,position,BLMTI.04R7.B2I10_TCSG.B4R7.B2
1494680175120,-1.085,1.0498e-05
1494680175130,-1.085,5.792000000000001e-06
1494680175140,-1.085,6.877999999999999e-06
1494680175150,-1.085,4.706e-06
1494680175160,-1.085,1.1945999999999999e-05
1494680175170,-1.085,1.086e-05
1494680175180,-1.085,1.8824e-05
1494680175190,-1.085,1.267e-05
1494680175200,-1.085,1.0498e-05
1494680175210,-1.085,5.43e-06
1494680175220,-1.085,7.964e-06
1494680175230,-1.085,7.602e-06
1494680175240,-1.085,5.792000000000001e-06
1494680175250,-1.085,8.326e-06
1494680175260,-1.085,9.774e-06
1494680175270,-1.085,1.5566e-05
1494680175280,-1.085,2.0996e-05
1494680175290,-1.085,1.8824e-05
1494680175300,-1.085,1.629e-05
1494680175310,-1.085,3.982e-06
1494680175320,-1.085,1.2308e-05
1494680175330,-1.085,6.516e-06
1494680175340,-1.085,1.0136000000000001e-05
1494680175350,-1.085,9.412e-06
1494680175360,-1.085,1.448e-05
1494680175370,-1.085,1.0498e-05
1494680175380,-1.085,1.3755999999999998e-05
1494680175390,-1.085,4.343999999999999e-06
1494680175400,-1.085,8.687999999999999e-06
1494680175410,-1.085,7.602e-06
1494680175420,-1.085,1.1945999999999999e-05
1494680175430,-1.085,5.0680000000000004e-06
1494680175440,-1.085,8.687999999999999e-06
1494680175450,-1.085,8.326e-06
1494680175460,-1.085,1.2308e-05
1494680175470,-1.085,1.267e-05
1494680175480,-1.085,1.267e-05
1494680175490,-1.085,1.0136000000000001e-05
1494680175500,-1.085,1.2308e-05
1494680175510,-1.085,1.1584000000000001e-05
1494680175520,-1.085,1.5204e-05
1494680175530,-1.085,9.412e-06
1494680175540,-1.085,1.086e-05
1494680175550,-1.085,2.5340000000000002e-06
1494680175560,-1.085,6.154e-06
1494680175570,-1.085,5.0680000000000004e-06
1494680175580,-1.085,8.326e-06
1494680175590,-1.085,2.172e-05
1494680175600,-1.085,3.9458e-05
1494680175610,-1.085,3.9458e-05
1494680175620,-1.085,2.1358e-05
1494680175630,-1.085,6.877999999999999e-06
1494680175640,-1.085,1.086e-05
1494680175650,-1.085,7.964e-06
1494680175660,-1.085,9.412e-06
1494680175670,-1.085,6.877999999999999e-06
1494680175680,-1.085,9.05e-06
1494680175690,-1.085,1.3394000000000001e-05
1494680175700,-1.085,1.8100000000000003e-05
1494680175710,-1.085,9.412e-06
1494680175720,-1.085,1.1945999999999999e-05
1494680175730,-1.085,3.982e-06
1494680175740,-1.085,1.0136000000000001e-05
1494680175750,-1.085,5.43e-06
1494680175760,-1.085,9.774e-06
1494680175770,-1.085,9.412e-06
1494680175780,-1.085,1.6652e-05
1494680175790,-1.085,1.6652e-05
1494680175800,-1.085,1.7014e-05
1494680175810,-1.085,9.412e-06
1494680175820,-1.085,7.602e-06
1494680175830,-1.085,7.602e-06
1494680175840,-1.085,9.774e-06
1494680175850,-1.085,7.24e-06
1494680175860,-1.085,1.086e-05
1494680175870,-1.085,1.0136000000000001e-05
1494680175880,-1.085,1.5566e-05
1494680175890,-1.085,1.2308e-05
1494680175900,-1.085,1.0136000000000001e-05
1494680175910,-1.085,7.24e-06
1494680175920,-1.085,4.706e-06
