Timestamp,position,BLMTI.06R7.B2I10_TCP.C6R7.B2
1494680266330,-0.695,1.4480000000000002e-06
1494680266340,-0.695,5.0680000000000004e-06
1494680266350,-0.695,1.81e-06
1494680266360,-0.695,3.982e-06
1494680266370,-0.695,1.4480000000000002e-06
1494680266380,-0.695,3.982e-06
1494680266390,-0.695,1.4480000000000002e-06
1494680266400,-0.695,2.8960000000000003e-06
1494680266410,-0.695,1.4480000000000002e-06
1494680266420,-0.695,3.258e-06
1494680266430,-0.695,1.0859999999999999e-06
1494680266440,-0.695,3.982e-06
1494680266450,-0.695,1.4480000000000002e-06
1494680266460,-0.695,3.258e-06
1494680266470,-0.695,1.4480000000000002e-06
1494680266480,-0.695,3.62e-06
1494680266490,-0.695,2.1719999999999997e-06
1494680266500,-0.695,4.343999999999999e-06
1494680266510,-0.695,1.4480000000000002e-06
1494680266520,-0.695,4.343999999999999e-06
1494680266530,-0.695,1.4480000000000002e-06
1494680266540,-0.695,4.343999999999999e-06
1494680266550,-0.695,1.4480000000000002e-06
1494680266560,-0.695,2.8960000000000003e-06
1494680266570,-0.695,1.4480000000000002e-06
1494680266580,-0.695,1.81e-06
1494680266590,-0.695,1.81e-06
1494680266600,-0.695,2.5340000000000002e-06
1494680266610,-0.695,2.1719999999999997e-06
1494680266620,-0.695,2.8960000000000003e-06
1494680266630,-0.695,2.5340000000000002e-06
1494680266640,-0.695,3.258e-06
1494680266650,-0.695,2.1719999999999997e-06
1494680266660,-0.695,3.258e-06
1494680266670,-0.695,1.81e-06
1494680266680,-0.695,3.258e-06
1494680266690,-0.695,1.4480000000000002e-06
1494680266700,-0.695,3.258e-06
1494680266710,-0.695,1.4480000000000002e-06
1494680266720,-0.695,3.258e-06
1494680266730,-0.695,1.0859999999999999e-06
1494680266740,-0.695,2.5340000000000002e-06
1494680266750,-0.695,7.240000000000001e-07
1494680266760,-0.695,2.5340000000000002e-06
1494680266770,-0.695,1.81e-06
1494680266780,-0.695,2.5340000000000002e-06
1494680266790,-0.695,1.81e-06
1494680266800,-0.695,3.982e-06
1494680266810,-0.695,2.1719999999999997e-06
1494680266820,-0.695,4.343999999999999e-06
1494680266830,-0.695,2.1719999999999997e-06
1494680266840,-0.695,3.62e-06
1494680266850,-0.695,1.4480000000000002e-06
1494680266860,-0.695,2.8960000000000003e-06
1494680266870,-0.695,1.4480000000000002e-06
1494680266880,-0.695,3.62e-06
1494680266890,-0.695,1.0859999999999999e-06
1494680266900,-0.695,2.8960000000000003e-06
1494680266910,-0.695,1.4480000000000002e-06
