Timestamp,position,BLMTI.06L7.B1E10_TCP.B6L7.B1
1494680293260,-0.395,1.4842000000000001e-05
1494680293270,-0.395,1.2308e-05
1494680293280,-0.395,1.5204e-05
1494680293290,-0.395,1.4118e-05
1494680293300,-0.395,1.5566e-05
1494680293310,-0.395,1.3755999999999998e-05
1494680293320,-0.395,1.3755999999999998e-05
1494680293330,-0.395,1.1945999999999999e-05
1494680293340,-0.395,1.5204e-05
1494680293350,-0.395,1.448e-05
1494680293360,-0.395,1.5566e-05
1494680293370,-0.395,7.964e-06
1494680293380,-0.395,1.1945999999999999e-05
1494680293390,-0.395,1.4118e-05
1494680293400,-0.395,1.629e-05
1494680293410,-0.395,1.3755999999999998e-05
1494680293420,-0.395,1.3394000000000001e-05
1494680293430,-0.395,1.3032e-05
1494680293440,-0.395,1.5566e-05
1494680293450,-0.395,1.267e-05
1494680293460,-0.395,1.629e-05
1494680293470,-0.395,1.267e-05
1494680293480,-0.395,1.3755999999999998e-05
1494680293490,-0.395,1.1945999999999999e-05
1494680293500,-0.395,1.3755999999999998e-05
1494680293510,-0.395,1.4118e-05
1494680293520,-0.395,1.4842000000000001e-05
1494680293530,-0.395,1.2308e-05
1494680293540,-0.395,1.448e-05
1494680293550,-0.395,1.086e-05
1494680293560,-0.395,1.5928e-05
1494680293570,-0.395,1.1222e-05
1494680293580,-0.395,1.5204e-05
1494680293590,-0.395,1.3032e-05
1494680293600,-0.395,1.4118e-05
1494680293610,-0.395,1.1945999999999999e-05
1494680293620,-0.395,1.448e-05
1494680293630,-0.395,1.1945999999999999e-05
1494680293640,-0.395,1.4842000000000001e-05
1494680293650,-0.395,1.1945999999999999e-05
1494680293660,-0.395,1.5204e-05
1494680293670,-0.395,1.267e-05
1494680293680,-0.395,1.448e-05
1494680293690,-0.395,3.982e-06
1494680293700,-0.395,1.4118e-05
1494680293710,-0.395,1.2308e-05
1494680293720,-0.395,1.4118e-05
1494680293730,-0.395,1.2308e-05
1494680293740,-0.395,1.3394000000000001e-05
1494680293750,-0.395,1.086e-05
1494680293760,-0.395,1.3394000000000001e-05
1494680293770,-0.395,1.1584000000000001e-05
1494680293780,-0.395,1.3755999999999998e-05
1494680293790,-0.395,1.1584000000000001e-05
1494680293800,-0.395,1.448e-05
1494680293810,-0.395,1.1584000000000001e-05
1494680293820,-0.395,1.4118e-05
1494680293830,-0.395,1.2308e-05
1494680293840,-0.395,1.5928e-05
1494680293850,-0.395,1.2308e-05
1494680293860,-0.395,1.4842000000000001e-05
1494680293870,-0.395,1.2308e-05
1494680293880,-0.395,1.7014e-05
1494680293890,-0.395,1.3394000000000001e-05
1494680293900,-0.395,1.3755999999999998e-05
1494680293910,-0.395,1.086e-05
1494680293920,-0.395,1.267e-05
1494680293930,-0.395,1.2308e-05
1494680293940,-0.395,1.448e-05
1494680293950,-0.395,1.1945999999999999e-05
1494680293960,-0.395,1.448e-05
1494680293970,-0.395,1.0498e-05
1494680293980,-0.395,1.3755999999999998e-05
1494680293990,-0.395,1.086e-05
1494680294000,-0.395,1.448e-05
1494680294010,-0.395,1.3032e-05
1494680294020,-0.395,6.516e-06
1494680294030,-0.395,1.0136000000000001e-05
1494680294040,-0.395,1.3755999999999998e-05
1494680294050,-0.395,1.1945999999999999e-05
1494680294060,-0.395,1.5928e-05
1494680294070,-0.395,1.3032e-05
1494680294080,-0.395,1.3032e-05
1494680294090,-0.395,1.0498e-05
1494680294100,-0.395,1.4842000000000001e-05
1494680294110,-0.395,1.0136000000000001e-05
1494680294120,-0.395,1.4118e-05
1494680294130,-0.395,1.2308e-05
1494680294140,-0.395,1.4118e-05
1494680294150,-0.395,1.1584000000000001e-05
1494680294160,-0.395,1.4118e-05
1494680294170,-0.395,1.2308e-05
1494680294180,-0.395,1.3755999999999998e-05
1494680294190,-0.395,1.3394000000000001e-05
1494680294200,-0.395,1.3032e-05
1494680294210,-0.395,1.3394000000000001e-05
1494680294220,-0.395,1.4118e-05
1494680294230,-0.395,1.267e-05
1494680294240,-0.395,1.448e-05
1494680294250,-0.395,1.1584000000000001e-05
1494680294260,-0.395,1.4118e-05
1494680294270,-0.395,1.1945999999999999e-05
1494680294280,-0.395,1.448e-05
1494680294290,-0.395,1.1222e-05
1494680294300,-0.395,1.629e-05
1494680294310,-0.395,1.1945999999999999e-05
1494680294320,-0.395,1.3755999999999998e-05
1494680294330,-0.395,1.267e-05
1494680294340,-0.395,1.086e-05
1494680294350,-0.395,6.516e-06
1494680294360,-0.395,1.3032e-05
1494680294370,-0.395,1.2308e-05
1494680294380,-0.395,1.448e-05
1494680294390,-0.395,1.267e-05
1494680294400,-0.395,1.2308e-05
1494680294410,-0.395,1.1222e-05
1494680294420,-0.395,1.1584000000000001e-05
1494680294430,-0.395,1.267e-05
1494680294440,-0.395,1.4118e-05
1494680294450,-0.395,1.0136000000000001e-05
1494680294460,-0.395,1.2308e-05
1494680294470,-0.395,1.1945999999999999e-05
1494680294480,-0.395,1.4842000000000001e-05
1494680294490,-0.395,1.1945999999999999e-05
1494680294500,-0.395,1.3032e-05
1494680294510,-0.395,1.2308e-05
1494680294520,-0.395,1.4118e-05
1494680294530,-0.395,1.2308e-05
1494680294540,-0.395,1.5928e-05
1494680294550,-0.395,1.3394000000000001e-05
1494680294560,-0.395,1.3755999999999998e-05
1494680294570,-0.395,1.0498e-05
1494680294580,-0.395,1.3032e-05
1494680294590,-0.395,1.1222e-05
1494680294600,-0.395,1.267e-05
1494680294610,-0.395,1.2308e-05
1494680294620,-0.395,1.448e-05
1494680294630,-0.395,1.1945999999999999e-05
1494680294640,-0.395,1.448e-05
1494680294650,-0.395,1.1222e-05
1494680294660,-0.395,1.3755999999999998e-05
1494680294670,-0.395,1.1222e-05
1494680294680,-0.395,1.2308e-05
1494680294690,-0.395,4.343999999999999e-06
1494680294700,-0.395,1.4118e-05
1494680294710,-0.395,1.1584000000000001e-05
1494680294720,-0.395,1.3032e-05
1494680294730,-0.395,1.1945999999999999e-05
1494680294740,-0.395,1.3032e-05
1494680294750,-0.395,1.3032e-05
1494680294760,-0.395,1.3394000000000001e-05
1494680294770,-0.395,1.1945999999999999e-05
1494680294780,-0.395,1.3755999999999998e-05
1494680294790,-0.395,1.3394000000000001e-05
1494680294800,-0.395,1.3755999999999998e-05
1494680294810,-0.395,1.2308e-05
1494680294820,-0.395,1.4118e-05
1494680294830,-0.395,1.0136000000000001e-05
1494680294840,-0.395,1.3394000000000001e-05
1494680294850,-0.395,1.267e-05
1494680294860,-0.395,1.3755999999999998e-05
1494680294870,-0.395,1.2308e-05
1494680294880,-0.395,1.3394000000000001e-05
1494680294890,-0.395,1.3032e-05
1494680294900,-0.395,1.3755999999999998e-05
1494680294910,-0.395,1.4842000000000001e-05
1494680294920,-0.395,1.2308e-05
1494680294930,-0.395,1.3394000000000001e-05
1494680294940,-0.395,1.4842000000000001e-05
1494680294950,-0.395,1.3755999999999998e-05
1494680294960,-0.395,1.3032e-05
1494680294970,-0.395,1.4842000000000001e-05
1494680294980,-0.395,1.5204e-05
1494680294990,-0.395,1.3755999999999998e-05
1494680295000,-0.395,1.3755999999999998e-05
1494680295010,-0.395,1.2308e-05
1494680295020,-0.395,5.0680000000000004e-06
1494680295030,-0.395,1.267e-05
1494680295040,-0.395,1.4842000000000001e-05
1494680295050,-0.395,1.1945999999999999e-05
1494680295060,-0.395,1.4842000000000001e-05
1494680295070,-0.395,1.4842000000000001e-05
1494680295080,-0.395,1.3755999999999998e-05
1494680295090,-0.395,1.1222e-05
1494680295100,-0.395,1.3032e-05
1494680295110,-0.395,1.267e-05
1494680295120,-0.395,1.4842000000000001e-05
1494680295130,-0.395,1.2308e-05
1494680295140,-0.395,1.3755999999999998e-05
1494680295150,-0.395,1.2308e-05
1494680295160,-0.395,1.3394000000000001e-05
1494680295170,-0.395,1.3032e-05
1494680295180,-0.395,1.3755999999999998e-05
1494680295190,-0.395,1.3755999999999998e-05
1494680295200,-0.395,1.3032e-05
1494680295210,-0.395,1.3755999999999998e-05
1494680295220,-0.395,1.1584000000000001e-05
1494680295230,-0.395,1.4842000000000001e-05
1494680295240,-0.395,1.3032e-05
1494680295250,-0.395,1.2308e-05
1494680295260,-0.395,1.3755999999999998e-05
1494680295270,-0.395,1.3032e-05
1494680295280,-0.395,1.267e-05
1494680295290,-0.395,1.1584000000000001e-05
1494680295300,-0.395,1.267e-05
1494680295310,-0.395,1.267e-05
1494680295320,-0.395,1.4118e-05
1494680295330,-0.385,1.267e-05
1494680295340,-0.385,1.3032e-05
1494680295350,-0.385,1.3394000000000001e-05
1494680295360,-0.385,1.0498e-05
1494680295370,-0.385,2.0272000000000002e-05
1494680295380,-0.385,1.8462e-05
1494680295390,-0.385,1.9186e-05
1494680295400,-0.385,1.9548e-05
1494680295410,-0.385,1.8100000000000003e-05
1494680295420,-0.385,2.0634e-05
1494680295430,-0.385,1.9186e-05
1494680295440,-0.385,1.9186e-05
1494680295450,-0.385,2.2444e-05
1494680295460,-0.385,3.2942e-05
1494680295470,-0.385,2.896e-05
1494680295480,-0.385,2.6064e-05
1494680295490,-0.385,2.4254000000000002e-05
1494680295500,-0.385,2.7511999999999997e-05
1494680295510,-0.385,3.0408e-05
1494680295520,-0.385,3.077e-05
1494680295530,-0.385,3.5476e-05
1494680295540,-0.385,2.8598000000000003e-05
1494680295550,-0.385,3.8372e-05
1494680295560,-0.385,3.258e-05
1494680295570,-0.385,3.2942e-05
1494680295580,-0.385,2.9684000000000002e-05
1494680295590,-0.385,3.1494e-05
1494680295600,-0.385,2.9684000000000002e-05
1494680295610,-0.385,3.1132e-05
1494680295620,-0.385,3.1494e-05
1494680295630,-0.385,3.258e-05
1494680295640,-0.385,3.2942e-05
1494680295650,-0.385,3.258e-05
1494680295660,-0.385,3.3666e-05
1494680295670,-0.385,2.9684000000000002e-05
1494680295680,-0.385,3.8372e-05
1494680295690,-0.385,3.2218e-05
1494680295700,-0.385,3.0408e-05
1494680295710,-0.385,2.8236e-05
1494680295720,-0.385,2.9321999999999998e-05
1494680295730,-0.385,2.6426e-05
1494680295740,-0.385,2.534e-05
1494680295750,-0.385,2.4616e-05
1494680295760,-0.385,2.6788000000000002e-05
1494680295770,-0.385,2.6788000000000002e-05
1494680295780,-0.385,2.4616e-05
1494680295790,-0.385,2.6788000000000002e-05
1494680295800,-0.385,2.6788000000000002e-05
1494680295810,-0.385,2.4254000000000002e-05
