Timestamp,position,BLMTI.04L7.B1E10_TCSG.A4L7.B1
1494680715060,-0.565,7.602e-06
1494680715070,-0.565,1.0136000000000001e-05
1494680715080,-0.565,9.412e-06
1494680715090,-0.565,1.2308e-05
1494680715100,-0.565,1.3032e-05
1494680715110,-0.565,1.448e-05
1494680715120,-0.565,1.4118e-05
1494680715130,-0.565,1.1222e-05
1494680715140,-0.565,1.1945999999999999e-05
1494680715150,-0.565,1.086e-05
1494680715160,-0.565,8.326e-06
1494680715170,-0.565,1.0136000000000001e-05
1494680715180,-0.565,1.1222e-05
1494680715190,-0.565,1.0498e-05
1494680715200,-0.565,1.1584000000000001e-05
1494680715210,-0.565,1.4842000000000001e-05
1494680715220,-0.565,1.2308e-05
1494680715230,-0.565,1.1584000000000001e-05
1494680715240,-0.565,1.086e-05
1494680715250,-0.565,1.4118e-05
1494680715260,-0.565,1.267e-05
1494680715270,-0.565,1.2308e-05
1494680715280,-0.565,1.2308e-05
1494680715290,-0.565,6.516e-06
1494680715300,-0.565,2.8960000000000003e-06
1494680715310,-0.565,1.0136000000000001e-05
1494680715320,-0.565,1.0136000000000001e-05
1494680715330,-0.565,1.2308e-05
1494680715340,-0.565,1.1945999999999999e-05
1494680715350,-0.565,1.1584000000000001e-05
1494680715360,-0.565,1.3032e-05
1494680715370,-0.565,9.05e-06
1494680715380,-0.565,1.3755999999999998e-05
1494680715390,-0.565,1.448e-05
1494680715400,-0.565,1.4118e-05
1494680715410,-0.565,1.1222e-05
1494680715420,-0.565,1.1222e-05
1494680715430,-0.565,1.448e-05
1494680715440,-0.565,1.086e-05
1494680715450,-0.565,1.0498e-05
1494680715460,-0.565,9.774e-06
1494680715470,-0.565,1.1584000000000001e-05
1494680715480,-0.565,9.774e-06
1494680715490,-0.565,9.412e-06
1494680715500,-0.565,1.1584000000000001e-05
1494680715510,-0.565,1.4118e-05
1494680715520,-0.565,1.2308e-05
1494680715530,-0.565,1.1222e-05
1494680715540,-0.565,1.0498e-05
1494680715550,-0.565,1.1584000000000001e-05
1494680715560,-0.565,1.0498e-05
1494680715570,-0.565,1.1584000000000001e-05
1494680715580,-0.565,1.1945999999999999e-05
1494680715590,-0.565,1.4118e-05
1494680715600,-0.565,1.3755999999999998e-05
1494680715610,-0.565,1.1222e-05
1494680715620,-0.565,1.0498e-05
1494680715630,-0.565,9.412e-06
1494680715640,-0.565,7.602e-06
1494680715650,-0.565,0.0
1494680715660,-0.565,7.24e-06
1494680715670,-0.565,1.3032e-05
1494680715680,-0.565,1.3394000000000001e-05
1494680715690,-0.565,1.629e-05
1494680715700,-0.565,1.3394000000000001e-05
1494680715710,-0.565,1.5928e-05
1494680715720,-0.565,1.0136000000000001e-05
1494680715730,-0.565,1.3394000000000001e-05
1494680715740,-0.565,1.0136000000000001e-05
1494680715750,-0.565,1.1584000000000001e-05
1494680715760,-0.565,1.086e-05
1494680715770,-0.565,1.267e-05
1494680715780,-0.565,9.774e-06
1494680715790,-0.565,1.1222e-05
1494680715800,-0.565,9.774e-06
1494680715810,-0.565,9.412e-06
1494680715820,-0.565,1.1584000000000001e-05
1494680715830,-0.565,1.3394000000000001e-05
1494680715840,-0.565,1.3032e-05
1494680715850,-0.565,1.0136000000000001e-05
1494680715860,-0.565,1.267e-05
1494680715870,-0.565,1.3032e-05
1494680715880,-0.565,1.267e-05
1494680715890,-0.565,1.267e-05
1494680715900,-0.565,9.412e-06
1494680715910,-0.565,8.687999999999999e-06
1494680715920,-0.565,1.086e-05
1494680715930,-0.565,1.3032e-05
1494680715940,-0.565,1.3394000000000001e-05
1494680715950,-0.565,1.4842000000000001e-05
1494680715960,-0.565,1.086e-05
1494680715970,-0.565,1.2308e-05
1494680715980,-0.565,1.2308e-05
1494680715990,-0.565,3.62e-06
1494680716000,-0.565,7.602e-06
1494680716010,-0.565,1.267e-05
1494680716020,-0.565,1.448e-05
1494680716030,-0.565,1.3032e-05
1494680716040,-0.565,1.1222e-05
1494680716050,-0.565,1.086e-05
1494680716060,-0.565,1.0498e-05
1494680716070,-0.565,9.05e-06
1494680716080,-0.565,1.0136000000000001e-05
1494680716090,-0.565,1.0136000000000001e-05
1494680716100,-0.565,1.1584000000000001e-05
1494680716110,-0.565,1.3032e-05
1494680716120,-0.565,1.1222e-05
1494680716130,-0.565,1.5928e-05
1494680716140,-0.565,1.3032e-05
1494680716150,-0.565,1.3032e-05
1494680716160,-0.565,1.1222e-05
1494680716170,-0.565,9.05e-06
1494680716180,-0.565,1.086e-05
1494680716190,-0.565,9.774e-06
1494680716200,-0.565,8.687999999999999e-06
1494680716210,-0.565,1.1584000000000001e-05
1494680716220,-0.565,9.412e-06
1494680716230,-0.565,1.1222e-05
1494680716240,-0.565,1.0136000000000001e-05
1494680716250,-0.565,8.326e-06
1494680716260,-0.565,1.267e-05
1494680716270,-0.565,1.3032e-05
1494680716280,-0.565,1.0136000000000001e-05
1494680716290,-0.565,1.2308e-05
1494680716300,-0.565,1.086e-05
1494680716310,-0.565,1.4842000000000001e-05
1494680716320,-0.565,9.774e-06
1494680716330,-0.565,7.602e-06
1494680716340,-0.565,7.964e-06
1494680716350,-0.565,7.964e-06
1494680716360,-0.565,7.964e-06
1494680716370,-0.565,0.0
1494680716380,-0.565,9.412e-06
1494680716390,-0.565,1.0498e-05
1494680716400,-0.565,1.0498e-05
1494680716410,-0.565,1.1222e-05
1494680716420,-0.565,1.1222e-05
1494680716430,-0.565,1.0498e-05
1494680716440,-0.565,1.3032e-05
1494680716450,-0.565,1.086e-05
1494680716460,-0.565,1.1222e-05
1494680716470,-0.565,1.086e-05
1494680716480,-0.565,8.687999999999999e-06
1494680716490,-0.565,1.0498e-05
1494680716500,-0.565,7.602e-06
1494680716510,-0.565,9.05e-06
1494680716520,-0.565,7.24e-06
1494680716530,-0.565,8.687999999999999e-06
1494680716540,-0.565,9.774e-06
1494680716550,-0.565,1.4118e-05
1494680716560,-0.565,1.5204e-05
1494680716570,-0.565,1.3032e-05
1494680716580,-0.565,1.4842000000000001e-05
