Timestamp,position,BLMTI.05L7.B1E10_TCSG.B5L7.B1
1494681038540,-1.105,5.1766000000000005e-05
1494681038550,-1.105,5.5023999999999994e-05
1494681038560,-1.105,5.4662e-05
1494681038570,-1.105,4.6336000000000005e-05
1494681038580,-1.105,3.8734e-05
1494681038590,-1.105,4.344e-05
1494681038600,-1.105,5.1042e-05
1494681038610,-1.105,5.1766000000000005e-05
1494681038620,-1.105,4.706e-05
1494681038630,-1.105,5.3576000000000003e-05
1494681038640,-1.105,5.0318e-05
1494681038650,-1.105,4.7783999999999995e-05
1494681038660,-1.105,4.0906e-05
1494681038670,-1.105,3.6200000000000006e-05
1494681038680,-1.105,4.1992e-05
1494681038690,-1.105,4.4526e-05
1494681038700,-1.105,4.525e-05
1494681038710,-1.105,4.525e-05
1494681038720,-1.105,4.7422e-05
1494681038730,-1.105,4.4164e-05
1494681038740,-1.105,4.2716e-05
1494681038750,-1.105,3.982e-05
1494681038760,-1.105,3.439e-05
1494681038770,-1.105,3.0046e-05
1494681038780,-1.105,3.1132e-05
1494681038790,-1.105,3.6200000000000006e-05
1494681038800,-1.105,4.2716e-05
1494681038810,-1.105,4.3802e-05
1494681038820,-1.105,4.4164e-05
1494681038830,-1.105,4.5611999999999996e-05
1494681038840,-1.105,4.0544000000000003e-05
1494681038850,-1.105,3.439e-05
1494681038860,-1.105,3.6200000000000006e-05
1494681038870,-1.105,3.8734e-05
1494681038880,-1.105,4.0181999999999996e-05
1494681038890,-1.105,4.3078e-05
1494681038900,-1.105,4.525e-05
1494681038910,-1.105,5.4662e-05
1494681038920,-1.105,4.959399999999999e-05
1494681038930,-1.105,4.4526e-05
1494681038940,-1.105,3.6200000000000006e-05
1494681038950,-1.105,3.6200000000000006e-05
1494681038960,-1.105,3.8734e-05
1494681038970,-1.105,4.4888e-05
1494681038980,-1.105,3.8372e-05
1494681038990,-1.105,3.6562e-05
1494681039000,-1.105,3.6200000000000006e-05
1494681039010,-1.105,4.1268e-05
1494681039020,-1.105,4.163e-05
1494681039030,-1.105,4.1992e-05
1494681039040,-1.105,4.5611999999999996e-05
1494681039050,-1.105,4.4164e-05
1494681039060,-1.105,3.7286e-05
1494681039070,-1.105,3.7286e-05
1494681039080,-1.105,3.9096e-05
1494681039090,-1.105,3.7648e-05
1494681039100,-1.105,3.8372e-05
1494681039110,-1.105,3.9458e-05
1494681039120,-1.105,3.3304e-05
1494681039130,-1.105,3.801e-05
1494681039140,-1.105,4.344e-05
1494681039150,-1.105,6.1902e-05
1494681039160,-1.105,5.3938000000000004e-05
1494681039170,-1.105,5.1404e-05
1494681039180,-1.105,3.982e-05
1494681039190,-1.105,4.0181999999999996e-05
1494681039200,-1.105,3.5114e-05
1494681039210,-1.105,3.5114e-05
1494681039220,-1.105,3.439e-05
1494681039230,-1.105,4.1992e-05
1494681039240,-1.105,4.8508000000000004e-05
1494681039250,-1.105,4.9232e-05
1494681039260,-1.105,3.9458e-05
1494681039270,-1.105,4.1268e-05
1494681039280,-1.105,3.801e-05
1494681039290,-1.105,3.4751999999999995e-05
1494681039300,-1.105,3.5476e-05
1494681039310,-1.105,3.3304e-05
1494681039320,-1.105,3.5476e-05
1494681039330,-1.105,3.982e-05
1494681039340,-1.105,4.2716e-05
1494681039350,-1.105,4.6698e-05
1494681039360,-1.105,4.5611999999999996e-05
1494681039370,-1.105,4.344e-05
1494681039380,-1.105,3.6924e-05
1494681039390,-1.105,3.9458e-05
1494681039400,-1.105,3.8734e-05
1494681039410,-1.105,3.9096e-05
1494681039420,-1.105,3.0046e-05
1494681039430,-1.105,3.1132e-05
1494681039440,-1.105,3.439e-05
1494681039450,-1.105,3.982e-05
1494681039460,-1.105,3.801e-05
1494681039470,-1.105,3.7648e-05
1494681039480,-1.105,4.6336000000000005e-05
1494681039490,-1.105,4.959399999999999e-05
1494681039500,-1.105,4.5611999999999996e-05
1494681039510,-1.105,4.1268e-05
1494681039520,-1.105,3.982e-05
1494681039530,-1.105,3.5838000000000005e-05
1494681039540,-1.105,3.1494e-05
1494681039550,-1.105,3.3304e-05
1494681039560,-1.105,3.5476e-05
1494681039570,-1.105,3.3304e-05
1494681039580,-1.105,3.5838000000000005e-05
1494681039590,-1.105,4.1992e-05
1494681039600,-1.105,4.6698e-05
1494681039610,-1.105,4.4164e-05
1494681039620,-1.105,3.7286e-05
1494681039630,-1.105,3.8734e-05
1494681039640,-1.105,3.7286e-05
1494681039650,-1.105,4.4888e-05
1494681039660,-1.105,4.2353999999999995e-05
1494681039670,-1.105,4.4526e-05
