Timestamp,position,BLMTI.06R7.B2I10_TCP.B6R7.B2
1494682800360,-1.095,4.343999999999999e-06
1494682800370,-1.095,7.964e-06
1494682800380,-1.095,3.982e-06
1494682800390,-1.095,7.602e-06
1494682800400,-1.095,3.62e-06
1494682800410,-1.095,7.964e-06
1494682800420,-1.095,3.62e-06
1494682800430,-1.095,7.964e-06
1494682800440,-1.095,3.982e-06
1494682800450,-1.095,8.326e-06
1494682800460,-1.095,2.8960000000000003e-06
1494682800470,-1.095,8.687999999999999e-06
1494682800480,-1.095,3.258e-06
1494682800490,-1.095,7.24e-06
1494682800500,-1.095,4.343999999999999e-06
1494682800510,-1.095,6.516e-06
1494682800520,-1.095,3.62e-06
1494682800530,-1.095,7.602e-06
1494682800540,-1.095,4.706e-06
1494682800550,-1.095,8.687999999999999e-06
1494682800560,-1.095,4.343999999999999e-06
1494682800570,-1.095,6.516e-06
1494682800580,-1.095,3.62e-06
1494682800590,-1.095,6.877999999999999e-06
1494682800600,-1.095,3.258e-06
1494682800610,-1.095,8.687999999999999e-06
1494682800620,-1.095,2.8960000000000003e-06
1494682800630,-1.095,6.877999999999999e-06
1494682800640,-1.095,3.62e-06
1494682800650,-1.095,7.602e-06
1494682800660,-1.095,4.343999999999999e-06
1494682800670,-1.095,7.964e-06
1494682800680,-1.095,3.982e-06
1494682800690,-1.095,9.05e-06
1494682800700,-1.095,3.982e-06
1494682800710,-1.095,9.412e-06
1494682800720,-1.095,2.8960000000000003e-06
1494682800730,-1.095,6.154e-06
1494682800740,-1.095,3.62e-06
1494682800750,-1.095,8.326e-06
1494682800760,-1.095,4.343999999999999e-06
1494682800770,-1.095,8.326e-06
1494682800780,-1.095,4.343999999999999e-06
1494682800790,-1.095,6.877999999999999e-06
1494682800800,-1.095,3.982e-06
1494682800810,-1.095,6.877999999999999e-06
1494682800820,-1.095,3.62e-06
1494682800830,-1.095,7.964e-06
1494682800840,-1.095,4.343999999999999e-06
1494682800850,-1.095,7.602e-06
1494682800860,-1.095,3.62e-06
1494682800870,-1.095,7.964e-06
1494682800880,-1.095,3.982e-06
1494682800890,-1.095,7.24e-06
1494682800900,-1.095,2.5340000000000002e-06
1494682800910,-1.095,7.24e-06
1494682800920,-1.095,3.258e-06
1494682800930,-1.095,8.687999999999999e-06
1494682800940,-1.095,3.62e-06
1494682800950,-1.095,5.792000000000001e-06
1494682800960,-1.095,3.258e-06
1494682800970,-1.095,8.687999999999999e-06
1494682800980,-1.095,3.982e-06
1494682800990,-1.095,8.326e-06
1494682801000,-1.095,3.982e-06
1494682801010,-1.095,6.516e-06
1494682801020,-1.095,3.982e-06
1494682801030,-1.095,6.154e-06
1494682801040,-1.095,3.62e-06
1494682801050,-1.095,6.877999999999999e-06
1494682801060,-1.095,4.343999999999999e-06
1494682801070,-1.095,6.877999999999999e-06
1494682801080,-1.095,3.982e-06
1494682801090,-1.095,6.516e-06
1494682801100,-1.095,4.343999999999999e-06
1494682801110,-1.095,7.602e-06
1494682801120,-1.095,4.706e-06
1494682801130,-1.095,7.24e-06
1494682801140,-1.095,2.5340000000000002e-06
1494682801150,-1.095,6.877999999999999e-06
1494682801160,-1.095,4.706e-06
1494682801170,-1.095,6.877999999999999e-06
1494682801180,-1.095,2.8960000000000003e-06
1494682801190,-1.095,7.602e-06
1494682801200,-1.095,3.982e-06
1494682801210,-1.095,6.154e-06
1494682801220,-1.095,3.982e-06
1494682801230,-1.095,6.516e-06
1494682801240,-1.095,3.62e-06
1494682801250,-1.095,6.877999999999999e-06
1494682801260,-1.095,4.343999999999999e-06
1494682801270,-1.095,7.24e-06
1494682801280,-1.095,2.8960000000000003e-06
1494682801290,-1.095,7.24e-06
1494682801300,-1.095,3.62e-06
1494682801310,-1.095,7.602e-06
1494682801320,-1.095,2.8960000000000003e-06
1494682801330,-1.095,6.516e-06
1494682801340,-1.095,3.258e-06
1494682801350,-1.095,6.516e-06
1494682801360,-1.095,3.982e-06
1494682801370,-1.095,6.154e-06
1494682801380,-1.095,5.43e-06
1494682801390,-1.095,7.964e-06
1494682801400,-1.095,3.62e-06
1494682801410,-1.095,6.516e-06
1494682801420,-1.095,4.706e-06
1494682801430,-1.095,6.154e-06
1494682801440,-1.095,3.62e-06
1494682801450,-1.095,6.516e-06
1494682801460,-1.095,3.258e-06
1494682801470,-1.095,5.792000000000001e-06
1494682801480,-1.095,3.62e-06
1494682801490,-1.095,7.602e-06
1494682801500,-1.095,3.62e-06
1494682801510,-1.095,7.24e-06
1494682801520,-1.095,2.8960000000000003e-06
1494682801530,-1.095,5.792000000000001e-06
1494682801540,-1.095,2.5340000000000002e-06
1494682801550,-1.095,7.24e-06
1494682801560,-1.095,2.8960000000000003e-06
1494682801570,-1.095,7.24e-06
1494682801580,-1.095,4.706e-06
1494682801590,-1.095,6.516e-06
1494682801600,-1.095,2.8960000000000003e-06
1494682801610,-1.095,5.43e-06
1494682801620,-1.095,3.982e-06
1494682801630,-1.095,7.602e-06
1494682801640,-1.095,3.982e-06
1494682801650,-1.095,6.877999999999999e-06
1494682801660,-1.095,3.62e-06
1494682801670,-1.095,7.964e-06
1494682801680,-1.095,3.62e-06
1494682801690,-1.095,7.24e-06
1494682801700,-1.095,3.62e-06
1494682801710,-1.095,6.154e-06
1494682801720,-1.095,2.8960000000000003e-06
1494682801730,-1.095,8.326e-06
1494682801740,-1.095,2.5340000000000002e-06
1494682801750,-1.095,6.877999999999999e-06
1494682801760,-1.095,3.62e-06
1494682801770,-1.095,6.516e-06
1494682801780,-1.095,3.62e-06
1494682801790,-1.095,4.706e-06
1494682801800,-1.095,3.258e-06
1494682801810,-1.095,6.877999999999999e-06
1494682801820,-1.095,2.5340000000000002e-06
1494682801830,-1.095,5.792000000000001e-06
1494682801840,-1.095,3.62e-06
1494682801850,-1.095,5.0680000000000004e-06
1494682801860,-1.095,3.258e-06
1494682801870,-1.095,5.792000000000001e-06
1494682801880,-1.095,3.258e-06
1494682801890,-1.095,7.602e-06
1494682801900,-1.095,2.8960000000000003e-06
1494682801910,-1.095,6.516e-06
1494682801920,-1.095,3.62e-06
1494682801930,-1.095,7.964e-06
1494682801940,-1.095,2.8960000000000003e-06
1494682801950,-1.095,7.964e-06
1494682801960,-1.095,2.8960000000000003e-06
1494682801970,-1.095,5.792000000000001e-06
1494682801980,-1.095,3.258e-06
1494682801990,-1.095,7.24e-06
1494682802000,-1.095,3.982e-06
1494682802010,-1.095,5.792000000000001e-06
1494682802020,-1.095,3.258e-06
1494682802030,-1.095,5.792000000000001e-06
1494682802040,-1.095,2.8960000000000003e-06
1494682802050,-1.095,6.516e-06
1494682802060,-1.095,4.343999999999999e-06
1494682802070,-1.095,7.24e-06
1494682802080,-1.095,3.258e-06
1494682802090,-1.095,6.154e-06
1494682802100,-1.095,3.62e-06
1494682802110,-1.095,5.792000000000001e-06
1494682802120,-1.095,3.258e-06
1494682802130,-1.095,6.877999999999999e-06
1494682802140,-1.095,2.5340000000000002e-06
1494682802150,-1.095,6.154e-06
1494682802160,-1.095,2.5340000000000002e-06
1494682802170,-1.095,5.792000000000001e-06
1494682802180,-1.095,1.81e-06
1494682802190,-1.095,7.964e-06
1494682802200,-1.095,1.4480000000000002e-06
1494682802210,-1.095,5.43e-06
1494682802220,-1.095,4.343999999999999e-06
1494682802230,-1.095,6.516e-06
1494682802240,-1.095,2.8960000000000003e-06
1494682802250,-1.095,6.154e-06
1494682802260,-1.095,3.258e-06
1494682802270,-1.095,6.877999999999999e-06
1494682802280,-1.095,4.343999999999999e-06
1494682802290,-1.095,6.877999999999999e-06
1494682802300,-1.095,3.62e-06
1494682802310,-1.095,6.516e-06
1494682802320,-1.095,3.258e-06
1494682802330,-1.095,4.343999999999999e-06
1494682802340,-1.095,2.8960000000000003e-06
1494682802350,-1.095,6.154e-06
1494682802360,-1.095,2.8960000000000003e-06
1494682802370,-1.095,6.154e-06
1494682802380,-1.095,2.8960000000000003e-06
1494682802390,-1.095,6.877999999999999e-06
1494682802400,-1.095,3.62e-06
1494682802410,-1.095,6.877999999999999e-06
1494682802420,-1.095,3.258e-06
1494682802430,-1.095,6.877999999999999e-06
1494682802440,-1.095,3.982e-06
1494682802450,-1.095,8.326e-06
1494682802460,-1.095,3.258e-06
1494682802470,-1.095,6.516e-06
1494682802480,-1.095,2.5340000000000002e-06
1494682802490,-1.095,5.43e-06
1494682802500,-1.095,3.258e-06
1494682802510,-1.095,6.516e-06
1494682802520,-1.095,3.982e-06
1494682802530,-1.095,5.0680000000000004e-06
1494682802540,-1.095,4.343999999999999e-06
1494682802550,-1.095,6.154e-06
1494682802560,-1.095,2.8960000000000003e-06
1494682802570,-1.095,6.877999999999999e-06
1494682802580,-1.095,3.62e-06
1494682802590,-1.095,7.602e-06
1494682802600,-1.095,3.258e-06
1494682802610,-1.095,7.24e-06
1494682802620,-1.095,3.62e-06
1494682802630,-1.095,8.687999999999999e-06
1494682802640,-1.095,2.5340000000000002e-06
1494682802650,-1.095,5.792000000000001e-06
1494682802660,-1.095,3.258e-06
1494682802670,-1.095,6.877999999999999e-06
1494682802680,-1.095,3.258e-06
1494682802690,-1.095,7.24e-06
1494682802700,-1.095,2.5340000000000002e-06
1494682802710,-1.095,6.877999999999999e-06
1494682802720,-1.095,3.258e-06
1494682802730,-1.095,6.154e-06
1494682802740,-1.095,3.258e-06
1494682802750,-1.095,5.792000000000001e-06
1494682802760,-1.095,3.982e-06
1494682802770,-1.095,7.24e-06
