Geom. emittance [m]	5.053054316048623E-10
Setup N Sigma	4.5
RMS Momentum Deviation	3.06E-4
Number	Status	Collimator Name	Angle (deg)	JAW L Calib (mm)	JAW R Calib (mm)	LVDT gap	Gap Offset (mm)	Half Gap Meas (mm)	Eff sigma in coll plane	JAW L Setting (mm)	JAW R Setting (mm)	Target HALF GAP sigma	Pos (m)	Angle (rad)	Betax (m)	Betay (m)	halfgap (m)	sig_coll (m)	sigx (m)	sigy (m)	nsig	tilt1 (rad)	tilt2 (rad)	Ratio beam size (meas/exp)	Dx (m)	sigx (m) (with Dx)	sig_coll (m) (with Dx)	Coll setup time (sec)	Comments
Horizontal
0	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
1	False	TCTPH.4R8.B2	0.0	0.0	0.0	0.0	0.0	0.0	0.34908062268062134	12.91598303918299	-12.91598303918299	37.0	3225.71	0.0	241.1556922	301.6943849	0.008727015567015533	3.4908062268062135E-4	3.4908062268062135E-4	3.904456573899343E-4	25.0	0.0	0.0	100%	0.05968	3.495579847421837E-4	3.495579847421837E-4	0.0	
2	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
3	True	TCP.C6R7.B2	0.0	1.735	-1.57	3.308096753429413	0.08250000000000002	1.6525	n/a	n/a	n/a	5.991765303178827	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	1.461060818335E9	
4	True	TCL.6L1.B2	0.0	0.52	-0.58	1.1194841943103695	-0.02999999999999997	0.55	0.0874835836379353	2.1570895909483827	-2.2170895909483823	25.0	184.26	0.0	15.14604223	527.9008917	0.0017496716727587061	8.74835836379353E-5	8.74835836379353E-5	5.164796103672053E-4	20.0	0.0	0.0	100%	-0.105914	9.329397099017427E-5	9.329397099017427E-5	1.461061010913E9	
5	True	TCP.C6R7.B2	0.0	1.595	-1.37	2.964644279174462	0.11249999999999993	1.4825	n/a	n/a	n/a	5.375365846876012	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	1.461061040061E9	
6	True	TCP.C6R7.B2	0.0	1.395	-1.025	2.420709815575786	0.18500000000000005	1.21	n/a	n/a	n/a	4.387313777214148	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	1.461057163002E9	
7	True	TCL.5L1.B2	0.0	1.865	-0.975	2.821889209155959	0.445	1.42	0.32647584073868385	5.342137611080258	-4.452137611080257	15.0	184.26	0.0	210.9347494	1360.557973	0.006529516814773677	3.2647584073868387E-4	3.2647584073868387E-4	8.291545897902282E-4	20.0	0.0	0.0	100%	0.126681	3.2876914728725305E-4	3.2876914728725305E-4	1.461057419127E9	
8	True	TCP.C6R7.B2	0.0	1.355	-0.99	2.3441365103002143	0.1825	1.1724999999999999	n/a	n/a	n/a	4.251343308912056	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	1.461057439106E9	
9	True	TCP.C6R7.B2	0.0	1.355	-0.99	2.343945658303899	0.1825	1.1724999999999999	n/a	n/a	n/a	4.251343308912056	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	1.461057446089E9	
10	True	TCL.4L1.B2	0.0	2.45	-2.59	5.044198736814918	-0.06999999999999984	2.52	0.6191740799372368	9.217611199058553	-9.357611199058553	15.0	184.26	0.0	758.7025931	2140.634748	0.012383481598744736	6.191740799372368E-4	6.191740799372368E-4	0.0010400357519078397	20.0	0.0	0.0	100%	-0.084735	6.197167495234511E-4	6.197167495234511E-4	1.461057910285E9	
11	True	TCP.C6R7.B2	0.0	1.32	-0.93	2.2512569708327996	0.195	1.125	n/a	n/a	n/a	4.079114049062741	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	1.461057954597E9	
12	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
13	False	TCSG.6L7.B2	0.499997349	0.0	0.0	0.0	0.0	0.0	0.41189408775498104	0.0	0.0	0.0	6811.58	0.0087266	335.7728359	47.355768	0.0027596903879583733	4.1189408775498107E-4	4.1190755973353793E-4	1.5469042241916507E-4	6.7	0.0	0.0	100%	0.203009	4.165655120664295E-4	4.1655183799482184E-4	0.0	
14	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
15	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		0.0	-0.144715	0.001047509	0.001047509	
16	False	TCTPH.4R1.B2	0.0	0.0	0.0	0.0	0.0	0.0	1.042636805796297	14.284124239409268	-14.284124239409268	13.7	26511.36	0.0	2151.355281	813.8982779	0.015639552086944453	0.0010426368057962969	0.0010426368057962969	6.413011933535705E-4	15.0	0.0	0.0	100%	-0.018549	0.001042652255408769	0.001042652255408769	0.0	
17	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		-0.144715	0.001047509	0.001047509	0.0	
18	False	TCP.C6R7.B2	0.0	0.0	0.0	0.0	0.0	0.0	n/a	n/a	n/a	0.0	6461.74	0.0	150.5287247	82.76322816	0.0015720325352200932	2.757951816175602E-4	2.757951816175602E-4	2.0450112157736566E-4	5.7	0.0	0.0		0.0	-0.144715	0.001047509	0.001047509	
