Timestamp,position,BLMTI.06L7.B1E10_TCP.C6L7.B1
1459599787670,7.88,0.0
1459599787680,7.88,0.0
1459599787690,7.88,3.6200000000000004e-07
1459599787700,7.88,3.6200000000000004e-07
1459599787710,7.88,3.6200000000000004e-07
1459599787720,7.88,0.0
1459599787730,7.88,0.0
1459599787740,7.88,3.6200000000000004e-07
1459599787750,7.88,3.6200000000000004e-07
1459599787760,7.88,3.6200000000000004e-07
1459599787770,7.88,0.0
1459599787780,7.88,3.6200000000000004e-07
1459599787790,7.88,0.0
1459599787800,7.88,3.6200000000000004e-07
1459599787810,7.88,0.0
1459599787820,7.88,3.6200000000000004e-07
1459599787830,7.88,0.0
1459599787840,7.88,3.6200000000000004e-07
1459599787850,7.88,7.240000000000001e-07
1459599787860,7.88,0.0
1459599787870,7.88,0.0
1459599787880,7.88,0.0
1459599787890,7.88,7.240000000000001e-07
1459599787900,7.88,0.0
1459599787910,7.88,0.0
1459599787920,7.88,3.6200000000000004e-07
1459599787930,7.88,3.6200000000000004e-07
1459599787940,7.88,0.0
1459599787950,7.88,0.0
1459599787960,7.88,7.240000000000001e-07
1459599787970,7.88,0.0
1459599787980,7.88,0.0
1459599787990,7.88,3.6200000000000004e-07
1459599788000,7.88,3.6200000000000004e-07
1459599788010,7.88,0.0
1459599788020,7.88,3.6200000000000004e-07
1459599788030,7.88,3.6200000000000004e-07
1459599788040,7.88,3.6200000000000004e-07
1459599788050,7.88,0.0
1459599788060,7.88,3.6200000000000004e-07
1459599788070,7.88,3.6200000000000004e-07
1459599788080,7.88,0.0
1459599788090,7.88,7.240000000000001e-07
1459599788100,7.88,0.0
1459599788110,7.88,3.6200000000000004e-07
1459599788120,7.88,0.0
1459599788130,7.88,0.0
1459599788140,7.88,0.0
1459599788150,7.88,7.240000000000001e-07
1459599788160,7.88,0.0
1459599788170,7.88,3.6200000000000004e-07
1459599788180,7.88,0.0
1459599788190,7.88,0.0
1459599788200,7.88,0.0
1459599788210,7.88,3.6200000000000004e-07
1459599788220,7.88,7.240000000000001e-07
1459599788230,7.88,0.0
1459599788240,7.88,0.0
1459599788250,7.88,1.0859999999999999e-06
1459599788260,7.88,0.0
1459599788270,7.88,3.6200000000000004e-07
1459599788280,7.88,0.0
1459599788290,7.88,0.0
1459599788300,7.88,0.0
1459599788310,7.88,1.0859999999999999e-06
1459599788320,7.88,0.0
1459599788330,7.88,0.0
1459599788340,7.88,3.6200000000000004e-07
1459599788350,7.88,3.6200000000000004e-07
1459599788360,7.88,3.6200000000000004e-07
1459599788370,7.88,3.6200000000000004e-07
1459599788380,7.88,0.0
1459599788390,7.88,0.0
1459599788400,7.88,7.240000000000001e-07
1459599788410,7.88,0.0
1459599788420,7.88,1.0859999999999999e-06
1459599788430,7.88,0.0
1459599788440,7.88,3.6200000000000004e-07
1459599788450,7.88,0.0
1459599788460,7.88,0.0
1459599788470,7.88,3.6200000000000004e-07
1459599788480,7.88,0.0
1459599788490,7.88,3.6200000000000004e-07
1459599788500,7.88,0.0
1459599788510,7.88,3.6200000000000004e-07
1459599788520,7.88,0.0
1459599788530,7.88,0.0
1459599788540,7.88,0.0
1459599788550,7.88,1.0859999999999999e-06
1459599788560,7.88,0.0
1459599788570,7.88,0.0
1459599788580,7.88,0.0
1459599788590,7.88,3.6200000000000004e-07
1459599788600,7.88,3.6200000000000004e-07
1459599788610,7.88,0.0
1459599788620,7.88,3.6200000000000004e-07
1459599788630,7.88,0.0
1459599788640,7.88,7.240000000000001e-07
1459599788650,7.88,0.0
1459599788660,7.88,7.240000000000001e-07
1459599788670,7.88,0.0
1459599788680,7.88,3.6200000000000004e-07
1459599788690,7.88,3.6200000000000004e-07
1459599788700,7.88,0.0
1459599788710,7.88,7.240000000000001e-07
1459599788720,7.88,0.0
1459599788730,7.88,7.240000000000001e-07
1459599788740,7.88,0.0
1459599788750,7.88,7.240000000000001e-07
1459599788760,7.88,0.0
1459599788770,7.88,3.6200000000000004e-07
1459599788780,7.88,0.0
1459599788790,7.88,7.240000000000001e-07
1459599788800,7.88,0.0
1459599788810,7.88,0.0
1459599788820,7.88,3.6200000000000004e-07
1459599788830,7.88,0.0
1459599788840,7.88,3.6200000000000004e-07
1459599788850,7.88,0.0
1459599788860,7.88,3.6200000000000004e-07
1459599788870,7.88,0.0
1459599788880,7.88,7.240000000000001e-07
1459599788890,7.88,0.0
1459599788900,7.88,0.0
1459599788910,7.88,0.0
1459599788920,7.88,1.0859999999999999e-06
1459599788930,7.88,0.0
1459599788940,7.88,3.6200000000000004e-07
1459599788950,7.88,3.6200000000000004e-07
1459599788960,7.88,0.0
1459599788970,7.88,1.0859999999999999e-06
1459599788980,7.88,0.0
1459599788990,7.88,7.240000000000001e-07
1459599789000,7.88,0.0
1459599789010,7.88,0.0
1459599789020,7.88,0.0
1459599789030,7.88,3.6200000000000004e-07
1459599789040,7.88,3.6200000000000004e-07
1459599789050,7.88,3.6200000000000004e-07
1459599789060,7.88,0.0
1459599789070,7.88,0.0
1459599789080,7.88,7.240000000000001e-07
1459599789090,7.88,0.0
1459599789100,7.88,3.6200000000000004e-07
1459599789110,7.88,0.0
1459599789120,7.88,3.6200000000000004e-07
1459599789130,7.88,0.0
1459599789140,7.88,3.6200000000000004e-07
1459599789150,7.88,0.0
1459599789160,7.88,3.6200000000000004e-07
1459599789170,7.88,0.0
1459599789180,7.88,7.240000000000001e-07
1459599789190,7.88,0.0
1459599789200,7.88,0.0
1459599789210,7.88,3.6200000000000004e-07
1459599789220,7.88,0.0
1459599789230,7.88,3.6200000000000004e-07
1459599789240,7.88,0.0
1459599789250,7.88,3.6200000000000004e-07
1459599789260,7.88,3.6200000000000004e-07
1459599789270,7.88,7.240000000000001e-07
1459599789280,7.88,0.0
1459599789290,7.88,0.0
1459599789300,7.88,7.240000000000001e-07
1459599789310,7.88,0.0
1459599789320,7.88,3.6200000000000004e-07
1459599789330,7.88,0.0
1459599789340,7.88,3.6200000000000004e-07
1459599789350,7.88,0.0
1459599789360,7.88,0.0
1459599789370,7.88,3.6200000000000004e-07
1459599789380,7.88,7.240000000000001e-07
1459599789390,7.88,3.6200000000000004e-07
1459599789400,7.88,3.6200000000000004e-07
1459599789410,7.88,0.0
1459599789420,7.88,3.6200000000000004e-07
1459599789430,7.88,0.0
1459599789440,7.88,3.6200000000000004e-07
1459599789450,7.88,3.6200000000000004e-07
1459599789460,7.88,0.0
1459599789470,7.88,3.6200000000000004e-07
1459599789480,7.88,0.0
1459599789490,7.88,7.240000000000001e-07
1459599789500,7.88,0.0
1459599789510,7.88,3.6200000000000004e-07
1459599789520,7.88,3.6200000000000004e-07
1459599789530,7.88,0.0
1459599789540,7.88,0.0
1459599789550,7.88,3.6200000000000004e-07
1459599789560,7.88,3.6200000000000004e-07
1459599789570,7.88,0.0
1459599789580,7.88,7.240000000000001e-07
1459599789590,7.88,7.240000000000001e-07
1459599789600,7.88,0.0
1459599789610,7.88,0.0
1459599789620,7.88,3.6200000000000004e-07
1459599789630,7.88,0.0
1459599789640,7.88,3.6200000000000004e-07
1459599789650,7.88,3.6200000000000004e-07
1459599789660,7.88,0.0
1459599789670,7.88,0.0
1459599789680,7.88,0.0
1459599789690,7.88,3.6200000000000004e-07
1459599789700,7.88,3.6200000000000004e-07
1459599789710,7.88,3.6200000000000004e-07
1459599789720,7.88,0.0
1459599789730,7.88,3.6200000000000004e-07
1459599789740,7.88,0.0
1459599789750,7.88,0.0
1459599789760,7.88,7.240000000000001e-07
1459599789770,7.88,3.6200000000000004e-07
1459599789780,7.88,3.6200000000000004e-07
1459599789790,7.88,3.6200000000000004e-07
1459599789800,7.88,0.0
1459599789810,7.88,0.0
1459599789820,7.88,3.6200000000000004e-07
1459599789830,7.88,7.240000000000001e-07
1459599789840,7.88,0.0
1459599789850,7.88,0.0
1459599789860,7.88,0.0
1459599789870,7.88,3.6200000000000004e-07
1459599789880,7.88,0.0
1459599789890,7.88,1.0859999999999999e-06
1459599789900,7.88,0.0
1459599789910,7.88,0.0
1459599789920,7.88,0.0
1459599789930,7.88,3.6200000000000004e-07
1459599789940,7.88,0.0
1459599789950,7.88,0.0
1459599789960,7.88,0.0
1459599789970,7.88,0.0
1459599789980,7.88,3.6200000000000004e-07
1459599789990,7.88,3.6200000000000004e-07
1459599790000,7.88,3.6200000000000004e-07
1459599790010,7.88,3.6200000000000004e-07
1459599790020,7.88,3.6200000000000004e-07
1459599790030,7.88,3.6200000000000004e-07
1459599790040,7.88,0.0
1459599790050,7.88,3.6200000000000004e-07
1459599790060,7.88,3.6200000000000004e-07
1459599790070,7.88,0.0
1459599790080,7.88,0.0
1459599790090,7.88,3.6200000000000004e-07
1459599790100,7.88,3.6200000000000004e-07
1459599790110,7.88,3.6200000000000004e-07
1459599790120,7.88,0.0
1459599790130,7.88,7.240000000000001e-07
1459599790140,7.88,0.0
1459599790150,7.88,0.0
1459599790160,7.88,3.6200000000000004e-07
1459599790170,7.88,0.0
1459599790180,7.88,7.240000000000001e-07
1459599790190,7.88,0.0
1459599790200,7.88,3.6200000000000004e-07
1459599790210,7.88,0.0
1459599790220,7.88,0.0
1459599790230,7.88,7.240000000000001e-07
1459599790240,7.88,3.6200000000000004e-07
1459599790250,7.88,0.0
1459599790260,7.88,3.6200000000000004e-07
1459599790270,7.88,0.0
1459599790280,7.88,0.0
1459599790290,7.88,7.240000000000001e-07
1459599790300,7.88,3.6200000000000004e-07
1459599790310,7.88,3.6200000000000004e-07
1459599790320,7.88,3.6200000000000004e-07
1459599790330,7.88,3.6200000000000004e-07
1459599790340,7.88,3.6200000000000004e-07
1459599790350,7.88,3.6200000000000004e-07
1459599790360,7.88,0.0
1459599790370,7.88,3.6200000000000004e-07
1459599790380,7.88,0.0
1459599790390,7.88,3.6200000000000004e-07
1459599790400,7.88,3.6200000000000004e-07
1459599790410,7.88,0.0
1459599790420,7.88,0.0
1459599790430,7.88,3.6200000000000004e-07
1459599790440,7.88,3.6200000000000004e-07
1459599790450,7.88,3.6200000000000004e-07
1459599790460,7.88,3.6200000000000004e-07
1459599790470,7.88,7.240000000000001e-07
1459599790480,7.88,0.0
1459599790490,7.88,0.0
1459599790500,7.88,3.6200000000000004e-07
1459599790510,7.88,3.6200000000000004e-07
1459599790520,7.88,0.0
1459599790530,7.88,1.0859999999999999e-06
1459599790540,7.88,0.0
