Timestamp,position,BLMTI.04L5.B1I10_TCTPH.4L5.B1
1459600175660,7.955,3.6200000000000004e-07
1459600175670,7.955,3.6200000000000004e-07
1459600175680,7.955,3.6200000000000004e-07
1459600175690,7.955,3.6200000000000004e-07
1459600175700,7.955,0.0
1459600175710,7.955,3.6200000000000004e-07
1459600175720,7.955,0.0
1459600175730,7.955,7.240000000000001e-07
1459600175740,7.955,0.0
1459600175750,7.955,7.240000000000001e-07
1459600175760,7.955,3.6200000000000004e-07
1459600175770,7.955,0.0
1459600175780,7.955,0.0
1459600175790,7.955,0.0
1459600175800,7.955,3.6200000000000004e-07
1459600175810,7.955,7.240000000000001e-07
1459600175820,7.955,0.0
1459600175830,7.955,3.6200000000000004e-07
1459600175840,7.955,0.0
1459600175850,7.955,0.0
1459600175860,7.955,0.0
1459600175870,7.955,0.0
1459600175880,7.955,0.0
1459600175890,7.955,7.240000000000001e-07
1459600175900,7.955,0.0
1459600175910,7.955,3.6200000000000004e-07
1459600175920,7.955,0.0
1459600175930,7.955,3.6200000000000004e-07
1459600175940,7.955,3.6200000000000004e-07
1459600175950,7.955,0.0
1459600175960,7.955,3.6200000000000004e-07
1459600175970,7.955,3.6200000000000004e-07
1459600175980,7.955,0.0
1459600175990,7.955,7.240000000000001e-07
1459600176000,7.955,3.6200000000000004e-07
1459600176010,7.955,3.6200000000000004e-07
1459600176020,7.955,3.6200000000000004e-07
1459600176030,7.955,3.6200000000000004e-07
1459600176040,7.955,0.0
1459600176050,7.955,1.0859999999999999e-06
1459600176060,7.955,0.0
1459600176070,7.955,0.0
1459600176080,7.955,0.0
1459600176090,7.955,3.6200000000000004e-07
1459600176100,7.955,3.6200000000000004e-07
1459600176110,7.955,3.6200000000000004e-07
1459600176120,7.955,7.240000000000001e-07
1459600176130,7.955,3.6200000000000004e-07
1459600176140,7.955,3.6200000000000004e-07
1459600176150,7.955,0.0
1459600176160,7.955,3.6200000000000004e-07
1459600176170,7.955,0.0
1459600176180,7.955,3.6200000000000004e-07
1459600176190,7.955,0.0
1459600176200,7.955,3.6200000000000004e-07
1459600176210,7.955,3.6200000000000004e-07
1459600176220,7.955,3.6200000000000004e-07
1459600176230,7.955,3.6200000000000004e-07
1459600176240,7.955,3.6200000000000004e-07
1459600176250,7.955,3.6200000000000004e-07
1459600176260,7.955,0.0
1459600176270,7.955,0.0
1459600176280,7.955,0.0
1459600176290,7.955,3.6200000000000004e-07
1459600176300,7.955,3.6200000000000004e-07
1459600176310,7.955,0.0
1459600176320,7.955,0.0
1459600176330,7.955,7.240000000000001e-07
1459600176340,7.955,0.0
1459600176350,7.955,0.0
1459600176360,7.955,0.0
1459600176370,7.955,3.6200000000000004e-07
1459600176380,7.955,3.6200000000000004e-07
1459600176390,7.955,3.6200000000000004e-07
1459600176400,7.955,0.0
1459600176410,7.955,3.6200000000000004e-07
1459600176420,7.955,0.0
1459600176430,7.955,3.6200000000000004e-07
1459600176440,7.955,0.0
1459600176450,7.955,7.240000000000001e-07
1459600176460,7.955,3.6200000000000004e-07
1459600176470,7.955,0.0
1459600176480,7.955,3.6200000000000004e-07
1459600176490,7.955,3.6200000000000004e-07
1459600176500,7.955,3.6200000000000004e-07
1459600176510,7.955,3.6200000000000004e-07
1459600176520,7.955,0.0
1459600176530,7.955,1.0859999999999999e-06
1459600176540,7.955,3.6200000000000004e-07
1459600176550,7.955,0.0
1459600176560,7.955,3.6200000000000004e-07
1459600176570,7.955,3.6200000000000004e-07
1459600176580,7.955,0.0
1459600176590,7.955,3.6200000000000004e-07
1459600176600,7.955,0.0
1459600176610,7.955,3.6200000000000004e-07
1459600176620,7.955,0.0
1459600176630,7.955,3.6200000000000004e-07
1459600176640,7.955,0.0
1459600176650,7.955,3.6200000000000004e-07
1459600176660,7.955,0.0
1459600176670,7.955,3.6200000000000004e-07
1459600176680,7.955,0.0
1459600176690,7.955,3.6200000000000004e-07
1459600176700,7.955,0.0
1459600176710,7.955,0.0
1459600176720,7.955,3.6200000000000004e-07
1459600176730,7.955,0.0
1459600176740,7.955,3.6200000000000004e-07
1459600176750,7.955,7.240000000000001e-07
1459600176760,7.955,0.0
