Timestamp,position,BLMTI.04R8.B2E10_TCTPH.4R8.B2
1459600200500,7.865,0.0
1459600200510,7.865,0.0
1459600200520,7.865,1.0859999999999999e-06
1459600200530,7.865,0.0
1459600200540,7.865,7.240000000000001e-07
1459600200550,7.865,0.0
1459600200560,7.865,7.240000000000001e-07
1459600200570,7.865,0.0
1459600200580,7.865,7.240000000000001e-07
1459600200590,7.865,0.0
1459600200600,7.865,3.6200000000000004e-07
1459600200610,7.865,0.0
1459600200620,7.865,1.0859999999999999e-06
1459600200630,7.865,0.0
1459600200640,7.865,7.240000000000001e-07
1459600200650,7.865,0.0
1459600200660,7.865,0.0
1459600200670,7.865,0.0
1459600200680,7.865,7.240000000000001e-07
1459600200690,7.865,0.0
1459600200700,7.865,0.0
1459600200710,7.865,0.0
1459600200720,7.865,7.240000000000001e-07
1459600200730,7.865,0.0
1459600200740,7.865,1.0859999999999999e-06
1459600200750,7.865,0.0
1459600200760,7.865,3.6200000000000004e-07
1459600200770,7.865,0.0
1459600200780,7.865,7.240000000000001e-07
1459600200790,7.865,0.0
1459600200800,7.865,1.0859999999999999e-06
1459600200810,7.865,0.0
1459600200820,7.865,1.0859999999999999e-06
1459600200830,7.865,0.0
1459600200840,7.865,7.240000000000001e-07
1459600200850,7.865,0.0
1459600200860,7.865,1.0859999999999999e-06
1459600200870,7.865,0.0
1459600200880,7.865,7.240000000000001e-07
1459600200890,7.865,0.0
1459600200900,7.865,7.240000000000001e-07
1459600200910,7.865,0.0
1459600200920,7.865,3.6200000000000004e-07
1459600200930,7.865,0.0
1459600200940,7.865,7.240000000000001e-07
1459600200950,7.865,0.0
1459600200960,7.865,7.240000000000001e-07
1459600200970,7.865,0.0
1459600200980,7.865,1.0859999999999999e-06
1459600200990,7.865,0.0
1459600201000,7.865,3.6200000000000004e-07
1459600201010,7.865,0.0
1459600201020,7.865,3.6200000000000004e-07
1459600201030,7.865,0.0
1459600201040,7.865,3.6200000000000004e-07
1459600201050,7.865,0.0
1459600201060,7.865,1.0859999999999999e-06
1459600201070,7.865,0.0
1459600201080,7.865,0.0
1459600201090,7.865,0.0
1459600201100,7.865,1.0859999999999999e-06
1459600201110,7.865,0.0
1459600201120,7.865,1.0859999999999999e-06
1459600201130,7.865,0.0
1459600201140,7.865,0.0
1459600201150,7.865,0.0
1459600201160,7.865,3.6200000000000004e-07
1459600201170,7.865,0.0
1459600201180,7.865,3.6200000000000004e-07
