Timestamp,position,BLMTI.06R7.B1E10_TCLA.B6R7.B1
1459600346750,7.17,3.6200000000000004e-07
1459600346760,7.17,3.6200000000000004e-07
1459600346770,7.17,3.6200000000000004e-07
1459600346780,7.17,3.6200000000000004e-07
1459600346790,7.17,7.240000000000001e-07
1459600346800,7.17,7.240000000000001e-07
1459600346810,7.17,0.0
1459600346820,7.17,3.6200000000000004e-07
1459600346830,7.17,3.6200000000000004e-07
1459600346840,7.17,0.0
1459600346850,7.17,3.6200000000000004e-07
1459600346860,7.17,3.6200000000000004e-07
1459600346870,7.17,3.6200000000000004e-07
1459600346880,7.17,3.6200000000000004e-07
1459600346890,7.17,3.6200000000000004e-07
1459600346900,7.17,3.6200000000000004e-07
1459600346910,7.17,3.6200000000000004e-07
1459600346920,7.17,3.6200000000000004e-07
1459600346930,7.17,3.6200000000000004e-07
1459600346940,7.17,0.0
1459600346950,7.17,3.6200000000000004e-07
1459600346960,7.17,7.240000000000001e-07
1459600346970,7.17,0.0
1459600346980,7.17,7.240000000000001e-07
1459600346990,7.17,0.0
1459600347000,7.17,3.6200000000000004e-07
1459600347010,7.17,7.240000000000001e-07
1459600347020,7.17,3.6200000000000004e-07
1459600347030,7.17,3.6200000000000004e-07
1459600347040,7.17,0.0
1459600347050,7.17,0.0
1459600347060,7.17,7.240000000000001e-07
1459600347070,7.17,0.0
1459600347080,7.17,3.6200000000000004e-07
1459600347090,7.17,3.6200000000000004e-07
1459600347100,7.17,0.0
1459600347110,7.17,0.0
1459600347120,7.17,1.0859999999999999e-06
1459600347130,7.17,0.0
1459600347140,7.17,0.0
1459600347150,7.17,3.6200000000000004e-07
1459600347160,7.17,3.6200000000000004e-07
1459600347170,7.17,3.6200000000000004e-07
1459600347180,7.17,3.6200000000000004e-07
1459600347190,7.17,3.6200000000000004e-07
1459600347200,7.17,0.0
1459600347210,7.17,3.6200000000000004e-07
1459600347220,7.17,3.6200000000000004e-07
1459600347230,7.17,7.240000000000001e-07
1459600347240,7.17,0.0
1459600347250,7.17,0.0
1459600347260,7.17,1.0859999999999999e-06
1459600347270,7.17,0.0
1459600347280,7.17,0.0
1459600347290,7.17,3.6200000000000004e-07
1459600347300,7.17,3.6200000000000004e-07
1459600347310,7.17,7.240000000000001e-07
1459600347320,7.17,3.6200000000000004e-07
1459600347330,7.17,0.0
1459600347340,7.17,3.6200000000000004e-07
1459600347350,7.11,3.6200000000000004e-07
1459600347360,7.11,7.240000000000001e-07
1459600347370,7.11,0.0
1459600347380,7.11,3.6200000000000004e-07
