Timestamp,position,BLMTI.04R1.B2I10_TCTPH.4R1.B2
1459601345050,9.17,0.0
1459601345060,9.17,0.0
1459601345070,9.17,0.0
1459601345080,9.17,0.0
1459601345090,9.17,1.4480000000000002e-06
1459601345100,9.17,1.0859999999999999e-06
1459601345110,9.17,1.0859999999999999e-06
1459601345120,9.17,0.0
1459601345130,9.17,0.0
1459601345140,9.17,0.0
1459601345150,9.17,0.0
1459601345160,9.17,0.0
1459601345170,9.17,0.0
1459601345180,9.17,0.0
1459601345190,9.17,0.0
1459601345200,9.17,0.0
1459601345210,9.17,0.0
1459601345220,9.17,0.0
1459601345230,9.17,0.0
1459601345240,9.17,0.0
1459601345250,9.17,0.0
1459601345260,9.17,0.0
1459601345270,9.17,3.258e-06
1459601345280,9.17,1.81e-06
1459601345290,9.17,1.0859999999999999e-06
1459601345300,9.17,0.0
1459601345310,9.17,0.0
1459601345320,9.17,0.0
1459601345330,9.17,0.0
1459601345340,9.17,0.0
1459601345350,9.17,0.0
1459601345360,9.17,0.0
1459601345370,9.17,1.4480000000000002e-06
1459601345380,9.17,0.0
1459601345390,9.17,3.6200000000000004e-07
1459601345400,9.17,0.0
1459601345410,9.17,0.0
1459601345420,9.17,3.6200000000000004e-07
1459601345430,9.17,0.0
1459601345440,9.17,0.0
1459601345450,9.17,0.0
1459601345460,9.17,0.0
1459601345470,9.17,0.0
1459601345480,9.17,0.0
1459601345490,9.17,0.0
1459601345500,9.17,0.0
1459601345510,9.17,0.0
1459601345520,9.17,0.0
1459601345530,9.17,0.0
1459601345540,9.17,0.0
1459601345550,9.17,0.0
1459601345560,9.17,0.0
1459601345570,9.17,0.0
1459601345580,9.17,0.0
1459601345590,9.17,0.0
1459601345600,9.17,0.0
1459601345610,9.17,0.0
1459601345620,9.17,7.240000000000001e-07
1459601345630,9.17,1.0859999999999999e-06
1459601345640,9.17,2.1719999999999997e-06
1459601345650,9.17,0.0
1459601345660,9.17,0.0
1459601345670,9.17,0.0
1459601345680,9.17,0.0
1459601345690,9.17,0.0
1459601345700,9.17,0.0
1459601345710,9.17,0.0
1459601345720,9.17,0.0
1459601345730,9.17,0.0
1459601345740,9.17,0.0
1459601345750,9.17,0.0
1459601345760,9.17,3.6200000000000004e-07
1459601345770,9.17,1.4480000000000002e-06
1459601345780,9.17,0.0
1459601345790,9.17,0.0
1459601345800,9.17,0.0
1459601345810,9.17,7.240000000000001e-07
1459601345820,9.17,0.0
1459601345830,9.17,0.0
1459601345840,9.17,0.0
1459601345850,9.17,0.0
1459601345860,9.17,0.0
1459601345870,9.17,0.0
1459601345880,9.17,0.0
1459601345890,9.17,0.0
1459601345900,9.17,3.6200000000000004e-07
1459601345910,9.17,0.0
1459601345920,9.17,0.0
1459601345930,9.17,3.6200000000000004e-07
1459601345940,9.17,3.6200000000000004e-07
1459601345950,9.17,1.0859999999999999e-06
1459601345960,9.17,0.0
1459601345970,9.17,7.240000000000001e-07
1459601345980,9.17,1.81e-06
1459601345990,9.17,0.0
1459601346000,9.17,7.240000000000001e-07
1459601346010,9.17,0.0
1459601346020,9.17,1.4480000000000002e-06
1459601346030,9.17,2.1719999999999997e-06
1459601346040,9.17,3.6200000000000004e-07
1459601346050,9.17,0.0
1459601346060,9.17,0.0
1459601346070,9.17,7.240000000000001e-07
1459601346080,9.17,1.0859999999999999e-06
1459601346090,9.17,3.6200000000000004e-07
1459601346100,9.17,0.0
1459601346110,9.17,0.0
1459601346120,9.17,0.0
1459601346130,9.17,0.0
1459601346140,9.17,1.81e-06
1459601346150,9.17,0.0
1459601346160,9.17,3.6200000000000004e-07
1459601346170,9.17,0.0
1459601346180,9.17,0.0
1459601346190,9.17,0.0
1459601346200,9.17,0.0
1459601346210,9.17,0.0
1459601346220,9.17,0.0
1459601346230,9.17,0.0
1459601346240,9.17,0.0
1459601346250,9.17,0.0
1459601346260,9.17,0.0
1459601346270,9.17,0.0
1459601346280,9.17,0.0
1459601346290,9.17,0.0
1459601346300,9.17,0.0
1459601346310,9.17,0.0
1459601346320,9.17,0.0
1459601346330,9.17,0.0
1459601346340,9.17,0.0
1459601346350,9.17,0.0
1459601346360,9.17,0.0
1459601346370,9.17,0.0
1459601346380,9.17,2.5340000000000002e-06
1459601346390,9.17,3.6200000000000004e-07
1459601346400,9.17,0.0
1459601346410,9.17,0.0
1459601346420,9.17,0.0
1459601346430,9.17,0.0
1459601346440,9.17,0.0
1459601346450,9.17,0.0
1459601346460,9.17,3.6200000000000004e-07
1459601346470,9.17,6.877999999999999e-06
1459601346480,9.17,1.4480000000000002e-06
1459601346490,9.17,0.0
1459601346500,9.17,0.0
1459601346510,9.17,0.0
1459601346520,9.17,0.0
1459601346530,9.17,0.0
1459601346540,9.17,0.0
1459601346550,9.17,0.0
1459601346560,9.17,0.0
1459601346570,9.17,0.0
1459601346580,9.17,0.0
1459601346590,9.17,0.0
1459601346600,9.17,0.0
1459601346610,9.17,0.0
1459601346620,9.17,0.0
1459601346630,9.17,0.0
1459601346640,9.17,0.0
1459601346650,9.17,0.0
1459601346660,9.17,0.0
1459601346670,9.17,0.0
1459601346680,9.17,3.6200000000000004e-07
1459601346690,9.17,2.8960000000000003e-06
1459601346700,9.17,0.0
1459601346710,9.17,0.0
1459601346720,9.17,0.0
1459601346730,9.17,0.0
1459601346740,9.17,0.0
1459601346750,9.17,0.0
1459601346760,9.17,0.0
1459601346770,9.17,0.0
1459601346780,9.17,0.0
1459601346790,9.17,0.0
1459601346800,9.17,0.0
1459601346810,9.17,0.0
1459601346820,9.17,0.0
1459601346830,9.17,0.0
1459601346840,9.17,0.0
1459601346850,9.17,0.0
1459601346860,9.17,7.240000000000001e-07
1459601346870,9.17,7.240000000000001e-07
1459601346880,9.17,1.81e-06
1459601346890,9.17,1.4480000000000002e-06
1459601346900,9.17,0.0
1459601346910,9.17,0.0
1459601346920,9.17,0.0
1459601346930,9.17,0.0
1459601346940,9.17,0.0
1459601346950,9.17,0.0
1459601346960,9.17,0.0
1459601346970,9.17,0.0
1459601346980,9.17,0.0
1459601346990,9.17,0.0
1459601347000,9.17,0.0
1459601347010,9.17,0.0
1459601347020,9.17,0.0
1459601347030,9.17,0.0
1459601347040,9.17,0.0
1459601347050,9.17,0.0
1459601347060,9.17,0.0
1459601347070,9.17,0.0
1459601347080,9.17,3.6200000000000004e-07
1459601347090,9.17,1.4480000000000002e-06
1459601347100,9.17,7.240000000000001e-07
1459601347110,9.17,3.6200000000000004e-07
1459601347120,9.17,3.6200000000000004e-07
1459601347130,9.17,0.0
1459601347140,9.17,0.0
1459601347150,9.17,1.4480000000000002e-06
1459601347160,9.17,0.0
1459601347170,9.17,0.0
1459601347180,9.17,0.0
1459601347190,9.17,0.0
1459601347200,9.17,0.0
1459601347210,9.17,0.0
1459601347220,9.17,0.0
1459601347230,9.17,0.0
1459601347240,9.17,0.0
1459601347250,9.17,0.0
1459601347260,9.17,0.0
1459601347270,9.17,0.0
1459601347280,9.17,0.0
1459601347290,9.17,0.0
1459601347300,9.17,3.258e-06
1459601347310,9.17,0.0
1459601347320,9.17,0.0
1459601347330,9.17,0.0
1459601347340,9.17,0.0
1459601347350,9.17,1.81e-06
1459601347360,9.17,7.240000000000001e-07
1459601347370,9.17,0.0
1459601347380,9.17,0.0
1459601347390,9.17,0.0
1459601347400,9.17,0.0
1459601347410,9.17,1.81e-06
1459601347420,9.17,0.0
1459601347430,9.17,0.0
1459601347440,9.17,0.0
1459601347450,9.17,0.0
1459601347460,9.17,0.0
1459601347470,9.17,0.0
1459601347480,9.17,0.0
1459601347490,9.17,0.0
1459601347500,9.17,0.0
1459601347510,9.17,0.0
1459601347520,9.17,0.0
1459601347530,9.17,0.0
1459601347540,9.17,0.0
1459601347550,9.17,3.6200000000000004e-07
1459601347560,9.17,1.0859999999999999e-06
1459601347570,9.17,3.6200000000000004e-07
1459601347580,9.17,0.0
1459601347590,9.17,1.0859999999999999e-06
1459601347600,9.17,3.6200000000000004e-07
1459601347610,9.17,0.0
1459601347620,9.17,3.6200000000000004e-07
1459601347630,9.17,1.4480000000000002e-06
1459601347640,9.17,0.0
1459601347650,9.17,0.0
1459601347660,9.17,0.0
1459601347670,9.17,0.0
1459601347680,9.17,0.0
1459601347690,9.17,0.0
1459601347700,9.17,0.0
1459601347710,9.17,1.0859999999999999e-06
1459601347720,9.17,1.0859999999999999e-06
1459601347730,9.17,1.0859999999999999e-06
1459601347740,9.17,1.0859999999999999e-06
1459601347750,9.17,0.0
1459601347760,9.17,1.0859999999999999e-06
1459601347770,9.17,3.6200000000000004e-07
1459601347780,9.17,3.6200000000000004e-07
1459601347790,9.17,7.240000000000001e-07
1459601347800,9.17,7.240000000000001e-07
1459601347810,9.17,0.0
1459601347820,9.17,0.0
1459601347830,9.17,0.0
1459601347840,9.17,0.0
1459601347850,9.17,0.0
1459601347860,9.17,0.0
1459601347870,9.17,0.0
1459601347880,9.17,0.0
1459601347890,9.17,1.4480000000000002e-06
1459601347900,9.17,0.0
1459601347910,9.17,0.0
1459601347920,9.17,0.0
1459601347930,9.17,0.0
1459601347940,9.17,0.0
1459601347950,9.17,0.0
1459601347960,9.17,0.0
1459601347970,9.17,0.0
1459601347980,9.17,0.0
1459601347990,9.17,0.0
1459601348000,9.17,0.0
1459601348010,9.17,0.0
1459601348020,9.17,1.81e-06
1459601348030,9.17,0.0
1459601348040,9.17,0.0
1459601348050,9.17,0.0
1459601348060,9.17,7.240000000000001e-07
1459601348070,9.17,7.240000000000001e-07
1459601348080,9.17,7.240000000000001e-07
1459601348090,9.17,0.0
1459601348100,9.17,0.0
1459601348110,9.17,0.0
1459601348120,9.17,0.0
1459601348130,9.17,0.0
1459601348140,9.17,0.0
1459601348150,9.17,0.0
1459601348160,9.17,0.0
1459601348170,9.17,0.0
1459601348180,9.17,3.62e-06
1459601348190,9.17,7.240000000000001e-07
1459601348200,9.17,0.0
1459601348210,9.17,3.6200000000000004e-07
1459601348220,9.17,1.0859999999999999e-06
1459601348230,9.17,3.6200000000000004e-07
1459601348240,9.17,0.0
1459601348250,9.17,0.0
1459601348260,9.17,0.0
1459601348270,9.17,7.240000000000001e-07
1459601348280,9.17,0.0
1459601348290,9.17,0.0
1459601348300,9.17,0.0
1459601348310,9.17,0.0
1459601348320,9.17,0.0
1459601348330,9.17,0.0
1459601348340,9.17,0.0
1459601348350,9.17,0.0
1459601348360,9.17,0.0
