Timestamp,position,BLMTI.06R3.B1I10_TCLA.6R3.B1
1459601430050,7.72,0.0
1459601430060,7.72,3.6200000000000004e-07
1459601430070,7.72,0.0
1459601430080,7.72,1.0859999999999999e-06
1459601430090,7.72,0.0
1459601430100,7.72,7.240000000000001e-07
1459601430110,7.72,3.6200000000000004e-07
1459601430120,7.72,3.6200000000000004e-07
1459601430130,7.72,3.6200000000000004e-07
1459601430140,7.72,7.240000000000001e-07
1459601430150,7.72,3.6200000000000004e-07
1459601430160,7.72,7.240000000000001e-07
1459601430170,7.72,3.6200000000000004e-07
1459601430180,7.72,1.0859999999999999e-06
1459601430190,7.72,0.0
1459601430200,7.72,7.240000000000001e-07
1459601430210,7.72,0.0
1459601430220,7.72,1.4480000000000002e-06
1459601430230,7.72,0.0
1459601430240,7.72,0.0
1459601430250,7.72,0.0
1459601430260,7.72,1.4480000000000002e-06
1459601430270,7.72,0.0
1459601430280,7.72,0.0
1459601430290,7.72,0.0
1459601430300,7.72,1.0859999999999999e-06
1459601430310,7.72,0.0
1459601430320,7.72,0.0
1459601430330,7.72,0.0
1459601430340,7.72,7.240000000000001e-07
1459601430350,7.72,3.6200000000000004e-07
1459601430360,7.72,0.0
1459601430370,7.72,3.6200000000000004e-07
1459601430380,7.72,3.6200000000000004e-07
1459601430390,7.72,7.240000000000001e-07
1459601430400,7.72,0.0
1459601430410,7.72,3.6200000000000004e-07
1459601430420,7.72,7.240000000000001e-07
1459601430430,7.72,0.0
1459601430440,7.72,7.240000000000001e-07
1459601430450,7.72,3.6200000000000004e-07
1459601430460,7.72,3.6200000000000004e-07
1459601430470,7.72,0.0
1459601430480,7.72,1.0859999999999999e-06
1459601430490,7.72,0.0
1459601430500,7.72,3.6200000000000004e-07
1459601430510,7.72,0.0
1459601430520,7.72,7.240000000000001e-07
1459601430530,7.72,0.0
1459601430540,7.72,1.0859999999999999e-06
1459601430550,7.72,0.0
1459601430560,7.72,3.6200000000000004e-07
1459601430570,7.72,0.0
1459601430580,7.72,3.6200000000000004e-07
1459601430590,7.72,0.0
1459601430600,7.72,0.0
1459601430610,7.72,1.0859999999999999e-06
1459601430620,7.72,0.0
1459601430630,7.72,7.240000000000001e-07
1459601430640,7.72,0.0
1459601430650,7.72,3.6200000000000004e-07
1459601430660,7.72,3.6200000000000004e-07
1459601430670,7.72,3.6200000000000004e-07
1459601430680,7.72,7.240000000000001e-07
1459601430690,7.72,7.240000000000001e-07
1459601430700,7.72,1.0859999999999999e-06
1459601430710,7.72,0.0
1459601430720,7.72,1.4480000000000002e-06
1459601430730,7.72,0.0
1459601430740,7.72,0.0
1459601430750,7.72,0.0
1459601430760,7.72,3.6200000000000004e-07
1459601430770,7.72,0.0
1459601430780,7.5,7.240000000000001e-07
1459601430790,7.5,0.0
1459601430800,7.5,1.4480000000000002e-06
1459601430810,7.5,0.0
1459601430820,7.5,0.0
1459601430830,7.5,0.0
1459601430840,7.5,3.6200000000000004e-07
1459601430850,7.5,3.6200000000000004e-07
1459601430860,7.5,0.0
1459601430870,7.5,7.240000000000001e-07
1459601430880,7.5,0.0
1459601430890,7.5,3.6200000000000004e-07
1459601430900,7.5,0.0
1459601430910,7.5,1.4480000000000002e-06
1459601430920,7.5,0.0
1459601430930,7.5,3.6200000000000004e-07
1459601430940,7.5,7.240000000000001e-07
1459601430950,7.5,0.0
1459601430960,7.5,1.0859999999999999e-06
1459601430970,7.5,0.0
1459601430980,7.5,7.240000000000001e-07
1459601430990,7.5,0.0
1459601431000,7.5,3.6200000000000004e-07
1459601431010,7.5,0.0
1459601431020,7.5,1.4480000000000002e-06
1459601431030,7.5,0.0
1459601431040,7.5,3.6200000000000004e-07
1459601431050,7.5,0.0
1459601431060,7.5,3.6200000000000004e-07
1459601431070,7.5,0.0
1459601431080,7.5,7.240000000000001e-07
1459601431090,7.5,0.0
1459601431100,7.5,0.0
1459601431110,7.5,7.240000000000001e-07
1459601431120,7.5,3.6200000000000004e-07
1459601431130,7.5,3.6200000000000004e-07
1459601431140,7.5,0.0
1459601431150,7.5,3.6200000000000004e-07
1459601431160,7.5,7.240000000000001e-07
1459601431170,7.5,3.6200000000000004e-07
1459601431180,7.5,3.6200000000000004e-07
1459601431190,7.5,0.0
1459601431200,7.5,1.0859999999999999e-06
1459601431210,7.5,0.0
1459601431220,7.5,1.0859999999999999e-06
1459601431230,7.5,0.0
1459601431240,7.5,0.0
1459601431250,7.5,0.0
1459601431260,7.5,7.240000000000001e-07
1459601431270,7.5,0.0
1459601431280,7.5,0.0
1459601431290,7.5,3.6200000000000004e-07
1459601431300,7.5,3.6200000000000004e-07
1459601431310,7.5,0.0
1459601431320,7.5,3.6200000000000004e-07
1459601431330,7.5,0.0
1459601431340,7.5,7.240000000000001e-07
1459601431350,7.5,0.0
1459601431360,7.5,1.0859999999999999e-06
1459601431370,7.5,3.6200000000000004e-07
1459601431380,7.5,7.240000000000001e-07
1459601431390,7.5,0.0
1459601431400,7.5,3.6200000000000004e-07
1459601431410,7.5,3.6200000000000004e-07
1459601431420,7.5,7.240000000000001e-07
1459601431430,7.5,0.0
