Timestamp,position,BLMTI.05R3.B1I10_TCLA.B5R3.B1
1459601430050,8.745,7.240000000000001e-07
1459601430060,8.745,0.0
1459601430070,8.745,0.0
1459601430080,8.745,3.6200000000000004e-07
1459601430090,8.745,1.0859999999999999e-06
1459601430100,8.745,0.0
1459601430110,8.745,1.0859999999999999e-06
1459601430120,8.745,0.0
1459601430130,8.745,0.0
1459601430140,8.745,0.0
1459601430150,8.745,1.0859999999999999e-06
1459601430160,8.745,0.0
1459601430170,8.745,0.0
1459601430180,8.745,0.0
1459601430190,8.745,1.0859999999999999e-06
1459601430200,8.745,0.0
1459601430210,8.745,1.0859999999999999e-06
1459601430220,8.745,0.0
1459601430230,8.745,1.0859999999999999e-06
1459601430240,8.745,0.0
1459601430250,8.745,3.6200000000000004e-07
1459601430260,8.745,3.6200000000000004e-07
1459601430270,8.745,3.6200000000000004e-07
1459601430280,8.745,0.0
1459601430290,8.745,7.240000000000001e-07
1459601430300,8.745,3.6200000000000004e-07
1459601430310,8.745,0.0
1459601430320,8.745,0.0
1459601430330,8.745,7.240000000000001e-07
1459601430340,8.745,0.0
1459601430350,8.745,7.240000000000001e-07
1459601430360,8.745,3.6200000000000004e-07
1459601430370,8.745,7.240000000000001e-07
1459601430380,8.745,3.6200000000000004e-07
1459601430390,8.745,1.0859999999999999e-06
1459601430400,8.745,7.240000000000001e-07
1459601430410,8.745,3.6200000000000004e-07
1459601430420,8.745,0.0
1459601430430,8.745,7.240000000000001e-07
1459601430440,8.745,0.0
1459601430450,8.745,3.6200000000000004e-07
1459601430460,8.745,0.0
1459601430470,8.745,7.240000000000001e-07
1459601430480,8.745,0.0
1459601430490,8.745,1.0859999999999999e-06
1459601430500,8.745,0.0
1459601430510,8.745,1.4480000000000002e-06
1459601430520,8.745,0.0
1459601430530,8.745,0.0
1459601430540,8.745,0.0
1459601430550,8.745,3.6200000000000004e-07
1459601430560,8.745,3.6200000000000004e-07
1459601430570,8.745,3.6200000000000004e-07
1459601430580,8.745,3.6200000000000004e-07
