Timestamp,position,BLMTI.05L3.B1I10_TCSG.5L3.B1
1459601898010,7.56,3.6200000000000004e-07
1459601898020,7.56,3.6200000000000004e-07
1459601898030,7.56,0.0
1459601898040,7.56,3.6200000000000004e-07
1459601898050,7.56,0.0
1459601898060,7.56,3.6200000000000004e-07
1459601898070,7.56,3.6200000000000004e-07
1459601898080,7.56,3.6200000000000004e-07
1459601898090,7.56,1.0859999999999999e-06
1459601898100,7.56,3.6200000000000004e-07
1459601898110,7.56,3.6200000000000004e-07
1459601898120,7.56,0.0
1459601898130,7.56,7.240000000000001e-07
1459601898140,7.56,0.0
1459601898150,7.56,0.0
1459601898160,7.56,1.4480000000000002e-06
1459601898170,7.56,0.0
1459601898180,7.56,0.0
1459601898190,7.56,0.0
1459601898200,7.56,3.6200000000000004e-07
1459601898210,7.56,7.240000000000001e-07
1459601898220,7.56,3.6200000000000004e-07
1459601898230,7.56,0.0
1459601898240,7.56,7.240000000000001e-07
1459601898250,7.56,7.240000000000001e-07
1459601898260,7.56,7.240000000000001e-07
1459601898270,7.56,0.0
1459601898280,7.56,3.6200000000000004e-07
1459601898290,7.56,1.0859999999999999e-06
1459601898300,7.56,0.0
1459601898310,7.56,3.6200000000000004e-07
1459601898320,7.56,0.0
1459601898330,7.56,7.240000000000001e-07
1459601898340,7.56,3.6200000000000004e-07
1459601898350,7.56,0.0
1459601898360,7.56,7.240000000000001e-07
1459601898370,7.56,3.6200000000000004e-07
1459601898380,7.56,0.0
1459601898390,7.56,0.0
1459601898400,7.56,3.6200000000000004e-07
1459601898410,7.56,7.240000000000001e-07
1459601898420,7.56,0.0
1459601898430,7.56,7.240000000000001e-07
1459601898440,7.56,3.6200000000000004e-07
1459601898450,7.56,3.6200000000000004e-07
1459601898460,7.56,7.240000000000001e-07
1459601898470,7.56,0.0
1459601898480,7.56,3.6200000000000004e-07
1459601898490,7.56,0.0
1459601898500,7.56,3.6200000000000004e-07
1459601898510,7.56,3.6200000000000004e-07
1459601898520,7.56,1.0859999999999999e-06
1459601898530,7.56,3.6200000000000004e-07
1459601898540,7.56,0.0
1459601898550,7.56,7.240000000000001e-07
1459601898560,7.56,7.240000000000001e-07
1459601898570,7.56,3.6200000000000004e-07
1459601898580,7.56,0.0
1459601898590,7.56,0.0
1459601898600,7.56,0.0
1459601898610,7.56,3.6200000000000004e-07
1459601898620,7.56,0.0
1459601898630,7.56,7.240000000000001e-07
1459601898640,7.56,1.0859999999999999e-06
1459601898650,7.56,0.0
1459601898660,7.56,7.240000000000001e-07
1459601898670,7.56,3.6200000000000004e-07
1459601898680,7.56,1.0859999999999999e-06
1459601898690,7.56,3.6200000000000004e-07
1459601898700,7.56,3.6200000000000004e-07
1459601898710,7.56,0.0
1459601898720,7.56,0.0
1459601898730,7.56,7.240000000000001e-07
1459601898740,7.56,1.0859999999999999e-06
1459601898750,7.56,7.240000000000001e-07
1459601898760,7.56,1.0859999999999999e-06
1459601898770,7.56,3.6200000000000004e-07
1459601898780,7.56,3.6200000000000004e-07
1459601898790,7.56,3.6200000000000004e-07
1459601898800,7.56,3.6200000000000004e-07
1459601898810,7.56,1.0859999999999999e-06
1459601898820,7.56,0.0
1459601898830,7.56,0.0
1459601898840,7.56,7.240000000000001e-07
1459601898850,7.56,0.0
1459601898860,7.56,3.6200000000000004e-07
1459601898870,7.56,0.0
1459601898880,7.56,3.6200000000000004e-07
1459601898890,7.56,7.240000000000001e-07
1459601898900,7.56,0.0
1459601898910,7.56,1.0859999999999999e-06
1459601898920,7.56,0.0
1459601898930,7.56,3.6200000000000004e-07
1459601898940,7.56,7.240000000000001e-07
1459601898950,7.56,3.6200000000000004e-07
1459601898960,7.56,3.6200000000000004e-07
1459601898970,7.56,3.6200000000000004e-07
1459601898980,7.56,3.6200000000000004e-07
1459601898990,7.56,0.0
1459601899000,7.56,1.0859999999999999e-06
1459601899010,7.56,7.240000000000001e-07
1459601899020,7.56,0.0
1459601899030,7.56,0.0
1459601899040,7.56,3.6200000000000004e-07
1459601899050,7.56,7.240000000000001e-07
1459601899060,7.56,3.6200000000000004e-07
1459601899070,7.56,0.0
1459601899080,7.56,0.0
1459601899090,7.56,7.240000000000001e-07
1459601899100,7.56,3.6200000000000004e-07
1459601899110,7.56,3.6200000000000004e-07
1459601899120,7.56,7.240000000000001e-07
1459601899130,7.56,3.6200000000000004e-07
1459601899140,7.56,0.0
1459601899150,7.56,0.0
1459601899160,7.56,3.6200000000000004e-07
1459601899170,7.56,0.0
1459601899180,7.56,7.240000000000001e-07
1459601899190,7.56,3.6200000000000004e-07
1459601899200,7.56,0.0
