Timestamp,position,BLMTI.04L2.B1E10_TCTPH.4L2.B1
1459601938140,3.795,0.0
1459601938150,3.795,3.6200000000000004e-07
1459601938160,3.795,3.6200000000000004e-07
1459601938170,3.795,3.6200000000000004e-07
1459601938180,3.795,3.6200000000000004e-07
1459601938190,3.795,3.6200000000000004e-07
1459601938200,3.795,0.0
1459601938210,3.795,7.240000000000001e-07
1459601938220,3.795,0.0
1459601938230,3.795,3.6200000000000004e-07
1459601938240,3.795,3.6200000000000004e-07
1459601938250,3.795,3.6200000000000004e-07
1459601938260,3.795,0.0
1459601938270,3.795,1.0859999999999999e-06
1459601938280,3.795,0.0
1459601938290,3.795,7.240000000000001e-07
1459601938300,3.795,3.6200000000000004e-07
1459601938310,3.795,0.0
1459601938320,3.795,3.6200000000000004e-07
1459601938330,3.795,3.6200000000000004e-07
1459601938340,3.795,0.0
1459601938350,3.795,0.0
1459601938360,3.795,1.0859999999999999e-06
1459601938370,3.795,0.0
1459601938380,3.795,1.4480000000000002e-06
1459601938390,3.795,0.0
1459601938400,3.795,3.6200000000000004e-07
1459601938410,3.795,0.0
1459601938420,3.795,0.0
1459601938430,3.795,7.240000000000001e-07
1459601938440,3.795,0.0
1459601938450,3.795,3.6200000000000004e-07
1459601938460,3.795,0.0
1459601938470,3.795,3.6200000000000004e-07
1459601938480,3.795,0.0
1459601938490,3.795,1.0859999999999999e-06
1459601938500,3.795,0.0
1459601938510,3.795,0.0
1459601938520,3.795,0.0
1459601938530,3.795,3.6200000000000004e-07
1459601938540,3.795,3.6200000000000004e-07
1459601938550,3.795,0.0
1459601938560,3.795,3.6200000000000004e-07
1459601938570,3.795,3.6200000000000004e-07
1459601938580,3.795,3.6200000000000004e-07
1459601938590,3.795,1.0859999999999999e-06
1459601938600,3.795,1.4480000000000002e-06
1459601938610,3.795,3.6200000000000004e-07
1459601938620,3.795,0.0
1459601938630,3.795,0.0
1459601938640,3.795,3.6200000000000004e-07
1459601938650,3.795,7.240000000000001e-07
1459601938660,3.795,7.240000000000001e-07
1459601938670,3.795,3.6200000000000004e-07
1459601938680,3.795,7.240000000000001e-07
1459601938690,3.795,3.6200000000000004e-07
1459601938700,3.795,0.0
1459601938710,3.795,3.6200000000000004e-07
1459601938720,3.795,3.6200000000000004e-07
1459601938730,3.795,3.6200000000000004e-07
1459601938740,3.795,3.6200000000000004e-07
1459601938750,3.795,7.240000000000001e-07
1459601938760,3.795,0.0
1459601938770,3.795,0.0
1459601938780,3.795,1.0859999999999999e-06
1459601938790,3.795,0.0
1459601938800,3.795,7.240000000000001e-07
1459601938810,3.795,0.0
1459601938820,3.795,7.240000000000001e-07
1459601938830,3.795,0.0
1459601938840,3.795,3.6200000000000004e-07
1459601938850,3.795,3.6200000000000004e-07
1459601938860,3.795,7.240000000000001e-07
1459601938870,3.795,3.6200000000000004e-07
1459601938880,3.795,0.0
1459601938890,3.795,7.240000000000001e-07
1459601938900,3.795,0.0
1459601938910,3.795,3.6200000000000004e-07
1459601938920,3.795,3.6200000000000004e-07
1459601938930,3.795,3.6200000000000004e-07
1459601938940,3.795,0.0
1459601938950,3.795,0.0
1459601938960,3.795,7.240000000000001e-07
1459601938970,3.795,0.0
1459601938980,3.795,3.6200000000000004e-07
