Timestamp,position,BLMTI.05L3.B2E10_TCLA.B5L3.B2
1459602013010,9.035,3.6200000000000004e-07
1459602013020,9.035,0.0
1459602013030,9.035,0.0
1459602013040,9.035,3.6200000000000004e-07
1459602013050,9.035,1.0859999999999999e-06
1459602013060,9.035,0.0
1459602013070,9.035,0.0
1459602013080,9.035,7.240000000000001e-07
1459602013090,9.035,0.0
1459602013100,9.035,3.6200000000000004e-07
1459602013110,9.035,7.240000000000001e-07
1459602013120,9.035,7.240000000000001e-07
1459602013130,9.035,3.6200000000000004e-07
1459602013140,9.035,3.6200000000000004e-07
1459602013150,9.035,1.0859999999999999e-06
1459602013160,9.035,3.6200000000000004e-07
1459602013170,9.035,0.0
1459602013180,9.035,0.0
1459602013190,9.035,3.6200000000000004e-07
1459602013200,9.035,7.240000000000001e-07
1459602013210,9.035,3.6200000000000004e-07
1459602013220,9.035,0.0
1459602013230,9.035,3.6200000000000004e-07
1459602013240,9.035,3.6200000000000004e-07
1459602013250,9.035,7.240000000000001e-07
1459602013260,9.035,3.6200000000000004e-07
1459602013270,9.035,7.240000000000001e-07
1459602013280,9.035,7.240000000000001e-07
1459602013290,9.035,7.240000000000001e-07
1459602013300,9.035,3.6200000000000004e-07
1459602013310,9.035,0.0
1459602013320,9.035,1.0859999999999999e-06
1459602013330,9.035,3.6200000000000004e-07
1459602013340,9.035,0.0
1459602013350,9.035,0.0
1459602013360,9.035,0.0
1459602013370,9.035,7.240000000000001e-07
1459602013380,9.035,0.0
1459602013390,9.035,3.6200000000000004e-07
1459602013400,9.035,7.240000000000001e-07
1459602013410,9.035,7.240000000000001e-07
1459602013420,9.035,3.6200000000000004e-07
1459602013430,9.035,0.0
1459602013440,9.035,0.0
1459602013450,9.035,1.0859999999999999e-06
1459602013460,9.035,3.6200000000000004e-07
1459602013470,9.035,0.0
1459602013480,9.035,7.240000000000001e-07
1459602013490,9.035,1.0859999999999999e-06
1459602013500,9.035,7.240000000000001e-07
1459602013510,9.035,3.6200000000000004e-07
1459602013520,9.035,3.6200000000000004e-07
1459602013530,9.035,3.6200000000000004e-07
1459602013540,9.035,0.0
1459602013550,9.035,7.240000000000001e-07
1459602013560,9.035,0.0
1459602013570,9.035,7.240000000000001e-07
1459602013580,9.035,3.6200000000000004e-07
1459602013590,9.035,3.6200000000000004e-07
1459602013600,9.035,3.6200000000000004e-07
1459602013610,9.035,7.240000000000001e-07
1459602013620,9.035,7.240000000000001e-07
1459602013630,9.035,3.6200000000000004e-07
1459602013640,9.035,3.6200000000000004e-07
1459602013650,9.035,7.240000000000001e-07
1459602013660,9.035,0.0
1459602013670,9.035,3.6200000000000004e-07
