Timestamp,position,BLMTI.05L3.B2E10_TCSG.A5L3.B2
1459602803800,7.435,0.0
1459602803810,7.435,0.0
1459602803820,7.435,3.6200000000000004e-07
1459602803830,7.435,3.6200000000000004e-07
1459602803840,7.435,0.0
1459602803850,7.435,3.6200000000000004e-07
1459602803860,7.435,3.6200000000000004e-07
1459602803870,7.435,3.6200000000000004e-07
1459602803880,7.435,3.6200000000000004e-07
1459602803890,7.435,3.6200000000000004e-07
1459602803900,7.435,7.240000000000001e-07
1459602803910,7.435,3.6200000000000004e-07
1459602803920,7.435,7.240000000000001e-07
1459602803930,7.435,0.0
1459602803940,7.435,0.0
1459602803950,7.435,7.240000000000001e-07
1459602803960,7.435,3.6200000000000004e-07
1459602803970,7.435,0.0
1459602803980,7.435,0.0
1459602803990,7.435,7.240000000000001e-07
1459602804000,7.435,0.0
1459602804010,7.435,3.6200000000000004e-07
1459602804020,7.435,3.6200000000000004e-07
1459602804030,7.435,3.6200000000000004e-07
1459602804040,7.435,7.240000000000001e-07
1459602804050,7.435,0.0
1459602804060,7.435,3.6200000000000004e-07
1459602804070,7.435,0.0
1459602804080,7.435,7.240000000000001e-07
1459602804090,7.435,0.0
1459602804100,7.435,1.0859999999999999e-06
1459602804110,7.435,0.0
1459602804120,7.435,0.0
1459602804130,7.435,3.6200000000000004e-07
1459602804140,7.435,0.0
1459602804150,7.435,0.0
1459602804160,7.435,7.240000000000001e-07
1459602804170,7.435,7.240000000000001e-07
1459602804180,7.435,3.6200000000000004e-07
1459602804190,7.435,3.6200000000000004e-07
1459602804200,7.435,0.0
1459602804210,7.435,3.6200000000000004e-07
1459602804220,7.435,0.0
1459602804230,7.435,3.6200000000000004e-07
1459602804240,7.435,0.0
1459602804250,7.435,3.6200000000000004e-07
1459602804260,7.435,3.6200000000000004e-07
1459602804270,7.435,0.0
1459602804280,7.435,7.240000000000001e-07
1459602804290,7.435,0.0
1459602804300,7.435,3.6200000000000004e-07
1459602804310,7.435,0.0
1459602804320,7.435,3.6200000000000004e-07
1459602804330,7.435,0.0
1459602804340,7.435,1.0859999999999999e-06
1459602804350,7.435,3.6200000000000004e-07
1459602804360,7.435,7.240000000000001e-07
1459602804370,7.435,0.0
1459602804380,7.435,3.6200000000000004e-07
1459602804390,7.435,3.6200000000000004e-07
1459602804400,7.435,3.6200000000000004e-07
1459602804410,7.435,3.6200000000000004e-07
1459602804420,7.435,3.6200000000000004e-07
1459602804430,7.435,3.6200000000000004e-07
1459602804440,7.435,3.6200000000000004e-07
1459602804450,7.435,0.0
1459602804460,7.435,3.6200000000000004e-07
1459602804470,7.435,3.6200000000000004e-07
1459602804480,7.435,3.6200000000000004e-07
1459602804490,7.435,7.240000000000001e-07
1459602804500,7.435,7.240000000000001e-07
1459602804510,7.435,3.6200000000000004e-07
1459602804520,7.435,3.6200000000000004e-07
1459602804530,7.435,0.0
1459602804540,7.435,0.0
1459602804550,7.435,7.240000000000001e-07
1459602804560,7.435,0.0
1459602804570,7.435,0.0
1459602804580,7.435,7.240000000000001e-07
1459602804590,7.435,7.240000000000001e-07
1459602804600,7.435,0.0
1459602804610,7.435,0.0
1459602804620,7.435,3.6200000000000004e-07
1459602804630,7.435,7.240000000000001e-07
1459602804640,7.435,3.6200000000000004e-07
1459602804650,7.435,0.0
1459602804660,7.435,0.0
1459602804670,7.435,0.0
1459602804680,7.435,7.240000000000001e-07
1459602804690,7.435,0.0
1459602804700,7.435,0.0
1459602804710,7.435,1.4480000000000002e-06
1459602804720,7.435,0.0
1459602804730,7.435,0.0
1459602804740,7.435,3.6200000000000004e-07
1459602804750,7.435,0.0
1459602804760,7.435,3.6200000000000004e-07
1459602804770,7.435,0.0
1459602804780,7.435,7.240000000000001e-07
1459602804790,7.435,0.0
1459602804800,7.435,3.6200000000000004e-07
1459602804810,7.435,0.0
1459602804820,7.435,0.0
1459602804830,7.435,3.6200000000000004e-07
1459602804840,7.435,3.6200000000000004e-07
1459602804850,7.435,7.240000000000001e-07
1459602804860,7.435,3.6200000000000004e-07
1459602804870,7.435,3.6200000000000004e-07
1459602804880,7.435,3.6200000000000004e-07
1459602804890,7.435,0.0
1459602804900,7.435,3.6200000000000004e-07
1459602804910,7.435,3.6200000000000004e-07
1459602804920,7.435,3.6200000000000004e-07
1459602804930,7.435,0.0
1459602804940,7.435,7.240000000000001e-07
1459602804950,7.435,0.0
1459602804960,7.435,3.6200000000000004e-07
1459602804970,7.435,0.0
1459602804980,7.435,3.6200000000000004e-07
1459602804990,7.435,0.0
1459602805000,7.435,3.6200000000000004e-07
1459602805010,7.435,0.0
1459602805020,7.435,3.6200000000000004e-07
1459602805030,7.435,1.0859999999999999e-06
1459602805040,7.435,7.240000000000001e-07
1459602805050,7.435,3.6200000000000004e-07
1459602805060,7.435,0.0
1459602805070,7.435,3.6200000000000004e-07
1459602805080,7.435,7.240000000000001e-07
1459602805090,7.435,0.0
1459602805100,7.435,7.240000000000001e-07
1459602805110,7.435,3.6200000000000004e-07
1459602805120,7.435,3.6200000000000004e-07
1459602805130,7.435,0.0
1459602805140,7.435,3.6200000000000004e-07
1459602805150,7.435,3.6200000000000004e-07
