Timestamp,position,BLMTI.06R7.B1E10_TCLA.D6R7.B1
1459602875170,6.985,7.240000000000001e-07
1459602875180,6.985,0.0
1459602875190,6.985,7.240000000000001e-07
1459602875200,6.985,0.0
1459602875210,6.985,3.6200000000000004e-07
1459602875220,6.985,3.6200000000000004e-07
1459602875230,6.985,3.6200000000000004e-07
1459602875240,6.985,0.0
1459602875250,6.985,1.0859999999999999e-06
1459602875260,6.985,0.0
1459602875270,6.985,0.0
1459602875280,6.985,0.0
1459602875290,6.985,7.240000000000001e-07
1459602875300,6.985,0.0
1459602875310,6.985,7.240000000000001e-07
1459602875320,6.985,0.0
1459602875330,6.985,1.0859999999999999e-06
1459602875340,6.985,0.0
1459602875350,6.985,3.6200000000000004e-07
1459602875360,6.985,7.240000000000001e-07
1459602875370,6.985,0.0
1459602875380,6.985,0.0
1459602875390,6.985,3.6200000000000004e-07
1459602875400,6.985,0.0
1459602875410,6.985,1.4480000000000002e-06
1459602875420,6.985,0.0
1459602875430,6.985,0.0
1459602875440,6.985,0.0
1459602875450,6.985,3.6200000000000004e-07
1459602875460,6.985,0.0
1459602875470,6.985,7.240000000000001e-07
1459602875480,6.985,0.0
1459602875490,6.985,0.0
1459602875500,6.985,0.0
1459602875510,6.985,3.6200000000000004e-07
1459602875520,6.985,3.6200000000000004e-07
1459602875530,6.985,7.240000000000001e-07
1459602875540,6.985,0.0
1459602875550,6.985,3.6200000000000004e-07
1459602875560,6.985,0.0
1459602875570,6.985,3.6200000000000004e-07
1459602875580,6.985,0.0
1459602875590,6.985,1.0859999999999999e-06
1459602875600,6.985,0.0
1459602875610,6.985,3.6200000000000004e-07
1459602875620,6.985,3.6200000000000004e-07
1459602875630,6.985,3.6200000000000004e-07
1459602875640,6.985,3.6200000000000004e-07
1459602875650,6.985,3.6200000000000004e-07
1459602875660,6.985,0.0
1459602875670,6.985,7.240000000000001e-07
1459602875680,6.985,0.0
1459602875690,6.985,3.6200000000000004e-07
1459602875700,6.985,3.6200000000000004e-07
1459602875710,6.985,0.0
1459602875720,6.985,3.6200000000000004e-07
1459602875730,6.985,7.240000000000001e-07
1459602875740,6.985,0.0
1459602875750,6.985,7.240000000000001e-07
1459602875760,6.985,0.0
1459602875770,6.985,3.6200000000000004e-07
1459602875780,6.985,3.6200000000000004e-07
1459602875790,6.985,3.6200000000000004e-07
1459602875800,6.985,3.6200000000000004e-07
1459602875810,6.985,7.240000000000001e-07
1459602875820,6.985,0.0
1459602875830,6.985,0.0
1459602875840,6.985,3.6200000000000004e-07
1459602875850,6.985,3.6200000000000004e-07
1459602875860,6.985,3.6200000000000004e-07
1459602875870,6.985,7.240000000000001e-07
1459602875880,6.985,0.0
1459602875890,6.985,3.6200000000000004e-07
1459602875900,6.985,0.0
1459602875910,6.985,3.6200000000000004e-07
1459602875920,6.985,3.6200000000000004e-07
1459602875930,6.985,7.240000000000001e-07
1459602875940,6.985,0.0
1459602875950,6.985,3.6200000000000004e-07
1459602875960,6.985,7.240000000000001e-07
1459602875970,6.985,0.0
1459602875980,6.985,3.6200000000000004e-07
1459602875990,6.985,7.240000000000001e-07
1459602876000,6.985,0.0
1459602876010,6.985,7.240000000000001e-07
1459602876020,6.985,0.0
1459602876030,6.985,0.0
1459602876040,6.985,3.6200000000000004e-07
1459602876050,6.985,7.240000000000001e-07
1459602876060,6.985,0.0
1459602876070,6.985,3.6200000000000004e-07
1459602876080,6.985,0.0
1459602876090,6.985,0.0
1459602876100,6.985,0.0
1459602876110,6.985,3.6200000000000004e-07
1459602876120,6.985,7.240000000000001e-07
1459602876130,6.985,7.240000000000001e-07
1459602876140,6.985,0.0
1459602876150,6.985,3.6200000000000004e-07
1459602876160,6.985,0.0
1459602876170,6.985,3.6200000000000004e-07
1459602876180,6.985,3.6200000000000004e-07
1459602876190,6.985,3.6200000000000004e-07
1459602876200,6.985,0.0
1459602876210,6.985,7.240000000000001e-07
1459602876220,6.985,0.0
1459602876230,6.985,3.6200000000000004e-07
1459602876240,6.985,7.240000000000001e-07
1459602876250,6.985,7.240000000000001e-07
1459602876260,6.985,0.0
1459602876270,6.985,7.240000000000001e-07
1459602876280,6.985,0.0
1459602876290,6.985,7.240000000000001e-07
1459602876300,6.985,0.0
