Timestamp,position,BLMTI.05R3.B2E10_TCSG.5R3.B2
1459603050940,8.02,1.4480000000000002e-06
1459603050950,8.02,0.0
1459603050960,8.02,3.6200000000000004e-07
1459603050970,8.02,0.0
1459603050980,8.02,0.0
1459603050990,8.02,0.0
1459603051000,8.02,7.240000000000001e-07
1459603051010,8.02,0.0
1459603051020,8.02,7.240000000000001e-07
1459603051030,8.02,0.0
1459603051040,8.02,0.0
1459603051050,8.02,0.0
1459603051060,8.02,1.4480000000000002e-06
1459603051070,8.02,0.0
1459603051080,8.02,7.240000000000001e-07
1459603051090,8.02,0.0
1459603051100,8.02,7.240000000000001e-07
1459603051110,8.02,0.0
1459603051120,8.02,0.0
1459603051130,8.02,0.0
1459603051140,8.02,7.240000000000001e-07
1459603051150,8.02,0.0
1459603051160,8.02,1.0859999999999999e-06
1459603051170,8.02,0.0
1459603051180,8.02,0.0
1459603051190,8.02,0.0
1459603051200,8.02,1.0859999999999999e-06
1459603051210,8.02,0.0
1459603051220,8.02,3.6200000000000004e-07
1459603051230,8.02,0.0
1459603051240,8.02,7.240000000000001e-07
1459603051250,8.02,0.0
1459603051260,8.02,7.240000000000001e-07
1459603051270,8.02,0.0
1459603051280,8.02,7.240000000000001e-07
1459603051290,8.02,0.0
1459603051300,8.02,3.6200000000000004e-07
1459603051310,8.02,0.0
1459603051320,8.02,1.0859999999999999e-06
1459603051330,8.02,0.0
1459603051340,8.02,0.0
1459603051350,8.02,0.0
1459603051360,8.02,1.4480000000000002e-06
1459603051370,8.02,0.0
1459603051380,8.02,3.6200000000000004e-07
1459603051390,8.02,0.0
1459603051400,8.02,1.0859999999999999e-06
1459603051410,8.02,3.6200000000000004e-07
1459603051420,8.02,3.6200000000000004e-07
1459603051430,8.02,0.0
1459603051440,8.02,7.240000000000001e-07
1459603051450,8.02,0.0
1459603051460,8.02,1.0859999999999999e-06
1459603051470,8.02,0.0
1459603051480,8.02,3.6200000000000004e-07
1459603051490,8.02,3.6200000000000004e-07
1459603051500,8.02,1.0859999999999999e-06
1459603051510,8.02,0.0
1459603051520,8.02,3.6200000000000004e-07
1459603051530,8.02,0.0
1459603051540,8.02,1.0859999999999999e-06
1459603051550,8.02,0.0
1459603051560,8.02,3.6200000000000004e-07
1459603051570,8.02,7.240000000000001e-07
1459603051580,8.02,3.6200000000000004e-07
1459603051590,8.02,0.0
1459603051600,8.02,1.0859999999999999e-06
1459603051610,8.02,0.0
1459603051620,8.02,7.240000000000001e-07
1459603051630,8.02,0.0
1459603051640,8.02,3.6200000000000004e-07
1459603051650,8.02,0.0
1459603051660,8.02,0.0
1459603051670,8.02,3.6200000000000004e-07
1459603051680,8.02,7.240000000000001e-07
1459603051690,8.02,0.0
1459603051700,8.02,0.0
1459603051710,8.02,0.0
1459603051720,8.02,7.240000000000001e-07
1459603051730,8.02,0.0
1459603051740,8.02,7.240000000000001e-07
1459603051750,8.02,0.0
1459603051760,8.02,3.6200000000000004e-07
1459603051770,8.02,0.0
1459603051780,8.02,1.0859999999999999e-06
1459603051790,8.02,0.0
1459603051800,8.02,1.0859999999999999e-06
1459603051810,8.02,0.0
1459603051820,8.02,3.6200000000000004e-07
1459603051830,8.02,0.0
1459603051840,8.02,0.0
1459603051850,8.02,0.0
1459603051860,8.02,1.0859999999999999e-06
1459603051870,8.02,0.0
1459603051880,8.02,0.0
1459603051890,8.02,7.240000000000001e-07
1459603051900,8.02,7.240000000000001e-07
1459603051910,8.02,0.0
1459603051920,8.02,7.240000000000001e-07
1459603051930,8.02,0.0
1459603051940,8.02,0.0
1459603051950,8.02,0.0
